t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948341,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948344,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948347,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948350,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948353,1337,74.558027,0.000000,0.000000,0.000000,events/second
1571948356,1337,63.812908,0.000000,0.000000,0.000000,events/second
1571948359,1337,55.836017,0.000000,0.000000,0.000000,events/second
1571948362,1337,49.636560,0.000000,0.000000,0.000000,events/second
1571948365,1337,44.646207,0.000000,0.000000,0.000000,events/second
1571948368,1337,40.595629,0.000000,0.000000,0.000000,events/second
1571948371,1337,37.203613,0.000000,0.000000,0.000000,events/second
1571948374,1337,34.345755,0.000000,0.000000,0.000000,events/second
1571948377,1337,31.886702,0.000000,0.000000,0.000000,events/second
1571948380,2088,46.474768,0.000000,0.000000,0.000000,events/second
1571948383,2104,43.887986,0.000000,0.000000,0.000000,events/second
1571948386,17124,336.171939,0.000000,0.000000,0.000000,events/second
1571948389,17124,317.539353,0.000000,0.000000,0.000000,events/second
1571948392,17124,300.771199,0.000000,0.000000,0.000000,events/second
1571948395,17124,285.697426,0.000000,0.000000,0.000000,events/second
1571948398,17124,272.094702,0.000000,0.000000,0.000000,events/second
1571948401,17206,260.962007,0.000000,0.000000,0.000000,events/second
1571948404,17206,249.574014,0.000000,0.000000,0.000000,events/second
1571948407,17206,239.191551,0.000000,0.000000,0.000000,events/second
1571948410,17206,229.596767,0.000000,0.000000,0.000000,events/second
1571948413,17206,220.775662,0.000000,0.000000,0.000000,events/second
1571948416,17206,212.608675,0.000000,0.000000,0.000000,events/second
1571948419,18516,220.615586,0.000000,0.000000,0.000000,events/second
1571948422,18564,213.538250,0.000000,0.000000,0.000000,events/second
1571948425,18598,206.796561,0.000000,0.000000,0.000000,events/second
1571948428,18608,200.214298,0.000000,0.000000,0.000000,events/second
1571948431,19177,199.861406,0.000000,0.000000,0.000000,events/second
1571948434,19177,193.828487,0.000000,0.000000,0.000000,events/second
1571948437,19177,188.144867,0.000000,0.000000,0.000000,events/second
1571948440,19177,182.751612,0.000000,0.000000,0.000000,events/second
1571948443,19194,177.823667,0.000000,0.000000,0.000000,events/second
1571948446,19194,173.027634,0.000000,0.000000,0.000000,events/second
1571948449,19194,168.462706,0.000000,0.000000,0.000000,events/second
1571948452,19194,164.144564,0.000000,0.000000,0.000000,events/second
1571948455,19194,160.047433,0.000000,0.000000,0.000000,events/second
1571948458,19194,156.126901,0.000000,0.000000,0.000000,events/second
1571948461,19228,152.692133,0.000000,0.000000,0.000000,events/second
1571948464,19228,149.122971,0.000000,0.000000,0.000000,events/second
1571948467,19228,145.742584,0.000000,0.000000,0.000000,events/second
1571948470,19228,142.490951,0.000000,0.000000,0.000000,events/second
1571948473,19228,139.381298,0.000000,0.000000,0.000000,events/second
1571948476,19228,136.427206,0.000000,0.000000,0.000000,events/second
1571948479,19228,133.584525,0.000000,0.000000,0.000000,events/second
1571948482,19499,132.710617,0.000000,0.000000,0.000000,events/second
1571948485,19501,130.064249,0.000000,0.000000,0.000000,events/second
1571948488,19611,128.222828,0.000000,0.000000,0.000000,events/second
1571948491,19630,125.890205,0.000000,0.000000,0.000000,events/second
1571948494,19630,123.509551,0.000000,0.000000,0.000000,events/second
1571948497,19630,121.218100,0.000000,0.000000,0.000000,events/second
1571948500,19630,119.014887,0.000000,0.000000,0.000000,events/second
1571948503,19887,118.425833,0.000000,0.000000,0.000000,events/second
1571948506,19887,116.342713,0.000000,0.000000,0.000000,events/second
1571948509,19887,114.338654,0.000000,0.000000,0.000000,events/second
1571948512,19887,112.392132,0.000000,0.000000,0.000000,events/second
1571948515,19887,110.521521,0.000000,0.000000,0.000000,events/second
1571948518,19887,108.706499,0.000000,0.000000,0.000000,events/second
1571948521,19920,107.138795,0.000000,0.000000,0.000000,events/second
1571948524,19946,105.571602,0.000000,0.000000,0.000000,events/second
1571948527,19980,104.103019,0.000000,0.000000,0.000000,events/second
1571948530,19980,102.499543,0.000000,0.000000,0.000000,events/second
1571948533,19980,100.946442,0.000000,0.000000,0.000000,events/second
1571948536,19980,99.431733,0.000000,0.000000,0.000000,events/second
1571948539,19980,97.972539,0.000000,0.000000,0.000000,events/second
1571948542,20030,96.790172,0.000000,0.000000,0.000000,events/second
1571948545,20030,95.408757,0.000000,0.000000,0.000000,events/second
1571948548,20030,94.067485,0.000000,0.000000,0.000000,events/second
1571948551,20030,92.756219,0.000000,0.000000,0.000000,events/second
1571948554,20030,91.487538,0.000000,0.000000,0.000000,events/second
1571948557,20056,90.365287,0.000000,0.000000,0.000000,events/second
1571948560,20068,89.220899,0.000000,0.000000,0.000000,events/second
1571948563,20101,88.189857,0.000000,0.000000,0.000000,events/second
1571948566,20101,87.042586,0.000000,0.000000,0.000000,events/second
1571948569,20101,85.925539,0.000000,0.000000,0.000000,events/second
1571948572,20103,84.849092,0.000000,0.000000,0.000000,events/second
1571948575,20227,84.303261,0.000000,0.000000,0.000000,events/second
1571948578,20336,83.707764,0.000000,0.000000,0.000000,events/second
1571948581,20690,84.130856,0.000000,0.000000,0.000000,events/second
1571948584,20692,83.120725,0.000000,0.000000,0.000000,events/second
1571948587,21044,83.531187,0.000000,0.000000,0.000000,events/second
1571948590,21195,83.141519,0.000000,0.000000,0.000000,events/second
1571948593,21195,82.173428,0.000000,0.000000,0.000000,events/second
1571948596,21195,81.227916,0.000000,0.000000,0.000000,events/second
1571948599,21195,80.301140,0.000000,0.000000,0.000000,events/second
1571948602,21361,80.023658,0.000000,0.000000,0.000000,events/second
1571948605,21400,79.280957,0.000000,0.000000,0.000000,events/second
1571948608,21400,78.402640,0.000000,0.000000,0.000000,events/second
1571948611,21559,78.133310,0.000000,0.000000,0.000000,events/second
1571948614,21561,77.297339,0.000000,0.000000,0.000000,events/second
1571948617,21561,76.472842,0.000000,0.000000,0.000000,events/second
1571948620,21561,75.668896,0.000000,0.000000,0.000000,events/second
1571948623,21689,75.328649,0.000000,0.000000,0.000000,events/second
1571948626,21691,74.556634,0.000000,0.000000,0.000000,events/second
1571948629,21691,73.794210,0.000000,0.000000,0.000000,events/second
1571948632,21691,73.050225,0.000000,0.000000,0.000000,events/second
1571948635,21691,72.316941,0.000000,0.000000,0.000000,events/second
1571948638,21691,71.603484,0.000000,0.000000,0.000000,events/second
1571948641,21729,71.027068,0.000000,0.000000,0.000000,events/second
1571948644,21735,70.356544,0.000000,0.000000,0.000000,events/second
1571948647,21754,69.737493,0.000000,0.000000,0.000000,events/second
1571948650,21766,69.113418,0.000000,0.000000,0.000000,events/second
1571948653,21805,68.582457,0.000000,0.000000,0.000000,events/second
1571948656,21818,67.984779,0.000000,0.000000,0.000000,events/second
1571948659,21818,67.353979,0.000000,0.000000,0.000000,events/second
1571948662,21839,66.798579,0.000000,0.000000,0.000000,events/second
1571948665,21839,66.192837,0.000000,0.000000,0.000000,events/second
1571948668,21839,65.594015,0.000000,0.000000,0.000000,events/second
1571948671,21839,65.009364,0.000000,0.000000,0.000000,events/second
1571948674,21839,64.432905,0.000000,0.000000,0.000000,events/second
1571948677,21839,63.866226,0.000000,0.000000,0.000000,events/second
1571948680,21848,63.339645,0.000000,0.000000,0.000000,events/second
1571948683,21942,63.061599,0.000000,0.000000,0.000000,events/second
1571948686,21971,62.607366,0.000000,0.000000,0.000000,events/second
1571948689,22066,62.346574,0.000000,0.000000,0.000000,events/second
1571948692,22068,61.827626,0.000000,0.000000,0.000000,events/second
1571948695,22070,61.317558,0.000000,0.000000,0.000000,events/second
1571948698,22132,60.979790,0.000000,0.000000,0.000000,events/second
1571948701,22337,61.042039,0.000000,0.000000,0.000000,events/second
1571948704,22339,60.549764,0.000000,0.000000,0.000000,events/second
1571948707,22339,60.062139,0.000000,0.000000,0.000000,events/second
1571948710,22339,59.580231,0.000000,0.000000,0.000000,events/second
1571948713,22343,59.118765,0.000000,0.000000,0.000000,events/second
1571948716,22343,58.652872,0.000000,0.000000,0.000000,events/second
1571948719,22343,58.194482,0.000000,0.000000,0.000000,events/second
1571948722,22373,57.820416,0.000000,0.000000,0.000000,events/second
1571948725,22373,57.376243,0.000000,0.000000,0.000000,events/second
1571948728,22373,56.937534,0.000000,0.000000,0.000000,events/second
1571948731,22373,56.504928,0.000000,0.000000,0.000000,events/second
1571948734,22373,56.079076,0.000000,0.000000,0.000000,events/second
1571948737,22373,55.662331,0.000000,0.000000,0.000000,events/second
1571948740,22373,55.252060,0.000000,0.000000,0.000000,events/second
1571948743,22436,54.998389,0.000000,0.000000,0.000000,events/second
1571948746,22436,54.597475,0.000000,0.000000,0.000000,events/second
1571948749,22436,54.200557,0.000000,0.000000,0.000000,events/second
1571948752,22436,53.812976,0.000000,0.000000,0.000000,events/second
1571948755,22436,53.426893,0.000000,0.000000,0.000000,events/second
1571948758,22501,53.203217,0.000000,0.000000,0.000000,events/second
1571948761,22694,53.281552,0.000000,0.000000,0.000000,events/second
1571948764,22696,52.912934,0.000000,0.000000,0.000000,events/second
1571948767,22696,52.546136,0.000000,0.000000,0.000000,events/second
1571948770,22696,52.181849,0.000000,0.000000,0.000000,events/second
1571948773,22696,51.825258,0.000000,0.000000,0.000000,events/second
1571948776,22696,51.472022,0.000000,0.000000,0.000000,events/second
1571948779,22696,51.124793,0.000000,0.000000,0.000000,events/second
1571948782,22745,50.890473,0.000000,0.000000,0.000000,events/second
1571948785,22745,50.551505,0.000000,0.000000,0.000000,events/second
1571948788,22745,50.217246,0.000000,0.000000,0.000000,events/second
1571948791,22745,49.885801,0.000000,0.000000,0.000000,events/second
1571948794,22745,49.560263,0.000000,0.000000,0.000000,events/second
1571948797,22745,49.238976,0.000000,0.000000,0.000000,events/second
1571948800,22745,48.920064,0.000000,0.000000,0.000000,events/second
1571948803,22778,48.676286,0.000000,0.000000,0.000000,events/second
1571948806,22778,48.367331,0.000000,0.000000,0.000000,events/second
1571948809,22778,48.061551,0.000000,0.000000,0.000000,events/second
1571948812,22783,47.770585,0.000000,0.000000,0.000000,events/second
1571948815,22800,47.506364,0.000000,0.000000,0.000000,events/second
1571948818,22800,47.210807,0.000000,0.000000,0.000000,events/second
1571948821,22830,46.982333,0.000000,0.000000,0.000000,events/second
1571948824,22832,46.696759,0.000000,0.000000,0.000000,events/second
1571948827,22832,46.412030,0.000000,0.000000,0.000000,events/second
1571948830,22832,46.131919,0.000000,0.000000,0.000000,events/second
1571948833,22832,45.852994,0.000000,0.000000,0.000000,events/second
1571948836,22832,45.579379,0.000000,0.000000,0.000000,events/second
1571948839,22832,45.307124,0.000000,0.000000,0.000000,events/second
1571948842,22878,45.130935,0.000000,0.000000,0.000000,events/second
1571948845,22878,44.864794,0.000000,0.000000,0.000000,events/second
1571948848,22878,44.601175,0.000000,0.000000,0.000000,events/second
1571948851,22878,44.343051,0.000000,0.000000,0.000000,events/second
1571948854,22878,44.085734,0.000000,0.000000,0.000000,events/second
1571948857,22878,43.832692,0.000000,0.000000,0.000000,events/second
1571948860,22878,43.583025,0.000000,0.000000,0.000000,events/second
1571948863,22912,43.399255,0.000000,0.000000,0.000000,events/second
1571948866,22912,43.154315,0.000000,0.000000,0.000000,events/second
1571948869,22912,42.910956,0.000000,0.000000,0.000000,events/second
1571948872,22912,42.671566,0.000000,0.000000,0.000000,events/second
1571948875,22912,42.434843,0.000000,0.000000,0.000000,events/second
1571948878,22912,42.199615,0.000000,0.000000,0.000000,events/second
1571948881,22912,41.968023,0.000000,0.000000,0.000000,events/second
1571948884,22975,41.853157,0.000000,0.000000,0.000000,events/second
1571948887,22975,41.626361,0.000000,0.000000,0.000000,events/second
1571948890,22975,41.401741,0.000000,0.000000,0.000000,events/second
1571948893,22975,41.178341,0.000000,0.000000,0.000000,events/second
1571948896,22975,40.958455,0.000000,0.000000,0.000000,events/second
1571948899,22975,40.740913,0.000000,0.000000,0.000000,events/second
1571948902,23009,40.585601,0.000000,0.000000,0.000000,events/second
1571948905,23009,40.371481,0.000000,0.000000,0.000000,events/second
1571948908,23009,40.159369,0.000000,0.000000,0.000000,events/second
1571948911,23009,39.950411,0.000000,0.000000,0.000000,events/second
1571948914,23009,39.742844,0.000000,0.000000,0.000000,events/second
1571948917,23009,39.538742,0.000000,0.000000,0.000000,events/second
1571948920,23009,39.335902,0.000000,0.000000,0.000000,events/second
1571948923,23057,39.216574,0.000000,0.000000,0.000000,events/second
1571948926,23057,39.018024,0.000000,0.000000,0.000000,events/second
1571948929,23057,38.820197,0.000000,0.000000,0.000000,events/second
1571948932,23057,38.625406,0.000000,0.000000,0.000000,events/second
1571948935,23057,38.432608,0.000000,0.000000,0.000000,events/second
1571948938,23057,38.241392,0.000000,0.000000,0.000000,events/second
1571948941,23057,38.051710,0.000000,0.000000,0.000000,events/second
1571948944,23075,37.893475,0.000000,0.000000,0.000000,events/second
1571948947,23075,37.708506,0.000000,0.000000,0.000000,events/second
1571948950,23075,37.523907,0.000000,0.000000,0.000000,events/second
1571948953,23075,37.342061,0.000000,0.000000,0.000000,events/second
1571948956,23075,37.162183,0.000000,0.000000,0.000000,events/second
1571948959,23075,36.983025,0.000000,0.000000,0.000000,events/second
1571948962,23128,36.891157,0.000000,0.000000,0.000000,events/second
1571948965,23128,36.714895,0.000000,0.000000,0.000000,events/second
1571948968,23149,36.573577,0.000000,0.000000,0.000000,events/second
1571948971,23164,36.425489,0.000000,0.000000,0.000000,events/second
1571948974,23170,36.263912,0.000000,0.000000,0.000000,events/second
1571948977,23184,36.116109,0.000000,0.000000,0.000000,events/second
1571948980,23218,36.000095,0.000000,0.000000,0.000000,events/second
1571948983,23275,35.921390,0.000000,0.000000,0.000000,events/second
1571948986,23335,35.848407,0.000000,0.000000,0.000000,events/second
1571948989,23889,36.531628,0.000000,0.000000,0.000000,events/second
1571948992,23891,36.367459,0.000000,0.000000,0.000000,events/second
1571948995,23899,36.214444,0.000000,0.000000,0.000000,events/second
1571948998,23969,36.156381,0.000000,0.000000,0.000000,events/second
1571949001,24251,36.415721,0.000000,0.000000,0.000000,events/second
1571949004,24320,36.355844,0.000000,0.000000,0.000000,events/second
1571949007,24348,36.236170,0.000000,0.000000,0.000000,events/second
1571949010,24388,36.134293,0.000000,0.000000,0.000000,events/second
1571949013,24648,36.357736,0.000000,0.000000,0.000000,events/second
1571949016,24652,36.203244,0.000000,0.000000,0.000000,events/second
1571949019,24663,36.060858,0.000000,0.000000,0.000000,events/second
1571949022,24703,35.961683,0.000000,0.000000,0.000000,events/second
1571949025,24735,35.851319,0.000000,0.000000,0.000000,events/second
1571949028,24761,35.733987,0.000000,0.000000,0.000000,events/second
1571949031,24761,35.579621,0.000000,0.000000,0.000000,events/second
1571949034,24761,35.426512,0.000000,0.000000,0.000000,events/second
1571949037,24763,35.278523,0.000000,0.000000,0.000000,events/second
1571949040,24928,35.362633,0.000000,0.000000,0.000000,events/second
1571949043,24933,35.219213,0.000000,0.000000,0.000000,events/second
1571949046,24933,35.070769,0.000000,0.000000,0.000000,events/second
1571949049,24933,34.923143,0.000000,0.000000,0.000000,events/second
1571949052,24933,34.777411,0.000000,0.000000,0.000000,events/second
1571949055,24933,34.632346,0.000000,0.000000,0.000000,events/second
1571949058,24933,34.488606,0.000000,0.000000,0.000000,events/second
1571949061,24933,34.346517,0.000000,0.000000,0.000000,events/second
1571949064,24959,34.240186,0.000000,0.000000,0.000000,events/second
1571949067,24959,34.100321,0.000000,0.000000,0.000000,events/second
1571949070,24959,33.960645,0.000000,0.000000,0.000000,events/second
1571949073,24959,33.823184,0.000000,0.000000,0.000000,events/second
1571949076,24959,33.685898,0.000000,0.000000,0.000000,events/second
1571949079,24959,33.550252,0.000000,0.000000,0.000000,events/second
1571949082,24960,33.417031,0.000000,0.000000,0.000000,events/second
1571949085,24960,33.283133,0.000000,0.000000,0.000000,events/second
1571949088,24960,33.150245,0.000000,0.000000,0.000000,events/second
1571949091,24962,33.021772,0.000000,0.000000,0.000000,events/second
1571949094,24985,32.921581,0.000000,0.000000,0.000000,events/second
1571949097,24985,32.791834,0.000000,0.000000,0.000000,events/second
1571949100,24995,32.676427,0.000000,0.000000,0.000000,events/second
1571949103,25018,32.578585,0.000000,0.000000,0.000000,events/second
1571949106,25018,32.451752,0.000000,0.000000,0.000000,events/second
1571949109,25050,32.366864,0.000000,0.000000,0.000000,events/second
1571949112,25050,32.242464,0.000000,0.000000,0.000000,events/second
1571949115,25050,32.118398,0.000000,0.000000,0.000000,events/second
1571949118,25050,31.994613,0.000000,0.000000,0.000000,events/second
1571949121,25050,31.873214,0.000000,0.000000,0.000000,events/second
1571949124,25061,31.765525,0.000000,0.000000,0.000000,events/second
1571949127,25061,31.645438,0.000000,0.000000,0.000000,events/second
1571949130,25061,31.525755,0.000000,0.000000,0.000000,events/second
1571949133,25061,31.407300,0.000000,0.000000,0.000000,events/second
1571949136,25061,31.289406,0.000000,0.000000,0.000000,events/second
1571949139,25061,31.173178,0.000000,0.000000,0.000000,events/second
1571949142,25078,31.078494,0.000000,0.000000,0.000000,events/second
1571949145,25096,30.985515,0.000000,0.000000,0.000000,events/second
1571949148,25113,30.892112,0.000000,0.000000,0.000000,events/second
1571949151,25114,30.779397,0.000000,0.000000,0.000000,events/second
1571949154,25114,30.666865,0.000000,0.000000,0.000000,events/second
1571949157,25114,30.554621,0.000000,0.000000,0.000000,events/second
1571949160,25114,30.443946,0.000000,0.000000,0.000000,events/second
1571949163,25144,30.369849,0.000000,0.000000,0.000000,events/second
1571949166,25154,30.271925,0.000000,0.000000,0.000000,events/second
1571949169,25184,30.198734,0.000000,0.000000,0.000000,events/second
1571949172,25184,30.090731,0.000000,0.000000,0.000000,events/second
1571949175,25184,29.982984,0.000000,0.000000,0.000000,events/second
1571949178,25184,29.876816,0.000000,0.000000,0.000000,events/second
1571949181,25184,29.770289,0.000000,0.000000,0.000000,events/second
1571949184,25210,29.696247,0.000000,0.000000,0.000000,events/second
1571949187,25210,29.591295,0.000000,0.000000,0.000000,events/second
1571949190,25210,29.487699,0.000000,0.000000,0.000000,events/second
1571949193,25210,29.384731,0.000000,0.000000,0.000000,events/second
1571949196,25210,29.281956,0.000000,0.000000,0.000000,events/second
1571949199,25210,29.180434,0.000000,0.000000,0.000000,events/second
1571949202,25226,29.098215,0.000000,0.000000,0.000000,events/second
1571949205,25245,29.019447,0.000000,0.000000,0.000000,events/second
1571949208,25245,28.919834,0.000000,0.000000,0.000000,events/second
1571949211,25245,28.820398,0.000000,0.000000,0.000000,events/second
1571949214,25245,28.722424,0.000000,0.000000,0.000000,events/second
1571949217,25245,28.624451,0.000000,0.000000,0.000000,events/second
1571949220,25245,28.527568,0.000000,0.000000,0.000000,events/second
1571949223,25265,28.453990,0.000000,0.000000,0.000000,events/second
1571949226,25266,28.358977,0.000000,0.000000,0.000000,events/second
1571949229,25266,28.263914,0.000000,0.000000,0.000000,events/second
1571949232,25266,28.169103,0.000000,0.000000,0.000000,events/second
1571949235,25266,28.075329,0.000000,0.000000,0.000000,events/second
1571949238,25266,27.982267,0.000000,0.000000,0.000000,events/second
1571949241,25266,27.889186,0.000000,0.000000,0.000000,events/second
1571949244,25313,27.848682,0.000000,0.000000,0.000000,events/second
1571949247,25313,27.757394,0.000000,0.000000,0.000000,events/second
1571949250,25313,27.666554,0.000000,0.000000,0.000000,events/second
1571949253,25313,27.575827,0.000000,0.000000,0.000000,events/second
1571949256,25313,27.486130,0.000000,0.000000,0.000000,events/second
1571949259,25313,27.397023,0.000000,0.000000,0.000000,events/second
1571949262,25328,27.324729,0.000000,0.000000,0.000000,events/second
1571949265,25345,27.254664,0.000000,0.000000,0.000000,events/second
1571949268,25345,27.167145,0.000000,0.000000,0.000000,events/second
1571949271,25345,27.079743,0.000000,0.000000,0.000000,events/second
1571949274,25345,26.992953,0.000000,0.000000,0.000000,events/second
1571949277,25345,26.907309,0.000000,0.000000,0.000000,events/second
1571949280,25345,26.822047,0.000000,0.000000,0.000000,events/second
1571949283,25362,26.754890,0.000000,0.000000,0.000000,events/second
1571949286,25363,26.671673,0.000000,0.000000,0.000000,events/second
1571949289,25363,26.587923,0.000000,0.000000,0.000000,events/second
1571949292,25363,26.504286,0.000000,0.000000,0.000000,events/second
