t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948341,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948344,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948347,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948350,20,1.339706,0.000000,0.000000,0.000000,events/second
1571948353,4521,252.105460,0.000000,0.000000,0.000000,events/second
1571948356,4521,215.769203,0.000000,0.000000,0.000000,events/second
1571948359,4521,188.799325,0.000000,0.000000,0.000000,events/second
1571948362,4521,167.838974,0.000000,0.000000,0.000000,events/second
1571948365,4521,150.962412,0.000000,0.000000,0.000000,events/second
1571948368,4521,137.269740,0.000000,0.000000,0.000000,events/second
1571948371,4521,125.800417,0.000000,0.000000,0.000000,events/second
1571948374,4521,116.136803,0.000000,0.000000,0.000000,events/second
1571948377,4521,107.821414,0.000000,0.000000,0.000000,events/second
1571948380,5146,114.538548,0.000000,0.000000,0.000000,events/second
1571948383,5170,107.841360,0.000000,0.000000,0.000000,events/second
1571948386,19567,384.127881,0.000000,0.000000,0.000000,events/second
1571948389,19567,362.837515,0.000000,0.000000,0.000000,events/second
1571948392,19567,343.676738,0.000000,0.000000,0.000000,events/second
1571948395,19567,326.452904,0.000000,0.000000,0.000000,events/second
1571948398,19567,310.909654,0.000000,0.000000,0.000000,events/second
1571948401,19649,298.011446,0.000000,0.000000,0.000000,events/second
1571948404,19649,285.006773,0.000000,0.000000,0.000000,events/second
1571948407,19649,273.150716,0.000000,0.000000,0.000000,events/second
1571948410,19649,262.193387,0.000000,0.000000,0.000000,events/second
1571948413,19649,252.119797,0.000000,0.000000,0.000000,events/second
1571948416,19649,242.794504,0.000000,0.000000,0.000000,events/second
1571948419,20818,248.042110,0.000000,0.000000,0.000000,events/second
1571948422,20861,239.958420,0.000000,0.000000,0.000000,events/second
1571948425,20898,232.369220,0.000000,0.000000,0.000000,events/second
1571948428,20911,224.991995,0.000000,0.000000,0.000000,events/second
1571948431,21377,222.788034,0.000000,0.000000,0.000000,events/second
1571948434,21377,216.062946,0.000000,0.000000,0.000000,events/second
1571948437,21377,209.727792,0.000000,0.000000,0.000000,events/second
1571948440,21377,203.716026,0.000000,0.000000,0.000000,events/second
1571948443,21395,198.213744,0.000000,0.000000,0.000000,events/second
1571948446,21395,192.867671,0.000000,0.000000,0.000000,events/second
1571948449,21395,187.779631,0.000000,0.000000,0.000000,events/second
1571948452,21395,182.966210,0.000000,0.000000,0.000000,events/second
1571948455,21395,178.399520,0.000000,0.000000,0.000000,events/second
1571948458,21395,174.029265,0.000000,0.000000,0.000000,events/second
1571948461,21415,170.058706,0.000000,0.000000,0.000000,events/second
1571948464,21415,166.083435,0.000000,0.000000,0.000000,events/second
1571948467,21415,162.318597,0.000000,0.000000,0.000000,events/second
1571948470,21415,158.697177,0.000000,0.000000,0.000000,events/second
1571948473,21415,155.233799,0.000000,0.000000,0.000000,events/second
1571948476,21415,151.943720,0.000000,0.000000,0.000000,events/second
1571948479,21415,148.777639,0.000000,0.000000,0.000000,events/second
1571948482,21607,147.057169,0.000000,0.000000,0.000000,events/second
1571948485,21610,144.129961,0.000000,0.000000,0.000000,events/second
1571948488,21727,142.057248,0.000000,0.000000,0.000000,events/second
1571948491,21745,139.453463,0.000000,0.000000,0.000000,events/second
1571948494,21745,136.816359,0.000000,0.000000,0.000000,events/second
1571948497,21745,134.278130,0.000000,0.000000,0.000000,events/second
1571948500,21745,131.837435,0.000000,0.000000,0.000000,events/second
1571948503,22002,131.020139,0.000000,0.000000,0.000000,events/second
1571948506,22002,128.715500,0.000000,0.000000,0.000000,events/second
1571948509,22002,126.498256,0.000000,0.000000,0.000000,events/second
1571948512,22002,124.344331,0.000000,0.000000,0.000000,events/second
1571948515,22002,122.275152,0.000000,0.000000,0.000000,events/second
1571948518,22002,120.267123,0.000000,0.000000,0.000000,events/second
1571948521,22019,118.427831,0.000000,0.000000,0.000000,events/second
1571948524,22047,116.691541,0.000000,0.000000,0.000000,events/second
1571948527,22084,115.065326,0.000000,0.000000,0.000000,events/second
1571948530,22084,113.292977,0.000000,0.000000,0.000000,events/second
1571948533,22084,111.576334,0.000000,0.000000,0.000000,events/second
1571948536,22084,109.902159,0.000000,0.000000,0.000000,events/second
1571948539,22084,108.289215,0.000000,0.000000,0.000000,events/second
1571948542,22150,107.034245,0.000000,0.000000,0.000000,events/second
1571948545,22150,105.506629,0.000000,0.000000,0.000000,events/second
1571948548,22150,104.023401,0.000000,0.000000,0.000000,events/second
1571948551,22150,102.573344,0.000000,0.000000,0.000000,events/second
1571948554,22150,101.170409,0.000000,0.000000,0.000000,events/second
1571948557,22174,99.907975,0.000000,0.000000,0.000000,events/second
1571948560,22187,98.641609,0.000000,0.000000,0.000000,events/second
1571948563,22230,97.530211,0.000000,0.000000,0.000000,events/second
1571948566,22230,96.261458,0.000000,0.000000,0.000000,events/second
1571948569,22230,95.026138,0.000000,0.000000,0.000000,events/second
1571948572,22233,93.839013,0.000000,0.000000,0.000000,events/second
1571948575,22356,93.176422,0.000000,0.000000,0.000000,events/second
1571948578,22462,92.458691,0.000000,0.000000,0.000000,events/second
1571948581,22733,92.438024,0.000000,0.000000,0.000000,events/second
1571948584,22735,91.327288,0.000000,0.000000,0.000000,events/second
1571948587,23048,91.485536,0.000000,0.000000,0.000000,events/second
1571948590,23156,90.833750,0.000000,0.000000,0.000000,events/second
1571948593,23156,89.776049,0.000000,0.000000,0.000000,events/second
1571948596,23156,88.743044,0.000000,0.000000,0.000000,events/second
1571948599,23156,87.730542,0.000000,0.000000,0.000000,events/second
1571948602,23322,87.369855,0.000000,0.000000,0.000000,events/second
1571948605,23362,86.549428,0.000000,0.000000,0.000000,events/second
1571948608,23362,85.590579,0.000000,0.000000,0.000000,events/second
1571948611,23518,85.232885,0.000000,0.000000,0.000000,events/second
1571948614,23519,84.316713,0.000000,0.000000,0.000000,events/second
1571948617,23519,83.417324,0.000000,0.000000,0.000000,events/second
1571948620,23519,82.540373,0.000000,0.000000,0.000000,events/second
1571948623,23644,82.118474,0.000000,0.000000,0.000000,events/second
1571948626,23648,81.283092,0.000000,0.000000,0.000000,events/second
1571948629,23648,80.451886,0.000000,0.000000,0.000000,events/second
1571948632,23648,79.640781,0.000000,0.000000,0.000000,events/second
1571948635,23648,78.841333,0.000000,0.000000,0.000000,events/second
1571948638,23648,78.063519,0.000000,0.000000,0.000000,events/second
1571948641,23670,77.371620,0.000000,0.000000,0.000000,events/second
1571948644,23676,76.639467,0.000000,0.000000,0.000000,events/second
1571948647,23697,75.966071,0.000000,0.000000,0.000000,events/second
1571948650,23709,75.282862,0.000000,0.000000,0.000000,events/second
1571948653,23749,74.696705,0.000000,0.000000,0.000000,events/second
1571948656,23763,74.045277,0.000000,0.000000,0.000000,events/second
1571948659,23763,73.358215,0.000000,0.000000,0.000000,events/second
1571948662,23784,72.747580,0.000000,0.000000,0.000000,events/second
1571948665,23784,72.087896,0.000000,0.000000,0.000000,events/second
1571948668,23784,71.435739,0.000000,0.000000,0.000000,events/second
1571948671,23784,70.799023,0.000000,0.000000,0.000000,events/second
1571948674,23784,70.171247,0.000000,0.000000,0.000000,events/second
1571948677,23784,69.554084,0.000000,0.000000,0.000000,events/second
1571948680,23793,68.978282,0.000000,0.000000,0.000000,events/second
1571948683,23874,68.614046,0.000000,0.000000,0.000000,events/second
1571948686,23905,68.118244,0.000000,0.000000,0.000000,events/second
1571948689,23949,67.666805,0.000000,0.000000,0.000000,events/second
1571948692,23951,67.103084,0.000000,0.000000,0.000000,events/second
1571948695,23952,66.546268,0.000000,0.000000,0.000000,events/second
1571948698,24015,66.167866,0.000000,0.000000,0.000000,events/second
1571948701,24165,66.037459,0.000000,0.000000,0.000000,events/second
1571948704,24167,65.504434,0.000000,0.000000,0.000000,events/second
1571948707,24167,64.976830,0.000000,0.000000,0.000000,events/second
1571948710,24167,64.455584,0.000000,0.000000,0.000000,events/second
1571948713,24193,64.013716,0.000000,0.000000,0.000000,events/second
1571948716,24193,63.509238,0.000000,0.000000,0.000000,events/second
1571948719,24193,63.012884,0.000000,0.000000,0.000000,events/second
1571948722,24208,62.562651,0.000000,0.000000,0.000000,events/second
1571948725,24208,62.082059,0.000000,0.000000,0.000000,events/second
1571948728,24208,61.607371,0.000000,0.000000,0.000000,events/second
1571948731,24208,61.139285,0.000000,0.000000,0.000000,events/second
1571948734,24208,60.678490,0.000000,0.000000,0.000000,events/second
1571948737,24208,60.227582,0.000000,0.000000,0.000000,events/second
1571948740,24208,59.783680,0.000000,0.000000,0.000000,events/second
1571948743,24265,59.481828,0.000000,0.000000,0.000000,events/second
1571948746,24265,59.048217,0.000000,0.000000,0.000000,events/second
1571948749,24265,58.618943,0.000000,0.000000,0.000000,events/second
1571948752,24265,58.199784,0.000000,0.000000,0.000000,events/second
1571948755,24265,57.782211,0.000000,0.000000,0.000000,events/second
1571948758,24275,57.397743,0.000000,0.000000,0.000000,events/second
1571948761,24450,57.404268,0.000000,0.000000,0.000000,events/second
1571948764,24452,57.006752,0.000000,0.000000,0.000000,events/second
1571948767,24452,56.611583,0.000000,0.000000,0.000000,events/second
1571948770,24452,56.219121,0.000000,0.000000,0.000000,events/second
1571948773,24452,55.834925,0.000000,0.000000,0.000000,events/second
1571948776,24452,55.454369,0.000000,0.000000,0.000000,events/second
1571948779,24452,55.080276,0.000000,0.000000,0.000000,events/second
1571948782,24486,54.785775,0.000000,0.000000,0.000000,events/second
1571948785,24486,54.420862,0.000000,0.000000,0.000000,events/second
1571948788,24486,54.061018,0.000000,0.000000,0.000000,events/second
1571948791,24486,53.704204,0.000000,0.000000,0.000000,events/second
1571948794,24486,53.353749,0.000000,0.000000,0.000000,events/second
1571948797,24486,53.007839,0.000000,0.000000,0.000000,events/second
1571948800,24486,52.664548,0.000000,0.000000,0.000000,events/second
1571948803,24520,52.398822,0.000000,0.000000,0.000000,events/second
1571948806,24520,52.066264,0.000000,0.000000,0.000000,events/second
1571948809,24520,51.737057,0.000000,0.000000,0.000000,events/second
1571948812,24523,51.418903,0.000000,0.000000,0.000000,events/second
1571948815,24540,51.131771,0.000000,0.000000,0.000000,events/second
1571948818,24540,50.813673,0.000000,0.000000,0.000000,events/second
1571948821,24570,50.563061,0.000000,0.000000,0.000000,events/second
1571948824,24572,50.255403,0.000000,0.000000,0.000000,events/second
1571948827,24572,49.948975,0.000000,0.000000,0.000000,events/second
1571948830,24572,49.647518,0.000000,0.000000,0.000000,events/second
1571948833,24572,49.347337,0.000000,0.000000,0.000000,events/second
1571948836,24572,49.052870,0.000000,0.000000,0.000000,events/second
1571948839,24572,48.759866,0.000000,0.000000,0.000000,events/second
1571948842,24620,48.567295,0.000000,0.000000,0.000000,events/second
1571948845,24620,48.280878,0.000000,0.000000,0.000000,events/second
1571948848,24620,47.997176,0.000000,0.000000,0.000000,events/second
1571948851,24620,47.719410,0.000000,0.000000,0.000000,events/second
1571948854,24620,47.442500,0.000000,0.000000,0.000000,events/second
1571948857,24620,47.170191,0.000000,0.000000,0.000000,events/second
1571948860,24620,46.901514,0.000000,0.000000,0.000000,events/second
1571948863,24654,46.698849,0.000000,0.000000,0.000000,events/second
1571948866,24654,46.435286,0.000000,0.000000,0.000000,events/second
1571948869,24654,46.173424,0.000000,0.000000,0.000000,events/second
1571948872,24654,45.915834,0.000000,0.000000,0.000000,events/second
1571948875,24654,45.661113,0.000000,0.000000,0.000000,events/second
1571948878,24654,45.408003,0.000000,0.000000,0.000000,events/second
1571948881,24654,45.158793,0.000000,0.000000,0.000000,events/second
1571948884,24702,44.999160,0.000000,0.000000,0.000000,events/second
1571948887,24702,44.755308,0.000000,0.000000,0.000000,events/second
1571948890,24702,44.513807,0.000000,0.000000,0.000000,events/second
1571948893,24702,44.273614,0.000000,0.000000,0.000000,events/second
1571948896,24702,44.037200,0.000000,0.000000,0.000000,events/second
1571948899,24702,43.803306,0.000000,0.000000,0.000000,events/second
1571948902,24736,43.631821,0.000000,0.000000,0.000000,events/second
1571948905,24736,43.401622,0.000000,0.000000,0.000000,events/second
1571948908,24736,43.173590,0.000000,0.000000,0.000000,events/second
1571948911,24736,42.948947,0.000000,0.000000,0.000000,events/second
1571948914,24736,42.725802,0.000000,0.000000,0.000000,events/second
1571948917,24736,42.506381,0.000000,0.000000,0.000000,events/second
1571948920,24736,42.288307,0.000000,0.000000,0.000000,events/second
1571948923,24785,42.155606,0.000000,0.000000,0.000000,events/second
1571948926,24785,41.942176,0.000000,0.000000,0.000000,events/second
1571948929,24785,41.729523,0.000000,0.000000,0.000000,events/second
1571948932,24785,41.520134,0.000000,0.000000,0.000000,events/second
1571948935,24785,41.312887,0.000000,0.000000,0.000000,events/second
1571948938,24785,41.107315,0.000000,0.000000,0.000000,events/second
1571948941,24785,40.903422,0.000000,0.000000,0.000000,events/second
1571948944,24788,40.706500,0.000000,0.000000,0.000000,events/second
1571948947,24788,40.507801,0.000000,0.000000,0.000000,events/second
1571948950,24788,40.309498,0.000000,0.000000,0.000000,events/second
1571948953,24788,40.114151,0.000000,0.000000,0.000000,events/second
1571948956,24788,39.920931,0.000000,0.000000,0.000000,events/second
1571948959,24788,39.728460,0.000000,0.000000,0.000000,events/second
1571948962,24841,39.623509,0.000000,0.000000,0.000000,events/second
1571948965,24841,39.434185,0.000000,0.000000,0.000000,events/second
1571948968,24860,39.276782,0.000000,0.000000,0.000000,events/second
1571948971,24874,39.114431,0.000000,0.000000,0.000000,events/second
1571948974,24882,38.943372,0.000000,0.000000,0.000000,events/second
1571948977,24895,38.781481,0.000000,0.000000,0.000000,events/second
1571948980,24947,38.680900,0.000000,0.000000,0.000000,events/second
1571948983,25000,38.583626,0.000000,0.000000,0.000000,events/second
1571948986,25059,38.496867,0.000000,0.000000,0.000000,events/second
1571948989,25613,39.167982,0.000000,0.000000,0.000000,events/second
1571948992,25617,38.994790,0.000000,0.000000,0.000000,events/second
1571948995,25621,38.823775,0.000000,0.000000,0.000000,events/second
1571948998,25635,38.669454,0.000000,0.000000,0.000000,events/second
1571949001,25915,38.914371,0.000000,0.000000,0.000000,events/second
1571949004,25978,38.834352,0.000000,0.000000,0.000000,events/second
1571949007,26005,38.702188,0.000000,0.000000,0.000000,events/second
1571949010,26019,38.550821,0.000000,0.000000,0.000000,events/second
1571949013,26276,38.759127,0.000000,0.000000,0.000000,events/second
1571949016,26281,38.595513,0.000000,0.000000,0.000000,events/second
1571949019,26295,38.447048,0.000000,0.000000,0.000000,events/second
1571949022,26333,38.334547,0.000000,0.000000,0.000000,events/second
1571949025,26368,38.218175,0.000000,0.000000,0.000000,events/second
1571949028,26386,38.079089,0.000000,0.000000,0.000000,events/second
1571949031,26386,37.914579,0.000000,0.000000,0.000000,events/second
1571949034,26386,37.751430,0.000000,0.000000,0.000000,events/second
1571949037,26387,37.592123,0.000000,0.000000,0.000000,events/second
1571949040,26512,37.609656,0.000000,0.000000,0.000000,events/second
1571949043,26516,37.455261,0.000000,0.000000,0.000000,events/second
1571949046,26516,37.297373,0.000000,0.000000,0.000000,events/second
1571949049,26516,37.140387,0.000000,0.000000,0.000000,events/second
1571949052,26516,36.985403,0.000000,0.000000,0.000000,events/second
1571949055,26516,36.831127,0.000000,0.000000,0.000000,events/second
1571949058,26516,36.678262,0.000000,0.000000,0.000000,events/second
1571949061,26516,36.527158,0.000000,0.000000,0.000000,events/second
1571949064,26539,36.407690,0.000000,0.000000,0.000000,events/second
1571949067,26539,36.258972,0.000000,0.000000,0.000000,events/second
1571949070,26539,36.110454,0.000000,0.000000,0.000000,events/second
1571949073,26539,35.964294,0.000000,0.000000,0.000000,events/second
1571949076,26539,35.818315,0.000000,0.000000,0.000000,events/second
1571949079,26539,35.674082,0.000000,0.000000,0.000000,events/second
1571949082,26542,35.535027,0.000000,0.000000,0.000000,events/second
1571949085,26542,35.392639,0.000000,0.000000,0.000000,events/second
1571949088,26542,35.251324,0.000000,0.000000,0.000000,events/second
1571949091,26544,35.114549,0.000000,0.000000,0.000000,events/second
1571949094,26567,35.006085,0.000000,0.000000,0.000000,events/second
1571949097,26567,34.868123,0.000000,0.000000,0.000000,events/second
1571949100,26572,34.738046,0.000000,0.000000,0.000000,events/second
1571949103,26590,34.625629,0.000000,0.000000,0.000000,events/second
1571949106,26590,34.490824,0.000000,0.000000,0.000000,events/second
1571949109,26617,34.391545,0.000000,0.000000,0.000000,events/second
1571949112,26617,34.259366,0.000000,0.000000,0.000000,events/second
1571949115,26617,34.127537,0.000000,0.000000,0.000000,events/second
1571949118,26617,33.996006,0.000000,0.000000,0.000000,events/second
1571949121,26617,33.867013,0.000000,0.000000,0.000000,events/second
1571949124,26628,33.751716,0.000000,0.000000,0.000000,events/second
1571949127,26628,33.624121,0.000000,0.000000,0.000000,events/second
1571949130,26628,33.496959,0.000000,0.000000,0.000000,events/second
1571949133,26628,33.371093,0.000000,0.000000,0.000000,events/second
1571949136,26628,33.245830,0.000000,0.000000,0.000000,events/second
1571949139,26628,33.122338,0.000000,0.000000,0.000000,events/second
1571949142,26645,33.020416,0.000000,0.000000,0.000000,events/second
1571949145,26670,32.928881,0.000000,0.000000,0.000000,events/second
1571949148,26686,32.827077,0.000000,0.000000,0.000000,events/second
1571949151,26687,32.707221,0.000000,0.000000,0.000000,events/second
1571949154,26687,32.587639,0.000000,0.000000,0.000000,events/second
1571949157,26687,32.468363,0.000000,0.000000,0.000000,events/second
1571949160,26687,32.350764,0.000000,0.000000,0.000000,events/second
1571949163,26717,32.269758,0.000000,0.000000,0.000000,events/second
1571949166,26726,32.163752,0.000000,0.000000,0.000000,events/second
1571949169,26754,32.081335,0.000000,0.000000,0.000000,events/second
1571949172,26754,31.966599,0.000000,0.000000,0.000000,events/second
1571949175,26754,31.852135,0.000000,0.000000,0.000000,events/second
1571949178,26754,31.739349,0.000000,0.000000,0.000000,events/second
1571949181,26754,31.626183,0.000000,0.000000,0.000000,events/second
1571949184,26780,31.545614,0.000000,0.000000,0.000000,events/second
1571949187,26780,31.434103,0.000000,0.000000,0.000000,events/second
1571949190,26780,31.324079,0.000000,0.000000,0.000000,events/second
1571949193,26780,31.214698,0.000000,0.000000,0.000000,events/second
1571949196,26780,31.105523,0.000000,0.000000,0.000000,events/second
1571949199,26780,30.997679,0.000000,0.000000,0.000000,events/second
1571949202,26796,30.909194,0.000000,0.000000,0.000000,events/second
1571949205,26814,30.823012,0.000000,0.000000,0.000000,events/second
1571949208,26814,30.717208,0.000000,0.000000,0.000000,events/second
1571949211,26814,30.611591,0.000000,0.000000,0.000000,events/second
1571949214,26814,30.507524,0.000000,0.000000,0.000000,events/second
1571949217,26814,30.403467,0.000000,0.000000,0.000000,events/second
1571949220,26814,30.300563,0.000000,0.000000,0.000000,events/second
1571949223,26834,30.221015,0.000000,0.000000,0.000000,events/second
1571949226,26836,30.121150,0.000000,0.000000,0.000000,events/second
1571949229,26836,30.020181,0.000000,0.000000,0.000000,events/second
1571949232,26836,29.919478,0.000000,0.000000,0.000000,events/second
1571949235,26836,29.819878,0.000000,0.000000,0.000000,events/second
1571949238,26836,29.721035,0.000000,0.000000,0.000000,events/second
1571949241,26836,29.622168,0.000000,0.000000,0.000000,events/second
1571949244,26870,29.561633,0.000000,0.000000,0.000000,events/second
1571949247,26870,29.464726,0.000000,0.000000,0.000000,events/second
1571949250,26870,29.368301,0.000000,0.000000,0.000000,events/second
1571949253,26870,29.271994,0.000000,0.000000,0.000000,events/second
1571949256,26870,29.176780,0.000000,0.000000,0.000000,events/second
1571949259,26870,29.082192,0.000000,0.000000,0.000000,events/second
1571949262,26885,29.004459,0.000000,0.000000,0.000000,events/second
1571949265,26902,28.928961,0.000000,0.000000,0.000000,events/second
1571949268,26902,28.836065,0.000000,0.000000,0.000000,events/second
1571949271,26902,28.743294,0.000000,0.000000,0.000000,events/second
1571949274,26902,28.651172,0.000000,0.000000,0.000000,events/second
1571949277,26902,28.560267,0.000000,0.000000,0.000000,events/second
1571949280,26902,28.469767,0.000000,0.000000,0.000000,events/second
1571949283,26919,28.397386,0.000000,0.000000,0.000000,events/second
1571949286,26920,28.308993,0.000000,0.000000,0.000000,events/second
1571949289,26920,28.220102,0.000000,0.000000,0.000000,events/second
1571949292,26920,28.131330,0.000000,0.000000,0.000000,events/second
