t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948341,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948344,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948347,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948350,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948353,2,0.111493,0.000000,0.000000,0.000000,events/second
1571948356,2,0.095424,0.000000,0.000000,0.000000,events/second
1571948359,2,0.083502,0.000000,0.000000,0.000000,events/second
1571948362,2,0.074233,0.000000,0.000000,0.000000,events/second
1571948365,2,0.066769,0.000000,0.000000,0.000000,events/second
1571948368,2,0.060715,0.000000,0.000000,0.000000,events/second
1571948371,2,0.055643,0.000000,0.000000,0.000000,events/second
1571948374,2,0.051369,0.000000,0.000000,0.000000,events/second
1571948377,2,0.047692,0.000000,0.000000,0.000000,events/second
1571948380,3,0.066765,0.000000,0.000000,0.000000,events/second
1571948383,4,0.083427,0.000000,0.000000,0.000000,events/second
1571948386,4,0.078517,0.000000,0.000000,0.000000,events/second
1571948389,4,0.074166,0.000000,0.000000,0.000000,events/second
1571948392,4,0.070250,0.000000,0.000000,0.000000,events/second
1571948395,4,0.066729,0.000000,0.000000,0.000000,events/second
1571948398,4,0.063552,0.000000,0.000000,0.000000,events/second
1571948401,4,0.060662,0.000000,0.000000,0.000000,events/second
1571948404,4,0.058015,0.000000,0.000000,0.000000,events/second
1571948407,4,0.055602,0.000000,0.000000,0.000000,events/second
1571948410,4,0.053371,0.000000,0.000000,0.000000,events/second
1571948413,4,0.051321,0.000000,0.000000,0.000000,events/second
1571948416,4,0.049423,0.000000,0.000000,0.000000,events/second
1571948419,4,0.047656,0.000000,0.000000,0.000000,events/second
1571948422,4,0.046008,0.000000,0.000000,0.000000,events/second
1571948425,4,0.044474,0.000000,0.000000,0.000000,events/second
1571948428,4,0.043035,0.000000,0.000000,0.000000,events/second
1571948431,4,0.041685,0.000000,0.000000,0.000000,events/second
1571948434,4,0.040427,0.000000,0.000000,0.000000,events/second
1571948437,4,0.039242,0.000000,0.000000,0.000000,events/second
1571948440,4,0.038117,0.000000,0.000000,0.000000,events/second
1571948443,4,0.037056,0.000000,0.000000,0.000000,events/second
1571948446,4,0.036057,0.000000,0.000000,0.000000,events/second
1571948449,4,0.035106,0.000000,0.000000,0.000000,events/second
1571948452,4,0.034206,0.000000,0.000000,0.000000,events/second
1571948455,4,0.033352,0.000000,0.000000,0.000000,events/second
1571948458,4,0.032535,0.000000,0.000000,0.000000,events/second
1571948461,4,0.031763,0.000000,0.000000,0.000000,events/second
1571948464,4,0.031021,0.000000,0.000000,0.000000,events/second
1571948467,4,0.030317,0.000000,0.000000,0.000000,events/second
1571948470,4,0.029641,0.000000,0.000000,0.000000,events/second
1571948473,4,0.028994,0.000000,0.000000,0.000000,events/second
1571948476,4,0.028380,0.000000,0.000000,0.000000,events/second
1571948479,4,0.027788,0.000000,0.000000,0.000000,events/second
1571948482,4,0.027223,0.000000,0.000000,0.000000,events/second
1571948485,4,0.026677,0.000000,0.000000,0.000000,events/second
1571948488,4,0.026152,0.000000,0.000000,0.000000,events/second
1571948491,4,0.025652,0.000000,0.000000,0.000000,events/second
1571948494,4,0.025167,0.000000,0.000000,0.000000,events/second
1571948497,4,0.024700,0.000000,0.000000,0.000000,events/second
1571948500,4,0.024251,0.000000,0.000000,0.000000,events/second
1571948503,4,0.023819,0.000000,0.000000,0.000000,events/second
1571948506,4,0.023400,0.000000,0.000000,0.000000,events/second
1571948509,4,0.022997,0.000000,0.000000,0.000000,events/second
1571948512,4,0.022605,0.000000,0.000000,0.000000,events/second
1571948515,4,0.022229,0.000000,0.000000,0.000000,events/second
1571948518,4,0.021864,0.000000,0.000000,0.000000,events/second
1571948521,4,0.021513,0.000000,0.000000,0.000000,events/second
1571948524,4,0.021171,0.000000,0.000000,0.000000,events/second
1571948527,4,0.020841,0.000000,0.000000,0.000000,events/second
1571948530,4,0.020520,0.000000,0.000000,0.000000,events/second
1571948533,4,0.020209,0.000000,0.000000,0.000000,events/second
1571948536,4,0.019906,0.000000,0.000000,0.000000,events/second
1571948539,4,0.019614,0.000000,0.000000,0.000000,events/second
1571948542,4,0.019328,0.000000,0.000000,0.000000,events/second
1571948545,4,0.019053,0.000000,0.000000,0.000000,events/second
1571948548,4,0.018785,0.000000,0.000000,0.000000,events/second
1571948551,4,0.018523,0.000000,0.000000,0.000000,events/second
1571948554,4,0.018270,0.000000,0.000000,0.000000,events/second
1571948557,4,0.018022,0.000000,0.000000,0.000000,events/second
1571948560,4,0.017783,0.000000,0.000000,0.000000,events/second
1571948563,4,0.017549,0.000000,0.000000,0.000000,events/second
1571948566,4,0.017321,0.000000,0.000000,0.000000,events/second
1571948569,4,0.017098,0.000000,0.000000,0.000000,events/second
1571948572,4,0.016882,0.000000,0.000000,0.000000,events/second
1571948575,4,0.016671,0.000000,0.000000,0.000000,events/second
1571948578,4,0.016465,0.000000,0.000000,0.000000,events/second
1571948581,4,0.016265,0.000000,0.000000,0.000000,events/second
1571948584,4,0.016068,0.000000,0.000000,0.000000,events/second
1571948587,4,0.015877,0.000000,0.000000,0.000000,events/second
1571948590,4,0.015690,0.000000,0.000000,0.000000,events/second
1571948593,4,0.015508,0.000000,0.000000,0.000000,events/second
1571948596,4,0.015329,0.000000,0.000000,0.000000,events/second
1571948599,4,0.015154,0.000000,0.000000,0.000000,events/second
1571948602,4,0.014985,0.000000,0.000000,0.000000,events/second
1571948605,4,0.014819,0.000000,0.000000,0.000000,events/second
1571948608,4,0.014654,0.000000,0.000000,0.000000,events/second
1571948611,4,0.014496,0.000000,0.000000,0.000000,events/second
1571948614,4,0.014340,0.000000,0.000000,0.000000,events/second
1571948617,4,0.014187,0.000000,0.000000,0.000000,events/second
1571948620,4,0.014038,0.000000,0.000000,0.000000,events/second
1571948623,4,0.013892,0.000000,0.000000,0.000000,events/second
1571948626,4,0.013749,0.000000,0.000000,0.000000,events/second
1571948629,4,0.013608,0.000000,0.000000,0.000000,events/second
1571948632,4,0.013471,0.000000,0.000000,0.000000,events/second
1571948635,4,0.013336,0.000000,0.000000,0.000000,events/second
1571948638,4,0.013204,0.000000,0.000000,0.000000,events/second
1571948641,4,0.013075,0.000000,0.000000,0.000000,events/second
1571948644,4,0.012948,0.000000,0.000000,0.000000,events/second
1571948647,4,0.012823,0.000000,0.000000,0.000000,events/second
1571948650,4,0.012701,0.000000,0.000000,0.000000,events/second
1571948653,4,0.012581,0.000000,0.000000,0.000000,events/second
1571948656,4,0.012464,0.000000,0.000000,0.000000,events/second
1571948659,4,0.012348,0.000000,0.000000,0.000000,events/second
1571948662,4,0.012235,0.000000,0.000000,0.000000,events/second
1571948665,4,0.012124,0.000000,0.000000,0.000000,events/second
1571948668,4,0.012014,0.000000,0.000000,0.000000,events/second
1571948671,4,0.011907,0.000000,0.000000,0.000000,events/second
1571948674,4,0.011801,0.000000,0.000000,0.000000,events/second
1571948677,4,0.011697,0.000000,0.000000,0.000000,events/second
1571948680,4,0.011596,0.000000,0.000000,0.000000,events/second
1571948683,4,0.011496,0.000000,0.000000,0.000000,events/second
1571948686,4,0.011398,0.000000,0.000000,0.000000,events/second
1571948689,4,0.011302,0.000000,0.000000,0.000000,events/second
1571948692,4,0.011207,0.000000,0.000000,0.000000,events/second
1571948695,4,0.011113,0.000000,0.000000,0.000000,events/second
1571948698,4,0.011021,0.000000,0.000000,0.000000,events/second
1571948701,4,0.010931,0.000000,0.000000,0.000000,events/second
1571948704,4,0.010842,0.000000,0.000000,0.000000,events/second
1571948707,4,0.010754,0.000000,0.000000,0.000000,events/second
1571948710,4,0.010668,0.000000,0.000000,0.000000,events/second
1571948713,4,0.010584,0.000000,0.000000,0.000000,events/second
1571948716,4,0.010500,0.000000,0.000000,0.000000,events/second
1571948719,4,0.010418,0.000000,0.000000,0.000000,events/second
1571948722,4,0.010337,0.000000,0.000000,0.000000,events/second
1571948725,4,0.010258,0.000000,0.000000,0.000000,events/second
1571948728,4,0.010180,0.000000,0.000000,0.000000,events/second
1571948731,4,0.010102,0.000000,0.000000,0.000000,events/second
1571948734,4,0.010026,0.000000,0.000000,0.000000,events/second
1571948737,4,0.009952,0.000000,0.000000,0.000000,events/second
1571948740,4,0.009878,0.000000,0.000000,0.000000,events/second
1571948743,4,0.009805,0.000000,0.000000,0.000000,events/second
1571948746,4,0.009734,0.000000,0.000000,0.000000,events/second
1571948749,4,0.009663,0.000000,0.000000,0.000000,events/second
1571948752,4,0.009594,0.000000,0.000000,0.000000,events/second
1571948755,4,0.009525,0.000000,0.000000,0.000000,events/second
1571948758,4,0.009458,0.000000,0.000000,0.000000,events/second
1571948761,4,0.009391,0.000000,0.000000,0.000000,events/second
1571948764,4,0.009325,0.000000,0.000000,0.000000,events/second
1571948767,4,0.009261,0.000000,0.000000,0.000000,events/second
1571948770,4,0.009197,0.000000,0.000000,0.000000,events/second
1571948773,4,0.009134,0.000000,0.000000,0.000000,events/second
1571948776,4,0.009071,0.000000,0.000000,0.000000,events/second
1571948779,4,0.009010,0.000000,0.000000,0.000000,events/second
1571948782,4,0.008950,0.000000,0.000000,0.000000,events/second
1571948785,4,0.008890,0.000000,0.000000,0.000000,events/second
1571948788,4,0.008831,0.000000,0.000000,0.000000,events/second
1571948791,4,0.008773,0.000000,0.000000,0.000000,events/second
1571948794,4,0.008716,0.000000,0.000000,0.000000,events/second
1571948797,4,0.008659,0.000000,0.000000,0.000000,events/second
1571948800,4,0.008603,0.000000,0.000000,0.000000,events/second
1571948803,4,0.008548,0.000000,0.000000,0.000000,events/second
1571948806,4,0.008494,0.000000,0.000000,0.000000,events/second
1571948809,4,0.008440,0.000000,0.000000,0.000000,events/second
1571948812,4,0.008387,0.000000,0.000000,0.000000,events/second
1571948815,4,0.008334,0.000000,0.000000,0.000000,events/second
1571948818,4,0.008282,0.000000,0.000000,0.000000,events/second
1571948821,4,0.008232,0.000000,0.000000,0.000000,events/second
1571948824,4,0.008181,0.000000,0.000000,0.000000,events/second
1571948827,4,0.008131,0.000000,0.000000,0.000000,events/second
1571948830,4,0.008082,0.000000,0.000000,0.000000,events/second
1571948833,4,0.008033,0.000000,0.000000,0.000000,events/second
1571948836,4,0.007985,0.000000,0.000000,0.000000,events/second
1571948839,4,0.007937,0.000000,0.000000,0.000000,events/second
1571948842,4,0.007891,0.000000,0.000000,0.000000,events/second
1571948845,4,0.007844,0.000000,0.000000,0.000000,events/second
1571948848,4,0.007798,0.000000,0.000000,0.000000,events/second
1571948851,4,0.007753,0.000000,0.000000,0.000000,events/second
1571948854,4,0.007708,0.000000,0.000000,0.000000,events/second
1571948857,4,0.007664,0.000000,0.000000,0.000000,events/second
1571948860,4,0.007620,0.000000,0.000000,0.000000,events/second
1571948863,4,0.007577,0.000000,0.000000,0.000000,events/second
1571948866,4,0.007534,0.000000,0.000000,0.000000,events/second
1571948869,4,0.007491,0.000000,0.000000,0.000000,events/second
1571948872,4,0.007450,0.000000,0.000000,0.000000,events/second
1571948875,4,0.007408,0.000000,0.000000,0.000000,events/second
1571948878,4,0.007367,0.000000,0.000000,0.000000,events/second
1571948881,4,0.007327,0.000000,0.000000,0.000000,events/second
1571948884,4,0.007287,0.000000,0.000000,0.000000,events/second
1571948887,4,0.007247,0.000000,0.000000,0.000000,events/second
1571948890,4,0.007208,0.000000,0.000000,0.000000,events/second
1571948893,4,0.007169,0.000000,0.000000,0.000000,events/second
1571948896,4,0.007131,0.000000,0.000000,0.000000,events/second
1571948899,4,0.007093,0.000000,0.000000,0.000000,events/second
1571948902,4,0.007056,0.000000,0.000000,0.000000,events/second
1571948905,4,0.007018,0.000000,0.000000,0.000000,events/second
1571948908,4,0.006981,0.000000,0.000000,0.000000,events/second
1571948911,4,0.006945,0.000000,0.000000,0.000000,events/second
1571948914,4,0.006909,0.000000,0.000000,0.000000,events/second
1571948917,4,0.006874,0.000000,0.000000,0.000000,events/second
1571948920,4,0.006838,0.000000,0.000000,0.000000,events/second
1571948923,4,0.006803,0.000000,0.000000,0.000000,events/second
1571948926,4,0.006769,0.000000,0.000000,0.000000,events/second
1571948929,4,0.006735,0.000000,0.000000,0.000000,events/second
1571948932,4,0.006701,0.000000,0.000000,0.000000,events/second
1571948935,4,0.006667,0.000000,0.000000,0.000000,events/second
1571948938,4,0.006634,0.000000,0.000000,0.000000,events/second
1571948941,4,0.006601,0.000000,0.000000,0.000000,events/second
1571948944,4,0.006569,0.000000,0.000000,0.000000,events/second
1571948947,4,0.006537,0.000000,0.000000,0.000000,events/second
1571948950,4,0.006505,0.000000,0.000000,0.000000,events/second
1571948953,4,0.006473,0.000000,0.000000,0.000000,events/second
1571948956,4,0.006442,0.000000,0.000000,0.000000,events/second
1571948959,4,0.006411,0.000000,0.000000,0.000000,events/second
1571948962,4,0.006380,0.000000,0.000000,0.000000,events/second
1571948965,4,0.006350,0.000000,0.000000,0.000000,events/second
1571948968,4,0.006320,0.000000,0.000000,0.000000,events/second
1571948971,4,0.006290,0.000000,0.000000,0.000000,events/second
1571948974,4,0.006260,0.000000,0.000000,0.000000,events/second
1571948977,4,0.006231,0.000000,0.000000,0.000000,events/second
1571948980,4,0.006202,0.000000,0.000000,0.000000,events/second
1571948983,4,0.006173,0.000000,0.000000,0.000000,events/second
1571948986,4,0.006145,0.000000,0.000000,0.000000,events/second
1571948989,4,0.006117,0.000000,0.000000,0.000000,events/second
1571948992,4,0.006089,0.000000,0.000000,0.000000,events/second
1571948995,4,0.006061,0.000000,0.000000,0.000000,events/second
1571948998,4,0.006034,0.000000,0.000000,0.000000,events/second
1571949001,4,0.006006,0.000000,0.000000,0.000000,events/second
1571949004,4,0.005980,0.000000,0.000000,0.000000,events/second
1571949007,4,0.005953,0.000000,0.000000,0.000000,events/second
1571949010,4,0.005927,0.000000,0.000000,0.000000,events/second
1571949013,4,0.005900,0.000000,0.000000,0.000000,events/second
1571949016,4,0.005874,0.000000,0.000000,0.000000,events/second
1571949019,4,0.005849,0.000000,0.000000,0.000000,events/second
1571949022,4,0.005823,0.000000,0.000000,0.000000,events/second
1571949025,4,0.005798,0.000000,0.000000,0.000000,events/second
1571949028,4,0.005773,0.000000,0.000000,0.000000,events/second
1571949031,4,0.005748,0.000000,0.000000,0.000000,events/second
1571949034,4,0.005723,0.000000,0.000000,0.000000,events/second
1571949037,4,0.005699,0.000000,0.000000,0.000000,events/second
1571949040,4,0.005674,0.000000,0.000000,0.000000,events/second
1571949043,4,0.005650,0.000000,0.000000,0.000000,events/second
1571949046,4,0.005626,0.000000,0.000000,0.000000,events/second
1571949049,4,0.005603,0.000000,0.000000,0.000000,events/second
1571949052,4,0.005579,0.000000,0.000000,0.000000,events/second
1571949055,4,0.005556,0.000000,0.000000,0.000000,events/second
1571949058,4,0.005533,0.000000,0.000000,0.000000,events/second
1571949061,4,0.005510,0.000000,0.000000,0.000000,events/second
1571949064,4,0.005487,0.000000,0.000000,0.000000,events/second
1571949067,4,0.005465,0.000000,0.000000,0.000000,events/second
1571949070,4,0.005443,0.000000,0.000000,0.000000,events/second
1571949073,4,0.005421,0.000000,0.000000,0.000000,events/second
1571949076,4,0.005399,0.000000,0.000000,0.000000,events/second
1571949079,4,0.005377,0.000000,0.000000,0.000000,events/second
1571949082,4,0.005355,0.000000,0.000000,0.000000,events/second
1571949085,4,0.005334,0.000000,0.000000,0.000000,events/second
1571949088,4,0.005312,0.000000,0.000000,0.000000,events/second
1571949091,4,0.005291,0.000000,0.000000,0.000000,events/second
1571949094,4,0.005271,0.000000,0.000000,0.000000,events/second
1571949097,4,0.005250,0.000000,0.000000,0.000000,events/second
1571949100,4,0.005229,0.000000,0.000000,0.000000,events/second
1571949103,4,0.005209,0.000000,0.000000,0.000000,events/second
1571949106,4,0.005189,0.000000,0.000000,0.000000,events/second
1571949109,4,0.005168,0.000000,0.000000,0.000000,events/second
1571949112,4,0.005148,0.000000,0.000000,0.000000,events/second
1571949115,4,0.005129,0.000000,0.000000,0.000000,events/second
1571949118,4,0.005109,0.000000,0.000000,0.000000,events/second
1571949121,4,0.005089,0.000000,0.000000,0.000000,events/second
1571949124,4,0.005070,0.000000,0.000000,0.000000,events/second
1571949127,4,0.005051,0.000000,0.000000,0.000000,events/second
1571949130,4,0.005032,0.000000,0.000000,0.000000,events/second
1571949133,4,0.005013,0.000000,0.000000,0.000000,events/second
1571949136,4,0.004994,0.000000,0.000000,0.000000,events/second
1571949139,4,0.004976,0.000000,0.000000,0.000000,events/second
1571949142,4,0.004957,0.000000,0.000000,0.000000,events/second
1571949145,4,0.004939,0.000000,0.000000,0.000000,events/second
1571949148,4,0.004920,0.000000,0.000000,0.000000,events/second
1571949151,4,0.004902,0.000000,0.000000,0.000000,events/second
1571949154,4,0.004884,0.000000,0.000000,0.000000,events/second
1571949157,4,0.004867,0.000000,0.000000,0.000000,events/second
1571949160,4,0.004849,0.000000,0.000000,0.000000,events/second
1571949163,4,0.004831,0.000000,0.000000,0.000000,events/second
1571949166,4,0.004814,0.000000,0.000000,0.000000,events/second
1571949169,4,0.004796,0.000000,0.000000,0.000000,events/second
1571949172,4,0.004779,0.000000,0.000000,0.000000,events/second
1571949175,4,0.004762,0.000000,0.000000,0.000000,events/second
1571949178,4,0.004745,0.000000,0.000000,0.000000,events/second
1571949181,4,0.004728,0.000000,0.000000,0.000000,events/second
1571949184,4,0.004712,0.000000,0.000000,0.000000,events/second
1571949187,4,0.004695,0.000000,0.000000,0.000000,events/second
1571949190,4,0.004679,0.000000,0.000000,0.000000,events/second
1571949193,4,0.004662,0.000000,0.000000,0.000000,events/second
1571949196,4,0.004646,0.000000,0.000000,0.000000,events/second
1571949199,4,0.004630,0.000000,0.000000,0.000000,events/second
1571949202,4,0.004614,0.000000,0.000000,0.000000,events/second
1571949205,4,0.004598,0.000000,0.000000,0.000000,events/second
1571949208,4,0.004582,0.000000,0.000000,0.000000,events/second
1571949211,4,0.004566,0.000000,0.000000,0.000000,events/second
1571949214,4,0.004551,0.000000,0.000000,0.000000,events/second
1571949217,4,0.004535,0.000000,0.000000,0.000000,events/second
1571949220,4,0.004520,0.000000,0.000000,0.000000,events/second
1571949223,4,0.004505,0.000000,0.000000,0.000000,events/second
1571949226,4,0.004490,0.000000,0.000000,0.000000,events/second
1571949229,4,0.004475,0.000000,0.000000,0.000000,events/second
1571949232,4,0.004460,0.000000,0.000000,0.000000,events/second
1571949235,4,0.004445,0.000000,0.000000,0.000000,events/second
1571949238,4,0.004430,0.000000,0.000000,0.000000,events/second
1571949241,4,0.004415,0.000000,0.000000,0.000000,events/second
1571949244,4,0.004401,0.000000,0.000000,0.000000,events/second
1571949247,4,0.004386,0.000000,0.000000,0.000000,events/second
1571949250,4,0.004372,0.000000,0.000000,0.000000,events/second
1571949253,4,0.004358,0.000000,0.000000,0.000000,events/second
1571949256,4,0.004343,0.000000,0.000000,0.000000,events/second
1571949259,4,0.004329,0.000000,0.000000,0.000000,events/second
1571949262,4,0.004315,0.000000,0.000000,0.000000,events/second
1571949265,4,0.004301,0.000000,0.000000,0.000000,events/second
1571949268,4,0.004288,0.000000,0.000000,0.000000,events/second
1571949271,4,0.004274,0.000000,0.000000,0.000000,events/second
1571949274,4,0.004260,0.000000,0.000000,0.000000,events/second
1571949277,4,0.004247,0.000000,0.000000,0.000000,events/second
1571949280,4,0.004233,0.000000,0.000000,0.000000,events/second
1571949283,4,0.004220,0.000000,0.000000,0.000000,events/second
1571949286,4,0.004206,0.000000,0.000000,0.000000,events/second
1571949289,4,0.004193,0.000000,0.000000,0.000000,events/second
1571949292,4,0.004180,0.000000,0.000000,0.000000,events/second
1571949295,4,0.004167,0.000000,0.000000,0.000000,events/second
1571949298,4,0.004154,0.000000,0.000000,0.000000,events/second
1571949301,4,0.004141,0.000000,0.000000,0.000000,events/second
1571949304,4,0.004128,0.000000,0.000000,0.000000,events/second
1571949307,4,0.004115,0.000000,0.000000,0.000000,events/second
1571949310,4,0.004103,0.000000,0.000000,0.000000,events/second
1571949313,4,0.004090,0.000000,0.000000,0.000000,events/second
1571949316,4,0.004078,0.000000,0.000000,0.000000,events/second
1571949319,4,0.004065,0.000000,0.000000,0.000000,events/second
1571949322,4,0.004053,0.000000,0.000000,0.000000,events/second
