t,value
1571948338,0
1571948341,0
1571948344,0
1571948347,0
1571948350,0
1571948353,0
1571948356,0
1571948359,0
1571948362,0
1571948365,0
1571948368,0
1571948371,0
1571948374,0
1571948377,0
1571948380,1
1571948383,1
1571948386,5
1571948389,5
1571948392,5
1571948395,5
1571948398,5
1571948401,5
1571948404,5
1571948407,5
1571948410,5
1571948413,5
1571948416,5
1571948419,5
1571948422,5
1571948425,5
1571948428,5
1571948431,5
1571948434,5
1571948437,5
1571948440,5
1571948443,5
1571948446,5
1571948449,5
1571948452,5
1571948455,5
1571948458,5
1571948461,5
1571948464,5
1571948467,5
1571948470,5
1571948473,5
1571948476,5
1571948479,5
1571948482,5
1571948485,5
1571948488,5
1571948491,5
1571948494,5
1571948497,5
1571948500,5
1571948503,5
1571948506,5
1571948509,5
1571948512,5
1571948515,5
1571948518,5
1571948521,5
1571948524,5
1571948527,5
1571948530,5
1571948533,5
1571948536,5
1571948539,5
1571948542,5
1571948545,5
1571948548,5
1571948551,5
1571948554,5
1571948557,5
1571948560,5
1571948563,5
1571948566,5
1571948569,5
1571948572,5
1571948575,4
1571948578,5
1571948581,5
1571948584,5
1571948587,5
1571948590,5
1571948593,5
1571948596,5
1571948599,5
1571948602,5
1571948605,5
1571948608,5
1571948611,5
1571948614,5
1571948617,5
1571948620,5
1571948623,5
1571948626,5
1571948629,5
1571948632,5
1571948635,5
1571948638,5
1571948641,5
1571948644,5
1571948647,5
1571948650,5
1571948653,5
1571948656,5
1571948659,5
1571948662,5
1571948665,5
1571948668,5
1571948671,5
1571948674,5
1571948677,5
1571948680,5
1571948683,5
1571948686,5
1571948689,5
1571948692,5
1571948695,5
1571948698,5
1571948701,5
1571948704,5
1571948707,5
1571948710,5
1571948713,5
1571948716,5
1571948719,5
1571948722,5
1571948725,5
1571948728,5
1571948731,5
1571948734,5
1571948737,5
1571948740,5
1571948743,5
1571948746,5
1571948749,5
1571948752,5
1571948755,5
1571948758,5
1571948761,5
1571948764,5
1571948767,5
1571948770,5
