t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948341,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948344,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948347,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948350,1,0.066955,0.000000,0.000000,0.000000,events/second
1571948353,2,0.111490,0.000000,0.000000,0.000000,events/second
1571948356,2,0.095419,0.000000,0.000000,0.000000,events/second
1571948359,2,0.083499,0.000000,0.000000,0.000000,events/second
1571948362,2,0.074232,0.000000,0.000000,0.000000,events/second
1571948365,2,0.066767,0.000000,0.000000,0.000000,events/second
1571948368,2,0.060715,0.000000,0.000000,0.000000,events/second
1571948371,2,0.055643,0.000000,0.000000,0.000000,events/second
1571948374,2,0.051369,0.000000,0.000000,0.000000,events/second
1571948377,2,0.047691,0.000000,0.000000,0.000000,events/second
1571948380,4,0.089020,0.000000,0.000000,0.000000,events/second
1571948383,9,0.187709,0.000000,0.000000,0.000000,events/second
1571948386,9,0.176663,0.000000,0.000000,0.000000,events/second
1571948389,9,0.166872,0.000000,0.000000,0.000000,events/second
1571948392,9,0.158060,0.000000,0.000000,0.000000,events/second
1571948395,9,0.150137,0.000000,0.000000,0.000000,events/second
1571948398,9,0.142992,0.000000,0.000000,0.000000,events/second
1571948401,9,0.136488,0.000000,0.000000,0.000000,events/second
1571948404,9,0.130533,0.000000,0.000000,0.000000,events/second
1571948407,9,0.125103,0.000000,0.000000,0.000000,events/second
1571948410,9,0.120083,0.000000,0.000000,0.000000,events/second
1571948413,9,0.115472,0.000000,0.000000,0.000000,events/second
1571948416,9,0.111201,0.000000,0.000000,0.000000,events/second
1571948419,9,0.107226,0.000000,0.000000,0.000000,events/second
1571948422,9,0.103518,0.000000,0.000000,0.000000,events/second
1571948425,9,0.100066,0.000000,0.000000,0.000000,events/second
1571948428,9,0.096829,0.000000,0.000000,0.000000,events/second
1571948431,9,0.093791,0.000000,0.000000,0.000000,events/second
1571948434,9,0.090960,0.000000,0.000000,0.000000,events/second
1571948437,9,0.088293,0.000000,0.000000,0.000000,events/second
1571948440,9,0.085763,0.000000,0.000000,0.000000,events/second
1571948443,9,0.083376,0.000000,0.000000,0.000000,events/second
1571948446,9,0.081127,0.000000,0.000000,0.000000,events/second
1571948449,9,0.078987,0.000000,0.000000,0.000000,events/second
1571948452,9,0.076962,0.000000,0.000000,0.000000,events/second
1571948455,9,0.075042,0.000000,0.000000,0.000000,events/second
1571948458,9,0.073203,0.000000,0.000000,0.000000,events/second
1571948461,9,0.071467,0.000000,0.000000,0.000000,events/second
1571948464,9,0.069796,0.000000,0.000000,0.000000,events/second
1571948467,9,0.068214,0.000000,0.000000,0.000000,events/second
1571948470,9,0.066692,0.000000,0.000000,0.000000,events/second
1571948473,9,0.065236,0.000000,0.000000,0.000000,events/second
1571948476,9,0.063854,0.000000,0.000000,0.000000,events/second
1571948479,9,0.062523,0.000000,0.000000,0.000000,events/second
1571948482,9,0.061252,0.000000,0.000000,0.000000,events/second
1571948485,9,0.060024,0.000000,0.000000,0.000000,events/second
1571948488,9,0.058842,0.000000,0.000000,0.000000,events/second
1571948491,9,0.057716,0.000000,0.000000,0.000000,events/second
1571948494,9,0.056625,0.000000,0.000000,0.000000,events/second
1571948497,9,0.055574,0.000000,0.000000,0.000000,events/second
1571948500,9,0.054564,0.000000,0.000000,0.000000,events/second
1571948503,9,0.053592,0.000000,0.000000,0.000000,events/second
1571948506,9,0.052650,0.000000,0.000000,0.000000,events/second
1571948509,9,0.051743,0.000000,0.000000,0.000000,events/second
1571948512,9,0.050862,0.000000,0.000000,0.000000,events/second
1571948515,9,0.050015,0.000000,0.000000,0.000000,events/second
1571948518,9,0.049194,0.000000,0.000000,0.000000,events/second
1571948521,9,0.048404,0.000000,0.000000,0.000000,events/second
1571948524,9,0.047634,0.000000,0.000000,0.000000,events/second
1571948527,9,0.046892,0.000000,0.000000,0.000000,events/second
1571948530,9,0.046169,0.000000,0.000000,0.000000,events/second
1571948533,9,0.045470,0.000000,0.000000,0.000000,events/second
1571948536,9,0.044788,0.000000,0.000000,0.000000,events/second
1571948539,9,0.044130,0.000000,0.000000,0.000000,events/second
1571948542,9,0.043489,0.000000,0.000000,0.000000,events/second
1571948545,9,0.042868,0.000000,0.000000,0.000000,events/second
1571948548,9,0.042266,0.000000,0.000000,0.000000,events/second
1571948551,9,0.041677,0.000000,0.000000,0.000000,events/second
1571948554,9,0.041107,0.000000,0.000000,0.000000,events/second
1571948557,9,0.040550,0.000000,0.000000,0.000000,events/second
1571948560,9,0.040012,0.000000,0.000000,0.000000,events/second
1571948563,9,0.039485,0.000000,0.000000,0.000000,events/second
1571948566,9,0.038971,0.000000,0.000000,0.000000,events/second
1571948569,9,0.038471,0.000000,0.000000,0.000000,events/second
1571948572,9,0.037985,0.000000,0.000000,0.000000,events/second
1571948575,9,0.037510,0.000000,0.000000,0.000000,events/second
1571948578,9,0.037045,0.000000,0.000000,0.000000,events/second
1571948581,9,0.036595,0.000000,0.000000,0.000000,events/second
1571948584,9,0.036152,0.000000,0.000000,0.000000,events/second
1571948587,9,0.035723,0.000000,0.000000,0.000000,events/second
1571948590,9,0.035303,0.000000,0.000000,0.000000,events/second
1571948593,9,0.034892,0.000000,0.000000,0.000000,events/second
1571948596,9,0.034491,0.000000,0.000000,0.000000,events/second
1571948599,9,0.034097,0.000000,0.000000,0.000000,events/second
1571948602,9,0.033715,0.000000,0.000000,0.000000,events/second
1571948605,9,0.033342,0.000000,0.000000,0.000000,events/second
1571948608,9,0.032972,0.000000,0.000000,0.000000,events/second
1571948611,9,0.032617,0.000000,0.000000,0.000000,events/second
1571948614,9,0.032265,0.000000,0.000000,0.000000,events/second
1571948617,9,0.031921,0.000000,0.000000,0.000000,events/second
1571948620,9,0.031585,0.000000,0.000000,0.000000,events/second
1571948623,9,0.031257,0.000000,0.000000,0.000000,events/second
1571948626,9,0.030934,0.000000,0.000000,0.000000,events/second
1571948629,9,0.030618,0.000000,0.000000,0.000000,events/second
1571948632,9,0.030309,0.000000,0.000000,0.000000,events/second
1571948635,9,0.030005,0.000000,0.000000,0.000000,events/second
1571948638,9,0.029709,0.000000,0.000000,0.000000,events/second
1571948641,9,0.029418,0.000000,0.000000,0.000000,events/second
1571948644,9,0.029133,0.000000,0.000000,0.000000,events/second
1571948647,9,0.028851,0.000000,0.000000,0.000000,events/second
1571948650,9,0.028577,0.000000,0.000000,0.000000,events/second
1571948653,9,0.028307,0.000000,0.000000,0.000000,events/second
1571948656,9,0.028043,0.000000,0.000000,0.000000,events/second
1571948659,9,0.027783,0.000000,0.000000,0.000000,events/second
1571948662,9,0.027528,0.000000,0.000000,0.000000,events/second
1571948665,9,0.027278,0.000000,0.000000,0.000000,events/second
1571948668,9,0.027031,0.000000,0.000000,0.000000,events/second
1571948671,9,0.026790,0.000000,0.000000,0.000000,events/second
1571948674,9,0.026553,0.000000,0.000000,0.000000,events/second
1571948677,9,0.026319,0.000000,0.000000,0.000000,events/second
1571948680,9,0.026091,0.000000,0.000000,0.000000,events/second
1571948683,9,0.025866,0.000000,0.000000,0.000000,events/second
1571948686,9,0.025645,0.000000,0.000000,0.000000,events/second
1571948689,9,0.025429,0.000000,0.000000,0.000000,events/second
1571948692,9,0.025215,0.000000,0.000000,0.000000,events/second
1571948695,9,0.025004,0.000000,0.000000,0.000000,events/second
1571948698,9,0.024797,0.000000,0.000000,0.000000,events/second
1571948701,9,0.024595,0.000000,0.000000,0.000000,events/second
1571948704,9,0.024394,0.000000,0.000000,0.000000,events/second
1571948707,9,0.024198,0.000000,0.000000,0.000000,events/second
1571948710,9,0.024003,0.000000,0.000000,0.000000,events/second
1571948713,9,0.023813,0.000000,0.000000,0.000000,events/second
1571948716,9,0.023626,0.000000,0.000000,0.000000,events/second
1571948719,9,0.023441,0.000000,0.000000,0.000000,events/second
1571948722,9,0.023259,0.000000,0.000000,0.000000,events/second
1571948725,9,0.023080,0.000000,0.000000,0.000000,events/second
1571948728,9,0.022904,0.000000,0.000000,0.000000,events/second
1571948731,9,0.022730,0.000000,0.000000,0.000000,events/second
1571948734,9,0.022559,0.000000,0.000000,0.000000,events/second
1571948737,9,0.022391,0.000000,0.000000,0.000000,events/second
1571948740,9,0.022226,0.000000,0.000000,0.000000,events/second
1571948743,9,0.022062,0.000000,0.000000,0.000000,events/second
1571948746,9,0.021901,0.000000,0.000000,0.000000,events/second
1571948749,9,0.021742,0.000000,0.000000,0.000000,events/second
1571948752,9,0.021586,0.000000,0.000000,0.000000,events/second
1571948755,9,0.021431,0.000000,0.000000,0.000000,events/second
1571948758,9,0.021280,0.000000,0.000000,0.000000,events/second
1571948761,9,0.021130,0.000000,0.000000,0.000000,events/second
1571948764,9,0.020982,0.000000,0.000000,0.000000,events/second
1571948767,9,0.020837,0.000000,0.000000,0.000000,events/second
1571948770,9,0.020692,0.000000,0.000000,0.000000,events/second
1571948773,9,0.020551,0.000000,0.000000,0.000000,events/second
1571948776,9,0.020411,0.000000,0.000000,0.000000,events/second
1571948779,9,0.020273,0.000000,0.000000,0.000000,events/second
1571948782,9,0.020137,0.000000,0.000000,0.000000,events/second
1571948785,9,0.020003,0.000000,0.000000,0.000000,events/second
1571948788,9,0.019870,0.000000,0.000000,0.000000,events/second
1571948791,9,0.019739,0.000000,0.000000,0.000000,events/second
1571948794,9,0.019610,0.000000,0.000000,0.000000,events/second
1571948797,9,0.019483,0.000000,0.000000,0.000000,events/second
1571948800,9,0.019357,0.000000,0.000000,0.000000,events/second
1571948803,9,0.019233,0.000000,0.000000,0.000000,events/second
1571948806,9,0.019111,0.000000,0.000000,0.000000,events/second
1571948809,9,0.018990,0.000000,0.000000,0.000000,events/second
1571948812,9,0.018871,0.000000,0.000000,0.000000,events/second
1571948815,9,0.018752,0.000000,0.000000,0.000000,events/second
1571948818,9,0.018636,0.000000,0.000000,0.000000,events/second
1571948821,9,0.018521,0.000000,0.000000,0.000000,events/second
1571948824,9,0.018407,0.000000,0.000000,0.000000,events/second
1571948827,9,0.018295,0.000000,0.000000,0.000000,events/second
1571948830,9,0.018184,0.000000,0.000000,0.000000,events/second
1571948833,9,0.018074,0.000000,0.000000,0.000000,events/second
1571948836,9,0.017966,0.000000,0.000000,0.000000,events/second
1571948839,9,0.017859,0.000000,0.000000,0.000000,events/second
1571948842,9,0.017754,0.000000,0.000000,0.000000,events/second
1571948845,9,0.017649,0.000000,0.000000,0.000000,events/second
1571948848,9,0.017545,0.000000,0.000000,0.000000,events/second
1571948851,9,0.017444,0.000000,0.000000,0.000000,events/second
1571948854,9,0.017343,0.000000,0.000000,0.000000,events/second
1571948857,9,0.017243,0.000000,0.000000,0.000000,events/second
1571948860,9,0.017145,0.000000,0.000000,0.000000,events/second
1571948863,9,0.017047,0.000000,0.000000,0.000000,events/second
1571948866,9,0.016951,0.000000,0.000000,0.000000,events/second
1571948869,9,0.016856,0.000000,0.000000,0.000000,events/second
1571948872,9,0.016761,0.000000,0.000000,0.000000,events/second
1571948875,9,0.016669,0.000000,0.000000,0.000000,events/second
1571948878,9,0.016576,0.000000,0.000000,0.000000,events/second
1571948881,9,0.016485,0.000000,0.000000,0.000000,events/second
1571948884,9,0.016395,0.000000,0.000000,0.000000,events/second
1571948887,9,0.016306,0.000000,0.000000,0.000000,events/second
1571948890,9,0.016218,0.000000,0.000000,0.000000,events/second
1571948893,9,0.016131,0.000000,0.000000,0.000000,events/second
1571948896,9,0.016044,0.000000,0.000000,0.000000,events/second
1571948899,9,0.015959,0.000000,0.000000,0.000000,events/second
1571948902,9,0.015875,0.000000,0.000000,0.000000,events/second
1571948905,9,0.015791,0.000000,0.000000,0.000000,events/second
1571948908,9,0.015708,0.000000,0.000000,0.000000,events/second
1571948911,9,0.015626,0.000000,0.000000,0.000000,events/second
1571948914,9,0.015545,0.000000,0.000000,0.000000,events/second
1571948917,9,0.015465,0.000000,0.000000,0.000000,events/second
1571948920,9,0.015386,0.000000,0.000000,0.000000,events/second
1571948923,9,0.015308,0.000000,0.000000,0.000000,events/second
1571948926,9,0.015230,0.000000,0.000000,0.000000,events/second
1571948929,9,0.015153,0.000000,0.000000,0.000000,events/second
1571948932,9,0.015077,0.000000,0.000000,0.000000,events/second
1571948935,9,0.015002,0.000000,0.000000,0.000000,events/second
1571948938,9,0.014927,0.000000,0.000000,0.000000,events/second
1571948941,9,0.014853,0.000000,0.000000,0.000000,events/second
1571948944,9,0.014780,0.000000,0.000000,0.000000,events/second
1571948947,9,0.014707,0.000000,0.000000,0.000000,events/second
1571948950,9,0.014635,0.000000,0.000000,0.000000,events/second
1571948953,9,0.014564,0.000000,0.000000,0.000000,events/second
1571948956,9,0.014494,0.000000,0.000000,0.000000,events/second
1571948959,9,0.014424,0.000000,0.000000,0.000000,events/second
1571948962,9,0.014356,0.000000,0.000000,0.000000,events/second
1571948965,9,0.014287,0.000000,0.000000,0.000000,events/second
1571948968,9,0.014219,0.000000,0.000000,0.000000,events/second
1571948971,9,0.014152,0.000000,0.000000,0.000000,events/second
1571948974,9,0.014086,0.000000,0.000000,0.000000,events/second
1571948977,9,0.014020,0.000000,0.000000,0.000000,events/second
1571948980,9,0.013955,0.000000,0.000000,0.000000,events/second
1571948983,9,0.013890,0.000000,0.000000,0.000000,events/second
1571948986,9,0.013826,0.000000,0.000000,0.000000,events/second
1571948989,9,0.013763,0.000000,0.000000,0.000000,events/second
1571948992,9,0.013700,0.000000,0.000000,0.000000,events/second
1571948995,9,0.013638,0.000000,0.000000,0.000000,events/second
1571948998,9,0.013576,0.000000,0.000000,0.000000,events/second
1571949001,9,0.013514,0.000000,0.000000,0.000000,events/second
1571949004,9,0.013454,0.000000,0.000000,0.000000,events/second
1571949007,9,0.013394,0.000000,0.000000,0.000000,events/second
1571949010,9,0.013335,0.000000,0.000000,0.000000,events/second
1571949013,9,0.013276,0.000000,0.000000,0.000000,events/second
1571949016,9,0.013217,0.000000,0.000000,0.000000,events/second
1571949019,9,0.013159,0.000000,0.000000,0.000000,events/second
1571949022,9,0.013102,0.000000,0.000000,0.000000,events/second
1571949025,9,0.013045,0.000000,0.000000,0.000000,events/second
1571949028,9,0.012988,0.000000,0.000000,0.000000,events/second
1571949031,9,0.012932,0.000000,0.000000,0.000000,events/second
1571949034,9,0.012877,0.000000,0.000000,0.000000,events/second
1571949037,9,0.012822,0.000000,0.000000,0.000000,events/second
1571949040,9,0.012767,0.000000,0.000000,0.000000,events/second
1571949043,9,0.012713,0.000000,0.000000,0.000000,events/second
1571949046,9,0.012659,0.000000,0.000000,0.000000,events/second
1571949049,9,0.012606,0.000000,0.000000,0.000000,events/second
1571949052,9,0.012553,0.000000,0.000000,0.000000,events/second
1571949055,9,0.012501,0.000000,0.000000,0.000000,events/second
1571949058,9,0.012449,0.000000,0.000000,0.000000,events/second
1571949061,9,0.012398,0.000000,0.000000,0.000000,events/second
1571949064,9,0.012347,0.000000,0.000000,0.000000,events/second
1571949067,9,0.012296,0.000000,0.000000,0.000000,events/second
1571949070,9,0.012246,0.000000,0.000000,0.000000,events/second
1571949073,9,0.012196,0.000000,0.000000,0.000000,events/second
1571949076,9,0.012147,0.000000,0.000000,0.000000,events/second
1571949079,9,0.012098,0.000000,0.000000,0.000000,events/second
1571949082,9,0.012049,0.000000,0.000000,0.000000,events/second
1571949085,9,0.012001,0.000000,0.000000,0.000000,events/second
1571949088,9,0.011953,0.000000,0.000000,0.000000,events/second
1571949091,9,0.011906,0.000000,0.000000,0.000000,events/second
1571949094,9,0.011859,0.000000,0.000000,0.000000,events/second
1571949097,9,0.011812,0.000000,0.000000,0.000000,events/second
1571949100,9,0.011766,0.000000,0.000000,0.000000,events/second
1571949103,9,0.011720,0.000000,0.000000,0.000000,events/second
1571949106,9,0.011674,0.000000,0.000000,0.000000,events/second
1571949109,9,0.011629,0.000000,0.000000,0.000000,events/second
1571949112,9,0.011584,0.000000,0.000000,0.000000,events/second
1571949115,9,0.011539,0.000000,0.000000,0.000000,events/second
1571949118,9,0.011495,0.000000,0.000000,0.000000,events/second
1571949121,9,0.011451,0.000000,0.000000,0.000000,events/second
1571949124,9,0.011408,0.000000,0.000000,0.000000,events/second
1571949127,9,0.011365,0.000000,0.000000,0.000000,events/second
1571949130,9,0.011322,0.000000,0.000000,0.000000,events/second
1571949133,9,0.011279,0.000000,0.000000,0.000000,events/second
1571949136,9,0.011237,0.000000,0.000000,0.000000,events/second
1571949139,9,0.011195,0.000000,0.000000,0.000000,events/second
1571949142,9,0.011153,0.000000,0.000000,0.000000,events/second
1571949145,9,0.011112,0.000000,0.000000,0.000000,events/second
1571949148,9,0.011071,0.000000,0.000000,0.000000,events/second
1571949151,9,0.011030,0.000000,0.000000,0.000000,events/second
1571949154,9,0.010990,0.000000,0.000000,0.000000,events/second
1571949157,9,0.010950,0.000000,0.000000,0.000000,events/second
1571949160,9,0.010910,0.000000,0.000000,0.000000,events/second
1571949163,9,0.010870,0.000000,0.000000,0.000000,events/second
1571949166,9,0.010831,0.000000,0.000000,0.000000,events/second
1571949169,9,0.010792,0.000000,0.000000,0.000000,events/second
1571949172,9,0.010753,0.000000,0.000000,0.000000,events/second
1571949175,9,0.010715,0.000000,0.000000,0.000000,events/second
1571949178,9,0.010677,0.000000,0.000000,0.000000,events/second
1571949181,9,0.010639,0.000000,0.000000,0.000000,events/second
1571949184,9,0.010602,0.000000,0.000000,0.000000,events/second
1571949187,9,0.010564,0.000000,0.000000,0.000000,events/second
1571949190,9,0.010527,0.000000,0.000000,0.000000,events/second
1571949193,9,0.010490,0.000000,0.000000,0.000000,events/second
1571949196,9,0.010454,0.000000,0.000000,0.000000,events/second
1571949199,9,0.010417,0.000000,0.000000,0.000000,events/second
1571949202,9,0.010381,0.000000,0.000000,0.000000,events/second
1571949205,9,0.010346,0.000000,0.000000,0.000000,events/second
1571949208,9,0.010310,0.000000,0.000000,0.000000,events/second
1571949211,9,0.010275,0.000000,0.000000,0.000000,events/second
1571949214,9,0.010240,0.000000,0.000000,0.000000,events/second
1571949217,9,0.010205,0.000000,0.000000,0.000000,events/second
1571949220,9,0.010170,0.000000,0.000000,0.000000,events/second
1571949223,9,0.010136,0.000000,0.000000,0.000000,events/second
1571949226,9,0.010102,0.000000,0.000000,0.000000,events/second
1571949229,9,0.010068,0.000000,0.000000,0.000000,events/second
1571949232,9,0.010034,0.000000,0.000000,0.000000,events/second
1571949235,9,0.010001,0.000000,0.000000,0.000000,events/second
1571949238,9,0.009967,0.000000,0.000000,0.000000,events/second
1571949241,9,0.009934,0.000000,0.000000,0.000000,events/second
1571949244,9,0.009901,0.000000,0.000000,0.000000,events/second
1571949247,9,0.009869,0.000000,0.000000,0.000000,events/second
1571949250,9,0.009837,0.000000,0.000000,0.000000,events/second
1571949253,9,0.009804,0.000000,0.000000,0.000000,events/second
1571949256,9,0.009773,0.000000,0.000000,0.000000,events/second
1571949259,9,0.009741,0.000000,0.000000,0.000000,events/second
1571949262,9,0.009709,0.000000,0.000000,0.000000,events/second
1571949265,9,0.009678,0.000000,0.000000,0.000000,events/second
1571949268,9,0.009647,0.000000,0.000000,0.000000,events/second
1571949271,9,0.009616,0.000000,0.000000,0.000000,events/second
1571949274,9,0.009585,0.000000,0.000000,0.000000,events/second
1571949277,9,0.009555,0.000000,0.000000,0.000000,events/second
1571949280,9,0.009524,0.000000,0.000000,0.000000,events/second
1571949283,9,0.009494,0.000000,0.000000,0.000000,events/second
1571949286,9,0.009464,0.000000,0.000000,0.000000,events/second
1571949289,9,0.009435,0.000000,0.000000,0.000000,events/second
1571949292,9,0.009405,0.000000,0.000000,0.000000,events/second
1571949295,9,0.009376,0.000000,0.000000,0.000000,events/second
1571949298,9,0.009346,0.000000,0.000000,0.000000,events/second
1571949301,9,0.009317,0.000000,0.000000,0.000000,events/second
1571949304,9,0.009288,0.000000,0.000000,0.000000,events/second
1571949307,9,0.009260,0.000000,0.000000,0.000000,events/second
1571949310,9,0.009231,0.000000,0.000000,0.000000,events/second
1571949313,9,0.009203,0.000000,0.000000,0.000000,events/second
1571949316,9,0.009175,0.000000,0.000000,0.000000,events/second
1571949319,9,0.009147,0.000000,0.000000,0.000000,events/second
1571949322,9,0.009119,0.000000,0.000000,0.000000,events/second
