t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948341,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948344,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948347,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948350,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948353,14,0.780642,0.000000,0.000000,0.000000,events/second
1571948356,14,0.668072,0.000000,0.000000,0.000000,events/second
1571948359,14,0.584599,0.000000,0.000000,0.000000,events/second
1571948362,14,0.519713,0.000000,0.000000,0.000000,events/second
1571948365,14,0.467426,0.000000,0.000000,0.000000,events/second
1571948368,14,0.425065,0.000000,0.000000,0.000000,events/second
1571948371,14,0.389553,0.000000,0.000000,0.000000,events/second
1571948374,14,0.359628,0.000000,0.000000,0.000000,events/second
1571948377,14,0.333877,0.000000,0.000000,0.000000,events/second
1571948380,18,0.400634,0.000000,0.000000,0.000000,events/second
1571948383,34,0.708808,0.000000,0.000000,0.000000,events/second
1571948386,53,1.040447,0.000000,0.000000,0.000000,events/second
1571948389,53,0.982780,0.000000,0.000000,0.000000,events/second
1571948392,53,0.930877,0.000000,0.000000,0.000000,events/second
1571948395,53,0.884208,0.000000,0.000000,0.000000,events/second
1571948398,53,0.842123,0.000000,0.000000,0.000000,events/second
1571948401,66,1.000987,0.000000,0.000000,0.000000,events/second
1571948404,66,0.957305,0.000000,0.000000,0.000000,events/second
1571948407,66,0.917484,0.000000,0.000000,0.000000,events/second
1571948410,66,0.880665,0.000000,0.000000,0.000000,events/second
1571948413,66,0.846845,0.000000,0.000000,0.000000,events/second
1571948416,66,0.815527,0.000000,0.000000,0.000000,events/second
1571948419,82,0.977004,0.000000,0.000000,0.000000,events/second
1571948422,95,1.092745,0.000000,0.000000,0.000000,events/second
1571948425,103,1.145264,0.000000,0.000000,0.000000,events/second
1571948428,111,1.194289,0.000000,0.000000,0.000000,events/second
1571948431,133,1.386090,0.000000,0.000000,0.000000,events/second
1571948434,133,1.344250,0.000000,0.000000,0.000000,events/second
1571948437,133,1.304840,0.000000,0.000000,0.000000,events/second
1571948440,133,1.267439,0.000000,0.000000,0.000000,events/second
1571948443,146,1.352601,0.000000,0.000000,0.000000,events/second
1571948446,146,1.316114,0.000000,0.000000,0.000000,events/second
1571948449,146,1.281402,0.000000,0.000000,0.000000,events/second
1571948452,146,1.248554,0.000000,0.000000,0.000000,events/second
1571948455,146,1.217395,0.000000,0.000000,0.000000,events/second
1571948458,146,1.187569,0.000000,0.000000,0.000000,events/second
1571948461,159,1.262628,0.000000,0.000000,0.000000,events/second
1571948464,159,1.233109,0.000000,0.000000,0.000000,events/second
1571948467,159,1.205158,0.000000,0.000000,0.000000,events/second
1571948470,159,1.178269,0.000000,0.000000,0.000000,events/second
1571948473,159,1.152546,0.000000,0.000000,0.000000,events/second
1571948476,159,1.128128,0.000000,0.000000,0.000000,events/second
1571948479,159,1.104616,0.000000,0.000000,0.000000,events/second
1571948482,190,1.293132,0.000000,0.000000,0.000000,events/second
1571948485,197,1.313903,0.000000,0.000000,0.000000,events/second
1571948488,209,1.366491,0.000000,0.000000,0.000000,events/second
1571948491,213,1.365987,0.000000,0.000000,0.000000,events/second
1571948494,213,1.340158,0.000000,0.000000,0.000000,events/second
1571948497,213,1.315296,0.000000,0.000000,0.000000,events/second
1571948500,213,1.291386,0.000000,0.000000,0.000000,events/second
1571948503,226,1.345806,0.000000,0.000000,0.000000,events/second
1571948506,226,1.322134,0.000000,0.000000,0.000000,events/second
1571948509,226,1.299357,0.000000,0.000000,0.000000,events/second
1571948512,226,1.277229,0.000000,0.000000,0.000000,events/second
1571948515,226,1.255976,0.000000,0.000000,0.000000,events/second
1571948518,226,1.235351,0.000000,0.000000,0.000000,events/second
1571948521,239,1.285441,0.000000,0.000000,0.000000,events/second
1571948524,247,1.307327,0.000000,0.000000,0.000000,events/second
1571948527,255,1.328633,0.000000,0.000000,0.000000,events/second
1571948530,255,1.308167,0.000000,0.000000,0.000000,events/second
1571948533,255,1.288346,0.000000,0.000000,0.000000,events/second
1571948536,255,1.269016,0.000000,0.000000,0.000000,events/second
1571948539,255,1.250390,0.000000,0.000000,0.000000,events/second
1571948542,268,1.295035,0.000000,0.000000,0.000000,events/second
1571948545,268,1.276552,0.000000,0.000000,0.000000,events/second
1571948548,268,1.258606,0.000000,0.000000,0.000000,events/second
1571948551,268,1.241062,0.000000,0.000000,0.000000,events/second
1571948554,268,1.224088,0.000000,0.000000,0.000000,events/second
1571948557,271,1.221021,0.000000,0.000000,0.000000,events/second
1571948560,281,1.249299,0.000000,0.000000,0.000000,events/second
1571948563,294,1.289867,0.000000,0.000000,0.000000,events/second
1571948566,294,1.273088,0.000000,0.000000,0.000000,events/second
1571948569,294,1.256751,0.000000,0.000000,0.000000,events/second
1571948572,297,1.253546,0.000000,0.000000,0.000000,events/second
1571948575,306,1.275357,0.000000,0.000000,0.000000,events/second
1571948578,315,1.296608,0.000000,0.000000,0.000000,events/second
1571948581,341,1.386587,0.000000,0.000000,0.000000,events/second
1571948584,344,1.381852,0.000000,0.000000,0.000000,events/second
1571948587,347,1.377358,0.000000,0.000000,0.000000,events/second
1571948590,363,1.423932,0.000000,0.000000,0.000000,events/second
1571948593,363,1.407349,0.000000,0.000000,0.000000,events/second
1571948596,363,1.391154,0.000000,0.000000,0.000000,events/second
1571948599,363,1.375283,0.000000,0.000000,0.000000,events/second
1571948602,376,1.408581,0.000000,0.000000,0.000000,events/second
1571948605,379,1.404081,0.000000,0.000000,0.000000,events/second
1571948608,379,1.388524,0.000000,0.000000,0.000000,events/second
1571948611,392,1.420665,0.000000,0.000000,0.000000,events/second
1571948614,395,1.416089,0.000000,0.000000,0.000000,events/second
1571948617,395,1.400983,0.000000,0.000000,0.000000,events/second
1571948620,395,1.386255,0.000000,0.000000,0.000000,events/second
1571948623,420,1.458707,0.000000,0.000000,0.000000,events/second
1571948626,427,1.467683,0.000000,0.000000,0.000000,events/second
1571948629,427,1.452674,0.000000,0.000000,0.000000,events/second
1571948632,427,1.438028,0.000000,0.000000,0.000000,events/second
1571948635,427,1.423593,0.000000,0.000000,0.000000,events/second
1571948638,427,1.409549,0.000000,0.000000,0.000000,events/second
1571948641,437,1.428446,0.000000,0.000000,0.000000,events/second
1571948644,443,1.433992,0.000000,0.000000,0.000000,events/second
1571948647,447,1.432954,0.000000,0.000000,0.000000,events/second
1571948650,451,1.432049,0.000000,0.000000,0.000000,events/second
1571948653,459,1.443668,0.000000,0.000000,0.000000,events/second
1571948656,467,1.455164,0.000000,0.000000,0.000000,events/second
1571948659,467,1.441660,0.000000,0.000000,0.000000,events/second
1571948662,480,1.468159,0.000000,0.000000,0.000000,events/second
1571948665,480,1.454847,0.000000,0.000000,0.000000,events/second
1571948668,480,1.441685,0.000000,0.000000,0.000000,events/second
1571948671,480,1.428836,0.000000,0.000000,0.000000,events/second
1571948674,480,1.416167,0.000000,0.000000,0.000000,events/second
1571948677,480,1.403711,0.000000,0.000000,0.000000,events/second
1571948680,487,1.411857,0.000000,0.000000,0.000000,events/second
1571948683,509,1.462864,0.000000,0.000000,0.000000,events/second
1571948686,523,1.490303,0.000000,0.000000,0.000000,events/second
1571948689,535,1.511615,0.000000,0.000000,0.000000,events/second
1571948692,542,1.518507,0.000000,0.000000,0.000000,events/second
1571948695,545,1.514180,0.000000,0.000000,0.000000,events/second
1571948698,551,1.518151,0.000000,0.000000,0.000000,events/second
1571948701,560,1.530349,0.000000,0.000000,0.000000,events/second
1571948704,567,1.536844,0.000000,0.000000,0.000000,events/second
1571948707,567,1.524464,0.000000,0.000000,0.000000,events/second
1571948710,567,1.512237,0.000000,0.000000,0.000000,events/second
1571948713,570,1.508195,0.000000,0.000000,0.000000,events/second
1571948716,570,1.496308,0.000000,0.000000,0.000000,events/second
1571948719,570,1.484612,0.000000,0.000000,0.000000,events/second
1571948722,583,1.506689,0.000000,0.000000,0.000000,events/second
1571948725,583,1.495115,0.000000,0.000000,0.000000,events/second
1571948728,583,1.483683,0.000000,0.000000,0.000000,events/second
1571948731,583,1.472410,0.000000,0.000000,0.000000,events/second
1571948734,583,1.461312,0.000000,0.000000,0.000000,events/second
1571948737,583,1.450454,0.000000,0.000000,0.000000,events/second
1571948740,583,1.439765,0.000000,0.000000,0.000000,events/second
1571948743,596,1.460998,0.000000,0.000000,0.000000,events/second
1571948746,596,1.450346,0.000000,0.000000,0.000000,events/second
1571948749,596,1.439802,0.000000,0.000000,0.000000,events/second
1571948752,596,1.429508,0.000000,0.000000,0.000000,events/second
1571948755,596,1.419250,0.000000,0.000000,0.000000,events/second
1571948758,599,1.416321,0.000000,0.000000,0.000000,events/second
1571948761,616,1.446256,0.000000,0.000000,0.000000,events/second
1571948764,625,1.457105,0.000000,0.000000,0.000000,events/second
1571948767,625,1.447006,0.000000,0.000000,0.000000,events/second
1571948770,625,1.436974,0.000000,0.000000,0.000000,events/second
1571948773,625,1.427153,0.000000,0.000000,0.000000,events/second
1571948776,625,1.417427,0.000000,0.000000,0.000000,events/second
1571948779,625,1.407865,0.000000,0.000000,0.000000,events/second
1571948782,638,1.427479,0.000000,0.000000,0.000000,events/second
1571948785,638,1.417971,0.000000,0.000000,0.000000,events/second
1571948788,638,1.408595,0.000000,0.000000,0.000000,events/second
1571948791,638,1.399298,0.000000,0.000000,0.000000,events/second
1571948794,638,1.390166,0.000000,0.000000,0.000000,events/second
1571948797,638,1.381153,0.000000,0.000000,0.000000,events/second
1571948800,638,1.372209,0.000000,0.000000,0.000000,events/second
1571948803,651,1.391171,0.000000,0.000000,0.000000,events/second
1571948806,651,1.382344,0.000000,0.000000,0.000000,events/second
1571948809,651,1.373601,0.000000,0.000000,0.000000,events/second
1571948812,657,1.377571,0.000000,0.000000,0.000000,events/second
1571948815,670,1.396015,0.000000,0.000000,0.000000,events/second
1571948818,670,1.387330,0.000000,0.000000,0.000000,events/second
1571948821,674,1.387034,0.000000,0.000000,0.000000,events/second
1571948824,683,1.396889,0.000000,0.000000,0.000000,events/second
1571948827,683,1.388372,0.000000,0.000000,0.000000,events/second
1571948830,683,1.379993,0.000000,0.000000,0.000000,events/second
1571948833,683,1.371649,0.000000,0.000000,0.000000,events/second
1571948836,683,1.363464,0.000000,0.000000,0.000000,events/second
1571948839,683,1.355319,0.000000,0.000000,0.000000,events/second
1571948842,696,1.372981,0.000000,0.000000,0.000000,events/second
1571948845,696,1.364883,0.000000,0.000000,0.000000,events/second
1571948848,696,1.356862,0.000000,0.000000,0.000000,events/second
1571948851,696,1.349011,0.000000,0.000000,0.000000,events/second
1571948854,696,1.341183,0.000000,0.000000,0.000000,events/second
1571948857,696,1.333485,0.000000,0.000000,0.000000,events/second
1571948860,696,1.325889,0.000000,0.000000,0.000000,events/second
1571948863,709,1.342963,0.000000,0.000000,0.000000,events/second
1571948866,709,1.335384,0.000000,0.000000,0.000000,events/second
1571948869,709,1.327853,0.000000,0.000000,0.000000,events/second
1571948872,709,1.320446,0.000000,0.000000,0.000000,events/second
1571948875,709,1.313120,0.000000,0.000000,0.000000,events/second
1571948878,709,1.305841,0.000000,0.000000,0.000000,events/second
1571948881,709,1.298674,0.000000,0.000000,0.000000,events/second
1571948884,722,1.315252,0.000000,0.000000,0.000000,events/second
1571948887,722,1.308124,0.000000,0.000000,0.000000,events/second
1571948890,722,1.301065,0.000000,0.000000,0.000000,events/second
1571948893,722,1.294045,0.000000,0.000000,0.000000,events/second
1571948896,722,1.287135,0.000000,0.000000,0.000000,events/second
1571948899,722,1.280298,0.000000,0.000000,0.000000,events/second
1571948902,735,1.296465,0.000000,0.000000,0.000000,events/second
1571948905,735,1.289624,0.000000,0.000000,0.000000,events/second
1571948908,735,1.282848,0.000000,0.000000,0.000000,events/second
1571948911,735,1.276173,0.000000,0.000000,0.000000,events/second
1571948914,735,1.269543,0.000000,0.000000,0.000000,events/second
1571948917,735,1.263023,0.000000,0.000000,0.000000,events/second
1571948920,735,1.256542,0.000000,0.000000,0.000000,events/second
1571948923,748,1.272235,0.000000,0.000000,0.000000,events/second
1571948926,748,1.265794,0.000000,0.000000,0.000000,events/second
1571948929,748,1.259376,0.000000,0.000000,0.000000,events/second
1571948932,748,1.253057,0.000000,0.000000,0.000000,events/second
1571948935,748,1.246802,0.000000,0.000000,0.000000,events/second
1571948938,748,1.240595,0.000000,0.000000,0.000000,events/second
1571948941,748,1.234444,0.000000,0.000000,0.000000,events/second
1571948944,761,1.249701,0.000000,0.000000,0.000000,events/second
1571948947,761,1.243601,0.000000,0.000000,0.000000,events/second
1571948950,761,1.237513,0.000000,0.000000,0.000000,events/second
1571948953,761,1.231516,0.000000,0.000000,0.000000,events/second
1571948956,761,1.225585,0.000000,0.000000,0.000000,events/second
1571948959,761,1.219674,0.000000,0.000000,0.000000,events/second
1571948962,774,1.234594,0.000000,0.000000,0.000000,events/second
1571948965,774,1.228695,0.000000,0.000000,0.000000,events/second
1571948968,783,1.237074,0.000000,0.000000,0.000000,events/second
1571948971,796,1.251710,0.000000,0.000000,0.000000,events/second
1571948974,805,1.259922,0.000000,0.000000,0.000000,events/second
1571948977,818,1.274281,0.000000,0.000000,0.000000,events/second
1571948980,835,1.294682,0.000000,0.000000,0.000000,events/second
1571948983,860,1.327275,0.000000,0.000000,0.000000,events/second
1571948986,872,1.339607,0.000000,0.000000,0.000000,events/second
1571948989,888,1.357948,0.000000,0.000000,0.000000,events/second
1571948992,891,1.356299,0.000000,0.000000,0.000000,events/second
1571948995,903,1.368323,0.000000,0.000000,0.000000,events/second
1571948998,913,1.377225,0.000000,0.000000,0.000000,events/second
1571949001,926,1.390494,0.000000,0.000000,0.000000,events/second
1571949004,942,1.408188,0.000000,0.000000,0.000000,events/second
1571949007,945,1.406404,0.000000,0.000000,0.000000,events/second
1571949010,948,1.404594,0.000000,0.000000,0.000000,events/second
1571949013,961,1.417547,0.000000,0.000000,0.000000,events/second
1571949016,965,1.417169,0.000000,0.000000,0.000000,events/second
1571949019,977,1.428512,0.000000,0.000000,0.000000,events/second
1571949022,1002,1.458671,0.000000,0.000000,0.000000,events/second
1571949025,1017,1.474052,0.000000,0.000000,0.000000,events/second
1571949028,1033,1.490777,0.000000,0.000000,0.000000,events/second
1571949031,1033,1.484336,0.000000,0.000000,0.000000,events/second
1571949034,1033,1.477949,0.000000,0.000000,0.000000,events/second
1571949037,1036,1.475931,0.000000,0.000000,0.000000,events/second
1571949040,1045,1.482425,0.000000,0.000000,0.000000,events/second
1571949043,1065,1.504368,0.000000,0.000000,0.000000,events/second
1571949046,1065,1.498025,0.000000,0.000000,0.000000,events/second
1571949049,1065,1.491720,0.000000,0.000000,0.000000,events/second
1571949052,1065,1.485495,0.000000,0.000000,0.000000,events/second
1571949055,1065,1.479299,0.000000,0.000000,0.000000,events/second
1571949058,1065,1.473159,0.000000,0.000000,0.000000,events/second
1571949061,1065,1.467091,0.000000,0.000000,0.000000,events/second
1571949064,1078,1.478858,0.000000,0.000000,0.000000,events/second
1571949067,1078,1.472818,0.000000,0.000000,0.000000,events/second
1571949070,1078,1.466785,0.000000,0.000000,0.000000,events/second
1571949073,1078,1.460849,0.000000,0.000000,0.000000,events/second
1571949076,1078,1.454918,0.000000,0.000000,0.000000,events/second
1571949079,1078,1.449060,0.000000,0.000000,0.000000,events/second
1571949082,1091,1.460654,0.000000,0.000000,0.000000,events/second
1571949085,1091,1.454801,0.000000,0.000000,0.000000,events/second
1571949088,1091,1.448991,0.000000,0.000000,0.000000,events/second
1571949091,1094,1.447230,0.000000,0.000000,0.000000,events/second
1571949094,1110,1.462593,0.000000,0.000000,0.000000,events/second
1571949097,1110,1.456829,0.000000,0.000000,0.000000,events/second
1571949100,1122,1.466809,0.000000,0.000000,0.000000,events/second
1571949103,1135,1.478001,0.000000,0.000000,0.000000,events/second
1571949106,1135,1.472247,0.000000,0.000000,0.000000,events/second
1571949109,1138,1.470395,0.000000,0.000000,0.000000,events/second
1571949112,1138,1.464745,0.000000,0.000000,0.000000,events/second
1571949115,1138,1.459108,0.000000,0.000000,0.000000,events/second
1571949118,1138,1.453485,0.000000,0.000000,0.000000,events/second
1571949121,1138,1.447970,0.000000,0.000000,0.000000,events/second
1571949124,1151,1.458922,0.000000,0.000000,0.000000,events/second
1571949127,1151,1.453407,0.000000,0.000000,0.000000,events/second
1571949130,1151,1.447911,0.000000,0.000000,0.000000,events/second
1571949133,1151,1.442470,0.000000,0.000000,0.000000,events/second
1571949136,1151,1.437055,0.000000,0.000000,0.000000,events/second
1571949139,1151,1.431718,0.000000,0.000000,0.000000,events/second
1571949142,1154,1.430119,0.000000,0.000000,0.000000,events/second
1571949145,1167,1.440869,0.000000,0.000000,0.000000,events/second
1571949148,1180,1.451544,0.000000,0.000000,0.000000,events/second
1571949151,1183,1.449867,0.000000,0.000000,0.000000,events/second
1571949154,1183,1.444566,0.000000,0.000000,0.000000,events/second
1571949157,1183,1.439279,0.000000,0.000000,0.000000,events/second
1571949160,1183,1.434066,0.000000,0.000000,0.000000,events/second
1571949163,1192,1.439739,0.000000,0.000000,0.000000,events/second
1571949166,1208,1.453782,0.000000,0.000000,0.000000,events/second
1571949169,1214,1.455733,0.000000,0.000000,0.000000,events/second
1571949172,1214,1.450526,0.000000,0.000000,0.000000,events/second
1571949175,1214,1.445333,0.000000,0.000000,0.000000,events/second
1571949178,1214,1.440215,0.000000,0.000000,0.000000,events/second
1571949181,1214,1.435081,0.000000,0.000000,0.000000,events/second
1571949184,1227,1.445348,0.000000,0.000000,0.000000,events/second
1571949187,1227,1.440239,0.000000,0.000000,0.000000,events/second
1571949190,1227,1.435198,0.000000,0.000000,0.000000,events/second
1571949193,1227,1.430186,0.000000,0.000000,0.000000,events/second
1571949196,1227,1.425183,0.000000,0.000000,0.000000,events/second
1571949199,1227,1.420243,0.000000,0.000000,0.000000,events/second
1571949202,1230,1.418804,0.000000,0.000000,0.000000,events/second
1571949205,1240,1.425393,0.000000,0.000000,0.000000,events/second
1571949208,1240,1.420500,0.000000,0.000000,0.000000,events/second
1571949211,1240,1.415616,0.000000,0.000000,0.000000,events/second
1571949214,1240,1.410803,0.000000,0.000000,0.000000,events/second
1571949217,1240,1.405991,0.000000,0.000000,0.000000,events/second
1571949220,1240,1.401233,0.000000,0.000000,0.000000,events/second
1571949223,1249,1.406649,0.000000,0.000000,0.000000,events/second
1571949226,1253,1.406385,0.000000,0.000000,0.000000,events/second
1571949229,1253,1.401671,0.000000,0.000000,0.000000,events/second
1571949232,1253,1.396969,0.000000,0.000000,0.000000,events/second
1571949235,1253,1.392319,0.000000,0.000000,0.000000,events/second
1571949238,1253,1.387704,0.000000,0.000000,0.000000,events/second
1571949241,1253,1.383087,0.000000,0.000000,0.000000,events/second
1571949244,1266,1.392817,0.000000,0.000000,0.000000,events/second
1571949247,1266,1.388251,0.000000,0.000000,0.000000,events/second
1571949250,1266,1.383708,0.000000,0.000000,0.000000,events/second
1571949253,1266,1.379170,0.000000,0.000000,0.000000,events/second
1571949256,1266,1.374684,0.000000,0.000000,0.000000,events/second
1571949259,1266,1.370228,0.000000,0.000000,0.000000,events/second
1571949262,1269,1.369040,0.000000,0.000000,0.000000,events/second
1571949265,1279,1.375366,0.000000,0.000000,0.000000,events/second
1571949268,1279,1.370950,0.000000,0.000000,0.000000,events/second
1571949271,1279,1.366539,0.000000,0.000000,0.000000,events/second
1571949274,1279,1.362159,0.000000,0.000000,0.000000,events/second
1571949277,1279,1.357837,0.000000,0.000000,0.000000,events/second
1571949280,1279,1.353535,0.000000,0.000000,0.000000,events/second
1571949283,1287,1.357681,0.000000,0.000000,0.000000,events/second
1571949286,1292,1.358662,0.000000,0.000000,0.000000,events/second
1571949289,1292,1.354396,0.000000,0.000000,0.000000,events/second
1571949292,1292,1.350135,0.000000,0.000000,0.000000,events/second
1571949295,1292,1.345925,0.000000,0.000000,0.000000,events/second
1571949298,1292,1.341737,0.000000,0.000000,0.000000,events/second
1571949301,1292,1.337557,0.000000,0.000000,0.000000,events/second
1571949304,1305,1.346821,0.000000,0.000000,0.000000,events/second
1571949307,1305,1.342680,0.000000,0.000000,0.000000,events/second
1571949310,1305,1.338554,0.000000,0.000000,0.000000,events/second
1571949313,1305,1.334433,0.000000,0.000000,0.000000,events/second
