t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948341,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948344,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948347,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948350,1,0.066969,0.000000,0.000000,0.000000,events/second
1571948353,16,0.892113,0.000000,0.000000,0.000000,events/second
1571948356,16,0.763443,0.000000,0.000000,0.000000,events/second
1571948359,16,0.667998,0.000000,0.000000,0.000000,events/second
1571948362,16,0.593929,0.000000,0.000000,0.000000,events/second
1571948365,16,0.534155,0.000000,0.000000,0.000000,events/second
1571948368,16,0.485773,0.000000,0.000000,0.000000,events/second
1571948371,16,0.445193,0.000000,0.000000,0.000000,events/second
1571948374,16,0.410993,0.000000,0.000000,0.000000,events/second
1571948377,16,0.381565,0.000000,0.000000,0.000000,events/second
1571948380,21,0.467397,0.000000,0.000000,0.000000,events/second
1571948383,46,0.957978,0.000000,0.000000,0.000000,events/second
1571948386,57,1.118951,0.000000,0.000000,0.000000,events/second
1571948389,57,1.056933,0.000000,0.000000,0.000000,events/second
1571948392,57,1.001106,0.000000,0.000000,0.000000,events/second
1571948395,57,0.950916,0.000000,0.000000,0.000000,events/second
1571948398,57,0.905658,0.000000,0.000000,0.000000,events/second
1571948401,70,1.061632,0.000000,0.000000,0.000000,events/second
1571948404,70,1.015305,0.000000,0.000000,0.000000,events/second
1571948407,70,0.973073,0.000000,0.000000,0.000000,events/second
1571948410,70,0.934023,0.000000,0.000000,0.000000,events/second
1571948413,70,0.898154,0.000000,0.000000,0.000000,events/second
1571948416,70,0.864944,0.000000,0.000000,0.000000,events/second
1571948419,86,1.024652,0.000000,0.000000,0.000000,events/second
1571948422,99,1.138740,0.000000,0.000000,0.000000,events/second
1571948425,107,1.189723,0.000000,0.000000,0.000000,events/second
1571948428,115,1.237310,0.000000,0.000000,0.000000,events/second
1571948431,137,1.427760,0.000000,0.000000,0.000000,events/second
1571948434,137,1.384661,0.000000,0.000000,0.000000,events/second
1571948437,137,1.344072,0.000000,0.000000,0.000000,events/second
1571948440,137,1.305546,0.000000,0.000000,0.000000,events/second
1571948443,150,1.389644,0.000000,0.000000,0.000000,events/second
1571948446,150,1.352157,0.000000,0.000000,0.000000,events/second
1571948449,150,1.316498,0.000000,0.000000,0.000000,events/second
1571948452,150,1.282748,0.000000,0.000000,0.000000,events/second
1571948455,150,1.250739,0.000000,0.000000,0.000000,events/second
1571948458,150,1.220094,0.000000,0.000000,0.000000,events/second
1571948461,163,1.294382,0.000000,0.000000,0.000000,events/second
1571948464,163,1.264120,0.000000,0.000000,0.000000,events/second
1571948467,163,1.235466,0.000000,0.000000,0.000000,events/second
1571948470,163,1.207901,0.000000,0.000000,0.000000,events/second
1571948473,163,1.181528,0.000000,0.000000,0.000000,events/second
1571948476,163,1.156499,0.000000,0.000000,0.000000,events/second
1571948479,163,1.132393,0.000000,0.000000,0.000000,events/second
1571948482,194,1.320347,0.000000,0.000000,0.000000,events/second
1571948485,201,1.340573,0.000000,0.000000,0.000000,events/second
1571948488,213,1.392633,0.000000,0.000000,0.000000,events/second
1571948491,217,1.391629,0.000000,0.000000,0.000000,events/second
1571948494,217,1.365317,0.000000,0.000000,0.000000,events/second
1571948497,217,1.339989,0.000000,0.000000,0.000000,events/second
1571948500,217,1.315628,0.000000,0.000000,0.000000,events/second
1571948503,230,1.369618,0.000000,0.000000,0.000000,events/second
1571948506,230,1.345527,0.000000,0.000000,0.000000,events/second
1571948509,230,1.322347,0.000000,0.000000,0.000000,events/second
1571948512,230,1.299826,0.000000,0.000000,0.000000,events/second
1571948515,230,1.278198,0.000000,0.000000,0.000000,events/second
1571948518,230,1.257208,0.000000,0.000000,0.000000,events/second
1571948521,243,1.306947,0.000000,0.000000,0.000000,events/second
1571948524,251,1.328491,0.000000,0.000000,0.000000,events/second
1571948527,259,1.349467,0.000000,0.000000,0.000000,events/second
1571948530,259,1.328679,0.000000,0.000000,0.000000,events/second
1571948533,259,1.308549,0.000000,0.000000,0.000000,events/second
1571948536,259,1.288917,0.000000,0.000000,0.000000,events/second
1571948539,259,1.269997,0.000000,0.000000,0.000000,events/second
1571948542,272,1.314357,0.000000,0.000000,0.000000,events/second
1571948545,272,1.295598,0.000000,0.000000,0.000000,events/second
1571948548,272,1.277383,0.000000,0.000000,0.000000,events/second
1571948551,272,1.259579,0.000000,0.000000,0.000000,events/second
1571948554,272,1.242351,0.000000,0.000000,0.000000,events/second
1571948557,275,1.239038,0.000000,0.000000,0.000000,events/second
1571948560,285,1.267078,0.000000,0.000000,0.000000,events/second
1571948563,298,1.307410,0.000000,0.000000,0.000000,events/second
1571948566,298,1.290403,0.000000,0.000000,0.000000,events/second
1571948569,298,1.273845,0.000000,0.000000,0.000000,events/second
1571948572,301,1.270424,0.000000,0.000000,0.000000,events/second
1571948575,312,1.300359,0.000000,0.000000,0.000000,events/second
1571948578,319,1.313068,0.000000,0.000000,0.000000,events/second
1571948581,345,1.402847,0.000000,0.000000,0.000000,events/second
1571948584,348,1.397908,0.000000,0.000000,0.000000,events/second
1571948587,351,1.393229,0.000000,0.000000,0.000000,events/second
1571948590,367,1.439617,0.000000,0.000000,0.000000,events/second
1571948593,367,1.422851,0.000000,0.000000,0.000000,events/second
1571948596,367,1.406477,0.000000,0.000000,0.000000,events/second
1571948599,367,1.390430,0.000000,0.000000,0.000000,events/second
1571948602,380,1.423561,0.000000,0.000000,0.000000,events/second
1571948605,383,1.418895,0.000000,0.000000,0.000000,events/second
1571948608,383,1.403173,0.000000,0.000000,0.000000,events/second
1571948611,396,1.435157,0.000000,0.000000,0.000000,events/second
1571948614,399,1.430424,0.000000,0.000000,0.000000,events/second
1571948617,399,1.415165,0.000000,0.000000,0.000000,events/second
1571948620,399,1.400288,0.000000,0.000000,0.000000,events/second
1571948623,424,1.472595,0.000000,0.000000,0.000000,events/second
1571948626,431,1.481426,0.000000,0.000000,0.000000,events/second
1571948629,431,1.466277,0.000000,0.000000,0.000000,events/second
1571948632,431,1.451493,0.000000,0.000000,0.000000,events/second
1571948635,431,1.436923,0.000000,0.000000,0.000000,events/second
1571948638,431,1.422748,0.000000,0.000000,0.000000,events/second
1571948641,441,1.441517,0.000000,0.000000,0.000000,events/second
1571948644,447,1.446936,0.000000,0.000000,0.000000,events/second
1571948647,451,1.445772,0.000000,0.000000,0.000000,events/second
1571948650,455,1.444745,0.000000,0.000000,0.000000,events/second
1571948653,463,1.456244,0.000000,0.000000,0.000000,events/second
1571948656,471,1.467624,0.000000,0.000000,0.000000,events/second
1571948659,471,1.454004,0.000000,0.000000,0.000000,events/second
1571948662,484,1.480388,0.000000,0.000000,0.000000,events/second
1571948665,484,1.466966,0.000000,0.000000,0.000000,events/second
1571948668,484,1.453695,0.000000,0.000000,0.000000,events/second
1571948671,484,1.440738,0.000000,0.000000,0.000000,events/second
1571948674,484,1.427965,0.000000,0.000000,0.000000,events/second
1571948677,484,1.415404,0.000000,0.000000,0.000000,events/second
1571948680,491,1.423449,0.000000,0.000000,0.000000,events/second
1571948683,513,1.474354,0.000000,0.000000,0.000000,events/second
1571948686,527,1.501696,0.000000,0.000000,0.000000,events/second
1571948689,539,1.522913,0.000000,0.000000,0.000000,events/second
1571948692,546,1.529710,0.000000,0.000000,0.000000,events/second
1571948695,549,1.525290,0.000000,0.000000,0.000000,events/second
1571948698,555,1.529167,0.000000,0.000000,0.000000,events/second
1571948701,564,1.541276,0.000000,0.000000,0.000000,events/second
1571948704,571,1.547681,0.000000,0.000000,0.000000,events/second
1571948707,571,1.535213,0.000000,0.000000,0.000000,events/second
1571948710,571,1.522901,0.000000,0.000000,0.000000,events/second
1571948713,574,1.518775,0.000000,0.000000,0.000000,events/second
1571948716,574,1.506805,0.000000,0.000000,0.000000,events/second
1571948719,574,1.495026,0.000000,0.000000,0.000000,events/second
1571948722,587,1.517022,0.000000,0.000000,0.000000,events/second
1571948725,587,1.505369,0.000000,0.000000,0.000000,events/second
1571948728,587,1.493859,0.000000,0.000000,0.000000,events/second
1571948731,587,1.482509,0.000000,0.000000,0.000000,events/second
1571948734,587,1.471334,0.000000,0.000000,0.000000,events/second
1571948737,587,1.460402,0.000000,0.000000,0.000000,events/second
1571948740,587,1.449640,0.000000,0.000000,0.000000,events/second
1571948743,600,1.470800,0.000000,0.000000,0.000000,events/second
1571948746,600,1.460076,0.000000,0.000000,0.000000,events/second
1571948749,600,1.449462,0.000000,0.000000,0.000000,events/second
1571948752,600,1.439099,0.000000,0.000000,0.000000,events/second
1571948755,600,1.428772,0.000000,0.000000,0.000000,events/second
1571948758,603,1.425776,0.000000,0.000000,0.000000,events/second
1571948761,620,1.455645,0.000000,0.000000,0.000000,events/second
1571948764,629,1.466427,0.000000,0.000000,0.000000,events/second
1571948767,629,1.456264,0.000000,0.000000,0.000000,events/second
1571948770,629,1.446168,0.000000,0.000000,0.000000,events/second
1571948773,629,1.436283,0.000000,0.000000,0.000000,events/second
1571948776,629,1.426495,0.000000,0.000000,0.000000,events/second
1571948779,629,1.416872,0.000000,0.000000,0.000000,events/second
1571948782,642,1.436425,0.000000,0.000000,0.000000,events/second
1571948785,642,1.426857,0.000000,0.000000,0.000000,events/second
1571948788,642,1.417423,0.000000,0.000000,0.000000,events/second
1571948791,642,1.408067,0.000000,0.000000,0.000000,events/second
1571948794,642,1.398879,0.000000,0.000000,0.000000,events/second
1571948797,642,1.389809,0.000000,0.000000,0.000000,events/second
1571948800,642,1.380809,0.000000,0.000000,0.000000,events/second
1571948803,655,1.399715,0.000000,0.000000,0.000000,events/second
1571948806,655,1.390834,0.000000,0.000000,0.000000,events/second
1571948809,655,1.382037,0.000000,0.000000,0.000000,events/second
1571948812,661,1.385955,0.000000,0.000000,0.000000,events/second
1571948815,674,1.404346,0.000000,0.000000,0.000000,events/second
1571948818,674,1.395610,0.000000,0.000000,0.000000,events/second
1571948821,678,1.395263,0.000000,0.000000,0.000000,events/second
1571948824,687,1.405067,0.000000,0.000000,0.000000,events/second
1571948827,687,1.396500,0.000000,0.000000,0.000000,events/second
1571948830,687,1.388072,0.000000,0.000000,0.000000,events/second
1571948833,687,1.379679,0.000000,0.000000,0.000000,events/second
1571948836,687,1.371446,0.000000,0.000000,0.000000,events/second
1571948839,687,1.363253,0.000000,0.000000,0.000000,events/second
1571948842,700,1.380869,0.000000,0.000000,0.000000,events/second
1571948845,700,1.372725,0.000000,0.000000,0.000000,events/second
1571948848,700,1.364657,0.000000,0.000000,0.000000,events/second
1571948851,700,1.356761,0.000000,0.000000,0.000000,events/second
1571948854,700,1.348888,0.000000,0.000000,0.000000,events/second
1571948857,700,1.341145,0.000000,0.000000,0.000000,events/second
1571948860,700,1.333506,0.000000,0.000000,0.000000,events/second
1571948863,713,1.350537,0.000000,0.000000,0.000000,events/second
1571948866,713,1.342915,0.000000,0.000000,0.000000,events/second
1571948869,713,1.335342,0.000000,0.000000,0.000000,events/second
1571948872,713,1.327893,0.000000,0.000000,0.000000,events/second
1571948875,713,1.320526,0.000000,0.000000,0.000000,events/second
1571948878,713,1.313206,0.000000,0.000000,0.000000,events/second
1571948881,715,1.309660,0.000000,0.000000,0.000000,events/second
1571948884,726,1.322536,0.000000,0.000000,0.000000,events/second
1571948887,726,1.315368,0.000000,0.000000,0.000000,events/second
1571948890,726,1.308271,0.000000,0.000000,0.000000,events/second
1571948893,726,1.301211,0.000000,0.000000,0.000000,events/second
1571948896,726,1.294263,0.000000,0.000000,0.000000,events/second
1571948899,726,1.287389,0.000000,0.000000,0.000000,events/second
1571948902,739,1.303518,0.000000,0.000000,0.000000,events/second
1571948905,739,1.296640,0.000000,0.000000,0.000000,events/second
1571948908,739,1.289827,0.000000,0.000000,0.000000,events/second
1571948911,739,1.283116,0.000000,0.000000,0.000000,events/second
1571948914,739,1.276449,0.000000,0.000000,0.000000,events/second
1571948917,739,1.269894,0.000000,0.000000,0.000000,events/second
1571948920,739,1.263377,0.000000,0.000000,0.000000,events/second
1571948923,752,1.279036,0.000000,0.000000,0.000000,events/second
1571948926,752,1.272560,0.000000,0.000000,0.000000,events/second
1571948929,752,1.266108,0.000000,0.000000,0.000000,events/second
1571948932,752,1.259755,0.000000,0.000000,0.000000,events/second
1571948935,752,1.253467,0.000000,0.000000,0.000000,events/second
1571948938,752,1.247227,0.000000,0.000000,0.000000,events/second
1571948941,752,1.241042,0.000000,0.000000,0.000000,events/second
1571948944,765,1.256268,0.000000,0.000000,0.000000,events/second
1571948947,765,1.250135,0.000000,0.000000,0.000000,events/second
1571948950,765,1.244016,0.000000,0.000000,0.000000,events/second
1571948953,765,1.237987,0.000000,0.000000,0.000000,events/second
1571948956,765,1.232025,0.000000,0.000000,0.000000,events/second
1571948959,765,1.226083,0.000000,0.000000,0.000000,events/second
1571948962,778,1.240973,0.000000,0.000000,0.000000,events/second
1571948965,778,1.235043,0.000000,0.000000,0.000000,events/second
1571948968,787,1.243392,0.000000,0.000000,0.000000,events/second
1571948971,800,1.257998,0.000000,0.000000,0.000000,events/second
1571948974,809,1.266180,0.000000,0.000000,0.000000,events/second
1571948977,822,1.280510,0.000000,0.000000,0.000000,events/second
1571948980,839,1.300881,0.000000,0.000000,0.000000,events/second
1571948983,864,1.333446,0.000000,0.000000,0.000000,events/second
1571948986,876,1.345750,0.000000,0.000000,0.000000,events/second
1571948989,892,1.364063,0.000000,0.000000,0.000000,events/second
1571948992,895,1.362387,0.000000,0.000000,0.000000,events/second
1571948995,907,1.374382,0.000000,0.000000,0.000000,events/second
1571948998,917,1.383257,0.000000,0.000000,0.000000,events/second
1571949001,930,1.396497,0.000000,0.000000,0.000000,events/second
1571949004,946,1.414166,0.000000,0.000000,0.000000,events/second
1571949007,949,1.412355,0.000000,0.000000,0.000000,events/second
1571949010,952,1.410519,0.000000,0.000000,0.000000,events/second
1571949013,965,1.423445,0.000000,0.000000,0.000000,events/second
1571949016,969,1.423041,0.000000,0.000000,0.000000,events/second
1571949019,981,1.434359,0.000000,0.000000,0.000000,events/second
1571949022,1006,1.464492,0.000000,0.000000,0.000000,events/second
1571949025,1021,1.479847,0.000000,0.000000,0.000000,events/second
1571949028,1037,1.496548,0.000000,0.000000,0.000000,events/second
1571949031,1037,1.490082,0.000000,0.000000,0.000000,events/second
1571949034,1037,1.483670,0.000000,0.000000,0.000000,events/second
1571949037,1040,1.481628,0.000000,0.000000,0.000000,events/second
1571949040,1049,1.488097,0.000000,0.000000,0.000000,events/second
1571949043,1069,1.510016,0.000000,0.000000,0.000000,events/second
1571949046,1069,1.503649,0.000000,0.000000,0.000000,events/second
1571949049,1069,1.497321,0.000000,0.000000,0.000000,events/second
1571949052,1069,1.491073,0.000000,0.000000,0.000000,events/second
1571949055,1069,1.484853,0.000000,0.000000,0.000000,events/second
1571949058,1069,1.478690,0.000000,0.000000,0.000000,events/second
1571949061,1069,1.472599,0.000000,0.000000,0.000000,events/second
1571949064,1082,1.484343,0.000000,0.000000,0.000000,events/second
1571949067,1082,1.478280,0.000000,0.000000,0.000000,events/second
1571949070,1082,1.472226,0.000000,0.000000,0.000000,events/second
1571949073,1082,1.466267,0.000000,0.000000,0.000000,events/second
1571949076,1082,1.460314,0.000000,0.000000,0.000000,events/second
1571949079,1082,1.454435,0.000000,0.000000,0.000000,events/second
1571949082,1095,1.466007,0.000000,0.000000,0.000000,events/second
1571949085,1095,1.460133,0.000000,0.000000,0.000000,events/second
1571949088,1095,1.454301,0.000000,0.000000,0.000000,events/second
1571949091,1098,1.452520,0.000000,0.000000,0.000000,events/second
1571949094,1114,1.467862,0.000000,0.000000,0.000000,events/second
1571949097,1114,1.462077,0.000000,0.000000,0.000000,events/second
1571949100,1126,1.472037,0.000000,0.000000,0.000000,events/second
1571949103,1139,1.483207,0.000000,0.000000,0.000000,events/second
1571949106,1139,1.477433,0.000000,0.000000,0.000000,events/second
1571949109,1142,1.475562,0.000000,0.000000,0.000000,events/second
1571949112,1142,1.469892,0.000000,0.000000,0.000000,events/second
1571949115,1142,1.464235,0.000000,0.000000,0.000000,events/second
1571949118,1142,1.458591,0.000000,0.000000,0.000000,events/second
1571949121,1142,1.453058,0.000000,0.000000,0.000000,events/second
1571949124,1155,1.463990,0.000000,0.000000,0.000000,events/second
1571949127,1155,1.458456,0.000000,0.000000,0.000000,events/second
1571949130,1155,1.452941,0.000000,0.000000,0.000000,events/second
1571949133,1155,1.447480,0.000000,0.000000,0.000000,events/second
1571949136,1155,1.442048,0.000000,0.000000,0.000000,events/second
1571949139,1155,1.436692,0.000000,0.000000,0.000000,events/second
1571949142,1158,1.435075,0.000000,0.000000,0.000000,events/second
1571949145,1171,1.445806,0.000000,0.000000,0.000000,events/second
1571949148,1184,1.456463,0.000000,0.000000,0.000000,events/second
1571949151,1187,1.454767,0.000000,0.000000,0.000000,events/second
1571949154,1187,1.449448,0.000000,0.000000,0.000000,events/second
1571949157,1187,1.444143,0.000000,0.000000,0.000000,events/second
1571949160,1187,1.438913,0.000000,0.000000,0.000000,events/second
1571949163,1196,1.444569,0.000000,0.000000,0.000000,events/second
1571949166,1212,1.458594,0.000000,0.000000,0.000000,events/second
1571949169,1218,1.460528,0.000000,0.000000,0.000000,events/second
1571949172,1218,1.455304,0.000000,0.000000,0.000000,events/second
1571949175,1218,1.450094,0.000000,0.000000,0.000000,events/second
1571949178,1218,1.444959,0.000000,0.000000,0.000000,events/second
1571949181,1218,1.439807,0.000000,0.000000,0.000000,events/second
1571949184,1231,1.450058,0.000000,0.000000,0.000000,events/second
1571949187,1231,1.444932,0.000000,0.000000,0.000000,events/second
1571949190,1231,1.439875,0.000000,0.000000,0.000000,events/second
1571949193,1231,1.434847,0.000000,0.000000,0.000000,events/second
1571949196,1231,1.429828,0.000000,0.000000,0.000000,events/second
1571949199,1231,1.424871,0.000000,0.000000,0.000000,events/second
1571949202,1234,1.423417,0.000000,0.000000,0.000000,events/second
1571949205,1244,1.429989,0.000000,0.000000,0.000000,events/second
1571949208,1244,1.425081,0.000000,0.000000,0.000000,events/second
1571949211,1244,1.420180,0.000000,0.000000,0.000000,events/second
1571949214,1244,1.415353,0.000000,0.000000,0.000000,events/second
1571949217,1244,1.410525,0.000000,0.000000,0.000000,events/second
1571949220,1244,1.405751,0.000000,0.000000,0.000000,events/second
1571949223,1253,1.411152,0.000000,0.000000,0.000000,events/second
1571949226,1257,1.410873,0.000000,0.000000,0.000000,events/second
1571949229,1257,1.406144,0.000000,0.000000,0.000000,events/second
1571949232,1257,1.401427,0.000000,0.000000,0.000000,events/second
1571949235,1257,1.396762,0.000000,0.000000,0.000000,events/second
1571949238,1257,1.392133,0.000000,0.000000,0.000000,events/second
1571949241,1257,1.387501,0.000000,0.000000,0.000000,events/second
1571949244,1270,1.397216,0.000000,0.000000,0.000000,events/second
1571949247,1270,1.392635,0.000000,0.000000,0.000000,events/second
1571949250,1270,1.388078,0.000000,0.000000,0.000000,events/second
1571949253,1270,1.383526,0.000000,0.000000,0.000000,events/second
1571949256,1270,1.379026,0.000000,0.000000,0.000000,events/second
1571949259,1270,1.374555,0.000000,0.000000,0.000000,events/second
1571949262,1273,1.373353,0.000000,0.000000,0.000000,events/second
1571949265,1283,1.379666,0.000000,0.000000,0.000000,events/second
1571949268,1283,1.375236,0.000000,0.000000,0.000000,events/second
1571949271,1283,1.370811,0.000000,0.000000,0.000000,events/second
1571949274,1283,1.366418,0.000000,0.000000,0.000000,events/second
1571949277,1283,1.362082,0.000000,0.000000,0.000000,events/second
1571949280,1283,1.357766,0.000000,0.000000,0.000000,events/second
1571949283,1291,1.361899,0.000000,0.000000,0.000000,events/second
1571949286,1296,1.362867,0.000000,0.000000,0.000000,events/second
1571949289,1296,1.358587,0.000000,0.000000,0.000000,events/second
1571949292,1296,1.354314,0.000000,0.000000,0.000000,events/second
1571949295,1296,1.350090,0.000000,0.000000,0.000000,events/second
1571949298,1296,1.345889,0.000000,0.000000,0.000000,events/second
1571949301,1296,1.341697,0.000000,0.000000,0.000000,events/second
1571949304,1309,1.350947,0.000000,0.000000,0.000000,events/second
1571949307,1309,1.346794,0.000000,0.000000,0.000000,events/second
1571949310,1309,1.342656,0.000000,0.000000,0.000000,events/second
1571949313,1309,1.338522,0.000000,0.000000,0.000000,events/second
