t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948341,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948344,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948347,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948350,1,0.066970,0.000000,0.000000,0.000000,events/second
1571948353,14,0.780608,0.000000,0.000000,0.000000,events/second
1571948356,14,0.668006,0.000000,0.000000,0.000000,events/second
1571948359,14,0.584487,0.000000,0.000000,0.000000,events/second
1571948362,14,0.519690,0.000000,0.000000,0.000000,events/second
1571948365,14,0.467366,0.000000,0.000000,0.000000,events/second
1571948368,14,0.425055,0.000000,0.000000,0.000000,events/second
1571948371,14,0.389547,0.000000,0.000000,0.000000,events/second
1571948374,14,0.359621,0.000000,0.000000,0.000000,events/second
1571948377,14,0.333871,0.000000,0.000000,0.000000,events/second
1571948380,19,0.422886,0.000000,0.000000,0.000000,events/second
1571948383,40,0.833026,0.000000,0.000000,0.000000,events/second
1571948386,55,1.079695,0.000000,0.000000,0.000000,events/second
1571948389,55,1.019852,0.000000,0.000000,0.000000,events/second
1571948392,55,0.965978,0.000000,0.000000,0.000000,events/second
1571948395,55,0.917553,0.000000,0.000000,0.000000,events/second
1571948398,55,0.873880,0.000000,0.000000,0.000000,events/second
1571948401,68,1.031301,0.000000,0.000000,0.000000,events/second
1571948404,68,0.986298,0.000000,0.000000,0.000000,events/second
1571948407,68,0.945271,0.000000,0.000000,0.000000,events/second
1571948410,68,0.907339,0.000000,0.000000,0.000000,events/second
1571948413,68,0.872494,0.000000,0.000000,0.000000,events/second
1571948416,68,0.840234,0.000000,0.000000,0.000000,events/second
1571948419,84,1.000826,0.000000,0.000000,0.000000,events/second
1571948422,97,1.115737,0.000000,0.000000,0.000000,events/second
1571948425,105,1.167487,0.000000,0.000000,0.000000,events/second
1571948428,113,1.215793,0.000000,0.000000,0.000000,events/second
1571948431,135,1.406919,0.000000,0.000000,0.000000,events/second
1571948434,135,1.364448,0.000000,0.000000,0.000000,events/second
1571948437,135,1.324454,0.000000,0.000000,0.000000,events/second
1571948440,135,1.286491,0.000000,0.000000,0.000000,events/second
1571948443,148,1.371118,0.000000,0.000000,0.000000,events/second
1571948446,148,1.334131,0.000000,0.000000,0.000000,events/second
1571948449,148,1.298947,0.000000,0.000000,0.000000,events/second
1571948452,148,1.265646,0.000000,0.000000,0.000000,events/second
1571948455,148,1.234066,0.000000,0.000000,0.000000,events/second
1571948458,148,1.203828,0.000000,0.000000,0.000000,events/second
1571948461,161,1.278503,0.000000,0.000000,0.000000,events/second
1571948464,161,1.248611,0.000000,0.000000,0.000000,events/second
1571948467,161,1.220309,0.000000,0.000000,0.000000,events/second
1571948470,161,1.193082,0.000000,0.000000,0.000000,events/second
1571948473,161,1.167031,0.000000,0.000000,0.000000,events/second
1571948476,161,1.142310,0.000000,0.000000,0.000000,events/second
1571948479,161,1.118500,0.000000,0.000000,0.000000,events/second
1571948482,192,1.306737,0.000000,0.000000,0.000000,events/second
1571948485,199,1.327236,0.000000,0.000000,0.000000,events/second
1571948488,211,1.379558,0.000000,0.000000,0.000000,events/second
1571948491,215,1.378804,0.000000,0.000000,0.000000,events/second
1571948494,215,1.352736,0.000000,0.000000,0.000000,events/second
1571948497,215,1.327642,0.000000,0.000000,0.000000,events/second
1571948500,215,1.303504,0.000000,0.000000,0.000000,events/second
1571948503,228,1.357711,0.000000,0.000000,0.000000,events/second
1571948506,228,1.333829,0.000000,0.000000,0.000000,events/second
1571948509,228,1.310850,0.000000,0.000000,0.000000,events/second
1571948512,228,1.288524,0.000000,0.000000,0.000000,events/second
1571948515,228,1.267084,0.000000,0.000000,0.000000,events/second
1571948518,228,1.246277,0.000000,0.000000,0.000000,events/second
1571948521,241,1.296191,0.000000,0.000000,0.000000,events/second
1571948524,249,1.317906,0.000000,0.000000,0.000000,events/second
1571948527,257,1.339048,0.000000,0.000000,0.000000,events/second
1571948530,257,1.318420,0.000000,0.000000,0.000000,events/second
1571948533,257,1.298446,0.000000,0.000000,0.000000,events/second
1571948536,257,1.278966,0.000000,0.000000,0.000000,events/second
1571948539,257,1.260191,0.000000,0.000000,0.000000,events/second
1571948542,270,1.304694,0.000000,0.000000,0.000000,events/second
1571948545,270,1.286073,0.000000,0.000000,0.000000,events/second
1571948548,270,1.267988,0.000000,0.000000,0.000000,events/second
1571948551,270,1.250318,0.000000,0.000000,0.000000,events/second
1571948554,270,1.233217,0.000000,0.000000,0.000000,events/second
1571948557,273,1.230028,0.000000,0.000000,0.000000,events/second
1571948560,283,1.258188,0.000000,0.000000,0.000000,events/second
1571948563,296,1.298636,0.000000,0.000000,0.000000,events/second
1571948566,296,1.281743,0.000000,0.000000,0.000000,events/second
1571948569,296,1.265297,0.000000,0.000000,0.000000,events/second
1571948572,299,1.261984,0.000000,0.000000,0.000000,events/second
1571948575,309,1.287856,0.000000,0.000000,0.000000,events/second
1571948578,317,1.304837,0.000000,0.000000,0.000000,events/second
1571948581,343,1.394716,0.000000,0.000000,0.000000,events/second
1571948584,346,1.389875,0.000000,0.000000,0.000000,events/second
1571948587,349,1.385291,0.000000,0.000000,0.000000,events/second
1571948590,365,1.431774,0.000000,0.000000,0.000000,events/second
1571948593,365,1.415098,0.000000,0.000000,0.000000,events/second
1571948596,365,1.398813,0.000000,0.000000,0.000000,events/second
1571948599,365,1.382853,0.000000,0.000000,0.000000,events/second
1571948602,378,1.416069,0.000000,0.000000,0.000000,events/second
1571948605,381,1.411486,0.000000,0.000000,0.000000,events/second
1571948608,381,1.395847,0.000000,0.000000,0.000000,events/second
1571948611,394,1.427910,0.000000,0.000000,0.000000,events/second
1571948614,397,1.423256,0.000000,0.000000,0.000000,events/second
1571948617,397,1.408072,0.000000,0.000000,0.000000,events/second
1571948620,397,1.393270,0.000000,0.000000,0.000000,events/second
1571948623,422,1.465651,0.000000,0.000000,0.000000,events/second
1571948626,429,1.474552,0.000000,0.000000,0.000000,events/second
1571948629,429,1.459474,0.000000,0.000000,0.000000,events/second
1571948632,429,1.444756,0.000000,0.000000,0.000000,events/second
1571948635,429,1.430256,0.000000,0.000000,0.000000,events/second
1571948638,429,1.416147,0.000000,0.000000,0.000000,events/second
1571948641,439,1.434981,0.000000,0.000000,0.000000,events/second
1571948644,445,1.440464,0.000000,0.000000,0.000000,events/second
1571948647,449,1.439361,0.000000,0.000000,0.000000,events/second
1571948650,453,1.438396,0.000000,0.000000,0.000000,events/second
1571948653,461,1.449955,0.000000,0.000000,0.000000,events/second
1571948656,469,1.461394,0.000000,0.000000,0.000000,events/second
1571948659,469,1.447831,0.000000,0.000000,0.000000,events/second
1571948662,482,1.474271,0.000000,0.000000,0.000000,events/second
1571948665,482,1.460905,0.000000,0.000000,0.000000,events/second
1571948668,482,1.447688,0.000000,0.000000,0.000000,events/second
1571948671,482,1.434785,0.000000,0.000000,0.000000,events/second
1571948674,482,1.422065,0.000000,0.000000,0.000000,events/second
1571948677,482,1.409556,0.000000,0.000000,0.000000,events/second
1571948680,489,1.417652,0.000000,0.000000,0.000000,events/second
1571948683,511,1.468606,0.000000,0.000000,0.000000,events/second
1571948686,525,1.495996,0.000000,0.000000,0.000000,events/second
1571948689,537,1.517263,0.000000,0.000000,0.000000,events/second
1571948692,544,1.524108,0.000000,0.000000,0.000000,events/second
1571948695,547,1.519734,0.000000,0.000000,0.000000,events/second
1571948698,553,1.523657,0.000000,0.000000,0.000000,events/second
1571948701,562,1.535811,0.000000,0.000000,0.000000,events/second
1571948704,569,1.542261,0.000000,0.000000,0.000000,events/second
1571948707,569,1.529836,0.000000,0.000000,0.000000,events/second
1571948710,569,1.517568,0.000000,0.000000,0.000000,events/second
1571948713,572,1.513484,0.000000,0.000000,0.000000,events/second
1571948716,572,1.501555,0.000000,0.000000,0.000000,events/second
1571948719,572,1.489817,0.000000,0.000000,0.000000,events/second
1571948722,585,1.511854,0.000000,0.000000,0.000000,events/second
1571948725,585,1.500240,0.000000,0.000000,0.000000,events/second
1571948728,585,1.488770,0.000000,0.000000,0.000000,events/second
1571948731,585,1.477458,0.000000,0.000000,0.000000,events/second
1571948734,585,1.466321,0.000000,0.000000,0.000000,events/second
1571948737,585,1.455426,0.000000,0.000000,0.000000,events/second
1571948740,585,1.444702,0.000000,0.000000,0.000000,events/second
1571948743,598,1.465898,0.000000,0.000000,0.000000,events/second
1571948746,598,1.455210,0.000000,0.000000,0.000000,events/second
1571948749,598,1.444631,0.000000,0.000000,0.000000,events/second
1571948752,598,1.434303,0.000000,0.000000,0.000000,events/second
1571948755,598,1.424010,0.000000,0.000000,0.000000,events/second
1571948758,601,1.421048,0.000000,0.000000,0.000000,events/second
1571948761,618,1.450950,0.000000,0.000000,0.000000,events/second
1571948764,627,1.461765,0.000000,0.000000,0.000000,events/second
1571948767,627,1.451634,0.000000,0.000000,0.000000,events/second
1571948770,627,1.441571,0.000000,0.000000,0.000000,events/second
1571948773,627,1.431717,0.000000,0.000000,0.000000,events/second
1571948776,627,1.421960,0.000000,0.000000,0.000000,events/second
1571948779,627,1.412367,0.000000,0.000000,0.000000,events/second
1571948782,640,1.431951,0.000000,0.000000,0.000000,events/second
1571948785,640,1.422413,0.000000,0.000000,0.000000,events/second
1571948788,640,1.413008,0.000000,0.000000,0.000000,events/second
1571948791,640,1.403682,0.000000,0.000000,0.000000,events/second
1571948794,640,1.394522,0.000000,0.000000,0.000000,events/second
1571948797,640,1.385480,0.000000,0.000000,0.000000,events/second
1571948800,640,1.376508,0.000000,0.000000,0.000000,events/second
1571948803,653,1.395441,0.000000,0.000000,0.000000,events/second
1571948806,653,1.386588,0.000000,0.000000,0.000000,events/second
1571948809,653,1.377818,0.000000,0.000000,0.000000,events/second
1571948812,659,1.381763,0.000000,0.000000,0.000000,events/second
1571948815,672,1.400180,0.000000,0.000000,0.000000,events/second
1571948818,672,1.391469,0.000000,0.000000,0.000000,events/second
1571948821,676,1.391148,0.000000,0.000000,0.000000,events/second
1571948824,685,1.400977,0.000000,0.000000,0.000000,events/second
1571948827,685,1.392435,0.000000,0.000000,0.000000,events/second
1571948830,685,1.384031,0.000000,0.000000,0.000000,events/second
1571948833,685,1.375663,0.000000,0.000000,0.000000,events/second
1571948836,685,1.367454,0.000000,0.000000,0.000000,events/second
1571948839,685,1.359285,0.000000,0.000000,0.000000,events/second
1571948842,698,1.376925,0.000000,0.000000,0.000000,events/second
1571948845,698,1.368803,0.000000,0.000000,0.000000,events/second
1571948848,698,1.360758,0.000000,0.000000,0.000000,events/second
1571948851,698,1.352885,0.000000,0.000000,0.000000,events/second
1571948854,698,1.345034,0.000000,0.000000,0.000000,events/second
1571948857,698,1.337314,0.000000,0.000000,0.000000,events/second
1571948860,698,1.329697,0.000000,0.000000,0.000000,events/second
1571948863,711,1.346750,0.000000,0.000000,0.000000,events/second
1571948866,711,1.339149,0.000000,0.000000,0.000000,events/second
1571948869,711,1.331597,0.000000,0.000000,0.000000,events/second
1571948872,711,1.324168,0.000000,0.000000,0.000000,events/second
1571948875,711,1.316822,0.000000,0.000000,0.000000,events/second
1571948878,711,1.309523,0.000000,0.000000,0.000000,events/second
1571948881,713,1.305981,0.000000,0.000000,0.000000,events/second
1571948884,724,1.318893,0.000000,0.000000,0.000000,events/second
1571948887,724,1.311745,0.000000,0.000000,0.000000,events/second
1571948890,724,1.304667,0.000000,0.000000,0.000000,events/second
1571948893,724,1.297627,0.000000,0.000000,0.000000,events/second
1571948896,724,1.290698,0.000000,0.000000,0.000000,events/second
1571948899,724,1.283843,0.000000,0.000000,0.000000,events/second
1571948902,737,1.299991,0.000000,0.000000,0.000000,events/second
1571948905,737,1.293131,0.000000,0.000000,0.000000,events/second
1571948908,737,1.286337,0.000000,0.000000,0.000000,events/second
1571948911,737,1.279644,0.000000,0.000000,0.000000,events/second
1571948914,737,1.272995,0.000000,0.000000,0.000000,events/second
1571948917,737,1.266458,0.000000,0.000000,0.000000,events/second
1571948920,737,1.259958,0.000000,0.000000,0.000000,events/second
1571948923,750,1.275635,0.000000,0.000000,0.000000,events/second
1571948926,750,1.269176,0.000000,0.000000,0.000000,events/second
1571948929,750,1.262741,0.000000,0.000000,0.000000,events/second
1571948932,750,1.256405,0.000000,0.000000,0.000000,events/second
1571948935,750,1.250134,0.000000,0.000000,0.000000,events/second
1571948938,750,1.243910,0.000000,0.000000,0.000000,events/second
1571948941,750,1.237742,0.000000,0.000000,0.000000,events/second
1571948944,763,1.252984,0.000000,0.000000,0.000000,events/second
1571948947,763,1.246867,0.000000,0.000000,0.000000,events/second
1571948950,763,1.240764,0.000000,0.000000,0.000000,events/second
1571948953,763,1.234751,0.000000,0.000000,0.000000,events/second
1571948956,763,1.228804,0.000000,0.000000,0.000000,events/second
1571948959,763,1.222877,0.000000,0.000000,0.000000,events/second
1571948962,776,1.237784,0.000000,0.000000,0.000000,events/second
1571948965,776,1.231868,0.000000,0.000000,0.000000,events/second
1571948968,785,1.240232,0.000000,0.000000,0.000000,events/second
1571948971,798,1.254853,0.000000,0.000000,0.000000,events/second
1571948974,807,1.263051,0.000000,0.000000,0.000000,events/second
1571948977,820,1.277395,0.000000,0.000000,0.000000,events/second
1571948980,837,1.297780,0.000000,0.000000,0.000000,events/second
1571948983,862,1.330359,0.000000,0.000000,0.000000,events/second
1571948986,874,1.342678,0.000000,0.000000,0.000000,events/second
1571948989,890,1.361006,0.000000,0.000000,0.000000,events/second
1571948992,893,1.359343,0.000000,0.000000,0.000000,events/second
1571948995,905,1.371352,0.000000,0.000000,0.000000,events/second
1571948998,915,1.380241,0.000000,0.000000,0.000000,events/second
1571949001,928,1.393494,0.000000,0.000000,0.000000,events/second
1571949004,944,1.411177,0.000000,0.000000,0.000000,events/second
1571949007,947,1.409379,0.000000,0.000000,0.000000,events/second
1571949010,950,1.407556,0.000000,0.000000,0.000000,events/second
1571949013,963,1.420495,0.000000,0.000000,0.000000,events/second
1571949016,967,1.420104,0.000000,0.000000,0.000000,events/second
1571949019,979,1.431435,0.000000,0.000000,0.000000,events/second
1571949022,1004,1.461581,0.000000,0.000000,0.000000,events/second
1571949025,1019,1.476948,0.000000,0.000000,0.000000,events/second
1571949028,1035,1.493662,0.000000,0.000000,0.000000,events/second
1571949031,1035,1.487208,0.000000,0.000000,0.000000,events/second
1571949034,1035,1.480809,0.000000,0.000000,0.000000,events/second
1571949037,1038,1.478780,0.000000,0.000000,0.000000,events/second
1571949040,1047,1.485261,0.000000,0.000000,0.000000,events/second
1571949043,1067,1.507192,0.000000,0.000000,0.000000,events/second
1571949046,1067,1.500836,0.000000,0.000000,0.000000,events/second
1571949049,1067,1.494520,0.000000,0.000000,0.000000,events/second
1571949052,1067,1.488283,0.000000,0.000000,0.000000,events/second
1571949055,1067,1.482075,0.000000,0.000000,0.000000,events/second
1571949058,1067,1.475924,0.000000,0.000000,0.000000,events/second
1571949061,1067,1.469845,0.000000,0.000000,0.000000,events/second
1571949064,1080,1.481600,0.000000,0.000000,0.000000,events/second
1571949067,1080,1.475548,0.000000,0.000000,0.000000,events/second
1571949070,1080,1.469505,0.000000,0.000000,0.000000,events/second
1571949073,1080,1.463558,0.000000,0.000000,0.000000,events/second
1571949076,1080,1.457615,0.000000,0.000000,0.000000,events/second
1571949079,1080,1.451746,0.000000,0.000000,0.000000,events/second
1571949082,1093,1.463330,0.000000,0.000000,0.000000,events/second
1571949085,1093,1.457466,0.000000,0.000000,0.000000,events/second
1571949088,1093,1.451645,0.000000,0.000000,0.000000,events/second
1571949091,1096,1.449875,0.000000,0.000000,0.000000,events/second
1571949094,1112,1.465228,0.000000,0.000000,0.000000,events/second
1571949097,1112,1.459452,0.000000,0.000000,0.000000,events/second
1571949100,1124,1.469423,0.000000,0.000000,0.000000,events/second
1571949103,1137,1.480603,0.000000,0.000000,0.000000,events/second
1571949106,1137,1.474840,0.000000,0.000000,0.000000,events/second
1571949109,1140,1.472978,0.000000,0.000000,0.000000,events/second
1571949112,1140,1.467318,0.000000,0.000000,0.000000,events/second
1571949115,1140,1.461671,0.000000,0.000000,0.000000,events/second
1571949118,1140,1.456037,0.000000,0.000000,0.000000,events/second
1571949121,1140,1.450514,0.000000,0.000000,0.000000,events/second
1571949124,1153,1.461455,0.000000,0.000000,0.000000,events/second
1571949127,1153,1.455931,0.000000,0.000000,0.000000,events/second
1571949130,1153,1.450426,0.000000,0.000000,0.000000,events/second
1571949133,1153,1.444974,0.000000,0.000000,0.000000,events/second
1571949136,1153,1.439551,0.000000,0.000000,0.000000,events/second
1571949139,1153,1.434205,0.000000,0.000000,0.000000,events/second
1571949142,1156,1.432597,0.000000,0.000000,0.000000,events/second
1571949145,1169,1.443337,0.000000,0.000000,0.000000,events/second
1571949148,1182,1.454003,0.000000,0.000000,0.000000,events/second
1571949151,1185,1.452316,0.000000,0.000000,0.000000,events/second
1571949154,1185,1.447007,0.000000,0.000000,0.000000,events/second
1571949157,1185,1.441710,0.000000,0.000000,0.000000,events/second
1571949160,1185,1.436489,0.000000,0.000000,0.000000,events/second
1571949163,1194,1.442154,0.000000,0.000000,0.000000,events/second
1571949166,1210,1.456188,0.000000,0.000000,0.000000,events/second
1571949169,1216,1.458130,0.000000,0.000000,0.000000,events/second
1571949172,1216,1.452914,0.000000,0.000000,0.000000,events/second
1571949175,1216,1.447713,0.000000,0.000000,0.000000,events/second
1571949178,1216,1.442587,0.000000,0.000000,0.000000,events/second
1571949181,1216,1.437444,0.000000,0.000000,0.000000,events/second
1571949184,1229,1.447703,0.000000,0.000000,0.000000,events/second
1571949187,1229,1.442584,0.000000,0.000000,0.000000,events/second
1571949190,1229,1.437536,0.000000,0.000000,0.000000,events/second
1571949193,1229,1.432516,0.000000,0.000000,0.000000,events/second
1571949196,1229,1.427505,0.000000,0.000000,0.000000,events/second
1571949199,1229,1.422557,0.000000,0.000000,0.000000,events/second
1571949202,1232,1.421110,0.000000,0.000000,0.000000,events/second
1571949205,1242,1.427691,0.000000,0.000000,0.000000,events/second
1571949208,1242,1.422790,0.000000,0.000000,0.000000,events/second
1571949211,1242,1.417897,0.000000,0.000000,0.000000,events/second
1571949214,1242,1.413077,0.000000,0.000000,0.000000,events/second
1571949217,1242,1.408258,0.000000,0.000000,0.000000,events/second
1571949220,1242,1.403491,0.000000,0.000000,0.000000,events/second
1571949223,1251,1.408900,0.000000,0.000000,0.000000,events/second
1571949226,1255,1.408629,0.000000,0.000000,0.000000,events/second
1571949229,1255,1.403907,0.000000,0.000000,0.000000,events/second
1571949232,1255,1.399198,0.000000,0.000000,0.000000,events/second
1571949235,1255,1.394540,0.000000,0.000000,0.000000,events/second
1571949238,1255,1.389918,0.000000,0.000000,0.000000,events/second
1571949241,1255,1.385294,0.000000,0.000000,0.000000,events/second
1571949244,1268,1.395016,0.000000,0.000000,0.000000,events/second
1571949247,1268,1.390443,0.000000,0.000000,0.000000,events/second
1571949250,1268,1.385892,0.000000,0.000000,0.000000,events/second
1571949253,1268,1.381348,0.000000,0.000000,0.000000,events/second
1571949256,1268,1.376854,0.000000,0.000000,0.000000,events/second
1571949259,1268,1.372391,0.000000,0.000000,0.000000,events/second
1571949262,1271,1.371196,0.000000,0.000000,0.000000,events/second
1571949265,1281,1.377515,0.000000,0.000000,0.000000,events/second
1571949268,1281,1.373092,0.000000,0.000000,0.000000,events/second
1571949271,1281,1.368675,0.000000,0.000000,0.000000,events/second
1571949274,1281,1.364288,0.000000,0.000000,0.000000,events/second
1571949277,1281,1.359959,0.000000,0.000000,0.000000,events/second
1571949280,1281,1.355650,0.000000,0.000000,0.000000,events/second
1571949283,1289,1.359790,0.000000,0.000000,0.000000,events/second
1571949286,1294,1.360764,0.000000,0.000000,0.000000,events/second
1571949289,1294,1.356491,0.000000,0.000000,0.000000,events/second
1571949292,1294,1.352224,0.000000,0.000000,0.000000,events/second
1571949295,1294,1.348007,0.000000,0.000000,0.000000,events/second
1571949298,1294,1.343813,0.000000,0.000000,0.000000,events/second
1571949301,1294,1.339627,0.000000,0.000000,0.000000,events/second
1571949304,1307,1.348884,0.000000,0.000000,0.000000,events/second
1571949307,1307,1.344736,0.000000,0.000000,0.000000,events/second
1571949310,1307,1.340605,0.000000,0.000000,0.000000,events/second
1571949313,1307,1.336477,0.000000,0.000000,0.000000,events/second
