t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948341,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948344,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948347,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948350,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948353,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948356,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948359,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948362,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948365,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948368,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948371,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948374,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948377,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948380,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948383,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948386,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948389,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948392,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948395,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948398,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948401,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948404,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948407,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948410,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948413,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948416,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948419,2,0.023827,0.000000,0.000000,0.000000,events/second
1571948422,2,0.023003,0.000000,0.000000,0.000000,events/second
1571948425,2,0.022236,0.000000,0.000000,0.000000,events/second
1571948428,2,0.021516,0.000000,0.000000,0.000000,events/second
1571948431,2,0.020841,0.000000,0.000000,0.000000,events/second
1571948434,2,0.020212,0.000000,0.000000,0.000000,events/second
1571948437,2,0.019620,0.000000,0.000000,0.000000,events/second
1571948440,2,0.019058,0.000000,0.000000,0.000000,events/second
1571948443,2,0.018527,0.000000,0.000000,0.000000,events/second
1571948446,2,0.018027,0.000000,0.000000,0.000000,events/second
1571948449,2,0.017552,0.000000,0.000000,0.000000,events/second
1571948452,2,0.017102,0.000000,0.000000,0.000000,events/second
1571948455,2,0.016675,0.000000,0.000000,0.000000,events/second
1571948458,2,0.016267,0.000000,0.000000,0.000000,events/second
1571948461,2,0.015881,0.000000,0.000000,0.000000,events/second
1571948464,2,0.015510,0.000000,0.000000,0.000000,events/second
1571948467,2,0.015158,0.000000,0.000000,0.000000,events/second
1571948470,2,0.014820,0.000000,0.000000,0.000000,events/second
1571948473,2,0.014496,0.000000,0.000000,0.000000,events/second
1571948476,2,0.014189,0.000000,0.000000,0.000000,events/second
1571948479,2,0.013894,0.000000,0.000000,0.000000,events/second
1571948482,3,0.020417,0.000000,0.000000,0.000000,events/second
1571948485,3,0.020007,0.000000,0.000000,0.000000,events/second
1571948488,3,0.019613,0.000000,0.000000,0.000000,events/second
1571948491,3,0.019238,0.000000,0.000000,0.000000,events/second
1571948494,3,0.018874,0.000000,0.000000,0.000000,events/second
1571948497,3,0.018524,0.000000,0.000000,0.000000,events/second
1571948500,3,0.018187,0.000000,0.000000,0.000000,events/second
1571948503,5,0.029773,0.000000,0.000000,0.000000,events/second
1571948506,5,0.029249,0.000000,0.000000,0.000000,events/second
1571948509,5,0.028745,0.000000,0.000000,0.000000,events/second
1571948512,5,0.028256,0.000000,0.000000,0.000000,events/second
1571948515,5,0.027786,0.000000,0.000000,0.000000,events/second
1571948518,5,0.027329,0.000000,0.000000,0.000000,events/second
1571948521,5,0.026891,0.000000,0.000000,0.000000,events/second
1571948524,5,0.026463,0.000000,0.000000,0.000000,events/second
1571948527,5,0.026050,0.000000,0.000000,0.000000,events/second
1571948530,5,0.025649,0.000000,0.000000,0.000000,events/second
1571948533,5,0.025261,0.000000,0.000000,0.000000,events/second
1571948536,5,0.024882,0.000000,0.000000,0.000000,events/second
1571948539,5,0.024516,0.000000,0.000000,0.000000,events/second
1571948542,5,0.024160,0.000000,0.000000,0.000000,events/second
1571948545,5,0.023815,0.000000,0.000000,0.000000,events/second
1571948548,5,0.023480,0.000000,0.000000,0.000000,events/second
1571948551,5,0.023153,0.000000,0.000000,0.000000,events/second
1571948554,5,0.022836,0.000000,0.000000,0.000000,events/second
1571948557,5,0.022527,0.000000,0.000000,0.000000,events/second
1571948560,5,0.022229,0.000000,0.000000,0.000000,events/second
1571948563,5,0.021936,0.000000,0.000000,0.000000,events/second
1571948566,5,0.021650,0.000000,0.000000,0.000000,events/second
1571948569,5,0.021372,0.000000,0.000000,0.000000,events/second
1571948572,5,0.021103,0.000000,0.000000,0.000000,events/second
1571948575,5,0.020838,0.000000,0.000000,0.000000,events/second
1571948578,5,0.020580,0.000000,0.000000,0.000000,events/second
1571948581,7,0.028463,0.000000,0.000000,0.000000,events/second
1571948584,7,0.028118,0.000000,0.000000,0.000000,events/second
1571948587,7,0.027784,0.000000,0.000000,0.000000,events/second
1571948590,7,0.027458,0.000000,0.000000,0.000000,events/second
1571948593,7,0.027138,0.000000,0.000000,0.000000,events/second
1571948596,7,0.026826,0.000000,0.000000,0.000000,events/second
1571948599,7,0.026520,0.000000,0.000000,0.000000,events/second
1571948602,8,0.029969,0.000000,0.000000,0.000000,events/second
1571948605,8,0.029637,0.000000,0.000000,0.000000,events/second
1571948608,8,0.029308,0.000000,0.000000,0.000000,events/second
1571948611,8,0.028992,0.000000,0.000000,0.000000,events/second
1571948614,8,0.028679,0.000000,0.000000,0.000000,events/second
1571948617,8,0.028373,0.000000,0.000000,0.000000,events/second
1571948620,8,0.028075,0.000000,0.000000,0.000000,events/second
1571948623,8,0.027784,0.000000,0.000000,0.000000,events/second
1571948626,8,0.027497,0.000000,0.000000,0.000000,events/second
1571948629,8,0.027215,0.000000,0.000000,0.000000,events/second
1571948632,8,0.026941,0.000000,0.000000,0.000000,events/second
1571948635,8,0.026671,0.000000,0.000000,0.000000,events/second
1571948638,8,0.026408,0.000000,0.000000,0.000000,events/second
1571948641,8,0.026149,0.000000,0.000000,0.000000,events/second
1571948644,8,0.025895,0.000000,0.000000,0.000000,events/second
1571948647,8,0.025645,0.000000,0.000000,0.000000,events/second
1571948650,8,0.025401,0.000000,0.000000,0.000000,events/second
1571948653,8,0.025161,0.000000,0.000000,0.000000,events/second
1571948656,8,0.024927,0.000000,0.000000,0.000000,events/second
1571948659,8,0.024696,0.000000,0.000000,0.000000,events/second
1571948662,8,0.024469,0.000000,0.000000,0.000000,events/second
1571948665,8,0.024247,0.000000,0.000000,0.000000,events/second
1571948668,8,0.024027,0.000000,0.000000,0.000000,events/second
1571948671,8,0.023813,0.000000,0.000000,0.000000,events/second
1571948674,8,0.023602,0.000000,0.000000,0.000000,events/second
1571948677,8,0.023395,0.000000,0.000000,0.000000,events/second
1571948680,8,0.023192,0.000000,0.000000,0.000000,events/second
1571948683,10,0.028739,0.000000,0.000000,0.000000,events/second
1571948686,10,0.028494,0.000000,0.000000,0.000000,events/second
1571948689,10,0.028254,0.000000,0.000000,0.000000,events/second
1571948692,10,0.028016,0.000000,0.000000,0.000000,events/second
1571948695,10,0.027782,0.000000,0.000000,0.000000,events/second
1571948698,11,0.030307,0.000000,0.000000,0.000000,events/second
1571948701,12,0.032792,0.000000,0.000000,0.000000,events/second
1571948704,12,0.032525,0.000000,0.000000,0.000000,events/second
1571948707,12,0.032263,0.000000,0.000000,0.000000,events/second
1571948710,12,0.032004,0.000000,0.000000,0.000000,events/second
1571948713,12,0.031751,0.000000,0.000000,0.000000,events/second
1571948716,12,0.031500,0.000000,0.000000,0.000000,events/second
1571948719,12,0.031254,0.000000,0.000000,0.000000,events/second
1571948722,12,0.031012,0.000000,0.000000,0.000000,events/second
1571948725,12,0.030773,0.000000,0.000000,0.000000,events/second
1571948728,12,0.030538,0.000000,0.000000,0.000000,events/second
1571948731,12,0.030306,0.000000,0.000000,0.000000,events/second
1571948734,12,0.030078,0.000000,0.000000,0.000000,events/second
1571948737,12,0.029854,0.000000,0.000000,0.000000,events/second
1571948740,12,0.029634,0.000000,0.000000,0.000000,events/second
1571948743,12,0.029415,0.000000,0.000000,0.000000,events/second
1571948746,12,0.029201,0.000000,0.000000,0.000000,events/second
1571948749,12,0.028989,0.000000,0.000000,0.000000,events/second
1571948752,12,0.028781,0.000000,0.000000,0.000000,events/second
1571948755,12,0.028575,0.000000,0.000000,0.000000,events/second
1571948758,12,0.028373,0.000000,0.000000,0.000000,events/second
1571948761,13,0.030521,0.000000,0.000000,0.000000,events/second
1571948764,13,0.030307,0.000000,0.000000,0.000000,events/second
1571948767,13,0.030097,0.000000,0.000000,0.000000,events/second
1571948770,13,0.029888,0.000000,0.000000,0.000000,events/second
1571948773,13,0.029684,0.000000,0.000000,0.000000,events/second
1571948776,13,0.029482,0.000000,0.000000,0.000000,events/second
1571948779,13,0.029283,0.000000,0.000000,0.000000,events/second
1571948782,13,0.029086,0.000000,0.000000,0.000000,events/second
1571948785,13,0.028892,0.000000,0.000000,0.000000,events/second
1571948788,13,0.028701,0.000000,0.000000,0.000000,events/second
1571948791,13,0.028512,0.000000,0.000000,0.000000,events/second
1571948794,13,0.028326,0.000000,0.000000,0.000000,events/second
1571948797,13,0.028142,0.000000,0.000000,0.000000,events/second
1571948800,13,0.027960,0.000000,0.000000,0.000000,events/second
1571948803,13,0.027780,0.000000,0.000000,0.000000,events/second
1571948806,13,0.027604,0.000000,0.000000,0.000000,events/second
1571948809,13,0.027429,0.000000,0.000000,0.000000,events/second
1571948812,13,0.027257,0.000000,0.000000,0.000000,events/second
1571948815,13,0.027086,0.000000,0.000000,0.000000,events/second
1571948818,13,0.026918,0.000000,0.000000,0.000000,events/second
1571948821,13,0.026752,0.000000,0.000000,0.000000,events/second
1571948824,13,0.026587,0.000000,0.000000,0.000000,events/second
1571948827,13,0.026425,0.000000,0.000000,0.000000,events/second
1571948830,13,0.026266,0.000000,0.000000,0.000000,events/second
1571948833,13,0.026107,0.000000,0.000000,0.000000,events/second
1571948836,13,0.025951,0.000000,0.000000,0.000000,events/second
1571948839,13,0.025796,0.000000,0.000000,0.000000,events/second
1571948842,13,0.025644,0.000000,0.000000,0.000000,events/second
1571948845,13,0.025493,0.000000,0.000000,0.000000,events/second
1571948848,13,0.025343,0.000000,0.000000,0.000000,events/second
1571948851,13,0.025197,0.000000,0.000000,0.000000,events/second
1571948854,13,0.025050,0.000000,0.000000,0.000000,events/second
1571948857,13,0.024907,0.000000,0.000000,0.000000,events/second
1571948860,13,0.024765,0.000000,0.000000,0.000000,events/second
1571948863,13,0.024624,0.000000,0.000000,0.000000,events/second
1571948866,13,0.024485,0.000000,0.000000,0.000000,events/second
1571948869,13,0.024347,0.000000,0.000000,0.000000,events/second
1571948872,13,0.024211,0.000000,0.000000,0.000000,events/second
1571948875,13,0.024077,0.000000,0.000000,0.000000,events/second
1571948878,13,0.023943,0.000000,0.000000,0.000000,events/second
1571948881,13,0.023811,0.000000,0.000000,0.000000,events/second
1571948884,13,0.023681,0.000000,0.000000,0.000000,events/second
1571948887,13,0.023553,0.000000,0.000000,0.000000,events/second
1571948890,13,0.023426,0.000000,0.000000,0.000000,events/second
1571948893,13,0.023300,0.000000,0.000000,0.000000,events/second
1571948896,13,0.023175,0.000000,0.000000,0.000000,events/second
1571948899,13,0.023052,0.000000,0.000000,0.000000,events/second
1571948902,13,0.022930,0.000000,0.000000,0.000000,events/second
1571948905,13,0.022809,0.000000,0.000000,0.000000,events/second
1571948908,13,0.022689,0.000000,0.000000,0.000000,events/second
1571948911,13,0.022571,0.000000,0.000000,0.000000,events/second
1571948914,13,0.022454,0.000000,0.000000,0.000000,events/second
1571948917,13,0.022339,0.000000,0.000000,0.000000,events/second
1571948920,13,0.022224,0.000000,0.000000,0.000000,events/second
1571948923,13,0.022111,0.000000,0.000000,0.000000,events/second
1571948926,13,0.021999,0.000000,0.000000,0.000000,events/second
1571948929,13,0.021887,0.000000,0.000000,0.000000,events/second
1571948932,13,0.021777,0.000000,0.000000,0.000000,events/second
1571948935,13,0.021669,0.000000,0.000000,0.000000,events/second
1571948938,13,0.021561,0.000000,0.000000,0.000000,events/second
1571948941,13,0.021454,0.000000,0.000000,0.000000,events/second
1571948944,13,0.021348,0.000000,0.000000,0.000000,events/second
1571948947,13,0.021244,0.000000,0.000000,0.000000,events/second
1571948950,13,0.021140,0.000000,0.000000,0.000000,events/second
1571948953,13,0.021037,0.000000,0.000000,0.000000,events/second
1571948956,13,0.020936,0.000000,0.000000,0.000000,events/second
1571948959,13,0.020835,0.000000,0.000000,0.000000,events/second
1571948962,13,0.020736,0.000000,0.000000,0.000000,events/second
1571948965,13,0.020637,0.000000,0.000000,0.000000,events/second
1571948968,14,0.022118,0.000000,0.000000,0.000000,events/second
1571948971,14,0.022015,0.000000,0.000000,0.000000,events/second
1571948974,14,0.021911,0.000000,0.000000,0.000000,events/second
1571948977,14,0.021809,0.000000,0.000000,0.000000,events/second
1571948980,14,0.021707,0.000000,0.000000,0.000000,events/second
1571948983,14,0.021606,0.000000,0.000000,0.000000,events/second
1571948986,14,0.021507,0.000000,0.000000,0.000000,events/second
1571948989,14,0.021409,0.000000,0.000000,0.000000,events/second
1571948992,14,0.021311,0.000000,0.000000,0.000000,events/second
1571948995,14,0.021214,0.000000,0.000000,0.000000,events/second
1571948998,14,0.021118,0.000000,0.000000,0.000000,events/second
1571949001,16,0.024025,0.000000,0.000000,0.000000,events/second
1571949004,17,0.025413,0.000000,0.000000,0.000000,events/second
1571949007,18,0.026788,0.000000,0.000000,0.000000,events/second
1571949010,18,0.026669,0.000000,0.000000,0.000000,events/second
1571949013,20,0.029501,0.000000,0.000000,0.000000,events/second
1571949016,20,0.029371,0.000000,0.000000,0.000000,events/second
1571949019,20,0.029242,0.000000,0.000000,0.000000,events/second
1571949022,20,0.029115,0.000000,0.000000,0.000000,events/second
1571949025,20,0.028988,0.000000,0.000000,0.000000,events/second
1571949028,20,0.028863,0.000000,0.000000,0.000000,events/second
1571949031,20,0.028738,0.000000,0.000000,0.000000,events/second
1571949034,20,0.028614,0.000000,0.000000,0.000000,events/second
1571949037,20,0.028493,0.000000,0.000000,0.000000,events/second
1571949040,21,0.029790,0.000000,0.000000,0.000000,events/second
1571949043,21,0.029663,0.000000,0.000000,0.000000,events/second
1571949046,21,0.029538,0.000000,0.000000,0.000000,events/second
1571949049,21,0.029414,0.000000,0.000000,0.000000,events/second
1571949052,21,0.029291,0.000000,0.000000,0.000000,events/second
1571949055,21,0.029169,0.000000,0.000000,0.000000,events/second
1571949058,21,0.029048,0.000000,0.000000,0.000000,events/second
1571949061,21,0.028928,0.000000,0.000000,0.000000,events/second
1571949064,21,0.028809,0.000000,0.000000,0.000000,events/second
1571949067,21,0.028691,0.000000,0.000000,0.000000,events/second
1571949070,21,0.028573,0.000000,0.000000,0.000000,events/second
1571949073,21,0.028458,0.000000,0.000000,0.000000,events/second
1571949076,21,0.028342,0.000000,0.000000,0.000000,events/second
1571949079,21,0.028228,0.000000,0.000000,0.000000,events/second
1571949082,21,0.028115,0.000000,0.000000,0.000000,events/second
1571949085,21,0.028002,0.000000,0.000000,0.000000,events/second
1571949088,21,0.027890,0.000000,0.000000,0.000000,events/second
1571949091,21,0.027780,0.000000,0.000000,0.000000,events/second
1571949094,21,0.027670,0.000000,0.000000,0.000000,events/second
1571949097,21,0.027561,0.000000,0.000000,0.000000,events/second
1571949100,21,0.027453,0.000000,0.000000,0.000000,events/second
1571949103,21,0.027346,0.000000,0.000000,0.000000,events/second
1571949106,21,0.027239,0.000000,0.000000,0.000000,events/second
1571949109,22,0.028426,0.000000,0.000000,0.000000,events/second
1571949112,22,0.028316,0.000000,0.000000,0.000000,events/second
1571949115,22,0.028207,0.000000,0.000000,0.000000,events/second
1571949118,22,0.028099,0.000000,0.000000,0.000000,events/second
1571949121,22,0.027992,0.000000,0.000000,0.000000,events/second
1571949124,22,0.027885,0.000000,0.000000,0.000000,events/second
1571949127,22,0.027780,0.000000,0.000000,0.000000,events/second
1571949130,22,0.027675,0.000000,0.000000,0.000000,events/second
1571949133,22,0.027571,0.000000,0.000000,0.000000,events/second
1571949136,22,0.027467,0.000000,0.000000,0.000000,events/second
1571949139,22,0.027365,0.000000,0.000000,0.000000,events/second
1571949142,22,0.027264,0.000000,0.000000,0.000000,events/second
1571949145,22,0.027163,0.000000,0.000000,0.000000,events/second
1571949148,22,0.027062,0.000000,0.000000,0.000000,events/second
1571949151,22,0.026963,0.000000,0.000000,0.000000,events/second
1571949154,22,0.026864,0.000000,0.000000,0.000000,events/second
1571949157,22,0.026766,0.000000,0.000000,0.000000,events/second
1571949160,22,0.026669,0.000000,0.000000,0.000000,events/second
1571949163,22,0.026572,0.000000,0.000000,0.000000,events/second
1571949166,22,0.026476,0.000000,0.000000,0.000000,events/second
1571949169,23,0.027579,0.000000,0.000000,0.000000,events/second
1571949172,23,0.027481,0.000000,0.000000,0.000000,events/second
1571949175,23,0.027382,0.000000,0.000000,0.000000,events/second
1571949178,23,0.027285,0.000000,0.000000,0.000000,events/second
1571949181,23,0.027188,0.000000,0.000000,0.000000,events/second
1571949184,23,0.027093,0.000000,0.000000,0.000000,events/second
1571949187,23,0.026997,0.000000,0.000000,0.000000,events/second
1571949190,23,0.026902,0.000000,0.000000,0.000000,events/second
1571949193,23,0.026808,0.000000,0.000000,0.000000,events/second
1571949196,23,0.026715,0.000000,0.000000,0.000000,events/second
1571949199,23,0.026622,0.000000,0.000000,0.000000,events/second
1571949202,23,0.026530,0.000000,0.000000,0.000000,events/second
1571949205,23,0.026438,0.000000,0.000000,0.000000,events/second
1571949208,23,0.026348,0.000000,0.000000,0.000000,events/second
1571949211,23,0.026257,0.000000,0.000000,0.000000,events/second
1571949214,23,0.026168,0.000000,0.000000,0.000000,events/second
1571949217,23,0.026079,0.000000,0.000000,0.000000,events/second
1571949220,23,0.025990,0.000000,0.000000,0.000000,events/second
1571949223,23,0.025903,0.000000,0.000000,0.000000,events/second
1571949226,23,0.025815,0.000000,0.000000,0.000000,events/second
1571949229,23,0.025729,0.000000,0.000000,0.000000,events/second
1571949232,23,0.025642,0.000000,0.000000,0.000000,events/second
1571949235,23,0.025557,0.000000,0.000000,0.000000,events/second
1571949238,23,0.025472,0.000000,0.000000,0.000000,events/second
1571949241,23,0.025388,0.000000,0.000000,0.000000,events/second
1571949244,23,0.025304,0.000000,0.000000,0.000000,events/second
1571949247,23,0.025221,0.000000,0.000000,0.000000,events/second
1571949250,23,0.025138,0.000000,0.000000,0.000000,events/second
1571949253,23,0.025056,0.000000,0.000000,0.000000,events/second
1571949256,23,0.024974,0.000000,0.000000,0.000000,events/second
1571949259,23,0.024893,0.000000,0.000000,0.000000,events/second
1571949262,23,0.024813,0.000000,0.000000,0.000000,events/second
1571949265,23,0.024733,0.000000,0.000000,0.000000,events/second
1571949268,23,0.024653,0.000000,0.000000,0.000000,events/second
1571949271,23,0.024574,0.000000,0.000000,0.000000,events/second
1571949274,23,0.024495,0.000000,0.000000,0.000000,events/second
1571949277,23,0.024417,0.000000,0.000000,0.000000,events/second
1571949280,23,0.024340,0.000000,0.000000,0.000000,events/second
1571949283,23,0.024263,0.000000,0.000000,0.000000,events/second
1571949286,23,0.024186,0.000000,0.000000,0.000000,events/second
1571949289,23,0.024111,0.000000,0.000000,0.000000,events/second
1571949292,23,0.024035,0.000000,0.000000,0.000000,events/second
1571949295,23,0.023960,0.000000,0.000000,0.000000,events/second
1571949298,23,0.023885,0.000000,0.000000,0.000000,events/second
1571949301,23,0.023811,0.000000,0.000000,0.000000,events/second
1571949304,23,0.023737,0.000000,0.000000,0.000000,events/second
1571949307,23,0.023664,0.000000,0.000000,0.000000,events/second
1571949310,23,0.023591,0.000000,0.000000,0.000000,events/second
1571949313,23,0.023519,0.000000,0.000000,0.000000,events/second
1571949316,23,0.023447,0.000000,0.000000,0.000000,events/second
1571949319,23,0.023375,0.000000,0.000000,0.000000,events/second
1571949322,23,0.023304,0.000000,0.000000,0.000000,events/second
