t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948341,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948344,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948347,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948350,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948353,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948356,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948359,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948362,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948365,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948368,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948371,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948374,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948377,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948380,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948383,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948386,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948389,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948392,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948395,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948398,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948401,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948404,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948407,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948410,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948413,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948416,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948419,66,0.786289,0.000000,0.000000,0.000000,events/second
1571948422,66,0.759086,0.000000,0.000000,0.000000,events/second
1571948425,66,0.733778,0.000000,0.000000,0.000000,events/second
1571948428,66,0.710027,0.000000,0.000000,0.000000,events/second
1571948431,66,0.687765,0.000000,0.000000,0.000000,events/second
1571948434,66,0.667005,0.000000,0.000000,0.000000,events/second
1571948437,66,0.647460,0.000000,0.000000,0.000000,events/second
1571948440,66,0.628903,0.000000,0.000000,0.000000,events/second
1571948443,66,0.611395,0.000000,0.000000,0.000000,events/second
1571948446,66,0.594904,0.000000,0.000000,0.000000,events/second
1571948449,66,0.579219,0.000000,0.000000,0.000000,events/second
1571948452,66,0.564368,0.000000,0.000000,0.000000,events/second
1571948455,66,0.550290,0.000000,0.000000,0.000000,events/second
1571948458,66,0.536804,0.000000,0.000000,0.000000,events/second
1571948461,66,0.524074,0.000000,0.000000,0.000000,events/second
1571948464,66,0.511819,0.000000,0.000000,0.000000,events/second
1571948467,66,0.500219,0.000000,0.000000,0.000000,events/second
1571948470,66,0.489058,0.000000,0.000000,0.000000,events/second
1571948473,66,0.478376,0.000000,0.000000,0.000000,events/second
1571948476,66,0.468248,0.000000,0.000000,0.000000,events/second
1571948479,66,0.458488,0.000000,0.000000,0.000000,events/second
1571948482,161,1.095692,0.000000,0.000000,0.000000,events/second
1571948485,161,1.073735,0.000000,0.000000,0.000000,events/second
1571948488,161,1.052589,0.000000,0.000000,0.000000,events/second
1571948491,161,1.032443,0.000000,0.000000,0.000000,events/second
1571948494,161,1.012927,0.000000,0.000000,0.000000,events/second
1571948497,161,0.994137,0.000000,0.000000,0.000000,events/second
1571948500,161,0.976062,0.000000,0.000000,0.000000,events/second
1571948503,325,1.935242,0.000000,0.000000,0.000000,events/second
1571948506,325,1.901204,0.000000,0.000000,0.000000,events/second
1571948509,325,1.868447,0.000000,0.000000,0.000000,events/second
1571948512,325,1.836622,0.000000,0.000000,0.000000,events/second
1571948515,325,1.806064,0.000000,0.000000,0.000000,events/second
1571948518,325,1.776408,0.000000,0.000000,0.000000,events/second
1571948521,325,1.747894,0.000000,0.000000,0.000000,events/second
1571948524,325,1.720080,0.000000,0.000000,0.000000,events/second
1571948527,325,1.693276,0.000000,0.000000,0.000000,events/second
1571948530,325,1.667192,0.000000,0.000000,0.000000,events/second
1571948533,325,1.641937,0.000000,0.000000,0.000000,events/second
1571948536,325,1.617305,0.000000,0.000000,0.000000,events/second
1571948539,325,1.593560,0.000000,0.000000,0.000000,events/second
1571948542,325,1.570400,0.000000,0.000000,0.000000,events/second
1571948545,325,1.547988,0.000000,0.000000,0.000000,events/second
1571948548,325,1.526219,0.000000,0.000000,0.000000,events/second
1571948551,325,1.504953,0.000000,0.000000,0.000000,events/second
1571948554,325,1.484371,0.000000,0.000000,0.000000,events/second
1571948557,325,1.464262,0.000000,0.000000,0.000000,events/second
1571948560,325,1.444864,0.000000,0.000000,0.000000,events/second
1571948563,325,1.425813,0.000000,0.000000,0.000000,events/second
1571948566,325,1.407268,0.000000,0.000000,0.000000,events/second
1571948569,325,1.389214,0.000000,0.000000,0.000000,events/second
1571948572,325,1.371675,0.000000,0.000000,0.000000,events/second
1571948575,325,1.354495,0.000000,0.000000,0.000000,events/second
1571948578,325,1.337723,0.000000,0.000000,0.000000,events/second
1571948581,481,1.955792,0.000000,0.000000,0.000000,events/second
1571948584,481,1.932102,0.000000,0.000000,0.000000,events/second
1571948587,481,1.909176,0.000000,0.000000,0.000000,events/second
1571948590,481,1.886744,0.000000,0.000000,0.000000,events/second
1571948593,481,1.864766,0.000000,0.000000,0.000000,events/second
1571948596,481,1.843307,0.000000,0.000000,0.000000,events/second
1571948599,481,1.822276,0.000000,0.000000,0.000000,events/second
1571948602,502,1.880540,0.000000,0.000000,0.000000,events/second
1571948605,502,1.859698,0.000000,0.000000,0.000000,events/second
1571948608,502,1.839091,0.000000,0.000000,0.000000,events/second
1571948611,502,1.819263,0.000000,0.000000,0.000000,events/second
1571948614,502,1.799631,0.000000,0.000000,0.000000,events/second
1571948617,502,1.780431,0.000000,0.000000,0.000000,events/second
1571948620,502,1.761713,0.000000,0.000000,0.000000,events/second
1571948623,502,1.743449,0.000000,0.000000,0.000000,events/second
1571948626,502,1.725416,0.000000,0.000000,0.000000,events/second
1571948629,502,1.707773,0.000000,0.000000,0.000000,events/second
1571948632,502,1.690549,0.000000,0.000000,0.000000,events/second
1571948635,502,1.673586,0.000000,0.000000,0.000000,events/second
1571948638,502,1.657073,0.000000,0.000000,0.000000,events/second
1571948641,502,1.640868,0.000000,0.000000,0.000000,events/second
1571948644,502,1.624931,0.000000,0.000000,0.000000,events/second
1571948647,502,1.609220,0.000000,0.000000,0.000000,events/second
1571948650,502,1.593941,0.000000,0.000000,0.000000,events/second
1571948653,502,1.578867,0.000000,0.000000,0.000000,events/second
1571948656,502,1.564182,0.000000,0.000000,0.000000,events/second
1571948659,502,1.549663,0.000000,0.000000,0.000000,events/second
1571948662,502,1.535405,0.000000,0.000000,0.000000,events/second
1571948665,502,1.521484,0.000000,0.000000,0.000000,events/second
1571948668,502,1.507720,0.000000,0.000000,0.000000,events/second
1571948671,502,1.494282,0.000000,0.000000,0.000000,events/second
1571948674,502,1.481037,0.000000,0.000000,0.000000,events/second
1571948677,502,1.468007,0.000000,0.000000,0.000000,events/second
1571948680,502,1.455304,0.000000,0.000000,0.000000,events/second
1571948683,731,2.100827,0.000000,0.000000,0.000000,events/second
1571948686,731,2.082941,0.000000,0.000000,0.000000,events/second
1571948689,731,2.065353,0.000000,0.000000,0.000000,events/second
1571948692,731,2.047974,0.000000,0.000000,0.000000,events/second
1571948695,731,2.030898,0.000000,0.000000,0.000000,events/second
1571948698,746,2.055374,0.000000,0.000000,0.000000,events/second
1571948701,845,2.309126,0.000000,0.000000,0.000000,events/second
1571948704,845,2.290300,0.000000,0.000000,0.000000,events/second
1571948707,845,2.271849,0.000000,0.000000,0.000000,events/second
1571948710,845,2.253632,0.000000,0.000000,0.000000,events/second
1571948713,845,2.235782,0.000000,0.000000,0.000000,events/second
1571948716,845,2.218159,0.000000,0.000000,0.000000,events/second
1571948719,845,2.200815,0.000000,0.000000,0.000000,events/second
1571948722,845,2.183741,0.000000,0.000000,0.000000,events/second
1571948725,845,2.166966,0.000000,0.000000,0.000000,events/second
1571948728,845,2.150399,0.000000,0.000000,0.000000,events/second
1571948731,845,2.134061,0.000000,0.000000,0.000000,events/second
1571948734,845,2.117972,0.000000,0.000000,0.000000,events/second
1571948737,845,2.102238,0.000000,0.000000,0.000000,events/second
1571948740,845,2.086751,0.000000,0.000000,0.000000,events/second
1571948743,845,2.071338,0.000000,0.000000,0.000000,events/second
1571948746,845,2.056233,0.000000,0.000000,0.000000,events/second
1571948749,845,2.041284,0.000000,0.000000,0.000000,events/second
1571948752,845,2.026694,0.000000,0.000000,0.000000,events/second
1571948755,845,2.012142,0.000000,0.000000,0.000000,events/second
1571948758,845,1.997942,0.000000,0.000000,0.000000,events/second
1571948761,902,2.117691,0.000000,0.000000,0.000000,events/second
1571948764,902,2.102848,0.000000,0.000000,0.000000,events/second
1571948767,902,2.088277,0.000000,0.000000,0.000000,events/second
1571948770,902,2.073801,0.000000,0.000000,0.000000,events/second
1571948773,902,2.059622,0.000000,0.000000,0.000000,events/second
1571948776,902,2.045589,0.000000,0.000000,0.000000,events/second
1571948779,902,2.031789,0.000000,0.000000,0.000000,events/second
1571948782,902,2.018117,0.000000,0.000000,0.000000,events/second
1571948785,902,2.004676,0.000000,0.000000,0.000000,events/second
1571948788,902,1.991421,0.000000,0.000000,0.000000,events/second
1571948791,902,1.978277,0.000000,0.000000,0.000000,events/second
1571948794,902,1.965368,0.000000,0.000000,0.000000,events/second
1571948797,902,1.952625,0.000000,0.000000,0.000000,events/second
1571948800,902,1.939979,0.000000,0.000000,0.000000,events/second
1571948803,902,1.927511,0.000000,0.000000,0.000000,events/second
1571948806,902,1.915283,0.000000,0.000000,0.000000,events/second
1571948809,902,1.903166,0.000000,0.000000,0.000000,events/second
1571948812,902,1.891243,0.000000,0.000000,0.000000,events/second
1571948815,902,1.879375,0.000000,0.000000,0.000000,events/second
1571948818,902,1.867683,0.000000,0.000000,0.000000,events/second
1571948821,902,1.856205,0.000000,0.000000,0.000000,events/second
1571948824,902,1.844759,0.000000,0.000000,0.000000,events/second
1571948827,902,1.833511,0.000000,0.000000,0.000000,events/second
1571948830,902,1.822445,0.000000,0.000000,0.000000,events/second
1571948833,902,1.811426,0.000000,0.000000,0.000000,events/second
1571948836,902,1.800618,0.000000,0.000000,0.000000,events/second
1571948839,902,1.789860,0.000000,0.000000,0.000000,events/second
1571948842,902,1.779322,0.000000,0.000000,0.000000,events/second
1571948845,902,1.768825,0.000000,0.000000,0.000000,events/second
1571948848,902,1.758427,0.000000,0.000000,0.000000,events/second
1571948851,902,1.748255,0.000000,0.000000,0.000000,events/second
1571948854,902,1.738110,0.000000,0.000000,0.000000,events/second
1571948857,902,1.728134,0.000000,0.000000,0.000000,events/second
1571948860,902,1.718291,0.000000,0.000000,0.000000,events/second
1571948863,902,1.708507,0.000000,0.000000,0.000000,events/second
1571948866,902,1.698865,0.000000,0.000000,0.000000,events/second
1571948869,902,1.689283,0.000000,0.000000,0.000000,events/second
1571948872,902,1.679861,0.000000,0.000000,0.000000,events/second
1571948875,902,1.670542,0.000000,0.000000,0.000000,events/second
1571948878,902,1.661282,0.000000,0.000000,0.000000,events/second
1571948881,902,1.652138,0.000000,0.000000,0.000000,events/second
1571948884,902,1.643127,0.000000,0.000000,0.000000,events/second
1571948887,902,1.634221,0.000000,0.000000,0.000000,events/second
1571948890,902,1.625403,0.000000,0.000000,0.000000,events/second
1571948893,902,1.616633,0.000000,0.000000,0.000000,events/second
1571948896,902,1.608000,0.000000,0.000000,0.000000,events/second
1571948899,902,1.599460,0.000000,0.000000,0.000000,events/second
1571948902,902,1.591012,0.000000,0.000000,0.000000,events/second
1571948905,902,1.582615,0.000000,0.000000,0.000000,events/second
1571948908,902,1.574300,0.000000,0.000000,0.000000,events/second
1571948911,902,1.566108,0.000000,0.000000,0.000000,events/second
1571948914,902,1.557971,0.000000,0.000000,0.000000,events/second
1571948917,902,1.549969,0.000000,0.000000,0.000000,events/second
1571948920,902,1.542013,0.000000,0.000000,0.000000,events/second
1571948923,902,1.534141,0.000000,0.000000,0.000000,events/second
1571948926,902,1.526374,0.000000,0.000000,0.000000,events/second
1571948929,902,1.518635,0.000000,0.000000,0.000000,events/second
1571948932,902,1.511014,0.000000,0.000000,0.000000,events/second
1571948935,902,1.503473,0.000000,0.000000,0.000000,events/second
1571948938,902,1.495987,0.000000,0.000000,0.000000,events/second
1571948941,902,1.488566,0.000000,0.000000,0.000000,events/second
1571948944,902,1.481226,0.000000,0.000000,0.000000,events/second
1571948947,902,1.473996,0.000000,0.000000,0.000000,events/second
1571948950,902,1.466779,0.000000,0.000000,0.000000,events/second
1571948953,902,1.459672,0.000000,0.000000,0.000000,events/second
1571948956,902,1.452643,0.000000,0.000000,0.000000,events/second
1571948959,902,1.445635,0.000000,0.000000,0.000000,events/second
1571948962,902,1.438746,0.000000,0.000000,0.000000,events/second
1571948965,902,1.431869,0.000000,0.000000,0.000000,events/second
1571948968,1172,1.851627,0.000000,0.000000,0.000000,events/second
1571948971,1172,1.842939,0.000000,0.000000,0.000000,events/second
1571948974,1172,1.834296,0.000000,0.000000,0.000000,events/second
1571948977,1172,1.825718,0.000000,0.000000,0.000000,events/second
1571948980,1172,1.817177,0.000000,0.000000,0.000000,events/second
1571948983,1172,1.808771,0.000000,0.000000,0.000000,events/second
1571948986,1172,1.800455,0.000000,0.000000,0.000000,events/second
1571948989,1172,1.792224,0.000000,0.000000,0.000000,events/second
1571948992,1172,1.784021,0.000000,0.000000,0.000000,events/second
1571948995,1172,1.775916,0.000000,0.000000,0.000000,events/second
1571948998,1172,1.767894,0.000000,0.000000,0.000000,events/second
1571949001,1830,2.747909,0.000000,0.000000,0.000000,events/second
1571949004,2149,3.212483,0.000000,0.000000,0.000000,events/second
1571949007,2187,3.254777,0.000000,0.000000,0.000000,events/second
1571949010,2187,3.240303,0.000000,0.000000,0.000000,events/second
1571949013,2209,3.258393,0.000000,0.000000,0.000000,events/second
1571949016,2209,3.244023,0.000000,0.000000,0.000000,events/second
1571949019,2209,3.229829,0.000000,0.000000,0.000000,events/second
1571949022,2209,3.215732,0.000000,0.000000,0.000000,events/second
1571949025,2209,3.201703,0.000000,0.000000,0.000000,events/second
1571949028,2209,3.187885,0.000000,0.000000,0.000000,events/second
1571949031,2209,3.174109,0.000000,0.000000,0.000000,events/second
1571949034,2209,3.160452,0.000000,0.000000,0.000000,events/second
1571949037,2209,3.147001,0.000000,0.000000,0.000000,events/second
1571949040,2238,3.174762,0.000000,0.000000,0.000000,events/second
1571949043,2238,3.161253,0.000000,0.000000,0.000000,events/second
1571949046,2238,3.147919,0.000000,0.000000,0.000000,events/second
1571949049,2238,3.134673,0.000000,0.000000,0.000000,events/second
1571949052,2238,3.121592,0.000000,0.000000,0.000000,events/second
1571949055,2238,3.108571,0.000000,0.000000,0.000000,events/second
1571949058,2238,3.095670,0.000000,0.000000,0.000000,events/second
1571949061,2238,3.082921,0.000000,0.000000,0.000000,events/second
1571949064,2238,3.070166,0.000000,0.000000,0.000000,events/second
1571949067,2238,3.057629,0.000000,0.000000,0.000000,events/second
1571949070,2238,3.045106,0.000000,0.000000,0.000000,events/second
1571949073,2238,3.032783,0.000000,0.000000,0.000000,events/second
1571949076,2238,3.020468,0.000000,0.000000,0.000000,events/second
1571949079,2238,3.008306,0.000000,0.000000,0.000000,events/second
1571949082,2238,2.996248,0.000000,0.000000,0.000000,events/second
1571949085,2238,2.984239,0.000000,0.000000,0.000000,events/second
1571949088,2238,2.972320,0.000000,0.000000,0.000000,events/second
1571949091,2238,2.960571,0.000000,0.000000,0.000000,events/second
1571949094,2238,2.948872,0.000000,0.000000,0.000000,events/second
1571949097,2238,2.937248,0.000000,0.000000,0.000000,events/second
1571949100,2238,2.925742,0.000000,0.000000,0.000000,events/second
1571949103,2238,2.914294,0.000000,0.000000,0.000000,events/second
1571949106,2238,2.902953,0.000000,0.000000,0.000000,events/second
1571949109,2916,3.767681,0.000000,0.000000,0.000000,events/second
1571949112,2916,3.753208,0.000000,0.000000,0.000000,events/second
1571949115,2916,3.738762,0.000000,0.000000,0.000000,events/second
1571949118,2916,3.724350,0.000000,0.000000,0.000000,events/second
1571949121,2916,3.710224,0.000000,0.000000,0.000000,events/second
1571949124,2916,3.696061,0.000000,0.000000,0.000000,events/second
1571949127,2916,3.682088,0.000000,0.000000,0.000000,events/second
1571949130,2916,3.668169,0.000000,0.000000,0.000000,events/second
1571949133,2916,3.654380,0.000000,0.000000,0.000000,events/second
1571949136,2916,3.640667,0.000000,0.000000,0.000000,events/second
1571949139,2916,3.627145,0.000000,0.000000,0.000000,events/second
1571949142,2916,3.613677,0.000000,0.000000,0.000000,events/second
1571949145,2916,3.600283,0.000000,0.000000,0.000000,events/second
1571949148,2916,3.586998,0.000000,0.000000,0.000000,events/second
1571949151,2916,3.573764,0.000000,0.000000,0.000000,events/second
1571949154,2916,3.560698,0.000000,0.000000,0.000000,events/second
1571949157,2916,3.547666,0.000000,0.000000,0.000000,events/second
1571949160,2916,3.534819,0.000000,0.000000,0.000000,events/second
1571949163,2916,3.522011,0.000000,0.000000,0.000000,events/second
1571949166,2916,3.509259,0.000000,0.000000,0.000000,events/second
1571949169,3076,3.688456,0.000000,0.000000,0.000000,events/second
1571949172,3076,3.675262,0.000000,0.000000,0.000000,events/second
1571949175,3076,3.662105,0.000000,0.000000,0.000000,events/second
1571949178,3076,3.649137,0.000000,0.000000,0.000000,events/second
1571949181,3076,3.636130,0.000000,0.000000,0.000000,events/second
1571949184,3076,3.623343,0.000000,0.000000,0.000000,events/second
1571949187,3076,3.610534,0.000000,0.000000,0.000000,events/second
1571949190,3076,3.597898,0.000000,0.000000,0.000000,events/second
1571949193,3076,3.585334,0.000000,0.000000,0.000000,events/second
1571949196,3076,3.572792,0.000000,0.000000,0.000000,events/second
1571949199,3076,3.560408,0.000000,0.000000,0.000000,events/second
1571949202,3076,3.548128,0.000000,0.000000,0.000000,events/second
1571949205,3076,3.535857,0.000000,0.000000,0.000000,events/second
1571949208,3076,3.523719,0.000000,0.000000,0.000000,events/second
1571949211,3076,3.511602,0.000000,0.000000,0.000000,events/second
1571949214,3076,3.499666,0.000000,0.000000,0.000000,events/second
1571949217,3076,3.487729,0.000000,0.000000,0.000000,events/second
1571949220,3076,3.475925,0.000000,0.000000,0.000000,events/second
1571949223,3076,3.464220,0.000000,0.000000,0.000000,events/second
1571949226,3076,3.452511,0.000000,0.000000,0.000000,events/second
1571949229,3076,3.440938,0.000000,0.000000,0.000000,events/second
1571949232,3076,3.429396,0.000000,0.000000,0.000000,events/second
1571949235,3076,3.417979,0.000000,0.000000,0.000000,events/second
1571949238,3076,3.406653,0.000000,0.000000,0.000000,events/second
1571949241,3076,3.395318,0.000000,0.000000,0.000000,events/second
1571949244,3076,3.384090,0.000000,0.000000,0.000000,events/second
1571949247,3076,3.372997,0.000000,0.000000,0.000000,events/second
1571949250,3076,3.361958,0.000000,0.000000,0.000000,events/second
1571949253,3076,3.350935,0.000000,0.000000,0.000000,events/second
1571949256,3076,3.340036,0.000000,0.000000,0.000000,events/second
1571949259,3076,3.329208,0.000000,0.000000,0.000000,events/second
1571949262,3076,3.318460,0.000000,0.000000,0.000000,events/second
1571949265,3076,3.307728,0.000000,0.000000,0.000000,events/second
1571949268,3076,3.297106,0.000000,0.000000,0.000000,events/second
1571949271,3076,3.286499,0.000000,0.000000,0.000000,events/second
1571949274,3076,3.275965,0.000000,0.000000,0.000000,events/second
1571949277,3076,3.265568,0.000000,0.000000,0.000000,events/second
1571949280,3076,3.255224,0.000000,0.000000,0.000000,events/second
1571949283,3076,3.244901,0.000000,0.000000,0.000000,events/second
1571949286,3076,3.234677,0.000000,0.000000,0.000000,events/second
1571949289,3076,3.224520,0.000000,0.000000,0.000000,events/second
1571949292,3076,3.214377,0.000000,0.000000,0.000000,events/second
1571949295,3076,3.204354,0.000000,0.000000,0.000000,events/second
1571949298,3076,3.194383,0.000000,0.000000,0.000000,events/second
1571949301,3076,3.184433,0.000000,0.000000,0.000000,events/second
1571949304,3076,3.174545,0.000000,0.000000,0.000000,events/second
1571949307,3076,3.164784,0.000000,0.000000,0.000000,events/second
1571949310,3076,3.155060,0.000000,0.000000,0.000000,events/second
1571949313,3076,3.145347,0.000000,0.000000,0.000000,events/second
