t,value
1571948338,0
1571948341,0
1571948344,0
1571948347,0
1571948350,0
1571948353,0
1571948356,0
1571948359,0
1571948362,0
1571948365,0
1571948368,0
1571948371,0
1571948374,0
1571948377,0
1571948380,0
1571948383,0
1571948386,0
1571948389,0
1571948392,0
1571948395,0
1571948398,0
1571948401,0
1571948404,0
1571948407,0
1571948410,0
1571948413,0
1571948416,0
1571948419,40
1571948422,40
1571948425,40
1571948428,40
1571948431,40
1571948434,40
1571948437,40
1571948440,40
1571948443,40
1571948446,40
1571948449,40
1571948452,40
1571948455,40
1571948458,40
1571948461,40
1571948464,40
1571948467,40
1571948470,40
1571948473,40
1571948476,40
1571948479,40
1571948482,1
1571948485,1
1571948488,1
1571948491,1
1571948494,1
1571948497,1
1571948500,1
1571948503,1
1571948506,1
1571948509,1
1571948512,1
1571948515,1
1571948518,1
1571948521,1
1571948524,1
1571948527,1
1571948530,1
1571948533,1
1571948536,1
1571948539,1
1571948542,1
1571948545,1
1571948548,1
1571948551,1
1571948554,1
1571948557,1
1571948560,1
1571948563,1
1571948566,1
1571948569,1
1571948572,1
1571948575,1
1571948578,1
1571948581,41
1571948584,41
1571948587,41
1571948590,41
1571948593,41
1571948596,41
1571948599,41
1571948602,41
1571948605,41
1571948608,41
1571948611,41
1571948614,41
1571948617,41
1571948620,41
1571948623,41
1571948626,41
1571948629,41
1571948632,41
1571948635,41
1571948638,41
1571948641,41
1571948644,41
1571948647,41
1571948650,41
1571948653,41
1571948656,41
1571948659,41
1571948662,41
1571948665,41
1571948668,41
1571948671,41
1571948674,41
1571948677,41
1571948680,41
1571948683,41
1571948686,41
1571948689,2
1571948692,2
1571948695,2
1571948698,2
1571948701,42
1571948704,42
1571948707,42
1571948710,42
1571948713,42
1571948716,42
1571948719,42
1571948722,42
1571948725,42
1571948728,42
1571948731,42
1571948734,42
1571948737,42
1571948740,42
1571948743,42
1571948746,42
1571948749,42
1571948752,42
1571948755,42
1571948758,42
1571948761,42
1571948764,42
1571948767,42
1571948770,42
