t,value
1571948338,0
1571948341,0
1571948344,0
1571948347,0
1571948350,0
1571948353,0
1571948356,0
1571948359,0
1571948362,0
1571948365,0
1571948368,0
1571948371,0
1571948374,0
1571948377,0
1571948380,0
1571948383,0
1571948386,0
1571948389,0
1571948392,0
1571948395,0
1571948398,0
1571948401,0
1571948404,0
1571948407,0
1571948410,0
1571948413,0
1571948416,0
1571948419,120
1571948422,120
1571948425,120
1571948428,120
1571948431,120
1571948434,120
1571948437,120
1571948440,120
1571948443,120
1571948446,120
1571948449,120
1571948452,120
1571948455,120
1571948458,120
1571948461,120
1571948464,120
1571948467,120
1571948470,120
1571948473,120
1571948476,120
1571948479,120
1571948482,4
1571948485,4
1571948488,4
1571948491,4
1571948494,4
1571948497,4
1571948500,4
1571948503,4
1571948506,4
1571948509,4
1571948512,4
1571948515,4
1571948518,4
1571948521,4
1571948524,4
1571948527,4
1571948530,4
1571948533,4
1571948536,4
1571948539,4
1571948542,4
1571948545,4
1571948548,4
1571948551,4
1571948554,4
1571948557,4
1571948560,4
1571948563,4
1571948566,4
1571948569,4
1571948572,4
1571948575,4
1571948578,4
1571948581,124
1571948584,124
1571948587,124
1571948590,124
1571948593,124
1571948596,124
1571948599,124
1571948602,124
1571948605,124
1571948608,124
1571948611,124
1571948614,124
1571948617,124
1571948620,124
1571948623,124
1571948626,124
1571948629,124
1571948632,124
1571948635,124
1571948638,124
1571948641,124
1571948644,124
1571948647,124
1571948650,124
1571948653,124
1571948656,124
1571948659,124
1571948662,124
1571948665,124
1571948668,124
1571948671,124
1571948674,124
1571948677,124
1571948680,124
1571948683,124
1571948686,124
1571948689,8
1571948692,8
1571948695,8
1571948698,8
1571948701,128
1571948704,128
1571948707,128
1571948710,128
1571948713,128
1571948716,128
1571948719,128
1571948722,128
1571948725,128
1571948728,128
1571948731,128
1571948734,128
1571948737,128
1571948740,128
1571948743,128
1571948746,128
1571948749,128
1571948752,128
1571948755,128
1571948758,128
1571948761,128
1571948764,128
1571948767,128
1571948770,128
