t,value
1571948338,0
1571948341,0
1571948344,0
1571948347,0
1571948350,0
1571948353,0
1571948356,0
1571948359,0
1571948362,0
1571948365,0
1571948368,0
1571948371,0
1571948374,0
1571948377,0
1571948380,0
1571948383,0
1571948386,0
1571948389,0
1571948392,0
1571948395,0
1571948398,0
1571948401,0
1571948404,0
1571948407,0
1571948410,0
1571948413,0
1571948416,0
1571948419,0
1571948422,0
1571948425,0
1571948428,0
1571948431,0
1571948434,0
1571948437,0
1571948440,0
1571948443,0
1571948446,0
1571948449,0
1571948452,0
1571948455,0
1571948458,0
1571948461,0
1571948464,0
1571948467,0
1571948470,0
1571948473,0
1571948476,0
1571948479,0
1571948482,0
1571948485,0
1571948488,0
1571948491,0
1571948494,0
1571948497,0
1571948500,0
1571948503,0
1571948506,0
1571948509,0
1571948512,0
1571948515,0
1571948518,0
1571948521,0
1571948524,0
1571948527,0
1571948530,0
1571948533,0
1571948536,0
1571948539,0
1571948542,0
1571948545,0
1571948548,0
1571948551,0
1571948554,0
1571948557,0
1571948560,0
1571948563,0
1571948566,0
1571948569,0
1571948572,0
1571948575,0
1571948578,0
1571948581,0
1571948584,0
1571948587,0
1571948590,20
1571948593,20
1571948596,20
1571948599,20
1571948602,20
1571948605,20
1571948608,20
1571948611,20
1571948614,20
1571948617,20
1571948620,20
1571948623,20
1571948626,20
1571948629,20
1571948632,20
1571948635,20
1571948638,20
1571948641,20
1571948644,20
1571948647,20
1571948650,20
1571948653,20
1571948656,20
1571948659,20
1571948662,20
1571948665,20
1571948668,20
1571948671,20
1571948674,20
1571948677,20
1571948680,20
1571948683,20
1571948686,20
1571948689,8
1571948692,8
1571948695,8
1571948698,8
1571948701,8
1571948704,8
1571948707,8
1571948710,8
1571948713,8
1571948716,8
1571948719,8
1571948722,8
1571948725,8
1571948728,8
1571948731,8
1571948734,8
1571948737,8
1571948740,8
1571948743,8
1571948746,8
1571948749,8
1571948752,8
1571948755,8
1571948758,28
1571948761,28
1571948764,28
1571948767,28
1571948770,28
