t,value
1571948338,0
1571948341,0
1571948344,0
1571948347,0
1571948350,0
1571948353,0
1571948356,0
1571948359,0
1571948362,0
1571948365,0
1571948368,0
1571948371,0
1571948374,0
1571948377,0
1571948380,0
1571948383,0
1571948386,0
1571948389,0
1571948392,0
1571948395,0
1571948398,0
1571948401,0
1571948404,0
1571948407,0
1571948410,0
1571948413,0
1571948416,0
1571948419,0
1571948422,0
1571948425,0
1571948428,0
1571948431,0
1571948434,0
1571948437,0
1571948440,0
1571948443,0
1571948446,0
1571948449,0
1571948452,0
1571948455,0
1571948458,0
1571948461,0
1571948464,0
1571948467,0
1571948470,0
1571948473,0
1571948476,0
1571948479,0
1571948482,0
1571948485,0
1571948488,0
1571948491,0
1571948494,0
1571948497,0
1571948500,0
1571948503,0
1571948506,0
1571948509,0
1571948512,0
1571948515,0
1571948518,0
1571948521,0
1571948524,0
1571948527,0
1571948530,0
1571948533,0
1571948536,0
1571948539,0
1571948542,0
1571948545,0
1571948548,0
1571948551,0
1571948554,0
1571948557,0
1571948560,0
1571948563,0
1571948566,0
1571948569,0
1571948572,0
1571948575,0
1571948578,0
1571948581,0
1571948584,0
1571948587,0
1571948590,1
1571948593,1
1571948596,1
1571948599,1
1571948602,1
1571948605,1
1571948608,1
1571948611,1
1571948614,1
1571948617,1
1571948620,1
1571948623,1
1571948626,1
1571948629,1
1571948632,1
1571948635,1
1571948638,1
1571948641,1
1571948644,1
1571948647,1
1571948650,1
1571948653,1
1571948656,1
1571948659,1
1571948662,1
1571948665,1
1571948668,1
1571948671,1
1571948674,1
1571948677,1
1571948680,1
1571948683,1
1571948686,1
1571948689,1
1571948692,1
1571948695,1
1571948698,1
1571948701,1
1571948704,1
1571948707,1
1571948710,1
1571948713,1
1571948716,1
1571948719,1
1571948722,1
1571948725,1
1571948728,1
1571948731,1
1571948734,1
1571948737,1
1571948740,1
1571948743,1
1571948746,1
1571948749,1
1571948752,1
1571948755,1
1571948758,1
1571948761,1
1571948764,1
1571948767,1
1571948770,1
