t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,14,4.411265,0.000000,0.000000,0.000000,events/second
1571948341,14,2.339159,0.000000,0.000000,0.000000,events/second
1571948344,14,1.556050,0.000000,0.000000,0.000000,events/second
1571948347,14,1.168238,0.000000,0.000000,0.000000,events/second
1571948350,14,0.934428,0.000000,0.000000,0.000000,events/second
1571948353,14,0.778276,0.000000,0.000000,0.000000,events/second
1571948356,14,0.666236,0.000000,0.000000,0.000000,events/second
1571948359,14,0.583160,0.000000,0.000000,0.000000,events/second
1571948362,14,0.518686,0.000000,0.000000,0.000000,events/second
1571948365,14,0.466452,0.000000,0.000000,0.000000,events/second
1571948368,14,0.424413,0.000000,0.000000,0.000000,events/second
1571948371,14,0.389018,0.000000,0.000000,0.000000,events/second
1571948374,14,0.359163,0.000000,0.000000,0.000000,events/second
1571948377,14,0.333477,0.000000,0.000000,0.000000,events/second
1571948380,14,0.311261,0.000000,0.000000,0.000000,events/second
1571948383,14,0.291258,0.000000,0.000000,0.000000,events/second
1571948386,14,0.274568,0.000000,0.000000,0.000000,events/second
1571948389,14,0.259361,0.000000,0.000000,0.000000,events/second
1571948392,14,0.245655,0.000000,0.000000,0.000000,events/second
1571948395,14,0.233362,0.000000,0.000000,0.000000,events/second
1571948398,14,0.222247,0.000000,0.000000,0.000000,events/second
1571948401,14,0.212162,0.000000,0.000000,0.000000,events/second
1571948404,14,0.202912,0.000000,0.000000,0.000000,events/second
1571948407,14,0.194477,0.000000,0.000000,0.000000,events/second
1571948410,14,0.186676,0.000000,0.000000,0.000000,events/second
1571948413,14,0.179514,0.000000,0.000000,0.000000,events/second
1571948416,14,0.172885,0.000000,0.000000,0.000000,events/second
1571948419,14,0.166707,0.000000,0.000000,0.000000,events/second
1571948422,14,0.160940,0.000000,0.000000,0.000000,events/second
1571948425,14,0.155577,0.000000,0.000000,0.000000,events/second
1571948428,14,0.150536,0.000000,0.000000,0.000000,events/second
1571948431,14,0.145826,0.000000,0.000000,0.000000,events/second
1571948434,14,0.141426,0.000000,0.000000,0.000000,events/second
1571948437,14,0.137285,0.000000,0.000000,0.000000,events/second
1571948440,14,0.133352,0.000000,0.000000,0.000000,events/second
1571948443,14,0.129640,0.000000,0.000000,0.000000,events/second
1571948446,14,0.126144,0.000000,0.000000,0.000000,events/second
1571948449,14,0.122820,0.000000,0.000000,0.000000,events/second
1571948452,14,0.119672,0.000000,0.000000,0.000000,events/second
1571948455,14,0.116688,0.000000,0.000000,0.000000,events/second
1571948458,14,0.113829,0.000000,0.000000,0.000000,events/second
1571948461,14,0.111131,0.000000,0.000000,0.000000,events/second
1571948464,14,0.108532,0.000000,0.000000,0.000000,events/second
1571948467,14,0.106074,0.000000,0.000000,0.000000,events/second
1571948470,14,0.103707,0.000000,0.000000,0.000000,events/second
1571948473,14,0.101442,0.000000,0.000000,0.000000,events/second
1571948476,14,0.099296,0.000000,0.000000,0.000000,events/second
1571948479,14,0.097227,0.000000,0.000000,0.000000,events/second
1571948482,14,0.095251,0.000000,0.000000,0.000000,events/second
1571948485,14,0.093343,0.000000,0.000000,0.000000,events/second
1571948488,14,0.091504,0.000000,0.000000,0.000000,events/second
1571948491,14,0.089754,0.000000,0.000000,0.000000,events/second
1571948494,14,0.088058,0.000000,0.000000,0.000000,events/second
1571948497,14,0.086425,0.000000,0.000000,0.000000,events/second
1571948500,14,0.084853,0.000000,0.000000,0.000000,events/second
1571948503,14,0.083344,0.000000,0.000000,0.000000,events/second
1571948506,14,0.081878,0.000000,0.000000,0.000000,events/second
1571948509,14,0.080468,0.000000,0.000000,0.000000,events/second
1571948512,14,0.079097,0.000000,0.000000,0.000000,events/second
1571948515,14,0.077781,0.000000,0.000000,0.000000,events/second
1571948518,14,0.076504,0.000000,0.000000,0.000000,events/second
