t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,6,1.889394,0.000000,0.000000,0.000000,events/second
1571948341,32,5.345686,0.000000,0.000000,0.000000,events/second
1571948344,32,3.556158,0.000000,0.000000,0.000000,events/second
1571948347,32,2.670036,0.000000,0.000000,0.000000,events/second
1571948350,32,2.135702,0.000000,0.000000,0.000000,events/second
1571948353,32,1.778825,0.000000,0.000000,0.000000,events/second
1571948356,32,1.522711,0.000000,0.000000,0.000000,events/second
1571948359,32,1.332868,0.000000,0.000000,0.000000,events/second
1571948362,32,1.185512,0.000000,0.000000,0.000000,events/second
1571948365,32,1.066122,0.000000,0.000000,0.000000,events/second
1571948368,32,0.970060,0.000000,0.000000,0.000000,events/second
1571948371,32,0.889165,0.000000,0.000000,0.000000,events/second
1571948374,32,0.820926,0.000000,0.000000,0.000000,events/second
1571948377,32,0.762217,0.000000,0.000000,0.000000,events/second
1571948380,32,0.711439,0.000000,0.000000,0.000000,events/second
1571948383,32,0.665720,0.000000,0.000000,0.000000,events/second
1571948386,32,0.627575,0.000000,0.000000,0.000000,events/second
1571948389,32,0.592815,0.000000,0.000000,0.000000,events/second
1571948392,32,0.561486,0.000000,0.000000,0.000000,events/second
1571948395,38,0.633402,0.000000,0.000000,0.000000,events/second
1571948398,38,0.603232,0.000000,0.000000,0.000000,events/second
1571948401,38,0.575859,0.000000,0.000000,0.000000,events/second
1571948404,38,0.550753,0.000000,0.000000,0.000000,events/second
1571948407,38,0.527859,0.000000,0.000000,0.000000,events/second
1571948410,38,0.506687,0.000000,0.000000,0.000000,events/second
1571948413,38,0.487246,0.000000,0.000000,0.000000,events/second
1571948416,38,0.469254,0.000000,0.000000,0.000000,events/second
1571948419,242,2.881626,0.000000,0.000000,0.000000,events/second
1571948422,242,2.781940,0.000000,0.000000,0.000000,events/second
1571948425,242,2.689232,0.000000,0.000000,0.000000,events/second
1571948428,242,2.602100,0.000000,0.000000,0.000000,events/second
1571948431,248,2.583176,0.000000,0.000000,0.000000,events/second
1571948434,248,2.505228,0.000000,0.000000,0.000000,events/second
1571948437,248,2.431885,0.000000,0.000000,0.000000,events/second
1571948440,248,2.362212,0.000000,0.000000,0.000000,events/second
1571948443,248,2.296452,0.000000,0.000000,0.000000,events/second
1571948446,248,2.234532,0.000000,0.000000,0.000000,events/second
1571948449,248,2.175653,0.000000,0.000000,0.000000,events/second
1571948452,248,2.119879,0.000000,0.000000,0.000000,events/second
1571948455,262,2.183725,0.000000,0.000000,0.000000,events/second
1571948458,262,2.130208,0.000000,0.000000,0.000000,events/second
1571948461,262,2.079725,0.000000,0.000000,0.000000,events/second
1571948464,262,2.031088,0.000000,0.000000,0.000000,events/second
1571948467,262,1.985080,0.000000,0.000000,0.000000,events/second
1571948470,262,1.940797,0.000000,0.000000,0.000000,events/second
1571948473,262,1.898407,0.000000,0.000000,0.000000,events/second
1571948476,262,1.858236,0.000000,0.000000,0.000000,events/second
1571948479,262,1.819514,0.000000,0.000000,0.000000,events/second
1571948482,627,4.265854,0.000000,0.000000,0.000000,events/second
1571948485,627,4.180392,0.000000,0.000000,0.000000,events/second
1571948488,627,4.098061,0.000000,0.000000,0.000000,events/second
1571948491,627,4.019651,0.000000,0.000000,0.000000,events/second
1571948494,627,3.943711,0.000000,0.000000,0.000000,events/second
1571948497,627,3.870580,0.000000,0.000000,0.000000,events/second
1571948500,627,3.800188,0.000000,0.000000,0.000000,events/second
1571948503,627,3.732601,0.000000,0.000000,0.000000,events/second
1571948506,627,3.666967,0.000000,0.000000,0.000000,events/second
1571948509,627,3.603789,0.000000,0.000000,0.000000,events/second
1571948512,627,3.542409,0.000000,0.000000,0.000000,events/second
1571948515,641,3.561261,0.000000,0.000000,0.000000,events/second
1571948518,641,3.502791,0.000000,0.000000,0.000000,events/second
1571948521,641,3.446599,0.000000,0.000000,0.000000,events/second
1571948524,641,3.391751,0.000000,0.000000,0.000000,events/second
1571948527,641,3.338928,0.000000,0.000000,0.000000,events/second
1571948530,641,3.287478,0.000000,0.000000,0.000000,events/second
1571948533,641,3.237718,0.000000,0.000000,0.000000,events/second
1571948536,641,3.189163,0.000000,0.000000,0.000000,events/second
1571948539,641,3.142333,0.000000,0.000000,0.000000,events/second
1571948542,641,3.096673,0.000000,0.000000,0.000000,events/second
1571948545,641,3.052488,0.000000,0.000000,0.000000,events/second
1571948548,641,3.009569,0.000000,0.000000,0.000000,events/second
1571948551,641,2.967643,0.000000,0.000000,0.000000,events/second
1571948554,641,2.927064,0.000000,0.000000,0.000000,events/second
1571948557,641,2.887421,0.000000,0.000000,0.000000,events/second
1571948560,641,2.849184,0.000000,0.000000,0.000000,events/second
1571948563,641,2.811600,0.000000,0.000000,0.000000,events/second
1571948566,641,2.775052,0.000000,0.000000,0.000000,events/second
1571948569,641,2.739462,0.000000,0.000000,0.000000,events/second
1571948572,641,2.704885,0.000000,0.000000,0.000000,events/second
1571948575,655,2.729352,0.000000,0.000000,0.000000,events/second
1571948578,655,2.695565,0.000000,0.000000,0.000000,events/second
1571948581,839,3.410877,0.000000,0.000000,0.000000,events/second
1571948584,839,3.369554,0.000000,0.000000,0.000000,events/second
1571948587,839,3.329578,0.000000,0.000000,0.000000,events/second
1571948590,910,3.568929,0.000000,0.000000,0.000000,events/second
1571948593,910,3.527348,0.000000,0.000000,0.000000,events/second
1571948596,910,3.486767,0.000000,0.000000,0.000000,events/second
1571948599,910,3.446993,0.000000,0.000000,0.000000,events/second
1571948602,910,3.408403,0.000000,0.000000,0.000000,events/second
1571948605,910,3.370638,0.000000,0.000000,0.000000,events/second
1571948608,910,3.333289,0.000000,0.000000,0.000000,events/second
1571948611,910,3.297367,0.000000,0.000000,0.000000,events/second
1571948614,910,3.261788,0.000000,0.000000,0.000000,events/second
1571948617,910,3.226981,0.000000,0.000000,0.000000,events/second
1571948620,910,3.193066,0.000000,0.000000,0.000000,events/second
1571948623,910,3.159975,0.000000,0.000000,0.000000,events/second
1571948626,910,3.127288,0.000000,0.000000,0.000000,events/second
1571948629,910,3.095315,0.000000,0.000000,0.000000,events/second
1571948632,910,3.064100,0.000000,0.000000,0.000000,events/second
1571948635,927,3.090028,0.000000,0.000000,0.000000,events/second
1571948638,927,3.059542,0.000000,0.000000,0.000000,events/second
1571948641,927,3.029633,0.000000,0.000000,0.000000,events/second
1571948644,927,3.000215,0.000000,0.000000,0.000000,events/second
1571948647,927,2.971201,0.000000,0.000000,0.000000,events/second
1571948650,927,2.942995,0.000000,0.000000,0.000000,events/second
1571948653,927,2.915167,0.000000,0.000000,0.000000,events/second
1571948656,927,2.888065,0.000000,0.000000,0.000000,events/second
1571948659,927,2.861253,0.000000,0.000000,0.000000,events/second
1571948662,927,2.834930,0.000000,0.000000,0.000000,events/second
1571948665,927,2.809231,0.000000,0.000000,0.000000,events/second
1571948668,927,2.783820,0.000000,0.000000,0.000000,events/second
1571948671,927,2.759010,0.000000,0.000000,0.000000,events/second
1571948674,927,2.734559,0.000000,0.000000,0.000000,events/second
1571948677,927,2.710505,0.000000,0.000000,0.000000,events/second
1571948680,927,2.687052,0.000000,0.000000,0.000000,events/second
1571948683,927,2.663779,0.000000,0.000000,0.000000,events/second
1571948686,927,2.641102,0.000000,0.000000,0.000000,events/second
1571948689,1413,3.991793,0.000000,0.000000,0.000000,events/second
1571948692,1413,3.958205,0.000000,0.000000,0.000000,events/second
1571948695,1430,3.972433,0.000000,0.000000,0.000000,events/second
1571948698,1430,3.939464,0.000000,0.000000,0.000000,events/second
1571948701,1614,4.410062,0.000000,0.000000,0.000000,events/second
1571948704,1614,4.374104,0.000000,0.000000,0.000000,events/second
1571948707,1614,4.338868,0.000000,0.000000,0.000000,events/second
