t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948341,23,3.837067,0.000000,0.000000,0.000000,events/second
1571948344,23,2.553687,0.000000,0.000000,0.000000,events/second
1571948347,23,1.917812,0.000000,0.000000,0.000000,events/second
1571948350,23,1.534214,0.000000,0.000000,0.000000,events/second
1571948353,23,1.277967,0.000000,0.000000,0.000000,events/second
1571948356,23,1.094014,0.000000,0.000000,0.000000,events/second
1571948359,23,0.957670,0.000000,0.000000,0.000000,events/second
1571948362,23,0.851827,0.000000,0.000000,0.000000,events/second
1571948365,23,0.766048,0.000000,0.000000,0.000000,events/second
1571948368,23,0.697060,0.000000,0.000000,0.000000,events/second
1571948371,23,0.638949,0.000000,0.000000,0.000000,events/second
1571948374,23,0.589921,0.000000,0.000000,0.000000,events/second
1571948377,23,0.547741,0.000000,0.000000,0.000000,events/second
1571948380,23,0.511257,0.000000,0.000000,0.000000,events/second
1571948383,23,0.478408,0.000000,0.000000,0.000000,events/second
1571948386,23,0.451000,0.000000,0.000000,0.000000,events/second
1571948389,23,0.426024,0.000000,0.000000,0.000000,events/second
1571948392,23,0.403510,0.000000,0.000000,0.000000,events/second
1571948395,23,0.383325,0.000000,0.000000,0.000000,events/second
1571948398,23,0.365068,0.000000,0.000000,0.000000,events/second
1571948401,23,0.348504,0.000000,0.000000,0.000000,events/second
1571948404,23,0.333312,0.000000,0.000000,0.000000,events/second
1571948407,23,0.319458,0.000000,0.000000,0.000000,events/second
1571948410,23,0.306646,0.000000,0.000000,0.000000,events/second
1571948413,23,0.294882,0.000000,0.000000,0.000000,events/second
1571948416,23,0.283995,0.000000,0.000000,0.000000,events/second
1571948419,31,0.369099,0.000000,0.000000,0.000000,events/second
1571948422,31,0.356332,0.000000,0.000000,0.000000,events/second
1571948425,31,0.344458,0.000000,0.000000,0.000000,events/second
1571948428,31,0.333298,0.000000,0.000000,0.000000,events/second
1571948431,31,0.322870,0.000000,0.000000,0.000000,events/second
1571948434,31,0.313128,0.000000,0.000000,0.000000,events/second
1571948437,31,0.303962,0.000000,0.000000,0.000000,events/second
1571948440,31,0.295255,0.000000,0.000000,0.000000,events/second
1571948443,31,0.287035,0.000000,0.000000,0.000000,events/second
1571948446,31,0.279297,0.000000,0.000000,0.000000,events/second
1571948449,31,0.271938,0.000000,0.000000,0.000000,events/second
1571948452,31,0.264967,0.000000,0.000000,0.000000,events/second
1571948455,31,0.258363,0.000000,0.000000,0.000000,events/second
1571948458,31,0.252031,0.000000,0.000000,0.000000,events/second
1571948461,31,0.246059,0.000000,0.000000,0.000000,events/second
1571948464,31,0.240305,0.000000,0.000000,0.000000,events/second
1571948467,31,0.234862,0.000000,0.000000,0.000000,events/second
1571948470,31,0.229623,0.000000,0.000000,0.000000,events/second
1571948473,31,0.224608,0.000000,0.000000,0.000000,events/second
1571948476,31,0.219855,0.000000,0.000000,0.000000,events/second
1571948479,31,0.215274,0.000000,0.000000,0.000000,events/second
1571948482,31,0.210900,0.000000,0.000000,0.000000,events/second
1571948485,31,0.206675,0.000000,0.000000,0.000000,events/second
1571948488,31,0.202605,0.000000,0.000000,0.000000,events/second
1571948491,31,0.198729,0.000000,0.000000,0.000000,events/second
1571948494,31,0.194974,0.000000,0.000000,0.000000,events/second
1571948497,31,0.191359,0.000000,0.000000,0.000000,events/second
1571948500,31,0.187879,0.000000,0.000000,0.000000,events/second
1571948503,31,0.184538,0.000000,0.000000,0.000000,events/second
1571948506,31,0.181293,0.000000,0.000000,0.000000,events/second
1571948509,31,0.178170,0.000000,0.000000,0.000000,events/second
1571948512,31,0.175135,0.000000,0.000000,0.000000,events/second
1571948515,31,0.172222,0.000000,0.000000,0.000000,events/second
1571948518,31,0.169394,0.000000,0.000000,0.000000,events/second
1571948521,31,0.166677,0.000000,0.000000,0.000000,events/second
1571948524,31,0.164025,0.000000,0.000000,0.000000,events/second
1571948527,31,0.161470,0.000000,0.000000,0.000000,events/second
1571948530,31,0.158982,0.000000,0.000000,0.000000,events/second
1571948533,31,0.156576,0.000000,0.000000,0.000000,events/second
1571948536,31,0.154228,0.000000,0.000000,0.000000,events/second
1571948539,31,0.151963,0.000000,0.000000,0.000000,events/second
1571948542,31,0.149755,0.000000,0.000000,0.000000,events/second
1571948545,31,0.147619,0.000000,0.000000,0.000000,events/second
1571948548,31,0.145543,0.000000,0.000000,0.000000,events/second
1571948551,31,0.143516,0.000000,0.000000,0.000000,events/second
1571948554,31,0.141553,0.000000,0.000000,0.000000,events/second
1571948557,31,0.139636,0.000000,0.000000,0.000000,events/second
1571948560,31,0.137787,0.000000,0.000000,0.000000,events/second
1571948563,31,0.135970,0.000000,0.000000,0.000000,events/second
1571948566,31,0.134202,0.000000,0.000000,0.000000,events/second
1571948569,31,0.132481,0.000000,0.000000,0.000000,events/second
1571948572,31,0.130809,0.000000,0.000000,0.000000,events/second
1571948575,31,0.129171,0.000000,0.000000,0.000000,events/second
1571948578,31,0.127572,0.000000,0.000000,0.000000,events/second
1571948581,31,0.126024,0.000000,0.000000,0.000000,events/second
1571948584,31,0.124497,0.000000,0.000000,0.000000,events/second
1571948587,31,0.123020,0.000000,0.000000,0.000000,events/second
1571948590,34,0.133340,0.000000,0.000000,0.000000,events/second
1571948593,34,0.131787,0.000000,0.000000,0.000000,events/second
1571948596,34,0.130271,0.000000,0.000000,0.000000,events/second
1571948599,34,0.128785,0.000000,0.000000,0.000000,events/second
1571948602,34,0.127343,0.000000,0.000000,0.000000,events/second
1571948605,34,0.125932,0.000000,0.000000,0.000000,events/second
1571948608,34,0.124537,0.000000,0.000000,0.000000,events/second
1571948611,34,0.123195,0.000000,0.000000,0.000000,events/second
1571948614,34,0.121866,0.000000,0.000000,0.000000,events/second
1571948617,34,0.120565,0.000000,0.000000,0.000000,events/second
1571948620,34,0.119298,0.000000,0.000000,0.000000,events/second
1571948623,34,0.118062,0.000000,0.000000,0.000000,events/second
1571948626,34,0.116841,0.000000,0.000000,0.000000,events/second
1571948629,34,0.115646,0.000000,0.000000,0.000000,events/second
1571948632,34,0.114480,0.000000,0.000000,0.000000,events/second
1571948635,34,0.113331,0.000000,0.000000,0.000000,events/second
1571948638,34,0.112213,0.000000,0.000000,0.000000,events/second
1571948641,34,0.111116,0.000000,0.000000,0.000000,events/second
1571948644,34,0.110037,0.000000,0.000000,0.000000,events/second
1571948647,34,0.108973,0.000000,0.000000,0.000000,events/second
1571948650,34,0.107939,0.000000,0.000000,0.000000,events/second
1571948653,34,0.106918,0.000000,0.000000,0.000000,events/second
1571948656,34,0.105924,0.000000,0.000000,0.000000,events/second
1571948659,34,0.104941,0.000000,0.000000,0.000000,events/second
1571948662,34,0.103975,0.000000,0.000000,0.000000,events/second
1571948665,34,0.103033,0.000000,0.000000,0.000000,events/second
1571948668,34,0.102101,0.000000,0.000000,0.000000,events/second
1571948671,34,0.101191,0.000000,0.000000,0.000000,events/second
1571948674,34,0.100294,0.000000,0.000000,0.000000,events/second
1571948677,34,0.099412,0.000000,0.000000,0.000000,events/second
1571948680,34,0.098552,0.000000,0.000000,0.000000,events/second
1571948683,34,0.097698,0.000000,0.000000,0.000000,events/second
1571948686,34,0.096867,0.000000,0.000000,0.000000,events/second
1571948689,34,0.096050,0.000000,0.000000,0.000000,events/second
1571948692,34,0.095241,0.000000,0.000000,0.000000,events/second
1571948695,34,0.094447,0.000000,0.000000,0.000000,events/second
