t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,20,6.286301,0.000000,0.000000,0.000000,events/second
1571948341,69,11.522443,0.000000,0.000000,0.000000,events/second
1571948344,69,7.665991,0.000000,0.000000,0.000000,events/second
1571948347,69,5.756248,0.000000,0.000000,0.000000,events/second
1571948350,69,4.604442,0.000000,0.000000,0.000000,events/second
1571948353,69,3.835155,0.000000,0.000000,0.000000,events/second
1571948356,69,3.282904,0.000000,0.000000,0.000000,events/second
1571948359,69,2.873681,0.000000,0.000000,0.000000,events/second
1571948362,69,2.556010,0.000000,0.000000,0.000000,events/second
1571948365,69,2.298548,0.000000,0.000000,0.000000,events/second
1571948368,69,2.091551,0.000000,0.000000,0.000000,events/second
1571948371,69,1.917166,0.000000,0.000000,0.000000,events/second
1571948374,69,1.770034,0.000000,0.000000,0.000000,events/second
1571948377,69,1.643455,0.000000,0.000000,0.000000,events/second
1571948380,69,1.533975,0.000000,0.000000,0.000000,events/second
1571948383,69,1.435400,0.000000,0.000000,0.000000,events/second
1571948386,69,1.353160,0.000000,0.000000,0.000000,events/second
1571948389,69,1.278212,0.000000,0.000000,0.000000,events/second
1571948392,69,1.210651,0.000000,0.000000,0.000000,events/second
1571948395,89,1.483447,0.000000,0.000000,0.000000,events/second
1571948398,89,1.412788,0.000000,0.000000,0.000000,events/second
1571948401,89,1.348679,0.000000,0.000000,0.000000,events/second
1571948404,89,1.289882,0.000000,0.000000,0.000000,events/second
1571948407,89,1.236266,0.000000,0.000000,0.000000,events/second
1571948410,89,1.186678,0.000000,0.000000,0.000000,events/second
1571948413,89,1.141149,0.000000,0.000000,0.000000,events/second
1571948416,89,1.099018,0.000000,0.000000,0.000000,events/second
1571948419,301,3.584093,0.000000,0.000000,0.000000,events/second
1571948422,301,3.460099,0.000000,0.000000,0.000000,events/second
1571948425,301,3.344795,0.000000,0.000000,0.000000,events/second
1571948428,301,3.236414,0.000000,0.000000,0.000000,events/second
1571948431,307,3.197652,0.000000,0.000000,0.000000,events/second
1571948434,307,3.101153,0.000000,0.000000,0.000000,events/second
1571948437,307,3.010384,0.000000,0.000000,0.000000,events/second
1571948440,307,2.924140,0.000000,0.000000,0.000000,events/second
1571948443,307,2.842731,0.000000,0.000000,0.000000,events/second
1571948446,307,2.766083,0.000000,0.000000,0.000000,events/second
1571948449,307,2.693203,0.000000,0.000000,0.000000,events/second
1571948452,307,2.624158,0.000000,0.000000,0.000000,events/second
1571948455,332,2.767121,0.000000,0.000000,0.000000,events/second
1571948458,332,2.699303,0.000000,0.000000,0.000000,events/second
1571948461,332,2.635339,0.000000,0.000000,0.000000,events/second
1571948464,332,2.573704,0.000000,0.000000,0.000000,events/second
1571948467,332,2.515406,0.000000,0.000000,0.000000,events/second
1571948470,332,2.459293,0.000000,0.000000,0.000000,events/second
1571948473,332,2.405579,0.000000,0.000000,0.000000,events/second
1571948476,332,2.354677,0.000000,0.000000,0.000000,events/second
1571948479,332,2.305611,0.000000,0.000000,0.000000,events/second
1571948482,697,4.742044,0.000000,0.000000,0.000000,events/second
1571948485,697,4.647044,0.000000,0.000000,0.000000,events/second
1571948488,697,4.555518,0.000000,0.000000,0.000000,events/second
1571948491,697,4.468357,0.000000,0.000000,0.000000,events/second
1571948494,697,4.383946,0.000000,0.000000,0.000000,events/second
1571948497,697,4.302654,0.000000,0.000000,0.000000,events/second
1571948500,697,4.224396,0.000000,0.000000,0.000000,events/second
1571948503,697,4.149274,0.000000,0.000000,0.000000,events/second
1571948506,697,4.076315,0.000000,0.000000,0.000000,events/second
1571948509,697,4.006081,0.000000,0.000000,0.000000,events/second
1571948512,697,3.937846,0.000000,0.000000,0.000000,events/second
1571948515,722,4.011234,0.000000,0.000000,0.000000,events/second
1571948518,722,3.945376,0.000000,0.000000,0.000000,events/second
1571948521,722,3.882087,0.000000,0.000000,0.000000,events/second
1571948524,722,3.820306,0.000000,0.000000,0.000000,events/second
1571948527,722,3.760815,0.000000,0.000000,0.000000,events/second
1571948530,722,3.702861,0.000000,0.000000,0.000000,events/second
1571948533,722,3.646819,0.000000,0.000000,0.000000,events/second
1571948536,722,3.592130,0.000000,0.000000,0.000000,events/second
1571948539,722,3.539378,0.000000,0.000000,0.000000,events/second
1571948542,722,3.487949,0.000000,0.000000,0.000000,events/second
1571948545,722,3.438182,0.000000,0.000000,0.000000,events/second
1571948548,722,3.389836,0.000000,0.000000,0.000000,events/second
1571948551,722,3.342618,0.000000,0.000000,0.000000,events/second
1571948554,722,3.296912,0.000000,0.000000,0.000000,events/second
1571948557,722,3.252260,0.000000,0.000000,0.000000,events/second
1571948560,722,3.209193,0.000000,0.000000,0.000000,events/second
1571948563,722,3.166856,0.000000,0.000000,0.000000,events/second
1571948566,722,3.125693,0.000000,0.000000,0.000000,events/second
1571948569,722,3.085608,0.000000,0.000000,0.000000,events/second
1571948572,722,3.046664,0.000000,0.000000,0.000000,events/second
1571948575,747,3.112686,0.000000,0.000000,0.000000,events/second
1571948578,747,3.074156,0.000000,0.000000,0.000000,events/second
1571948581,931,3.784867,0.000000,0.000000,0.000000,events/second
1571948584,931,3.739010,0.000000,0.000000,0.000000,events/second
1571948587,931,3.694651,0.000000,0.000000,0.000000,events/second
1571948590,1005,3.941480,0.000000,0.000000,0.000000,events/second
1571948593,1005,3.895556,0.000000,0.000000,0.000000,events/second
1571948596,1005,3.850740,0.000000,0.000000,0.000000,events/second
1571948599,1005,3.806814,0.000000,0.000000,0.000000,events/second
1571948602,1005,3.764197,0.000000,0.000000,0.000000,events/second
1571948605,1005,3.722493,0.000000,0.000000,0.000000,events/second
1571948608,1005,3.681242,0.000000,0.000000,0.000000,events/second
1571948611,1005,3.641573,0.000000,0.000000,0.000000,events/second
1571948614,1005,3.602279,0.000000,0.000000,0.000000,events/second
1571948617,1005,3.563837,0.000000,0.000000,0.000000,events/second
1571948620,1005,3.526382,0.000000,0.000000,0.000000,events/second
1571948623,1005,3.489839,0.000000,0.000000,0.000000,events/second
1571948626,1005,3.453739,0.000000,0.000000,0.000000,events/second
1571948629,1005,3.418429,0.000000,0.000000,0.000000,events/second
1571948632,1005,3.383955,0.000000,0.000000,0.000000,events/second
1571948635,1032,3.440008,0.000000,0.000000,0.000000,events/second
1571948638,1032,3.406070,0.000000,0.000000,0.000000,events/second
1571948641,1032,3.372775,0.000000,0.000000,0.000000,events/second
1571948644,1032,3.340026,0.000000,0.000000,0.000000,events/second
1571948647,1032,3.307723,0.000000,0.000000,0.000000,events/second
1571948650,1032,3.276323,0.000000,0.000000,0.000000,events/second
1571948653,1032,3.245344,0.000000,0.000000,0.000000,events/second
1571948656,1032,3.215174,0.000000,0.000000,0.000000,events/second
1571948659,1032,3.185323,0.000000,0.000000,0.000000,events/second
1571948662,1032,3.156019,0.000000,0.000000,0.000000,events/second
1571948665,1032,3.127410,0.000000,0.000000,0.000000,events/second
1571948668,1032,3.099120,0.000000,0.000000,0.000000,events/second
1571948671,1032,3.071498,0.000000,0.000000,0.000000,events/second
1571948674,1032,3.044279,0.000000,0.000000,0.000000,events/second
1571948677,1032,3.017502,0.000000,0.000000,0.000000,events/second
1571948680,1032,2.991393,0.000000,0.000000,0.000000,events/second
1571948683,1032,2.965482,0.000000,0.000000,0.000000,events/second
1571948686,1032,2.940237,0.000000,0.000000,0.000000,events/second
1571948689,1518,4.288401,0.000000,0.000000,0.000000,events/second
1571948692,1518,4.252317,0.000000,0.000000,0.000000,events/second
1571948695,1545,4.291873,0.000000,0.000000,0.000000,events/second
1571948698,1545,4.256251,0.000000,0.000000,0.000000,events/second
1571948701,1729,4.724261,0.000000,0.000000,0.000000,events/second
1571948704,1729,4.685740,0.000000,0.000000,0.000000,events/second
1571948707,1729,4.647992,0.000000,0.000000,0.000000,events/second
1571948710,1729,4.610732,0.000000,0.000000,0.000000,events/second
1571948713,1729,4.574229,0.000000,0.000000,0.000000,events/second
1571948716,1729,4.538169,0.000000,0.000000,0.000000,events/second
1571948719,1729,4.502664,0.000000,0.000000,0.000000,events/second
1571948722,1729,4.467749,0.000000,0.000000,0.000000,events/second
1571948725,1729,4.433438,0.000000,0.000000,0.000000,events/second
1571948728,1729,4.399548,0.000000,0.000000,0.000000,events/second
1571948731,1729,4.366124,0.000000,0.000000,0.000000,events/second
1571948734,1729,4.333207,0.000000,0.000000,0.000000,events/second
1571948737,1729,4.301026,0.000000,0.000000,0.000000,events/second
1571948740,1729,4.269357,0.000000,0.000000,0.000000,events/second
1571948743,1729,4.237825,0.000000,0.000000,0.000000,events/second
1571948746,1729,4.206906,0.000000,0.000000,0.000000,events/second
