t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,6,1.885553,0.000000,0.000000,0.000000,events/second
1571948341,52,8.684576,0.000000,0.000000,0.000000,events/second
1571948344,52,5.777687,0.000000,0.000000,0.000000,events/second
1571948347,52,4.338268,0.000000,0.000000,0.000000,events/second
1571948350,52,3.470143,0.000000,0.000000,0.000000,events/second
1571948353,52,2.890361,0.000000,0.000000,0.000000,events/second
1571948356,52,2.474110,0.000000,0.000000,0.000000,events/second
1571948359,52,2.165708,0.000000,0.000000,0.000000,events/second
1571948362,52,1.926292,0.000000,0.000000,0.000000,events/second
1571948365,52,1.732243,0.000000,0.000000,0.000000,events/second
1571948368,52,1.576274,0.000000,0.000000,0.000000,events/second
1571948371,52,1.444852,0.000000,0.000000,0.000000,events/second
1571948374,52,1.333963,0.000000,0.000000,0.000000,events/second
1571948377,52,1.238567,0.000000,0.000000,0.000000,events/second
1571948380,52,1.156056,0.000000,0.000000,0.000000,events/second
1571948383,52,1.081767,0.000000,0.000000,0.000000,events/second
1571948386,52,1.019788,0.000000,0.000000,0.000000,events/second
1571948389,52,0.963303,0.000000,0.000000,0.000000,events/second
1571948392,52,0.912380,0.000000,0.000000,0.000000,events/second
1571948395,58,0.966752,0.000000,0.000000,0.000000,events/second
1571948398,58,0.920698,0.000000,0.000000,0.000000,events/second
1571948401,58,0.878922,0.000000,0.000000,0.000000,events/second
1571948404,58,0.840605,0.000000,0.000000,0.000000,events/second
1571948407,58,0.805662,0.000000,0.000000,0.000000,events/second
1571948410,58,0.773347,0.000000,0.000000,0.000000,events/second
1571948413,58,0.743676,0.000000,0.000000,0.000000,events/second
1571948416,58,0.716220,0.000000,0.000000,0.000000,events/second
1571948419,270,3.214996,0.000000,0.000000,0.000000,events/second
1571948422,270,3.103766,0.000000,0.000000,0.000000,events/second
1571948425,270,3.000336,0.000000,0.000000,0.000000,events/second
1571948428,270,2.903109,0.000000,0.000000,0.000000,events/second
1571948431,276,2.874781,0.000000,0.000000,0.000000,events/second
1571948434,276,2.788011,0.000000,0.000000,0.000000,events/second
1571948437,276,2.706424,0.000000,0.000000,0.000000,events/second
1571948440,276,2.628888,0.000000,0.000000,0.000000,events/second
1571948443,276,2.555696,0.000000,0.000000,0.000000,events/second
1571948446,276,2.486786,0.000000,0.000000,0.000000,events/second
1571948449,276,2.421266,0.000000,0.000000,0.000000,events/second
1571948452,276,2.359191,0.000000,0.000000,0.000000,events/second
1571948455,290,2.417078,0.000000,0.000000,0.000000,events/second
1571948458,290,2.357837,0.000000,0.000000,0.000000,events/second
1571948461,290,2.301966,0.000000,0.000000,0.000000,events/second
1571948464,290,2.248126,0.000000,0.000000,0.000000,events/second
1571948467,290,2.197204,0.000000,0.000000,0.000000,events/second
1571948470,290,2.148188,0.000000,0.000000,0.000000,events/second
1571948473,290,2.101269,0.000000,0.000000,0.000000,events/second
1571948476,290,2.056805,0.000000,0.000000,0.000000,events/second
1571948479,290,2.013946,0.000000,0.000000,0.000000,events/second
1571948482,654,4.449516,0.000000,0.000000,0.000000,events/second
1571948485,654,4.360375,0.000000,0.000000,0.000000,events/second
1571948488,654,4.274492,0.000000,0.000000,0.000000,events/second
1571948491,654,4.192709,0.000000,0.000000,0.000000,events/second
1571948494,654,4.113506,0.000000,0.000000,0.000000,events/second
1571948497,654,4.037230,0.000000,0.000000,0.000000,events/second
1571948500,654,3.963797,0.000000,0.000000,0.000000,events/second
1571948503,654,3.893311,0.000000,0.000000,0.000000,events/second
1571948506,654,3.824853,0.000000,0.000000,0.000000,events/second
1571948509,654,3.758949,0.000000,0.000000,0.000000,events/second
1571948512,654,3.694922,0.000000,0.000000,0.000000,events/second
1571948515,668,3.711238,0.000000,0.000000,0.000000,events/second
1571948518,668,3.650305,0.000000,0.000000,0.000000,events/second
1571948521,668,3.591750,0.000000,0.000000,0.000000,events/second
1571948524,668,3.534589,0.000000,0.000000,0.000000,events/second
1571948527,668,3.479550,0.000000,0.000000,0.000000,events/second
1571948530,668,3.425927,0.000000,0.000000,0.000000,events/second
1571948533,668,3.374079,0.000000,0.000000,0.000000,events/second
1571948536,668,3.323480,0.000000,0.000000,0.000000,events/second
1571948539,668,3.274671,0.000000,0.000000,0.000000,events/second
1571948542,668,3.227088,0.000000,0.000000,0.000000,events/second
1571948545,668,3.181043,0.000000,0.000000,0.000000,events/second
1571948548,668,3.136311,0.000000,0.000000,0.000000,events/second
1571948551,668,3.092625,0.000000,0.000000,0.000000,events/second
