t,value
1571948338,-1
1571948341,-1
1571948344,-1
1571948347,8
1571948350,10
1571948353,10
1571948356,10
1571948359,10
1571948362,10
1571948365,10
1571948368,10
1571948371,10
1571948374,10
1571948377,10
1571948380,10
1571948383,10
1571948386,10
1571948389,10
1571948392,10
1571948395,10
1571948398,10
1571948401,10
1571948404,10
1571948407,10
1571948410,9
1571948413,9
1571948416,9
1571948419,9
1571948422,9
1571948425,9
1571948428,9
1571948431,9
1571948434,9
1571948437,9
1571948440,9
1571948443,9
1571948446,9
1571948449,9
1571948452,9
1571948455,9
1571948458,9
1571948461,9
1571948464,9
1571948467,9
1571948470,8
1571948473,8
1571948476,8
1571948479,8
1571948482,8
1571948485,8
1571948488,8
1571948491,8
1571948494,8
1571948497,8
1571948500,8
1571948503,8
1571948506,8
1571948509,8
1571948512,8
1571948515,8
1571948518,8
1571948521,8
1571948524,8
1571948527,8
1571948530,8
1571948533,8
1571948536,8
1571948539,8
1571948542,8
1571948545,8
1571948548,8
1571948551,8
1571948554,8
1571948557,8
1571948560,8
1571948563,8
1571948566,8
1571948569,8
1571948572,8
1571948575,8
1571948578,8
1571948581,8
1571948584,8
1571948587,8
1571948590,8
1571948593,8
1571948596,8
1571948599,8
1571948602,8
1571948605,8
1571948608,8
1571948611,8
1571948614,8
1571948617,8
1571948620,8
1571948623,8
1571948626,8
1571948629,8
1571948632,8
1571948635,8
1571948638,8
1571948641,8
1571948644,8
1571948647,8
1571948650,8
1571948653,8
1571948656,8
1571948659,8
1571948662,8
1571948665,8
1571948668,8
1571948671,8
1571948674,8
1571948677,8
1571948680,8
1571948683,8
1571948686,8
1571948689,8
1571948692,8
1571948695,8
1571948698,8
1571948701,8
1571948704,8
1571948707,8
1571948710,8
1571948713,8
1571948716,8
1571948719,8
1571948722,8
1571948725,8
1571948728,8
1571948731,8
1571948734,8
1571948737,8
1571948740,8
1571948743,8
1571948746,8
1571948749,8
1571948752,8
1571948755,8
1571948758,8
1571948761,8
1571948764,8
1571948767,8
1571948770,8
1571948773,8
1571948776,8
1571948779,8
1571948782,8
1571948785,8
1571948788,8
1571948791,8
1571948794,8
1571948797,8
1571948800,8
1571948803,8
1571948806,8
1571948809,8
1571948812,8
1571948815,8
1571948818,8
1571948821,8
1571948824,8
1571948827,8
1571948830,8
1571948833,8
1571948836,8
1571948839,8
1571948842,8
1571948845,8
1571948848,8
1571948851,8
1571948854,8
1571948857,8
1571948860,8
1571948863,8
1571948866,8
1571948869,8
1571948872,8
1571948875,8
1571948878,8
1571948881,8
1571948884,8
1571948887,8
1571948890,8
1571948893,8
1571948896,8
1571948899,8
1571948902,8
1571948905,8
1571948908,8
1571948911,8
1571948914,8
1571948917,8
1571948920,8
1571948923,8
1571948926,8
1571948929,8
1571948932,8
1571948935,8
1571948938,8
1571948941,8
1571948944,8
1571948947,8
1571948950,8
1571948953,8
1571948956,8
1571948959,8
1571948962,8
1571948965,8
1571948968,8
1571948971,8
1571948974,8
1571948977,8
1571948980,8
1571948983,8
1571948986,8
1571948989,8
1571948992,8
1571948995,8
1571948998,8
1571949001,8
1571949004,8
1571949007,8
1571949010,8
1571949013,8
1571949016,8
1571949019,8
1571949022,8
1571949025,8
1571949028,8
1571949031,8
1571949034,8
1571949037,8
1571949040,8
1571949043,8
1571949046,8
1571949049,8
1571949052,8
1571949055,8
1571949058,8
1571949061,8
1571949064,8
1571949067,8
1571949070,8
1571949073,8
1571949076,8
1571949079,8
1571949082,8
1571949085,8
1571949088,8
1571949091,8
1571949094,8
1571949097,8
1571949100,8
1571949103,8
1571949106,8
1571949109,8
1571949112,8
1571949115,8
1571949118,8
1571949121,8
1571949124,8
1571949127,8
1571949130,8
1571949133,8
1571949136,8
1571949139,8
1571949142,8
1571949145,8
1571949148,8
1571949151,8
1571949154,8
1571949157,8
1571949160,8
1571949163,8
1571949166,8
1571949169,8
1571949172,8
1571949175,8
1571949178,8
1571949181,8
1571949184,8
1571949187,8
1571949190,8
1571949193,8
1571949196,8
1571949199,8
1571949202,8
1571949205,8
1571949208,8
1571949211,8
1571949214,8
1571949217,8
1571949220,8
1571949223,8
1571949226,8
1571949229,8
1571949232,8
1571949235,8
