t,value
1571948338,-1
1571948341,-1
1571948344,-1
1571948347,8
1571948350,3
1571948353,3
1571948356,3
1571948359,3
1571948362,3
1571948365,3
1571948368,3
1571948371,3
1571948374,3
1571948377,3
1571948380,3
1571948383,3
1571948386,3
1571948389,3
1571948392,3
1571948395,3
1571948398,3
1571948401,3
1571948404,3
1571948407,3
1571948410,3
1571948413,3
1571948416,3
1571948419,3
1571948422,3
1571948425,3
1571948428,3
1571948431,3
1571948434,3
1571948437,3
1571948440,3
1571948443,3
1571948446,3
1571948449,3
1571948452,3
1571948455,3
1571948458,3
1571948461,3
1571948464,3
1571948467,3
1571948470,2
1571948473,2
1571948476,2
1571948479,2
1571948482,2
1571948485,2
1571948488,2
1571948491,2
1571948494,2
1571948497,2
1571948500,2
1571948503,2
1571948506,2
1571948509,2
1571948512,2
1571948515,2
1571948518,2
1571948521,2
1571948524,2
1571948527,2
1571948530,2
1571948533,2
1571948536,2
1571948539,2
1571948542,2
1571948545,2
1571948548,2
1571948551,2
1571948554,2
1571948557,2
1571948560,2
1571948563,2
1571948566,2
1571948569,2
1571948572,2
1571948575,2
1571948578,2
1571948581,2
1571948584,2
1571948587,2
1571948590,2
1571948593,2
1571948596,2
1571948599,2
1571948602,2
1571948605,2
1571948608,2
1571948611,2
1571948614,2
1571948617,2
1571948620,2
1571948623,2
1571948626,2
1571948629,2
1571948632,2
1571948635,2
1571948638,2
1571948641,2
1571948644,2
1571948647,2
1571948650,2
1571948653,2
1571948656,2
1571948659,2
1571948662,2
1571948665,2
1571948668,2
1571948671,2
1571948674,2
1571948677,2
1571948680,2
1571948683,2
1571948686,2
1571948689,2
1571948692,2
1571948695,2
1571948698,2
1571948701,2
1571948704,2
1571948707,2
1571948710,2
1571948713,2
1571948716,2
1571948719,2
1571948722,2
1571948725,2
1571948728,2
1571948731,2
1571948734,2
1571948737,2
1571948740,2
1571948743,2
1571948746,2
1571948749,2
1571948752,2
1571948755,2
1571948758,2
1571948761,2
1571948764,2
1571948767,2
1571948770,2
1571948773,2
1571948776,2
1571948779,2
1571948782,2
1571948785,2
1571948788,2
1571948791,2
1571948794,2
1571948797,2
1571948800,2
1571948803,2
1571948806,2
1571948809,2
1571948812,2
1571948815,2
1571948818,2
1571948821,2
1571948824,2
1571948827,2
1571948830,2
1571948833,2
1571948836,2
1571948839,2
1571948842,2
1571948845,2
1571948848,2
1571948851,2
1571948854,2
1571948857,2
1571948860,2
1571948863,2
1571948866,2
1571948869,2
1571948872,2
1571948875,2
1571948878,2
1571948881,2
1571948884,2
1571948887,2
1571948890,2
1571948893,2
1571948896,2
1571948899,2
1571948902,2
1571948905,2
1571948908,2
1571948911,2
1571948914,2
1571948917,2
1571948920,2
1571948923,2
1571948926,2
1571948929,2
1571948932,2
1571948935,2
1571948938,2
1571948941,2
1571948944,2
1571948947,2
1571948950,2
1571948953,2
1571948956,2
1571948959,2
1571948962,2
1571948965,2
1571948968,2
1571948971,2
1571948974,2
1571948977,2
1571948980,2
1571948983,2
1571948986,2
1571948989,2
1571948992,2
1571948995,2
1571948998,2
1571949001,2
1571949004,2
1571949007,2
1571949010,2
1571949013,2
1571949016,2
1571949019,2
1571949022,2
1571949025,2
1571949028,2
1571949031,2
1571949034,2
1571949037,2
1571949040,2
1571949043,2
1571949046,2
1571949049,2
1571949052,2
1571949055,2
1571949058,2
1571949061,2
1571949064,2
1571949067,2
1571949070,2
1571949073,2
1571949076,2
1571949079,2
1571949082,2
1571949085,2
1571949088,2
1571949091,2
1571949094,2
1571949097,2
1571949100,2
1571949103,2
1571949106,2
1571949109,2
1571949112,2
1571949115,2
1571949118,2
1571949121,2
1571949124,2
1571949127,2
1571949130,2
1571949133,2
1571949136,2
1571949139,2
1571949142,2
1571949145,2
1571949148,2
1571949151,2
1571949154,2
1571949157,2
1571949160,2
1571949163,2
1571949166,2
1571949169,2
1571949172,2
1571949175,2
1571949178,2
1571949181,2
1571949184,2
1571949187,2
1571949190,2
1571949193,2
1571949196,2
1571949199,2
1571949202,2
1571949205,2
1571949208,2
1571949211,2
1571949214,2
1571949217,2
1571949220,2
1571949223,2
1571949226,2
1571949229,2
1571949232,2
1571949235,2
