t,value
1571948338,0
1571948341,1
1571948344,1
1571948347,0
1571948350,0
1571948353,0
1571948356,0
1571948359,0
1571948362,0
1571948365,0
1571948368,0
1571948371,0
1571948374,0
1571948377,0
1571948380,0
1571948383,4
1571948386,0
1571948389,0
1571948392,0
1571948395,0
1571948398,0
1571948401,0
1571948404,0
1571948407,0
1571948410,0
1571948413,0
1571948416,0
1571948419,0
1571948422,0
1571948425,0
1571948428,0
1571948431,0
1571948434,0
1571948437,0
1571948440,0
1571948443,0
1571948446,0
1571948449,0
1571948452,0
1571948455,0
1571948458,0
1571948461,0
1571948464,0
1571948467,0
1571948470,0
1571948473,0
1571948476,0
1571948479,0
1571948482,0
1571948485,0
1571948488,0
1571948491,0
1571948494,0
1571948497,0
1571948500,0
1571948503,0
1571948506,0
1571948509,0
1571948512,0
1571948515,0
1571948518,0
1571948521,0
1571948524,0
1571948527,0
1571948530,0
1571948533,0
1571948536,0
1571948539,0
1571948542,0
1571948545,0
1571948548,0
1571948551,0
1571948554,0
1571948557,0
1571948560,0
1571948563,0
1571948566,0
1571948569,0
1571948572,0
1571948575,1
1571948578,0
1571948581,0
1571948584,0
1571948587,0
1571948590,0
1571948593,0
1571948596,0
1571948599,0
1571948602,0
1571948605,0
1571948608,0
1571948611,0
1571948614,0
1571948617,0
1571948620,0
1571948623,0
1571948626,0
1571948629,0
1571948632,0
1571948635,0
1571948638,0
1571948641,0
1571948644,0
1571948647,0
1571948650,0
1571948653,0
1571948656,0
1571948659,0
1571948662,0
1571948665,0
1571948668,0
1571948671,0
1571948674,0
1571948677,0
1571948680,0
1571948683,0
1571948686,0
1571948689,0
1571948692,0
1571948695,0
1571948698,0
1571948701,0
1571948704,0
1571948707,0
1571948710,0
1571948713,0
1571948716,0
1571948719,0
1571948722,0
1571948725,0
1571948728,0
1571948731,0
1571948734,0
1571948737,0
1571948740,0
1571948743,0
1571948746,0
1571948749,0
1571948752,0
1571948755,0
1571948758,0
1571948761,0
1571948764,0
1571948767,0
1571948770,0
1571948773,0
1571948776,0
1571948779,0
1571948782,0
1571948785,0
1571948788,0
1571948791,0
1571948794,0
1571948797,0
1571948800,0
1571948803,0
1571948806,0
1571948809,0
1571948812,0
1571948815,0
1571948818,0
1571948821,0
1571948824,0
1571948827,0
1571948830,0
1571948833,0
1571948836,0
1571948839,0
1571948842,0
1571948845,0
1571948848,0
1571948851,0
1571948854,0
1571948857,0
1571948860,0
1571948863,0
1571948866,0
1571948869,0
1571948872,0
1571948875,0
1571948878,0
1571948881,0
1571948884,0
1571948887,0
1571948890,0
1571948893,0
1571948896,0
1571948899,0
1571948902,0
1571948905,0
1571948908,0
1571948911,0
1571948914,0
1571948917,0
1571948920,0
1571948923,0
1571948926,0
1571948929,0
1571948932,0
1571948935,0
1571948938,0
1571948941,0
1571948944,0
1571948947,0
1571948950,0
1571948953,0
1571948956,0
1571948959,0
1571948962,0
1571948965,0
1571948968,0
1571948971,0
1571948974,0
1571948977,0
1571948980,1
1571948983,0
1571948986,0
1571948989,0
1571948992,0
1571948995,0
1571948998,0
1571949001,0
1571949004,0
1571949007,0
1571949010,0
1571949013,0
1571949016,0
1571949019,0
1571949022,0
1571949025,0
1571949028,0
1571949031,0
1571949034,0
1571949037,0
1571949040,0
1571949043,0
1571949046,0
1571949049,0
1571949052,0
1571949055,0
1571949058,0
1571949061,0
1571949064,0
1571949067,0
1571949070,0
1571949073,0
1571949076,0
1571949079,0
1571949082,0
1571949085,0
1571949088,0
1571949091,0
1571949094,0
1571949097,0
1571949100,0
1571949103,0
1571949106,0
1571949109,0
1571949112,0
1571949115,0
1571949118,0
1571949121,0
1571949124,0
1571949127,0
1571949130,0
1571949133,0
1571949136,0
1571949139,0
1571949142,0
1571949145,0
1571949148,0
1571949151,0
1571949154,0
1571949157,0
1571949160,0
1571949163,0
1571949166,0
1571949169,0
1571949172,0
1571949175,0
1571949178,0
1571949181,0
1571949184,0
1571949187,0
1571949190,0
1571949193,0
1571949196,0
1571949199,0
1571949202,0
1571949205,0
1571949208,0
1571949211,0
1571949214,0
1571949217,0
1571949220,0
1571949223,0
1571949226,0
1571949229,0
1571949232,0
1571949235,0
1571949238,0
1571949241,0
1571949244,0
1571949247,0
1571949250,0
1571949253,0
1571949256,0
1571949259,0
1571949262,0
1571949265,0
1571949268,0
1571949271,0
1571949274,0
1571949277,0
1571949280,0
1571949283,0
1571949286,0
1571949289,0
1571949292,0
1571949295,0
1571949298,0
1571949301,0
1571949304,0
1571949307,0
1571949310,0
1571949313,0
1571949316,0
1571949319,0
1571949322,0
1571949325,0
1571949328,0
1571949331,0
1571949334,0
1571949337,0
1571949340,0
1571949343,0
1571949346,0
1571949349,0
1571949352,0
1571949355,0
1571949358,0
1571949361,0
1571949364,0
1571949367,0
1571949370,0
1571949373,0
1571949376,0
1571949379,0
1571949382,0
1571949385,0
1571949388,0
1571949391,0
1571949394,0
1571949397,0
1571949400,0
1571949403,0
1571949406,0
1571949409,0
1571949412,0
1571949415,0
1571949418,0
1571949421,0
1571949424,0
1571949427,0
1571949430,0
1571949433,0
1571949436,0
1571949439,0
1571949442,0
1571949445,0
1571949448,0
1571949451,0
1571949454,2
1571949457,0
1571949460,0
1571949463,0
1571949466,0
1571949469,0
1571949472,0
1571949475,0
1571949478,0
1571949481,0
1571949484,0
1571949487,0
1571949490,0
1571949493,0
1571949496,0
1571949499,0
1571949502,0
1571949505,0
1571949508,0
1571949511,0
1571949514,0
1571949517,0
1571949520,0
1571949523,0
1571949526,0
1571949529,0
1571949532,0
1571949535,1
1571949538,0
1571949541,0
1571949544,0
1571949547,0
1571949550,0
1571949553,0
1571949556,0
1571949559,0
1571949562,0
1571949565,0
1571949568,0
1571949571,0
1571949574,0
1571949577,0
1571949580,0
1571949583,0
1571949586,0
1571949589,0
1571949592,0
1571949595,0
1571949598,0
1571949601,0
1571949604,0
1571949607,0
1571949610,0
1571949613,0
1571949616,0
1571949619,0
1571949622,0
1571949625,0
1571949628,0
1571949631,0
1571949634,0
1571949637,0
1571949640,0
1571949643,0
1571949646,0
1571949649,0
1571949652,0
1571949655,0
1571949658,0
1571949661,0
1571949664,0
1571949667,0
1571949670,0
1571949673,0
1571949676,0
1571949679,0
1571949682,0
1571949685,0
1571949688,0
1571949691,0
1571949694,0
1571949697,0
1571949700,0
1571949703,0
1571949706,0
1571949709,0
1571949712,0
1571949715,0
1571949718,0
1571949721,0
1571949724,0
1571949727,0
1571949730,0
1571949733,0
1571949736,0
1571949739,0
1571949742,0
1571949745,0
1571949748,0
1571949751,0
1571949754,0
1571949757,0
1571949760,0
1571949763,0
1571949766,0
1571949769,0
1571949772,0
1571949775,0
1571949778,0
