t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948341,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948344,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948347,1,0.083326,0.000000,0.000000,0.000000,events/second
1571948350,1,0.066668,0.000000,0.000000,0.000000,events/second
1571948353,6,0.333229,0.000000,0.000000,0.000000,events/second
1571948356,6,0.285268,0.000000,0.000000,0.000000,events/second
1571948359,6,0.249733,0.000000,0.000000,0.000000,events/second
1571948362,6,0.222140,0.000000,0.000000,0.000000,events/second
1571948365,6,0.199772,0.000000,0.000000,0.000000,events/second
1571948368,6,0.181797,0.000000,0.000000,0.000000,events/second
1571948371,6,0.166646,0.000000,0.000000,0.000000,events/second
1571948374,6,0.153861,0.000000,0.000000,0.000000,events/second
1571948377,6,0.142862,0.000000,0.000000,0.000000,events/second
1571948380,7,0.155572,0.000000,0.000000,0.000000,events/second
1571948383,11,0.228764,0.000000,0.000000,0.000000,events/second
1571948386,16,0.313691,0.000000,0.000000,0.000000,events/second
1571948389,16,0.296321,0.000000,0.000000,0.000000,events/second
1571948392,16,0.280658,0.000000,0.000000,0.000000,events/second
1571948395,16,0.266625,0.000000,0.000000,0.000000,events/second
1571948398,16,0.253927,0.000000,0.000000,0.000000,events/second
1571948401,19,0.287857,0.000000,0.000000,0.000000,events/second
1571948404,19,0.275312,0.000000,0.000000,0.000000,events/second
1571948407,19,0.263870,0.000000,0.000000,0.000000,events/second
1571948410,19,0.253288,0.000000,0.000000,0.000000,events/second
1571948413,19,0.243572,0.000000,0.000000,0.000000,events/second
1571948416,19,0.234582,0.000000,0.000000,0.000000,events/second
1571948419,28,0.333349,0.000000,0.000000,0.000000,events/second
1571948422,31,0.356298,0.000000,0.000000,0.000000,events/second
1571948425,31,0.344427,0.000000,0.000000,0.000000,events/second
1571948428,31,0.333266,0.000000,0.000000,0.000000,events/second
1571948431,37,0.385328,0.000000,0.000000,0.000000,events/second
1571948434,37,0.373699,0.000000,0.000000,0.000000,events/second
1571948437,37,0.362766,0.000000,0.000000,0.000000,events/second
1571948440,37,0.352374,0.000000,0.000000,0.000000,events/second
1571948443,40,0.370340,0.000000,0.000000,0.000000,events/second
1571948446,40,0.360356,0.000000,0.000000,0.000000,events/second
1571948449,40,0.350863,0.000000,0.000000,0.000000,events/second
1571948452,40,0.341869,0.000000,0.000000,0.000000,events/second
1571948455,40,0.333349,0.000000,0.000000,0.000000,events/second
1571948458,40,0.325180,0.000000,0.000000,0.000000,events/second
1571948461,43,0.341286,0.000000,0.000000,0.000000,events/second
1571948464,43,0.333305,0.000000,0.000000,0.000000,events/second
1571948467,43,0.325756,0.000000,0.000000,0.000000,events/second
1571948470,43,0.318490,0.000000,0.000000,0.000000,events/second
1571948473,43,0.311534,0.000000,0.000000,0.000000,events/second
1571948476,43,0.304943,0.000000,0.000000,0.000000,events/second
1571948479,43,0.298589,0.000000,0.000000,0.000000,events/second
1571948482,52,0.353749,0.000000,0.000000,0.000000,events/second
1571948485,53,0.353329,0.000000,0.000000,0.000000,events/second
1571948488,53,0.346370,0.000000,0.000000,0.000000,events/second
1571948491,53,0.339744,0.000000,0.000000,0.000000,events/second
1571948494,53,0.333327,0.000000,0.000000,0.000000,events/second
1571948497,53,0.327147,0.000000,0.000000,0.000000,events/second
1571948500,53,0.321196,0.000000,0.000000,0.000000,events/second
1571948503,56,0.333343,0.000000,0.000000,0.000000,events/second
1571948506,56,0.327482,0.000000,0.000000,0.000000,events/second
1571948509,56,0.321840,0.000000,0.000000,0.000000,events/second
1571948512,56,0.316358,0.000000,0.000000,0.000000,events/second
1571948515,56,0.311096,0.000000,0.000000,0.000000,events/second
1571948518,56,0.305989,0.000000,0.000000,0.000000,events/second
1571948521,59,0.317210,0.000000,0.000000,0.000000,events/second
1571948524,59,0.312162,0.000000,0.000000,0.000000,events/second
1571948527,59,0.307302,0.000000,0.000000,0.000000,events/second
1571948530,59,0.302567,0.000000,0.000000,0.000000,events/second
1571948533,59,0.297988,0.000000,0.000000,0.000000,events/second
1571948536,59,0.293520,0.000000,0.000000,0.000000,events/second
1571948539,59,0.289209,0.000000,0.000000,0.000000,events/second
1571948542,62,0.299499,0.000000,0.000000,0.000000,events/second
1571948545,62,0.295226,0.000000,0.000000,0.000000,events/second
1571948548,62,0.291074,0.000000,0.000000,0.000000,events/second
1571948551,62,0.287021,0.000000,0.000000,0.000000,events/second
1571948554,62,0.283096,0.000000,0.000000,0.000000,events/second
1571948557,63,0.283767,0.000000,0.000000,0.000000,events/second
1571948560,65,0.288897,0.000000,0.000000,0.000000,events/second
1571948563,68,0.298245,0.000000,0.000000,0.000000,events/second
1571948566,68,0.294368,0.000000,0.000000,0.000000,events/second
1571948569,68,0.290594,0.000000,0.000000,0.000000,events/second
1571948572,69,0.291146,0.000000,0.000000,0.000000,events/second
1571948575,73,0.304166,0.000000,0.000000,0.000000,events/second
1571948578,75,0.308633,0.000000,0.000000,0.000000,events/second
1571948581,81,0.329277,0.000000,0.000000,0.000000,events/second
1571948584,82,0.329304,0.000000,0.000000,0.000000,events/second
1571948587,83,0.329365,0.000000,0.000000,0.000000,events/second
1571948590,88,0.345106,0.000000,0.000000,0.000000,events/second
1571948593,88,0.341085,0.000000,0.000000,0.000000,events/second
1571948596,88,0.337161,0.000000,0.000000,0.000000,events/second
1571948599,88,0.333315,0.000000,0.000000,0.000000,events/second
1571948602,91,0.340820,0.000000,0.000000,0.000000,events/second
1571948605,92,0.340748,0.000000,0.000000,0.000000,events/second
1571948608,92,0.336972,0.000000,0.000000,0.000000,events/second
1571948611,95,0.344211,0.000000,0.000000,0.000000,events/second
1571948614,96,0.344080,0.000000,0.000000,0.000000,events/second
1571948617,96,0.340409,0.000000,0.000000,0.000000,events/second
1571948620,96,0.336832,0.000000,0.000000,0.000000,events/second
1571948623,103,0.357648,0.000000,0.000000,0.000000,events/second
1571948626,104,0.357385,0.000000,0.000000,0.000000,events/second
1571948629,104,0.353731,0.000000,0.000000,0.000000,events/second
1571948632,104,0.350164,0.000000,0.000000,0.000000,events/second
1571948635,104,0.346651,0.000000,0.000000,0.000000,events/second
1571948638,104,0.343231,0.000000,0.000000,0.000000,events/second
1571948641,106,0.346413,0.000000,0.000000,0.000000,events/second
1571948644,108,0.349522,0.000000,0.000000,0.000000,events/second
1571948647,108,0.346141,0.000000,0.000000,0.000000,events/second
1571948650,108,0.342856,0.000000,0.000000,0.000000,events/second
1571948653,108,0.339614,0.000000,0.000000,0.000000,events/second
1571948656,108,0.336457,0.000000,0.000000,0.000000,events/second
1571948659,108,0.333333,0.000000,0.000000,0.000000,events/second
1571948662,111,0.339441,0.000000,0.000000,0.000000,events/second
1571948665,111,0.336364,0.000000,0.000000,0.000000,events/second
1571948668,111,0.333322,0.000000,0.000000,0.000000,events/second
1571948671,111,0.330351,0.000000,0.000000,0.000000,events/second
1571948674,111,0.327424,0.000000,0.000000,0.000000,events/second
1571948677,111,0.324544,0.000000,0.000000,0.000000,events/second
1571948680,112,0.324634,0.000000,0.000000,0.000000,events/second
1571948683,118,0.339062,0.000000,0.000000,0.000000,events/second
1571948686,120,0.341874,0.000000,0.000000,0.000000,events/second
1571948689,124,0.350291,0.000000,0.000000,0.000000,events/second
1571948692,125,0.350144,0.000000,0.000000,0.000000,events/second
1571948695,126,0.350003,0.000000,0.000000,0.000000,events/second
1571948698,128,0.352608,0.000000,0.000000,0.000000,events/second
1571948701,131,0.357926,0.000000,0.000000,0.000000,events/second
1571948704,132,0.357718,0.000000,0.000000,0.000000,events/second
1571948707,132,0.354836,0.000000,0.000000,0.000000,events/second
1571948710,132,0.351992,0.000000,0.000000,0.000000,events/second
1571948713,133,0.351851,0.000000,0.000000,0.000000,events/second
1571948716,133,0.349077,0.000000,0.000000,0.000000,events/second
1571948719,133,0.346346,0.000000,0.000000,0.000000,events/second
1571948722,136,0.351412,0.000000,0.000000,0.000000,events/second
1571948725,136,0.348714,0.000000,0.000000,0.000000,events/second
1571948728,136,0.346048,0.000000,0.000000,0.000000,events/second
1571948731,136,0.343419,0.000000,0.000000,0.000000,events/second
1571948734,136,0.340830,0.000000,0.000000,0.000000,events/second
1571948737,136,0.338299,0.000000,0.000000,0.000000,events/second
1571948740,136,0.335808,0.000000,0.000000,0.000000,events/second
1571948743,139,0.340681,0.000000,0.000000,0.000000,events/second
1571948746,139,0.338195,0.000000,0.000000,0.000000,events/second
1571948749,139,0.335738,0.000000,0.000000,0.000000,events/second
1571948752,139,0.333339,0.000000,0.000000,0.000000,events/second
1571948755,139,0.330944,0.000000,0.000000,0.000000,events/second
1571948758,140,0.330975,0.000000,0.000000,0.000000,events/second
1571948761,145,0.340381,0.000000,0.000000,0.000000,events/second
1571948764,146,0.340326,0.000000,0.000000,0.000000,events/second
1571948767,146,0.337969,0.000000,0.000000,0.000000,events/second
1571948770,146,0.335626,0.000000,0.000000,0.000000,events/second
1571948773,146,0.333331,0.000000,0.000000,0.000000,events/second
1571948776,146,0.331061,0.000000,0.000000,0.000000,events/second
1571948779,146,0.328828,0.000000,0.000000,0.000000,events/second
1571948782,149,0.333326,0.000000,0.000000,0.000000,events/second
1571948785,149,0.331106,0.000000,0.000000,0.000000,events/second
1571948788,149,0.328917,0.000000,0.000000,0.000000,events/second
1571948791,149,0.326747,0.000000,0.000000,0.000000,events/second
1571948794,149,0.324615,0.000000,0.000000,0.000000,events/second
1571948797,149,0.322510,0.000000,0.000000,0.000000,events/second
1571948800,149,0.320422,0.000000,0.000000,0.000000,events/second
1571948803,152,0.324773,0.000000,0.000000,0.000000,events/second
1571948806,152,0.322713,0.000000,0.000000,0.000000,events/second
1571948809,152,0.320670,0.000000,0.000000,0.000000,events/second
1571948812,154,0.322856,0.000000,0.000000,0.000000,events/second
1571948815,157,0.327080,0.000000,0.000000,0.000000,events/second
1571948818,157,0.325045,0.000000,0.000000,0.000000,events/second
1571948821,159,0.327164,0.000000,0.000000,0.000000,events/second
1571948824,160,0.327191,0.000000,0.000000,0.000000,events/second
1571948827,160,0.325196,0.000000,0.000000,0.000000,events/second
1571948830,160,0.323234,0.000000,0.000000,0.000000,events/second
1571948833,160,0.321279,0.000000,0.000000,0.000000,events/second
1571948836,160,0.319363,0.000000,0.000000,0.000000,events/second
1571948839,160,0.317455,0.000000,0.000000,0.000000,events/second
1571948842,163,0.321504,0.000000,0.000000,0.000000,events/second
1571948845,163,0.319607,0.000000,0.000000,0.000000,events/second
1571948848,163,0.317727,0.000000,0.000000,0.000000,events/second
1571948851,163,0.315890,0.000000,0.000000,0.000000,events/second
1571948854,163,0.314058,0.000000,0.000000,0.000000,events/second
1571948857,163,0.312255,0.000000,0.000000,0.000000,events/second
1571948860,163,0.310477,0.000000,0.000000,0.000000,events/second
1571948863,166,0.314391,0.000000,0.000000,0.000000,events/second
1571948866,166,0.312617,0.000000,0.000000,0.000000,events/second
1571948869,166,0.310854,0.000000,0.000000,0.000000,events/second
1571948872,166,0.309120,0.000000,0.000000,0.000000,events/second
1571948875,166,0.307406,0.000000,0.000000,0.000000,events/second
1571948878,166,0.305701,0.000000,0.000000,0.000000,events/second
1571948881,166,0.304018,0.000000,0.000000,0.000000,events/second
1571948884,169,0.307826,0.000000,0.000000,0.000000,events/second
1571948887,169,0.306157,0.000000,0.000000,0.000000,events/second
1571948890,169,0.304505,0.000000,0.000000,0.000000,events/second
1571948893,169,0.302863,0.000000,0.000000,0.000000,events/second
1571948896,169,0.301246,0.000000,0.000000,0.000000,events/second
1571948899,169,0.299646,0.000000,0.000000,0.000000,events/second
1571948902,172,0.303355,0.000000,0.000000,0.000000,events/second
1571948905,172,0.301753,0.000000,0.000000,0.000000,events/second
1571948908,172,0.300168,0.000000,0.000000,0.000000,events/second
1571948911,172,0.298606,0.000000,0.000000,0.000000,events/second
1571948914,172,0.297055,0.000000,0.000000,0.000000,events/second
1571948917,172,0.295530,0.000000,0.000000,0.000000,events/second
1571948920,172,0.294012,0.000000,0.000000,0.000000,events/second
1571948923,175,0.297614,0.000000,0.000000,0.000000,events/second
1571948926,175,0.296108,0.000000,0.000000,0.000000,events/second
1571948929,175,0.294606,0.000000,0.000000,0.000000,events/second
1571948932,175,0.293128,0.000000,0.000000,0.000000,events/second
1571948935,175,0.291665,0.000000,0.000000,0.000000,events/second
1571948938,175,0.290211,0.000000,0.000000,0.000000,events/second
1571948941,175,0.288773,0.000000,0.000000,0.000000,events/second
1571948944,178,0.292276,0.000000,0.000000,0.000000,events/second
1571948947,178,0.290849,0.000000,0.000000,0.000000,events/second
1571948950,178,0.289425,0.000000,0.000000,0.000000,events/second
1571948953,178,0.288023,0.000000,0.000000,0.000000,events/second
1571948956,178,0.286637,0.000000,0.000000,0.000000,events/second
1571948959,178,0.285254,0.000000,0.000000,0.000000,events/second
1571948962,181,0.288680,0.000000,0.000000,0.000000,events/second
1571948965,181,0.287299,0.000000,0.000000,0.000000,events/second
1571948968,184,0.290671,0.000000,0.000000,0.000000,events/second
1571948971,187,0.294025,0.000000,0.000000,0.000000,events/second
1571948974,190,0.297342,0.000000,0.000000,0.000000,events/second
1571948977,193,0.300625,0.000000,0.000000,0.000000,events/second
1571948980,196,0.303868,0.000000,0.000000,0.000000,events/second
1571948983,203,0.313266,0.000000,0.000000,0.000000,events/second
1571948986,207,0.317970,0.000000,0.000000,0.000000,events/second
1571948989,212,0.324162,0.000000,0.000000,0.000000,events/second
1571948992,213,0.324200,0.000000,0.000000,0.000000,events/second
1571948995,217,0.328788,0.000000,0.000000,0.000000,events/second
1571948998,219,0.330320,0.000000,0.000000,0.000000,events/second
1571949001,222,0.333323,0.000000,0.000000,0.000000,events/second
1571949004,226,0.337812,0.000000,0.000000,0.000000,events/second
1571949007,227,0.337801,0.000000,0.000000,0.000000,events/second
1571949010,228,0.337781,0.000000,0.000000,0.000000,events/second
1571949013,231,0.340708,0.000000,0.000000,0.000000,events/second
1571949016,231,0.339205,0.000000,0.000000,0.000000,events/second
1571949019,231,0.337722,0.000000,0.000000,0.000000,events/second
1571949022,234,0.340615,0.000000,0.000000,0.000000,events/second
1571949025,235,0.340577,0.000000,0.000000,0.000000,events/second
1571949028,239,0.344880,0.000000,0.000000,0.000000,events/second
1571949031,239,0.343390,0.000000,0.000000,0.000000,events/second
1571949034,239,0.341912,0.000000,0.000000,0.000000,events/second
1571949037,240,0.341883,0.000000,0.000000,0.000000,events/second
1571949040,243,0.344685,0.000000,0.000000,0.000000,events/second
1571949043,247,0.348868,0.000000,0.000000,0.000000,events/second
1571949046,247,0.347395,0.000000,0.000000,0.000000,events/second
1571949049,247,0.345934,0.000000,0.000000,0.000000,events/second
1571949052,247,0.344491,0.000000,0.000000,0.000000,events/second
1571949055,247,0.343054,0.000000,0.000000,0.000000,events/second
1571949058,247,0.341630,0.000000,0.000000,0.000000,events/second
1571949061,247,0.340224,0.000000,0.000000,0.000000,events/second
1571949064,250,0.342931,0.000000,0.000000,0.000000,events/second
1571949067,250,0.341530,0.000000,0.000000,0.000000,events/second
1571949070,250,0.340132,0.000000,0.000000,0.000000,events/second
1571949073,250,0.338756,0.000000,0.000000,0.000000,events/second
1571949076,250,0.337380,0.000000,0.000000,0.000000,events/second
1571949079,250,0.336022,0.000000,0.000000,0.000000,events/second
1571949082,253,0.338692,0.000000,0.000000,0.000000,events/second
1571949085,253,0.337334,0.000000,0.000000,0.000000,events/second
1571949088,253,0.335987,0.000000,0.000000,0.000000,events/second
1571949091,254,0.335982,0.000000,0.000000,0.000000,events/second
1571949094,258,0.339925,0.000000,0.000000,0.000000,events/second
1571949097,258,0.338584,0.000000,0.000000,0.000000,events/second
1571949100,262,0.342488,0.000000,0.000000,0.000000,events/second
1571949103,265,0.345053,0.000000,0.000000,0.000000,events/second
1571949106,265,0.343711,0.000000,0.000000,0.000000,events/second
1571949109,266,0.343665,0.000000,0.000000,0.000000,events/second
1571949112,266,0.342346,0.000000,0.000000,0.000000,events/second
1571949115,266,0.341028,0.000000,0.000000,0.000000,events/second
1571949118,266,0.339713,0.000000,0.000000,0.000000,events/second
1571949121,266,0.338425,0.000000,0.000000,0.000000,events/second
1571949124,269,0.340935,0.000000,0.000000,0.000000,events/second
1571949127,269,0.339646,0.000000,0.000000,0.000000,events/second
1571949130,269,0.338363,0.000000,0.000000,0.000000,events/second
1571949133,269,0.337091,0.000000,0.000000,0.000000,events/second
1571949136,269,0.335826,0.000000,0.000000,0.000000,events/second
1571949139,269,0.334579,0.000000,0.000000,0.000000,events/second
1571949142,270,0.334576,0.000000,0.000000,0.000000,events/second
1571949145,273,0.337040,0.000000,0.000000,0.000000,events/second
1571949148,276,0.339486,0.000000,0.000000,0.000000,events/second
1571949151,277,0.339459,0.000000,0.000000,0.000000,events/second
1571949154,277,0.338218,0.000000,0.000000,0.000000,events/second
1571949157,277,0.336980,0.000000,0.000000,0.000000,events/second
1571949160,277,0.335760,0.000000,0.000000,0.000000,events/second
1571949163,280,0.338167,0.000000,0.000000,0.000000,events/second
1571949166,284,0.341756,0.000000,0.000000,0.000000,events/second
1571949169,286,0.342921,0.000000,0.000000,0.000000,events/second
1571949172,286,0.341694,0.000000,0.000000,0.000000,events/second
1571949175,286,0.340471,0.000000,0.000000,0.000000,events/second
1571949178,286,0.339265,0.000000,0.000000,0.000000,events/second
1571949181,286,0.338057,0.000000,0.000000,0.000000,events/second
1571949184,289,0.340401,0.000000,0.000000,0.000000,events/second
1571949187,289,0.339198,0.000000,0.000000,0.000000,events/second
1571949190,289,0.338011,0.000000,0.000000,0.000000,events/second
1571949193,289,0.336831,0.000000,0.000000,0.000000,events/second
1571949196,289,0.335652,0.000000,0.000000,0.000000,events/second
1571949199,289,0.334489,0.000000,0.000000,0.000000,events/second
1571949202,290,0.334489,0.000000,0.000000,0.000000,events/second
1571949205,292,0.335631,0.000000,0.000000,0.000000,events/second
1571949208,292,0.334479,0.000000,0.000000,0.000000,events/second
1571949211,292,0.333329,0.000000,0.000000,0.000000,events/second
1571949214,292,0.332196,0.000000,0.000000,0.000000,events/second
1571949217,292,0.331063,0.000000,0.000000,0.000000,events/second
1571949220,292,0.329942,0.000000,0.000000,0.000000,events/second
1571949223,295,0.332210,0.000000,0.000000,0.000000,events/second
1571949226,295,0.331087,0.000000,0.000000,0.000000,events/second
1571949229,295,0.329977,0.000000,0.000000,0.000000,events/second
1571949232,295,0.328871,0.000000,0.000000,0.000000,events/second
1571949235,295,0.327776,0.000000,0.000000,0.000000,events/second
1571949238,295,0.326690,0.000000,0.000000,0.000000,events/second
1571949241,295,0.325603,0.000000,0.000000,0.000000,events/second
1571949244,298,0.327826,0.000000,0.000000,0.000000,events/second
1571949247,298,0.326752,0.000000,0.000000,0.000000,events/second
1571949250,298,0.325682,0.000000,0.000000,0.000000,events/second
1571949253,298,0.324615,0.000000,0.000000,0.000000,events/second
1571949256,298,0.323559,0.000000,0.000000,0.000000,events/second
1571949259,298,0.322510,0.000000,0.000000,0.000000,events/second
1571949262,299,0.322548,0.000000,0.000000,0.000000,events/second
1571949265,301,0.323655,0.000000,0.000000,0.000000,events/second
1571949268,301,0.322616,0.000000,0.000000,0.000000,events/second
1571949271,301,0.321578,0.000000,0.000000,0.000000,events/second
1571949274,301,0.320547,0.000000,0.000000,0.000000,events/second
1571949277,301,0.319530,0.000000,0.000000,0.000000,events/second
1571949280,301,0.318518,0.000000,0.000000,0.000000,events/second
1571949283,304,0.320673,0.000000,0.000000,0.000000,events/second
1571949286,304,0.319662,0.000000,0.000000,0.000000,events/second
1571949289,304,0.318658,0.000000,0.000000,0.000000,events/second
1571949292,304,0.317656,0.000000,0.000000,0.000000,events/second
1571949295,304,0.316666,0.000000,0.000000,0.000000,events/second
1571949298,304,0.315681,0.000000,0.000000,0.000000,events/second
1571949301,304,0.314697,0.000000,0.000000,0.000000,events/second
1571949304,307,0.316816,0.000000,0.000000,0.000000,events/second
1571949307,307,0.315842,0.000000,0.000000,0.000000,events/second
1571949310,307,0.314872,0.000000,0.000000,0.000000,events/second
1571949313,307,0.313902,0.000000,0.000000,0.000000,events/second
1571949316,307,0.312944,0.000000,0.000000,0.000000,events/second
1571949319,307,0.311991,0.000000,0.000000,0.000000,events/second
1571949322,308,0.312053,0.000000,0.000000,0.000000,events/second
