t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948341,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948344,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948347,1,0.083326,0.000000,0.000000,0.000000,events/second
1571948350,1,0.066668,0.000000,0.000000,0.000000,events/second
1571948353,6,0.333231,0.000000,0.000000,0.000000,events/second
1571948356,6,0.285263,0.000000,0.000000,0.000000,events/second
1571948359,6,0.249730,0.000000,0.000000,0.000000,events/second
1571948362,6,0.222138,0.000000,0.000000,0.000000,events/second
1571948365,6,0.199769,0.000000,0.000000,0.000000,events/second
1571948368,6,0.181797,0.000000,0.000000,0.000000,events/second
1571948371,6,0.166647,0.000000,0.000000,0.000000,events/second
1571948374,6,0.153862,0.000000,0.000000,0.000000,events/second
1571948377,6,0.142862,0.000000,0.000000,0.000000,events/second
1571948380,7,0.155573,0.000000,0.000000,0.000000,events/second
1571948383,11,0.228764,0.000000,0.000000,0.000000,events/second
1571948386,16,0.313692,0.000000,0.000000,0.000000,events/second
1571948389,16,0.296321,0.000000,0.000000,0.000000,events/second
1571948392,16,0.280658,0.000000,0.000000,0.000000,events/second
1571948395,16,0.266626,0.000000,0.000000,0.000000,events/second
1571948398,16,0.253927,0.000000,0.000000,0.000000,events/second
1571948401,19,0.287856,0.000000,0.000000,0.000000,events/second
1571948404,19,0.275312,0.000000,0.000000,0.000000,events/second
1571948407,19,0.263870,0.000000,0.000000,0.000000,events/second
1571948410,19,0.253288,0.000000,0.000000,0.000000,events/second
1571948413,19,0.243572,0.000000,0.000000,0.000000,events/second
1571948416,19,0.234582,0.000000,0.000000,0.000000,events/second
1571948419,22,0.261918,0.000000,0.000000,0.000000,events/second
1571948422,25,0.287337,0.000000,0.000000,0.000000,events/second
1571948425,25,0.277764,0.000000,0.000000,0.000000,events/second
1571948428,25,0.268763,0.000000,0.000000,0.000000,events/second
1571948431,31,0.322843,0.000000,0.000000,0.000000,events/second
1571948434,31,0.313096,0.000000,0.000000,0.000000,events/second
1571948437,31,0.303940,0.000000,0.000000,0.000000,events/second
1571948440,31,0.295233,0.000000,0.000000,0.000000,events/second
1571948443,34,0.314789,0.000000,0.000000,0.000000,events/second
1571948446,34,0.306303,0.000000,0.000000,0.000000,events/second
1571948449,34,0.298234,0.000000,0.000000,0.000000,events/second
1571948452,34,0.290589,0.000000,0.000000,0.000000,events/second
1571948455,34,0.283348,0.000000,0.000000,0.000000,events/second
1571948458,34,0.276403,0.000000,0.000000,0.000000,events/second
1571948461,37,0.293666,0.000000,0.000000,0.000000,events/second
1571948464,37,0.286797,0.000000,0.000000,0.000000,events/second
1571948467,37,0.280302,0.000000,0.000000,0.000000,events/second
1571948470,37,0.274049,0.000000,0.000000,0.000000,events/second
1571948473,37,0.268064,0.000000,0.000000,0.000000,events/second
1571948476,37,0.262393,0.000000,0.000000,0.000000,events/second
1571948479,37,0.256926,0.000000,0.000000,0.000000,events/second
1571948482,45,0.306129,0.000000,0.000000,0.000000,events/second
1571948485,46,0.306664,0.000000,0.000000,0.000000,events/second
1571948488,46,0.300624,0.000000,0.000000,0.000000,events/second
1571948491,46,0.294872,0.000000,0.000000,0.000000,events/second
1571948494,46,0.289303,0.000000,0.000000,0.000000,events/second
1571948497,46,0.283939,0.000000,0.000000,0.000000,events/second
1571948500,46,0.278774,0.000000,0.000000,0.000000,events/second
1571948503,49,0.291676,0.000000,0.000000,0.000000,events/second
1571948506,49,0.286547,0.000000,0.000000,0.000000,events/second
1571948509,49,0.281610,0.000000,0.000000,0.000000,events/second
1571948512,49,0.276814,0.000000,0.000000,0.000000,events/second
1571948515,49,0.272209,0.000000,0.000000,0.000000,events/second
1571948518,49,0.267741,0.000000,0.000000,0.000000,events/second
1571948521,52,0.279575,0.000000,0.000000,0.000000,events/second
1571948524,52,0.275126,0.000000,0.000000,0.000000,events/second
1571948527,52,0.270843,0.000000,0.000000,0.000000,events/second
1571948530,52,0.266669,0.000000,0.000000,0.000000,events/second
1571948533,52,0.262634,0.000000,0.000000,0.000000,events/second
1571948536,52,0.258696,0.000000,0.000000,0.000000,events/second
1571948539,52,0.254896,0.000000,0.000000,0.000000,events/second
1571948542,55,0.265685,0.000000,0.000000,0.000000,events/second
1571948545,55,0.261894,0.000000,0.000000,0.000000,events/second
1571948548,55,0.258211,0.000000,0.000000,0.000000,events/second
1571948551,55,0.254615,0.000000,0.000000,0.000000,events/second
1571948554,55,0.251134,0.000000,0.000000,0.000000,events/second
1571948557,56,0.252237,0.000000,0.000000,0.000000,events/second
1571948560,58,0.257785,0.000000,0.000000,0.000000,events/second
1571948563,61,0.267543,0.000000,0.000000,0.000000,events/second
1571948566,61,0.264066,0.000000,0.000000,0.000000,events/second
1571948569,61,0.260680,0.000000,0.000000,0.000000,events/second
1571948572,62,0.261610,0.000000,0.000000,0.000000,events/second
1571948575,66,0.274997,0.000000,0.000000,0.000000,events/second
1571948578,68,0.279827,0.000000,0.000000,0.000000,events/second
1571948581,73,0.296756,0.000000,0.000000,0.000000,events/second
1571948584,74,0.297176,0.000000,0.000000,0.000000,events/second
1571948587,75,0.297619,0.000000,0.000000,0.000000,events/second
1571948590,78,0.305889,0.000000,0.000000,0.000000,events/second
1571948593,78,0.302325,0.000000,0.000000,0.000000,events/second
1571948596,78,0.298847,0.000000,0.000000,0.000000,events/second
1571948599,78,0.295438,0.000000,0.000000,0.000000,events/second
1571948602,81,0.303367,0.000000,0.000000,0.000000,events/second
1571948605,82,0.303710,0.000000,0.000000,0.000000,events/second
1571948608,82,0.300345,0.000000,0.000000,0.000000,events/second
1571948611,85,0.307979,0.000000,0.000000,0.000000,events/second
1571948614,86,0.308239,0.000000,0.000000,0.000000,events/second
1571948617,86,0.304950,0.000000,0.000000,0.000000,events/second
1571948620,86,0.301745,0.000000,0.000000,0.000000,events/second
1571948623,93,0.322925,0.000000,0.000000,0.000000,events/second
1571948626,94,0.323021,0.000000,0.000000,0.000000,events/second
1571948629,94,0.319718,0.000000,0.000000,0.000000,events/second
1571948632,94,0.316494,0.000000,0.000000,0.000000,events/second
1571948635,94,0.313320,0.000000,0.000000,0.000000,events/second
1571948638,94,0.310229,0.000000,0.000000,0.000000,events/second
1571948641,96,0.313732,0.000000,0.000000,0.000000,events/second
1571948644,98,0.317159,0.000000,0.000000,0.000000,events/second
1571948647,98,0.314091,0.000000,0.000000,0.000000,events/second
1571948650,98,0.311110,0.000000,0.000000,0.000000,events/second
1571948653,98,0.308168,0.000000,0.000000,0.000000,events/second
1571948656,98,0.305304,0.000000,0.000000,0.000000,events/second
1571948659,98,0.302469,0.000000,0.000000,0.000000,events/second
1571948662,101,0.308861,0.000000,0.000000,0.000000,events/second
1571948665,101,0.306061,0.000000,0.000000,0.000000,events/second
1571948668,101,0.303293,0.000000,0.000000,0.000000,events/second
1571948671,101,0.300590,0.000000,0.000000,0.000000,events/second
1571948674,101,0.297926,0.000000,0.000000,0.000000,events/second
1571948677,101,0.295306,0.000000,0.000000,0.000000,events/second
1571948680,102,0.295649,0.000000,0.000000,0.000000,events/second
1571948683,108,0.310328,0.000000,0.000000,0.000000,events/second
1571948686,110,0.313385,0.000000,0.000000,0.000000,events/second
1571948689,113,0.319217,0.000000,0.000000,0.000000,events/second
1571948692,114,0.319332,0.000000,0.000000,0.000000,events/second
1571948695,115,0.319448,0.000000,0.000000,0.000000,events/second
1571948698,117,0.322306,0.000000,0.000000,0.000000,events/second
1571948701,119,0.325139,0.000000,0.000000,0.000000,events/second
1571948704,120,0.325198,0.000000,0.000000,0.000000,events/second
1571948707,120,0.322578,0.000000,0.000000,0.000000,events/second
1571948710,120,0.319993,0.000000,0.000000,0.000000,events/second
1571948713,121,0.320105,0.000000,0.000000,0.000000,events/second
1571948716,121,0.317582,0.000000,0.000000,0.000000,events/second
1571948719,121,0.315097,0.000000,0.000000,0.000000,events/second
1571948722,124,0.320405,0.000000,0.000000,0.000000,events/second
1571948725,124,0.317945,0.000000,0.000000,0.000000,events/second
1571948728,124,0.315515,0.000000,0.000000,0.000000,events/second
1571948731,124,0.313117,0.000000,0.000000,0.000000,events/second
1571948734,124,0.310757,0.000000,0.000000,0.000000,events/second
1571948737,124,0.308449,0.000000,0.000000,0.000000,events/second
1571948740,124,0.306178,0.000000,0.000000,0.000000,events/second
1571948743,127,0.311270,0.000000,0.000000,0.000000,events/second
1571948746,127,0.308999,0.000000,0.000000,0.000000,events/second
1571948749,127,0.306753,0.000000,0.000000,0.000000,events/second
1571948752,127,0.304562,0.000000,0.000000,0.000000,events/second
1571948755,127,0.302373,0.000000,0.000000,0.000000,events/second
1571948758,127,0.300242,0.000000,0.000000,0.000000,events/second
1571948761,132,0.309864,0.000000,0.000000,0.000000,events/second
1571948764,133,0.310023,0.000000,0.000000,0.000000,events/second
1571948767,133,0.307876,0.000000,0.000000,0.000000,events/second
1571948770,133,0.305742,0.000000,0.000000,0.000000,events/second
1571948773,133,0.303651,0.000000,0.000000,0.000000,events/second
1571948776,133,0.301583,0.000000,0.000000,0.000000,events/second
1571948779,133,0.299549,0.000000,0.000000,0.000000,events/second
1571948782,136,0.304244,0.000000,0.000000,0.000000,events/second
1571948785,136,0.302218,0.000000,0.000000,0.000000,events/second
1571948788,136,0.300220,0.000000,0.000000,0.000000,events/second
1571948791,136,0.298239,0.000000,0.000000,0.000000,events/second
1571948794,136,0.296293,0.000000,0.000000,0.000000,events/second
1571948797,136,0.294372,0.000000,0.000000,0.000000,events/second
1571948800,136,0.292466,0.000000,0.000000,0.000000,events/second
1571948803,139,0.296996,0.000000,0.000000,0.000000,events/second
1571948806,139,0.295112,0.000000,0.000000,0.000000,events/second
1571948809,139,0.293244,0.000000,0.000000,0.000000,events/second
1571948812,141,0.295602,0.000000,0.000000,0.000000,events/second
1571948815,144,0.299997,0.000000,0.000000,0.000000,events/second
1571948818,144,0.298131,0.000000,0.000000,0.000000,events/second
1571948821,146,0.300414,0.000000,0.000000,0.000000,events/second
1571948824,147,0.300607,0.000000,0.000000,0.000000,events/second
1571948827,147,0.298774,0.000000,0.000000,0.000000,events/second
1571948830,147,0.296971,0.000000,0.000000,0.000000,events/second
1571948833,147,0.295175,0.000000,0.000000,0.000000,events/second
1571948836,147,0.293414,0.000000,0.000000,0.000000,events/second
1571948839,147,0.291662,0.000000,0.000000,0.000000,events/second
1571948842,150,0.295863,0.000000,0.000000,0.000000,events/second
1571948845,150,0.294117,0.000000,0.000000,0.000000,events/second
1571948848,150,0.292387,0.000000,0.000000,0.000000,events/second
1571948851,150,0.290697,0.000000,0.000000,0.000000,events/second
1571948854,150,0.289010,0.000000,0.000000,0.000000,events/second
1571948857,150,0.287351,0.000000,0.000000,0.000000,events/second
1571948860,150,0.285715,0.000000,0.000000,0.000000,events/second
1571948863,153,0.289770,0.000000,0.000000,0.000000,events/second
1571948866,153,0.288135,0.000000,0.000000,0.000000,events/second
1571948869,153,0.286510,0.000000,0.000000,0.000000,events/second
1571948872,153,0.284912,0.000000,0.000000,0.000000,events/second
1571948875,153,0.283332,0.000000,0.000000,0.000000,events/second
1571948878,153,0.281761,0.000000,0.000000,0.000000,events/second
1571948881,153,0.280210,0.000000,0.000000,0.000000,events/second
1571948884,156,0.284148,0.000000,0.000000,0.000000,events/second
1571948887,156,0.282607,0.000000,0.000000,0.000000,events/second
1571948890,156,0.281082,0.000000,0.000000,0.000000,events/second
1571948893,156,0.279566,0.000000,0.000000,0.000000,events/second
1571948896,156,0.278073,0.000000,0.000000,0.000000,events/second
1571948899,156,0.276596,0.000000,0.000000,0.000000,events/second
1571948902,159,0.280427,0.000000,0.000000,0.000000,events/second
1571948905,159,0.278946,0.000000,0.000000,0.000000,events/second
1571948908,159,0.277481,0.000000,0.000000,0.000000,events/second
1571948911,159,0.276037,0.000000,0.000000,0.000000,events/second
1571948914,159,0.274603,0.000000,0.000000,0.000000,events/second
1571948917,159,0.273193,0.000000,0.000000,0.000000,events/second
1571948920,159,0.271790,0.000000,0.000000,0.000000,events/second
1571948923,162,0.275506,0.000000,0.000000,0.000000,events/second
1571948926,162,0.274111,0.000000,0.000000,0.000000,events/second
1571948929,162,0.272721,0.000000,0.000000,0.000000,events/second
1571948932,162,0.271353,0.000000,0.000000,0.000000,events/second
1571948935,162,0.269999,0.000000,0.000000,0.000000,events/second
1571948938,162,0.268653,0.000000,0.000000,0.000000,events/second
1571948941,162,0.267321,0.000000,0.000000,0.000000,events/second
1571948944,165,0.270930,0.000000,0.000000,0.000000,events/second
1571948947,165,0.269608,0.000000,0.000000,0.000000,events/second
1571948950,165,0.268288,0.000000,0.000000,0.000000,events/second
1571948953,165,0.266988,0.000000,0.000000,0.000000,events/second
1571948956,165,0.265703,0.000000,0.000000,0.000000,events/second
1571948959,165,0.264420,0.000000,0.000000,0.000000,events/second
1571948962,168,0.267946,0.000000,0.000000,0.000000,events/second
1571948965,168,0.266665,0.000000,0.000000,0.000000,events/second
1571948968,171,0.270135,0.000000,0.000000,0.000000,events/second
1571948971,174,0.273584,0.000000,0.000000,0.000000,events/second
1571948974,177,0.276998,0.000000,0.000000,0.000000,events/second
1571948977,180,0.280376,0.000000,0.000000,0.000000,events/second
1571948980,183,0.283714,0.000000,0.000000,0.000000,events/second
1571948983,190,0.293204,0.000000,0.000000,0.000000,events/second
1571948986,194,0.298001,0.000000,0.000000,0.000000,events/second
1571948989,199,0.304285,0.000000,0.000000,0.000000,events/second
1571948992,200,0.304414,0.000000,0.000000,0.000000,events/second
1571948995,204,0.309091,0.000000,0.000000,0.000000,events/second
1571948998,205,0.309204,0.000000,0.000000,0.000000,events/second
1571949001,208,0.312303,0.000000,0.000000,0.000000,events/second
1571949004,212,0.316886,0.000000,0.000000,0.000000,events/second
1571949007,213,0.316968,0.000000,0.000000,0.000000,events/second
1571949010,213,0.315558,0.000000,0.000000,0.000000,events/second
1571949013,216,0.318584,0.000000,0.000000,0.000000,events/second
1571949016,216,0.317179,0.000000,0.000000,0.000000,events/second
1571949019,216,0.315792,0.000000,0.000000,0.000000,events/second
1571949022,219,0.318781,0.000000,0.000000,0.000000,events/second
1571949025,220,0.318838,0.000000,0.000000,0.000000,events/second
1571949028,224,0.323235,0.000000,0.000000,0.000000,events/second
1571949031,224,0.321838,0.000000,0.000000,0.000000,events/second
1571949034,224,0.320453,0.000000,0.000000,0.000000,events/second
1571949037,225,0.320515,0.000000,0.000000,0.000000,events/second
1571949040,227,0.321990,0.000000,0.000000,0.000000,events/second
1571949043,231,0.326269,0.000000,0.000000,0.000000,events/second
1571949046,231,0.324892,0.000000,0.000000,0.000000,events/second
1571949049,231,0.323526,0.000000,0.000000,0.000000,events/second
1571949052,231,0.322176,0.000000,0.000000,0.000000,events/second
1571949055,231,0.320832,0.000000,0.000000,0.000000,events/second
1571949058,231,0.319500,0.000000,0.000000,0.000000,events/second
1571949061,231,0.318185,0.000000,0.000000,0.000000,events/second
1571949064,234,0.320984,0.000000,0.000000,0.000000,events/second
1571949067,234,0.319672,0.000000,0.000000,0.000000,events/second
1571949070,234,0.318364,0.000000,0.000000,0.000000,events/second
1571949073,234,0.317076,0.000000,0.000000,0.000000,events/second
1571949076,234,0.315788,0.000000,0.000000,0.000000,events/second
1571949079,234,0.314517,0.000000,0.000000,0.000000,events/second
1571949082,237,0.317273,0.000000,0.000000,0.000000,events/second
1571949085,237,0.316001,0.000000,0.000000,0.000000,events/second
1571949088,237,0.314739,0.000000,0.000000,0.000000,events/second
1571949091,238,0.314818,0.000000,0.000000,0.000000,events/second
1571949094,242,0.318844,0.000000,0.000000,0.000000,events/second
1571949097,242,0.317587,0.000000,0.000000,0.000000,events/second
1571949100,246,0.321572,0.000000,0.000000,0.000000,events/second
1571949103,249,0.324220,0.000000,0.000000,0.000000,events/second
1571949106,249,0.322959,0.000000,0.000000,0.000000,events/second
1571949109,250,0.322994,0.000000,0.000000,0.000000,events/second
1571949112,250,0.321754,0.000000,0.000000,0.000000,events/second
1571949115,250,0.320515,0.000000,0.000000,0.000000,events/second
1571949118,250,0.319279,0.000000,0.000000,0.000000,events/second
1571949121,250,0.318069,0.000000,0.000000,0.000000,events/second
1571949124,253,0.320656,0.000000,0.000000,0.000000,events/second
1571949127,253,0.319444,0.000000,0.000000,0.000000,events/second
1571949130,253,0.318237,0.000000,0.000000,0.000000,events/second
1571949133,253,0.317041,0.000000,0.000000,0.000000,events/second
1571949136,253,0.315851,0.000000,0.000000,0.000000,events/second
1571949139,253,0.314679,0.000000,0.000000,0.000000,events/second
1571949142,254,0.314749,0.000000,0.000000,0.000000,events/second
1571949145,257,0.317287,0.000000,0.000000,0.000000,events/second
1571949148,260,0.319806,0.000000,0.000000,0.000000,events/second
1571949151,261,0.319851,0.000000,0.000000,0.000000,events/second
1571949154,261,0.318682,0.000000,0.000000,0.000000,events/second
1571949157,261,0.317515,0.000000,0.000000,0.000000,events/second
1571949160,261,0.316366,0.000000,0.000000,0.000000,events/second
1571949163,264,0.318843,0.000000,0.000000,0.000000,events/second
1571949166,268,0.322502,0.000000,0.000000,0.000000,events/second
1571949169,270,0.323736,0.000000,0.000000,0.000000,events/second
1571949172,270,0.322579,0.000000,0.000000,0.000000,events/second
1571949175,270,0.321424,0.000000,0.000000,0.000000,events/second
1571949178,270,0.320285,0.000000,0.000000,0.000000,events/second
1571949181,270,0.319144,0.000000,0.000000,0.000000,events/second
1571949184,273,0.321555,0.000000,0.000000,0.000000,events/second
1571949187,273,0.320419,0.000000,0.000000,0.000000,events/second
1571949190,273,0.319297,0.000000,0.000000,0.000000,events/second
1571949193,273,0.318183,0.000000,0.000000,0.000000,events/second
1571949196,273,0.317070,0.000000,0.000000,0.000000,events/second
1571949199,273,0.315971,0.000000,0.000000,0.000000,events/second
1571949202,274,0.316035,0.000000,0.000000,0.000000,events/second
1571949205,276,0.317240,0.000000,0.000000,0.000000,events/second
1571949208,276,0.316151,0.000000,0.000000,0.000000,events/second
1571949211,276,0.315064,0.000000,0.000000,0.000000,events/second
1571949214,276,0.313993,0.000000,0.000000,0.000000,events/second
1571949217,276,0.312922,0.000000,0.000000,0.000000,events/second
1571949220,276,0.311863,0.000000,0.000000,0.000000,events/second
1571949223,279,0.314192,0.000000,0.000000,0.000000,events/second
1571949226,279,0.313130,0.000000,0.000000,0.000000,events/second
1571949229,279,0.312080,0.000000,0.000000,0.000000,events/second
1571949232,279,0.311034,0.000000,0.000000,0.000000,events/second
1571949235,279,0.309998,0.000000,0.000000,0.000000,events/second
1571949238,279,0.308971,0.000000,0.000000,0.000000,events/second
1571949241,279,0.307943,0.000000,0.000000,0.000000,events/second
1571949244,282,0.310225,0.000000,0.000000,0.000000,events/second
1571949247,282,0.309208,0.000000,0.000000,0.000000,events/second
1571949250,282,0.308195,0.000000,0.000000,0.000000,events/second
1571949253,282,0.307186,0.000000,0.000000,0.000000,events/second
1571949256,282,0.306187,0.000000,0.000000,0.000000,events/second
1571949259,282,0.305194,0.000000,0.000000,0.000000,events/second
1571949262,283,0.305288,0.000000,0.000000,0.000000,events/second
1571949265,285,0.306451,0.000000,0.000000,0.000000,events/second
1571949268,285,0.305467,0.000000,0.000000,0.000000,events/second
1571949271,285,0.304484,0.000000,0.000000,0.000000,events/second
1571949274,285,0.303508,0.000000,0.000000,0.000000,events/second
1571949277,285,0.302545,0.000000,0.000000,0.000000,events/second
1571949280,285,0.301587,0.000000,0.000000,0.000000,events/second
1571949283,288,0.303796,0.000000,0.000000,0.000000,events/second
1571949286,288,0.302838,0.000000,0.000000,0.000000,events/second
1571949289,288,0.301887,0.000000,0.000000,0.000000,events/second
1571949292,288,0.300937,0.000000,0.000000,0.000000,events/second
1571949295,288,0.299999,0.000000,0.000000,0.000000,events/second
1571949298,288,0.299066,0.000000,0.000000,0.000000,events/second
1571949301,288,0.298134,0.000000,0.000000,0.000000,events/second
1571949304,291,0.300304,0.000000,0.000000,0.000000,events/second
1571949307,291,0.299381,0.000000,0.000000,0.000000,events/second
1571949310,291,0.298461,0.000000,0.000000,0.000000,events/second
1571949313,291,0.297542,0.000000,0.000000,0.000000,events/second
1571949316,291,0.296634,0.000000,0.000000,0.000000,events/second
1571949319,291,0.295731,0.000000,0.000000,0.000000,events/second
1571949322,292,0.295843,0.000000,0.000000,0.000000,events/second
