t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948341,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948344,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948347,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948350,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948353,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948356,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948359,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948362,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948365,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948368,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948371,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948374,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948377,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948380,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948383,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948386,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948389,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948392,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948395,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948398,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948401,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948404,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948407,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948410,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948413,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948416,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948419,6,0.071432,0.000000,0.000000,0.000000,events/second
1571948422,6,0.068961,0.000000,0.000000,0.000000,events/second
1571948425,6,0.066663,0.000000,0.000000,0.000000,events/second
1571948428,6,0.064502,0.000000,0.000000,0.000000,events/second
1571948431,6,0.062486,0.000000,0.000000,0.000000,events/second
1571948434,6,0.060599,0.000000,0.000000,0.000000,events/second
1571948437,6,0.058827,0.000000,0.000000,0.000000,events/second
1571948440,6,0.057142,0.000000,0.000000,0.000000,events/second
1571948443,6,0.055551,0.000000,0.000000,0.000000,events/second
1571948446,6,0.054053,0.000000,0.000000,0.000000,events/second
1571948449,6,0.052630,0.000000,0.000000,0.000000,events/second
1571948452,6,0.051280,0.000000,0.000000,0.000000,events/second
1571948455,6,0.050003,0.000000,0.000000,0.000000,events/second
1571948458,6,0.048777,0.000000,0.000000,0.000000,events/second
1571948461,6,0.047622,0.000000,0.000000,0.000000,events/second
1571948464,6,0.046508,0.000000,0.000000,0.000000,events/second
1571948467,6,0.045454,0.000000,0.000000,0.000000,events/second
1571948470,6,0.044440,0.000000,0.000000,0.000000,events/second
1571948473,6,0.043470,0.000000,0.000000,0.000000,events/second
1571948476,6,0.042550,0.000000,0.000000,0.000000,events/second
1571948479,6,0.041664,0.000000,0.000000,0.000000,events/second
1571948482,7,0.047620,0.000000,0.000000,0.000000,events/second
1571948485,7,0.046666,0.000000,0.000000,0.000000,events/second
1571948488,7,0.045747,0.000000,0.000000,0.000000,events/second
1571948491,7,0.044872,0.000000,0.000000,0.000000,events/second
1571948494,7,0.044024,0.000000,0.000000,0.000000,events/second
1571948497,7,0.043208,0.000000,0.000000,0.000000,events/second
1571948500,7,0.042422,0.000000,0.000000,0.000000,events/second
1571948503,7,0.041668,0.000000,0.000000,0.000000,events/second
1571948506,7,0.040935,0.000000,0.000000,0.000000,events/second
1571948509,7,0.040230,0.000000,0.000000,0.000000,events/second
1571948512,7,0.039545,0.000000,0.000000,0.000000,events/second
1571948515,7,0.038887,0.000000,0.000000,0.000000,events/second
1571948518,7,0.038249,0.000000,0.000000,0.000000,events/second
1571948521,7,0.037635,0.000000,0.000000,0.000000,events/second
1571948524,7,0.037036,0.000000,0.000000,0.000000,events/second
1571948527,7,0.036460,0.000000,0.000000,0.000000,events/second
1571948530,7,0.035898,0.000000,0.000000,0.000000,events/second
1571948533,7,0.035355,0.000000,0.000000,0.000000,events/second
1571948536,7,0.034824,0.000000,0.000000,0.000000,events/second
1571948539,7,0.034313,0.000000,0.000000,0.000000,events/second
1571948542,7,0.033814,0.000000,0.000000,0.000000,events/second
1571948545,7,0.033332,0.000000,0.000000,0.000000,events/second
1571948548,7,0.032863,0.000000,0.000000,0.000000,events/second
1571948551,7,0.032406,0.000000,0.000000,0.000000,events/second
1571948554,7,0.031963,0.000000,0.000000,0.000000,events/second
1571948557,7,0.031530,0.000000,0.000000,0.000000,events/second
1571948560,7,0.031112,0.000000,0.000000,0.000000,events/second
1571948563,7,0.030702,0.000000,0.000000,0.000000,events/second
1571948566,7,0.030303,0.000000,0.000000,0.000000,events/second
1571948569,7,0.029914,0.000000,0.000000,0.000000,events/second
1571948572,7,0.029537,0.000000,0.000000,0.000000,events/second
1571948575,7,0.029166,0.000000,0.000000,0.000000,events/second
1571948578,7,0.028806,0.000000,0.000000,0.000000,events/second
1571948581,8,0.032521,0.000000,0.000000,0.000000,events/second
1571948584,8,0.032127,0.000000,0.000000,0.000000,events/second
1571948587,8,0.031746,0.000000,0.000000,0.000000,events/second
1571948590,10,0.039217,0.000000,0.000000,0.000000,events/second
1571948593,10,0.038760,0.000000,0.000000,0.000000,events/second
1571948596,10,0.038314,0.000000,0.000000,0.000000,events/second
1571948599,10,0.037877,0.000000,0.000000,0.000000,events/second
1571948602,10,0.037453,0.000000,0.000000,0.000000,events/second
1571948605,10,0.037038,0.000000,0.000000,0.000000,events/second
1571948608,10,0.036627,0.000000,0.000000,0.000000,events/second
1571948611,10,0.036233,0.000000,0.000000,0.000000,events/second
1571948614,10,0.035842,0.000000,0.000000,0.000000,events/second
1571948617,10,0.035459,0.000000,0.000000,0.000000,events/second
1571948620,10,0.035087,0.000000,0.000000,0.000000,events/second
1571948623,10,0.034723,0.000000,0.000000,0.000000,events/second
1571948626,10,0.034364,0.000000,0.000000,0.000000,events/second
1571948629,10,0.034013,0.000000,0.000000,0.000000,events/second
1571948632,10,0.033670,0.000000,0.000000,0.000000,events/second
1571948635,10,0.033332,0.000000,0.000000,0.000000,events/second
1571948638,10,0.033003,0.000000,0.000000,0.000000,events/second
1571948641,10,0.032680,0.000000,0.000000,0.000000,events/second
1571948644,10,0.032363,0.000000,0.000000,0.000000,events/second
1571948647,10,0.032050,0.000000,0.000000,0.000000,events/second
1571948650,10,0.031746,0.000000,0.000000,0.000000,events/second
1571948653,10,0.031446,0.000000,0.000000,0.000000,events/second
1571948656,10,0.031153,0.000000,0.000000,0.000000,events/second
1571948659,10,0.030864,0.000000,0.000000,0.000000,events/second
1571948662,10,0.030580,0.000000,0.000000,0.000000,events/second
1571948665,10,0.030303,0.000000,0.000000,0.000000,events/second
1571948668,10,0.030029,0.000000,0.000000,0.000000,events/second
1571948671,10,0.029761,0.000000,0.000000,0.000000,events/second
1571948674,10,0.029498,0.000000,0.000000,0.000000,events/second
1571948677,10,0.029238,0.000000,0.000000,0.000000,events/second
1571948680,10,0.028985,0.000000,0.000000,0.000000,events/second
1571948683,10,0.028734,0.000000,0.000000,0.000000,events/second
1571948686,10,0.028490,0.000000,0.000000,0.000000,events/second
1571948689,11,0.031074,0.000000,0.000000,0.000000,events/second
1571948692,11,0.030813,0.000000,0.000000,0.000000,events/second
1571948695,11,0.030556,0.000000,0.000000,0.000000,events/second
1571948698,11,0.030302,0.000000,0.000000,0.000000,events/second
1571948701,12,0.032787,0.000000,0.000000,0.000000,events/second
1571948704,12,0.032520,0.000000,0.000000,0.000000,events/second
1571948707,12,0.032258,0.000000,0.000000,0.000000,events/second
1571948710,12,0.031999,0.000000,0.000000,0.000000,events/second
1571948713,12,0.031746,0.000000,0.000000,0.000000,events/second
1571948716,12,0.031496,0.000000,0.000000,0.000000,events/second
1571948719,12,0.031249,0.000000,0.000000,0.000000,events/second
1571948722,12,0.031007,0.000000,0.000000,0.000000,events/second
1571948725,12,0.030769,0.000000,0.000000,0.000000,events/second
1571948728,12,0.030534,0.000000,0.000000,0.000000,events/second
1571948731,12,0.030302,0.000000,0.000000,0.000000,events/second
1571948734,12,0.030073,0.000000,0.000000,0.000000,events/second
1571948737,12,0.029850,0.000000,0.000000,0.000000,events/second
1571948740,12,0.029630,0.000000,0.000000,0.000000,events/second
1571948743,12,0.029411,0.000000,0.000000,0.000000,events/second
1571948746,12,0.029197,0.000000,0.000000,0.000000,events/second
1571948749,12,0.028985,0.000000,0.000000,0.000000,events/second
1571948752,12,0.028778,0.000000,0.000000,0.000000,events/second
1571948755,12,0.028571,0.000000,0.000000,0.000000,events/second
1571948758,13,0.030733,0.000000,0.000000,0.000000,events/second
1571948761,13,0.030517,0.000000,0.000000,0.000000,events/second
1571948764,13,0.030303,0.000000,0.000000,0.000000,events/second
1571948767,13,0.030093,0.000000,0.000000,0.000000,events/second
1571948770,13,0.029885,0.000000,0.000000,0.000000,events/second
1571948773,13,0.029680,0.000000,0.000000,0.000000,events/second
1571948776,13,0.029478,0.000000,0.000000,0.000000,events/second
1571948779,13,0.029279,0.000000,0.000000,0.000000,events/second
1571948782,13,0.029082,0.000000,0.000000,0.000000,events/second
1571948785,13,0.028888,0.000000,0.000000,0.000000,events/second
1571948788,13,0.028697,0.000000,0.000000,0.000000,events/second
1571948791,13,0.028508,0.000000,0.000000,0.000000,events/second
1571948794,13,0.028322,0.000000,0.000000,0.000000,events/second
1571948797,13,0.028138,0.000000,0.000000,0.000000,events/second
1571948800,13,0.027956,0.000000,0.000000,0.000000,events/second
1571948803,13,0.027777,0.000000,0.000000,0.000000,events/second
1571948806,13,0.027600,0.000000,0.000000,0.000000,events/second
1571948809,13,0.027426,0.000000,0.000000,0.000000,events/second
1571948812,13,0.027254,0.000000,0.000000,0.000000,events/second
1571948815,13,0.027083,0.000000,0.000000,0.000000,events/second
1571948818,13,0.026915,0.000000,0.000000,0.000000,events/second
1571948821,13,0.026749,0.000000,0.000000,0.000000,events/second
1571948824,13,0.026584,0.000000,0.000000,0.000000,events/second
1571948827,13,0.026422,0.000000,0.000000,0.000000,events/second
1571948830,13,0.026263,0.000000,0.000000,0.000000,events/second
1571948833,13,0.026104,0.000000,0.000000,0.000000,events/second
1571948836,13,0.025948,0.000000,0.000000,0.000000,events/second
1571948839,13,0.025793,0.000000,0.000000,0.000000,events/second
1571948842,13,0.025641,0.000000,0.000000,0.000000,events/second
1571948845,13,0.025490,0.000000,0.000000,0.000000,events/second
1571948848,13,0.025340,0.000000,0.000000,0.000000,events/second
1571948851,13,0.025194,0.000000,0.000000,0.000000,events/second
1571948854,13,0.025048,0.000000,0.000000,0.000000,events/second
1571948857,13,0.024904,0.000000,0.000000,0.000000,events/second
1571948860,13,0.024762,0.000000,0.000000,0.000000,events/second
1571948863,13,0.024621,0.000000,0.000000,0.000000,events/second
1571948866,13,0.024482,0.000000,0.000000,0.000000,events/second
1571948869,13,0.024344,0.000000,0.000000,0.000000,events/second
1571948872,13,0.024208,0.000000,0.000000,0.000000,events/second
1571948875,13,0.024074,0.000000,0.000000,0.000000,events/second
1571948878,13,0.023940,0.000000,0.000000,0.000000,events/second
1571948881,13,0.023809,0.000000,0.000000,0.000000,events/second
1571948884,13,0.023679,0.000000,0.000000,0.000000,events/second
1571948887,13,0.023551,0.000000,0.000000,0.000000,events/second
1571948890,13,0.023424,0.000000,0.000000,0.000000,events/second
1571948893,13,0.023297,0.000000,0.000000,0.000000,events/second
1571948896,13,0.023173,0.000000,0.000000,0.000000,events/second
1571948899,13,0.023050,0.000000,0.000000,0.000000,events/second
1571948902,13,0.022928,0.000000,0.000000,0.000000,events/second
1571948905,13,0.022807,0.000000,0.000000,0.000000,events/second
1571948908,13,0.022687,0.000000,0.000000,0.000000,events/second
1571948911,13,0.022569,0.000000,0.000000,0.000000,events/second
1571948914,13,0.022452,0.000000,0.000000,0.000000,events/second
1571948917,13,0.022337,0.000000,0.000000,0.000000,events/second
1571948920,13,0.022222,0.000000,0.000000,0.000000,events/second
1571948923,13,0.022108,0.000000,0.000000,0.000000,events/second
1571948926,13,0.021997,0.000000,0.000000,0.000000,events/second
1571948929,13,0.021885,0.000000,0.000000,0.000000,events/second
1571948932,13,0.021775,0.000000,0.000000,0.000000,events/second
1571948935,13,0.021667,0.000000,0.000000,0.000000,events/second
1571948938,13,0.021559,0.000000,0.000000,0.000000,events/second
1571948941,13,0.021452,0.000000,0.000000,0.000000,events/second
1571948944,13,0.021346,0.000000,0.000000,0.000000,events/second
1571948947,13,0.021242,0.000000,0.000000,0.000000,events/second
1571948950,13,0.021138,0.000000,0.000000,0.000000,events/second
1571948953,13,0.021035,0.000000,0.000000,0.000000,events/second
1571948956,13,0.020934,0.000000,0.000000,0.000000,events/second
1571948959,13,0.020833,0.000000,0.000000,0.000000,events/second
1571948962,13,0.020734,0.000000,0.000000,0.000000,events/second
1571948965,13,0.020635,0.000000,0.000000,0.000000,events/second
1571948968,13,0.020537,0.000000,0.000000,0.000000,events/second
1571948971,13,0.020440,0.000000,0.000000,0.000000,events/second
1571948974,13,0.020344,0.000000,0.000000,0.000000,events/second
1571948977,13,0.020249,0.000000,0.000000,0.000000,events/second
1571948980,13,0.020155,0.000000,0.000000,0.000000,events/second
1571948983,13,0.020061,0.000000,0.000000,0.000000,events/second
1571948986,13,0.019969,0.000000,0.000000,0.000000,events/second
1571948989,13,0.019878,0.000000,0.000000,0.000000,events/second
1571948992,13,0.019787,0.000000,0.000000,0.000000,events/second
1571948995,13,0.019697,0.000000,0.000000,0.000000,events/second
1571948998,14,0.021116,0.000000,0.000000,0.000000,events/second
1571949001,14,0.021020,0.000000,0.000000,0.000000,events/second
1571949004,14,0.020926,0.000000,0.000000,0.000000,events/second
1571949007,14,0.020834,0.000000,0.000000,0.000000,events/second
1571949010,15,0.022222,0.000000,0.000000,0.000000,events/second
1571949013,15,0.022124,0.000000,0.000000,0.000000,events/second
1571949016,15,0.022026,0.000000,0.000000,0.000000,events/second
1571949019,15,0.021930,0.000000,0.000000,0.000000,events/second
1571949022,15,0.021834,0.000000,0.000000,0.000000,events/second
1571949025,15,0.021739,0.000000,0.000000,0.000000,events/second
1571949028,15,0.021645,0.000000,0.000000,0.000000,events/second
1571949031,15,0.021552,0.000000,0.000000,0.000000,events/second
1571949034,15,0.021459,0.000000,0.000000,0.000000,events/second
1571949037,15,0.021368,0.000000,0.000000,0.000000,events/second
1571949040,16,0.022695,0.000000,0.000000,0.000000,events/second
1571949043,16,0.022599,0.000000,0.000000,0.000000,events/second
1571949046,16,0.022503,0.000000,0.000000,0.000000,events/second
1571949049,16,0.022409,0.000000,0.000000,0.000000,events/second
1571949052,16,0.022315,0.000000,0.000000,0.000000,events/second
1571949055,16,0.022222,0.000000,0.000000,0.000000,events/second
1571949058,16,0.022130,0.000000,0.000000,0.000000,events/second
1571949061,16,0.022039,0.000000,0.000000,0.000000,events/second
1571949064,16,0.021948,0.000000,0.000000,0.000000,events/second
1571949067,16,0.021858,0.000000,0.000000,0.000000,events/second
1571949070,16,0.021768,0.000000,0.000000,0.000000,events/second
1571949073,16,0.021680,0.000000,0.000000,0.000000,events/second
1571949076,16,0.021592,0.000000,0.000000,0.000000,events/second
1571949079,16,0.021505,0.000000,0.000000,0.000000,events/second
1571949082,16,0.021419,0.000000,0.000000,0.000000,events/second
1571949085,16,0.021333,0.000000,0.000000,0.000000,events/second
1571949088,16,0.021248,0.000000,0.000000,0.000000,events/second
1571949091,16,0.021164,0.000000,0.000000,0.000000,events/second
1571949094,16,0.021081,0.000000,0.000000,0.000000,events/second
1571949097,16,0.020997,0.000000,0.000000,0.000000,events/second
1571949100,16,0.020915,0.000000,0.000000,0.000000,events/second
1571949103,16,0.020833,0.000000,0.000000,0.000000,events/second
1571949106,16,0.020752,0.000000,0.000000,0.000000,events/second
1571949109,16,0.020672,0.000000,0.000000,0.000000,events/second
1571949112,16,0.020592,0.000000,0.000000,0.000000,events/second
1571949115,16,0.020513,0.000000,0.000000,0.000000,events/second
1571949118,16,0.020434,0.000000,0.000000,0.000000,events/second
1571949121,16,0.020356,0.000000,0.000000,0.000000,events/second
1571949124,16,0.020279,0.000000,0.000000,0.000000,events/second
1571949127,16,0.020202,0.000000,0.000000,0.000000,events/second
1571949130,16,0.020126,0.000000,0.000000,0.000000,events/second
1571949133,16,0.020050,0.000000,0.000000,0.000000,events/second
1571949136,16,0.019975,0.000000,0.000000,0.000000,events/second
1571949139,16,0.019901,0.000000,0.000000,0.000000,events/second
1571949142,16,0.019827,0.000000,0.000000,0.000000,events/second
1571949145,16,0.019753,0.000000,0.000000,0.000000,events/second
1571949148,16,0.019680,0.000000,0.000000,0.000000,events/second
1571949151,16,0.019608,0.000000,0.000000,0.000000,events/second
1571949154,16,0.019536,0.000000,0.000000,0.000000,events/second
1571949157,16,0.019465,0.000000,0.000000,0.000000,events/second
1571949160,16,0.019394,0.000000,0.000000,0.000000,events/second
1571949163,16,0.019324,0.000000,0.000000,0.000000,events/second
1571949166,16,0.019254,0.000000,0.000000,0.000000,events/second
1571949169,16,0.019184,0.000000,0.000000,0.000000,events/second
1571949172,16,0.019116,0.000000,0.000000,0.000000,events/second
1571949175,16,0.019047,0.000000,0.000000,0.000000,events/second
1571949178,16,0.018980,0.000000,0.000000,0.000000,events/second
1571949181,16,0.018912,0.000000,0.000000,0.000000,events/second
1571949184,16,0.018846,0.000000,0.000000,0.000000,events/second
1571949187,16,0.018779,0.000000,0.000000,0.000000,events/second
1571949190,16,0.018713,0.000000,0.000000,0.000000,events/second
1571949193,16,0.018648,0.000000,0.000000,0.000000,events/second
1571949196,16,0.018583,0.000000,0.000000,0.000000,events/second
1571949199,16,0.018518,0.000000,0.000000,0.000000,events/second
1571949202,16,0.018455,0.000000,0.000000,0.000000,events/second
1571949205,16,0.018391,0.000000,0.000000,0.000000,events/second
1571949208,16,0.018328,0.000000,0.000000,0.000000,events/second
1571949211,16,0.018265,0.000000,0.000000,0.000000,events/second
1571949214,16,0.018203,0.000000,0.000000,0.000000,events/second
1571949217,16,0.018140,0.000000,0.000000,0.000000,events/second
1571949220,16,0.018079,0.000000,0.000000,0.000000,events/second
1571949223,16,0.018018,0.000000,0.000000,0.000000,events/second
1571949226,16,0.017957,0.000000,0.000000,0.000000,events/second
1571949229,16,0.017897,0.000000,0.000000,0.000000,events/second
1571949232,16,0.017837,0.000000,0.000000,0.000000,events/second
1571949235,16,0.017778,0.000000,0.000000,0.000000,events/second
1571949238,16,0.017719,0.000000,0.000000,0.000000,events/second
1571949241,16,0.017660,0.000000,0.000000,0.000000,events/second
1571949244,16,0.017601,0.000000,0.000000,0.000000,events/second
1571949247,16,0.017544,0.000000,0.000000,0.000000,events/second
1571949250,16,0.017486,0.000000,0.000000,0.000000,events/second
1571949253,16,0.017429,0.000000,0.000000,0.000000,events/second
1571949256,16,0.017372,0.000000,0.000000,0.000000,events/second
1571949259,16,0.017316,0.000000,0.000000,0.000000,events/second
1571949262,16,0.017260,0.000000,0.000000,0.000000,events/second
1571949265,16,0.017204,0.000000,0.000000,0.000000,events/second
1571949268,16,0.017149,0.000000,0.000000,0.000000,events/second
1571949271,16,0.017094,0.000000,0.000000,0.000000,events/second
1571949274,16,0.017039,0.000000,0.000000,0.000000,events/second
1571949277,16,0.016985,0.000000,0.000000,0.000000,events/second
1571949280,16,0.016931,0.000000,0.000000,0.000000,events/second
1571949283,16,0.016878,0.000000,0.000000,0.000000,events/second
1571949286,16,0.016824,0.000000,0.000000,0.000000,events/second
1571949289,16,0.016771,0.000000,0.000000,0.000000,events/second
1571949292,16,0.016719,0.000000,0.000000,0.000000,events/second
1571949295,16,0.016667,0.000000,0.000000,0.000000,events/second
1571949298,16,0.016615,0.000000,0.000000,0.000000,events/second
1571949301,16,0.016563,0.000000,0.000000,0.000000,events/second
1571949304,16,0.016512,0.000000,0.000000,0.000000,events/second
1571949307,16,0.016461,0.000000,0.000000,0.000000,events/second
1571949310,16,0.016410,0.000000,0.000000,0.000000,events/second
1571949313,16,0.016360,0.000000,0.000000,0.000000,events/second
1571949316,16,0.016310,0.000000,0.000000,0.000000,events/second
1571949319,16,0.016260,0.000000,0.000000,0.000000,events/second
1571949322,16,0.016211,0.000000,0.000000,0.000000,events/second
