t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,1,0.312836,0.000000,0.000000,0.000000,events/second
1571948341,1,0.166775,0.000000,0.000000,0.000000,events/second
1571948344,1,0.111001,0.000000,0.000000,0.000000,events/second
1571948347,1,0.083368,0.000000,0.000000,0.000000,events/second
1571948350,1,0.066696,0.000000,0.000000,0.000000,events/second
1571948353,1,0.055558,0.000000,0.000000,0.000000,events/second
1571948356,1,0.047556,0.000000,0.000000,0.000000,events/second
1571948359,1,0.041630,0.000000,0.000000,0.000000,events/second
1571948362,1,0.037031,0.000000,0.000000,0.000000,events/second
1571948365,1,0.033300,0.000000,0.000000,0.000000,events/second
1571948368,1,0.030305,0.000000,0.000000,0.000000,events/second
1571948371,1,0.027780,0.000000,0.000000,0.000000,events/second
1571948374,1,0.025648,0.000000,0.000000,0.000000,events/second
1571948377,1,0.023814,0.000000,0.000000,0.000000,events/second
1571948380,1,0.022228,0.000000,0.000000,0.000000,events/second
1571948383,1,0.020800,0.000000,0.000000,0.000000,events/second
1571948386,1,0.019608,0.000000,0.000000,0.000000,events/second
1571948389,1,0.018522,0.000000,0.000000,0.000000,events/second
1571948392,1,0.017543,0.000000,0.000000,0.000000,events/second
1571948395,1,0.016666,0.000000,0.000000,0.000000,events/second
1571948398,1,0.015872,0.000000,0.000000,0.000000,events/second
1571948401,1,0.015152,0.000000,0.000000,0.000000,events/second
1571948404,1,0.014491,0.000000,0.000000,0.000000,events/second
1571948407,1,0.013889,0.000000,0.000000,0.000000,events/second
1571948410,1,0.013332,0.000000,0.000000,0.000000,events/second
1571948413,1,0.012821,0.000000,0.000000,0.000000,events/second
1571948416,1,0.012347,0.000000,0.000000,0.000000,events/second
1571948419,7,0.083344,0.000000,0.000000,0.000000,events/second
1571948422,7,0.080460,0.000000,0.000000,0.000000,events/second
1571948425,7,0.077779,0.000000,0.000000,0.000000,events/second
1571948428,7,0.075255,0.000000,0.000000,0.000000,events/second
1571948431,7,0.072905,0.000000,0.000000,0.000000,events/second
1571948434,7,0.070703,0.000000,0.000000,0.000000,events/second
1571948437,7,0.068636,0.000000,0.000000,0.000000,events/second
1571948440,7,0.066670,0.000000,0.000000,0.000000,events/second
1571948443,7,0.064813,0.000000,0.000000,0.000000,events/second
1571948446,7,0.063066,0.000000,0.000000,0.000000,events/second
1571948449,7,0.061405,0.000000,0.000000,0.000000,events/second
1571948452,7,0.059830,0.000000,0.000000,0.000000,events/second
1571948455,7,0.058339,0.000000,0.000000,0.000000,events/second
1571948458,7,0.056909,0.000000,0.000000,0.000000,events/second
1571948461,7,0.055561,0.000000,0.000000,0.000000,events/second
1571948464,7,0.054262,0.000000,0.000000,0.000000,events/second
1571948467,7,0.053033,0.000000,0.000000,0.000000,events/second
1571948470,7,0.051850,0.000000,0.000000,0.000000,events/second
1571948473,7,0.050717,0.000000,0.000000,0.000000,events/second
1571948476,7,0.049644,0.000000,0.000000,0.000000,events/second
1571948479,7,0.048610,0.000000,0.000000,0.000000,events/second
1571948482,8,0.054425,0.000000,0.000000,0.000000,events/second
1571948485,8,0.053335,0.000000,0.000000,0.000000,events/second
1571948488,8,0.052285,0.000000,0.000000,0.000000,events/second
1571948491,8,0.051284,0.000000,0.000000,0.000000,events/second
1571948494,8,0.050316,0.000000,0.000000,0.000000,events/second
1571948497,8,0.049383,0.000000,0.000000,0.000000,events/second
1571948500,8,0.048484,0.000000,0.000000,0.000000,events/second
1571948503,8,0.047622,0.000000,0.000000,0.000000,events/second
1571948506,8,0.046785,0.000000,0.000000,0.000000,events/second
1571948509,8,0.045979,0.000000,0.000000,0.000000,events/second
1571948512,8,0.045196,0.000000,0.000000,0.000000,events/second
1571948515,8,0.044443,0.000000,0.000000,0.000000,events/second
1571948518,8,0.043714,0.000000,0.000000,0.000000,events/second
1571948521,8,0.043012,0.000000,0.000000,0.000000,events/second
1571948524,8,0.042328,0.000000,0.000000,0.000000,events/second
1571948527,8,0.041670,0.000000,0.000000,0.000000,events/second
1571948530,8,0.041027,0.000000,0.000000,0.000000,events/second
1571948533,8,0.040407,0.000000,0.000000,0.000000,events/second
1571948536,8,0.039801,0.000000,0.000000,0.000000,events/second
1571948539,8,0.039216,0.000000,0.000000,0.000000,events/second
1571948542,8,0.038646,0.000000,0.000000,0.000000,events/second
1571948545,8,0.038095,0.000000,0.000000,0.000000,events/second
1571948548,8,0.037559,0.000000,0.000000,0.000000,events/second
1571948551,8,0.037036,0.000000,0.000000,0.000000,events/second
1571948554,8,0.036530,0.000000,0.000000,0.000000,events/second
1571948557,8,0.036035,0.000000,0.000000,0.000000,events/second
1571948560,8,0.035558,0.000000,0.000000,0.000000,events/second
1571948563,8,0.035089,0.000000,0.000000,0.000000,events/second
1571948566,8,0.034633,0.000000,0.000000,0.000000,events/second
1571948569,8,0.034188,0.000000,0.000000,0.000000,events/second
1571948572,8,0.033757,0.000000,0.000000,0.000000,events/second
1571948575,8,0.033334,0.000000,0.000000,0.000000,events/second
1571948578,8,0.032922,0.000000,0.000000,0.000000,events/second
1571948581,9,0.036587,0.000000,0.000000,0.000000,events/second
1571948584,9,0.036144,0.000000,0.000000,0.000000,events/second
1571948587,9,0.035715,0.000000,0.000000,0.000000,events/second
1571948590,11,0.043139,0.000000,0.000000,0.000000,events/second
1571948593,11,0.042637,0.000000,0.000000,0.000000,events/second
1571948596,11,0.042146,0.000000,0.000000,0.000000,events/second
1571948599,11,0.041665,0.000000,0.000000,0.000000,events/second
1571948602,11,0.041199,0.000000,0.000000,0.000000,events/second
1571948605,11,0.040743,0.000000,0.000000,0.000000,events/second
1571948608,11,0.040291,0.000000,0.000000,0.000000,events/second
1571948611,11,0.039857,0.000000,0.000000,0.000000,events/second
1571948614,11,0.039427,0.000000,0.000000,0.000000,events/second
1571948617,11,0.039006,0.000000,0.000000,0.000000,events/second
1571948620,11,0.038596,0.000000,0.000000,0.000000,events/second
1571948623,11,0.038196,0.000000,0.000000,0.000000,events/second
1571948626,11,0.037801,0.000000,0.000000,0.000000,events/second
1571948629,11,0.037415,0.000000,0.000000,0.000000,events/second
1571948632,11,0.037037,0.000000,0.000000,0.000000,events/second
1571948635,11,0.036666,0.000000,0.000000,0.000000,events/second
1571948638,11,0.036304,0.000000,0.000000,0.000000,events/second
1571948641,11,0.035949,0.000000,0.000000,0.000000,events/second
1571948644,11,0.035600,0.000000,0.000000,0.000000,events/second
1571948647,11,0.035256,0.000000,0.000000,0.000000,events/second
1571948650,11,0.034921,0.000000,0.000000,0.000000,events/second
1571948653,11,0.034591,0.000000,0.000000,0.000000,events/second
1571948656,11,0.034270,0.000000,0.000000,0.000000,events/second
1571948659,11,0.033951,0.000000,0.000000,0.000000,events/second
1571948662,11,0.033639,0.000000,0.000000,0.000000,events/second
1571948665,11,0.033334,0.000000,0.000000,0.000000,events/second
1571948668,11,0.033033,0.000000,0.000000,0.000000,events/second
1571948671,11,0.032738,0.000000,0.000000,0.000000,events/second
1571948674,11,0.032448,0.000000,0.000000,0.000000,events/second
1571948677,11,0.032163,0.000000,0.000000,0.000000,events/second
1571948680,11,0.031884,0.000000,0.000000,0.000000,events/second
1571948683,11,0.031608,0.000000,0.000000,0.000000,events/second
1571948686,11,0.031339,0.000000,0.000000,0.000000,events/second
1571948689,12,0.033900,0.000000,0.000000,0.000000,events/second
1571948692,12,0.033614,0.000000,0.000000,0.000000,events/second
1571948695,12,0.033334,0.000000,0.000000,0.000000,events/second
1571948698,12,0.033058,0.000000,0.000000,0.000000,events/second
1571948701,13,0.035520,0.000000,0.000000,0.000000,events/second
1571948704,13,0.035230,0.000000,0.000000,0.000000,events/second
1571948707,13,0.034947,0.000000,0.000000,0.000000,events/second
1571948710,13,0.034666,0.000000,0.000000,0.000000,events/second
1571948713,13,0.034392,0.000000,0.000000,0.000000,events/second
1571948716,13,0.034121,0.000000,0.000000,0.000000,events/second
1571948719,13,0.033854,0.000000,0.000000,0.000000,events/second
1571948722,13,0.033591,0.000000,0.000000,0.000000,events/second
1571948725,13,0.033333,0.000000,0.000000,0.000000,events/second
1571948728,13,0.033079,0.000000,0.000000,0.000000,events/second
1571948731,13,0.032827,0.000000,0.000000,0.000000,events/second
1571948734,13,0.032580,0.000000,0.000000,0.000000,events/second
1571948737,13,0.032338,0.000000,0.000000,0.000000,events/second
1571948740,13,0.032100,0.000000,0.000000,0.000000,events/second
1571948743,13,0.031863,0.000000,0.000000,0.000000,events/second
1571948746,13,0.031630,0.000000,0.000000,0.000000,events/second
1571948749,13,0.031400,0.000000,0.000000,0.000000,events/second
1571948752,13,0.031176,0.000000,0.000000,0.000000,events/second
1571948755,13,0.030952,0.000000,0.000000,0.000000,events/second
1571948758,14,0.033098,0.000000,0.000000,0.000000,events/second
1571948761,14,0.032865,0.000000,0.000000,0.000000,events/second
1571948764,14,0.032634,0.000000,0.000000,0.000000,events/second
1571948767,14,0.032408,0.000000,0.000000,0.000000,events/second
1571948770,14,0.032184,0.000000,0.000000,0.000000,events/second
1571948773,14,0.031964,0.000000,0.000000,0.000000,events/second
1571948776,14,0.031746,0.000000,0.000000,0.000000,events/second
1571948779,14,0.031532,0.000000,0.000000,0.000000,events/second
1571948782,14,0.031320,0.000000,0.000000,0.000000,events/second
1571948785,14,0.031111,0.000000,0.000000,0.000000,events/second
1571948788,14,0.030905,0.000000,0.000000,0.000000,events/second
1571948791,14,0.030701,0.000000,0.000000,0.000000,events/second
1571948794,14,0.030501,0.000000,0.000000,0.000000,events/second
1571948797,14,0.030303,0.000000,0.000000,0.000000,events/second
1571948800,14,0.030107,0.000000,0.000000,0.000000,events/second
1571948803,14,0.029914,0.000000,0.000000,0.000000,events/second
1571948806,14,0.029724,0.000000,0.000000,0.000000,events/second
1571948809,14,0.029536,0.000000,0.000000,0.000000,events/second
