t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948341,1,0.166498,0.000000,0.000000,0.000000,events/second
1571948344,1,0.110878,0.000000,0.000000,0.000000,events/second
1571948347,1,0.083299,0.000000,0.000000,0.000000,events/second
1571948350,1,0.066652,0.000000,0.000000,0.000000,events/second
1571948353,1,0.055525,0.000000,0.000000,0.000000,events/second
1571948356,1,0.047531,0.000000,0.000000,0.000000,events/second
1571948359,1,0.041609,0.000000,0.000000,0.000000,events/second
1571948362,1,0.037017,0.000000,0.000000,0.000000,events/second
1571948365,1,0.033288,0.000000,0.000000,0.000000,events/second
1571948368,1,0.030296,0.000000,0.000000,0.000000,events/second
1571948371,1,0.027772,0.000000,0.000000,0.000000,events/second
1571948374,1,0.025641,0.000000,0.000000,0.000000,events/second
1571948377,1,0.023808,0.000000,0.000000,0.000000,events/second
1571948380,1,0.022223,0.000000,0.000000,0.000000,events/second
1571948383,4,0.083181,0.000000,0.000000,0.000000,events/second
1571948386,4,0.078418,0.000000,0.000000,0.000000,events/second
1571948389,4,0.074075,0.000000,0.000000,0.000000,events/second
1571948392,4,0.070160,0.000000,0.000000,0.000000,events/second
1571948395,4,0.066653,0.000000,0.000000,0.000000,events/second
1571948398,4,0.063479,0.000000,0.000000,0.000000,events/second
1571948401,4,0.060597,0.000000,0.000000,0.000000,events/second
1571948404,4,0.057957,0.000000,0.000000,0.000000,events/second
1571948407,4,0.055548,0.000000,0.000000,0.000000,events/second
1571948410,4,0.053321,0.000000,0.000000,0.000000,events/second
1571948413,4,0.051275,0.000000,0.000000,0.000000,events/second
1571948416,4,0.049384,0.000000,0.000000,0.000000,events/second
1571948419,4,0.047620,0.000000,0.000000,0.000000,events/second
1571948422,4,0.045972,0.000000,0.000000,0.000000,events/second
1571948425,4,0.044440,0.000000,0.000000,0.000000,events/second
1571948428,4,0.042998,0.000000,0.000000,0.000000,events/second
1571948431,4,0.041655,0.000000,0.000000,0.000000,events/second
1571948434,4,0.040398,0.000000,0.000000,0.000000,events/second
1571948437,4,0.039217,0.000000,0.000000,0.000000,events/second
1571948440,4,0.038093,0.000000,0.000000,0.000000,events/second
1571948443,4,0.037033,0.000000,0.000000,0.000000,events/second
1571948446,4,0.036034,0.000000,0.000000,0.000000,events/second
1571948449,4,0.035085,0.000000,0.000000,0.000000,events/second
1571948452,4,0.034186,0.000000,0.000000,0.000000,events/second
1571948455,4,0.033334,0.000000,0.000000,0.000000,events/second
1571948458,4,0.032517,0.000000,0.000000,0.000000,events/second
1571948461,4,0.031747,0.000000,0.000000,0.000000,events/second
1571948464,4,0.031004,0.000000,0.000000,0.000000,events/second
1571948467,4,0.030302,0.000000,0.000000,0.000000,events/second
1571948470,4,0.029626,0.000000,0.000000,0.000000,events/second
1571948473,4,0.028979,0.000000,0.000000,0.000000,events/second
1571948476,4,0.028366,0.000000,0.000000,0.000000,events/second
1571948479,4,0.027775,0.000000,0.000000,0.000000,events/second
1571948482,4,0.027211,0.000000,0.000000,0.000000,events/second
1571948485,4,0.026666,0.000000,0.000000,0.000000,events/second
1571948488,4,0.026141,0.000000,0.000000,0.000000,events/second
1571948491,4,0.025640,0.000000,0.000000,0.000000,events/second
1571948494,4,0.025156,0.000000,0.000000,0.000000,events/second
1571948497,4,0.024690,0.000000,0.000000,0.000000,events/second
1571948500,4,0.024241,0.000000,0.000000,0.000000,events/second
1571948503,4,0.023810,0.000000,0.000000,0.000000,events/second
1571948506,4,0.023391,0.000000,0.000000,0.000000,events/second
1571948509,4,0.022988,0.000000,0.000000,0.000000,events/second
1571948512,4,0.022597,0.000000,0.000000,0.000000,events/second
1571948515,4,0.022220,0.000000,0.000000,0.000000,events/second
1571948518,4,0.021856,0.000000,0.000000,0.000000,events/second
1571948521,4,0.021505,0.000000,0.000000,0.000000,events/second
1571948524,4,0.021163,0.000000,0.000000,0.000000,events/second
1571948527,4,0.020834,0.000000,0.000000,0.000000,events/second
1571948530,4,0.020513,0.000000,0.000000,0.000000,events/second
1571948533,4,0.020202,0.000000,0.000000,0.000000,events/second
1571948536,4,0.019899,0.000000,0.000000,0.000000,events/second
1571948539,4,0.019607,0.000000,0.000000,0.000000,events/second
1571948542,4,0.019322,0.000000,0.000000,0.000000,events/second
1571948545,4,0.019047,0.000000,0.000000,0.000000,events/second
1571948548,4,0.018779,0.000000,0.000000,0.000000,events/second
1571948551,4,0.018517,0.000000,0.000000,0.000000,events/second
1571948554,4,0.018264,0.000000,0.000000,0.000000,events/second
1571948557,4,0.018017,0.000000,0.000000,0.000000,events/second
1571948560,4,0.017778,0.000000,0.000000,0.000000,events/second
1571948563,4,0.017544,0.000000,0.000000,0.000000,events/second
1571948566,4,0.017316,0.000000,0.000000,0.000000,events/second
1571948569,4,0.017094,0.000000,0.000000,0.000000,events/second
1571948572,4,0.016878,0.000000,0.000000,0.000000,events/second
1571948575,4,0.016666,0.000000,0.000000,0.000000,events/second
1571948578,4,0.016460,0.000000,0.000000,0.000000,events/second
1571948581,4,0.016260,0.000000,0.000000,0.000000,events/second
1571948584,4,0.016063,0.000000,0.000000,0.000000,events/second
1571948587,4,0.015873,0.000000,0.000000,0.000000,events/second
1571948590,4,0.015686,0.000000,0.000000,0.000000,events/second
1571948593,4,0.015504,0.000000,0.000000,0.000000,events/second
1571948596,4,0.015325,0.000000,0.000000,0.000000,events/second
1571948599,4,0.015150,0.000000,0.000000,0.000000,events/second
1571948602,4,0.014981,0.000000,0.000000,0.000000,events/second
1571948605,4,0.014815,0.000000,0.000000,0.000000,events/second
1571948608,4,0.014651,0.000000,0.000000,0.000000,events/second
1571948611,4,0.014493,0.000000,0.000000,0.000000,events/second
1571948614,4,0.014337,0.000000,0.000000,0.000000,events/second
1571948617,4,0.014184,0.000000,0.000000,0.000000,events/second
1571948620,4,0.014034,0.000000,0.000000,0.000000,events/second
1571948623,4,0.013889,0.000000,0.000000,0.000000,events/second
1571948626,4,0.013745,0.000000,0.000000,0.000000,events/second
1571948629,4,0.013605,0.000000,0.000000,0.000000,events/second
1571948632,4,0.013468,0.000000,0.000000,0.000000,events/second
1571948635,4,0.013333,0.000000,0.000000,0.000000,events/second
1571948638,4,0.013201,0.000000,0.000000,0.000000,events/second
1571948641,4,0.013072,0.000000,0.000000,0.000000,events/second
1571948644,4,0.012945,0.000000,0.000000,0.000000,events/second
1571948647,4,0.012820,0.000000,0.000000,0.000000,events/second
1571948650,4,0.012698,0.000000,0.000000,0.000000,events/second
1571948653,4,0.012578,0.000000,0.000000,0.000000,events/second
