t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948341,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948344,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948347,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948350,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948353,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948356,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948359,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948362,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948365,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948368,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948371,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948374,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948377,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948380,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948383,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948386,1,0.019607,0.000000,0.000000,0.000000,events/second
1571948389,1,0.018521,0.000000,0.000000,0.000000,events/second
1571948392,1,0.017542,0.000000,0.000000,0.000000,events/second
1571948395,1,0.016665,0.000000,0.000000,0.000000,events/second
1571948398,1,0.015871,0.000000,0.000000,0.000000,events/second
1571948401,2,0.030301,0.000000,0.000000,0.000000,events/second
1571948404,2,0.028981,0.000000,0.000000,0.000000,events/second
1571948407,2,0.027776,0.000000,0.000000,0.000000,events/second
1571948410,2,0.026662,0.000000,0.000000,0.000000,events/second
1571948413,2,0.025639,0.000000,0.000000,0.000000,events/second
1571948416,2,0.024694,0.000000,0.000000,0.000000,events/second
1571948419,3,0.035717,0.000000,0.000000,0.000000,events/second
1571948422,4,0.045974,0.000000,0.000000,0.000000,events/second
1571948425,6,0.066665,0.000000,0.000000,0.000000,events/second
1571948428,8,0.086000,0.000000,0.000000,0.000000,events/second
1571948431,9,0.093730,0.000000,0.000000,0.000000,events/second
1571948434,9,0.090900,0.000000,0.000000,0.000000,events/second
1571948437,9,0.088243,0.000000,0.000000,0.000000,events/second
1571948440,9,0.085715,0.000000,0.000000,0.000000,events/second
1571948443,10,0.092587,0.000000,0.000000,0.000000,events/second
1571948446,10,0.090091,0.000000,0.000000,0.000000,events/second
1571948449,10,0.087718,0.000000,0.000000,0.000000,events/second
1571948452,10,0.085469,0.000000,0.000000,0.000000,events/second
1571948455,10,0.083340,0.000000,0.000000,0.000000,events/second
1571948458,10,0.081296,0.000000,0.000000,0.000000,events/second
1571948461,11,0.087308,0.000000,0.000000,0.000000,events/second
1571948464,11,0.085264,0.000000,0.000000,0.000000,events/second
1571948467,11,0.083335,0.000000,0.000000,0.000000,events/second
1571948470,11,0.081476,0.000000,0.000000,0.000000,events/second
1571948473,11,0.079696,0.000000,0.000000,0.000000,events/second
1571948476,11,0.078010,0.000000,0.000000,0.000000,events/second
1571948479,11,0.076385,0.000000,0.000000,0.000000,events/second
1571948482,12,0.081636,0.000000,0.000000,0.000000,events/second
1571948485,13,0.086667,0.000000,0.000000,0.000000,events/second
1571948488,16,0.104566,0.000000,0.000000,0.000000,events/second
1571948491,17,0.108976,0.000000,0.000000,0.000000,events/second
1571948494,17,0.106918,0.000000,0.000000,0.000000,events/second
1571948497,17,0.104936,0.000000,0.000000,0.000000,events/second
1571948500,17,0.103027,0.000000,0.000000,0.000000,events/second
1571948503,18,0.107148,0.000000,0.000000,0.000000,events/second
1571948506,18,0.105264,0.000000,0.000000,0.000000,events/second
1571948509,18,0.103450,0.000000,0.000000,0.000000,events/second
1571948512,18,0.101688,0.000000,0.000000,0.000000,events/second
1571948515,18,0.099995,0.000000,0.000000,0.000000,events/second
1571948518,18,0.098355,0.000000,0.000000,0.000000,events/second
1571948521,19,0.102151,0.000000,0.000000,0.000000,events/second
1571948524,21,0.111110,0.000000,0.000000,0.000000,events/second
1571948527,23,0.119798,0.000000,0.000000,0.000000,events/second
1571948530,23,0.117951,0.000000,0.000000,0.000000,events/second
1571948533,23,0.116167,0.000000,0.000000,0.000000,events/second
1571948536,23,0.114425,0.000000,0.000000,0.000000,events/second
1571948539,23,0.112744,0.000000,0.000000,0.000000,events/second
1571948542,24,0.115936,0.000000,0.000000,0.000000,events/second
1571948545,24,0.114282,0.000000,0.000000,0.000000,events/second
1571948548,24,0.112675,0.000000,0.000000,0.000000,events/second
1571948551,24,0.111106,0.000000,0.000000,0.000000,events/second
1571948554,24,0.109587,0.000000,0.000000,0.000000,events/second
1571948557,24,0.108103,0.000000,0.000000,0.000000,events/second
1571948560,25,0.111116,0.000000,0.000000,0.000000,events/second
1571948563,26,0.114036,0.000000,0.000000,0.000000,events/second
1571948566,26,0.112554,0.000000,0.000000,0.000000,events/second
1571948569,26,0.111111,0.000000,0.000000,0.000000,events/second
1571948572,26,0.109709,0.000000,0.000000,0.000000,events/second
1571948575,26,0.108332,0.000000,0.000000,0.000000,events/second
1571948578,26,0.106994,0.000000,0.000000,0.000000,events/second
1571948581,28,0.113826,0.000000,0.000000,0.000000,events/second
1571948584,28,0.112446,0.000000,0.000000,0.000000,events/second
1571948587,28,0.111112,0.000000,0.000000,0.000000,events/second
1571948590,29,0.113730,0.000000,0.000000,0.000000,events/second
1571948593,29,0.112404,0.000000,0.000000,0.000000,events/second
1571948596,29,0.111111,0.000000,0.000000,0.000000,events/second
1571948599,29,0.109843,0.000000,0.000000,0.000000,events/second
1571948602,30,0.112359,0.000000,0.000000,0.000000,events/second
1571948605,30,0.111115,0.000000,0.000000,0.000000,events/second
1571948608,30,0.109883,0.000000,0.000000,0.000000,events/second
1571948611,31,0.112323,0.000000,0.000000,0.000000,events/second
1571948614,31,0.111111,0.000000,0.000000,0.000000,events/second
1571948617,31,0.109925,0.000000,0.000000,0.000000,events/second
1571948620,31,0.108770,0.000000,0.000000,0.000000,events/second
1571948623,32,0.111115,0.000000,0.000000,0.000000,events/second
1571948626,33,0.113402,0.000000,0.000000,0.000000,events/second
1571948629,33,0.112243,0.000000,0.000000,0.000000,events/second
1571948632,33,0.111111,0.000000,0.000000,0.000000,events/second
1571948635,33,0.109996,0.000000,0.000000,0.000000,events/second
1571948638,33,0.108911,0.000000,0.000000,0.000000,events/second
1571948641,34,0.111115,0.000000,0.000000,0.000000,events/second
1571948644,34,0.110036,0.000000,0.000000,0.000000,events/second
1571948647,35,0.112176,0.000000,0.000000,0.000000,events/second
1571948650,36,0.114286,0.000000,0.000000,0.000000,events/second
1571948653,38,0.119495,0.000000,0.000000,0.000000,events/second
1571948656,40,0.124615,0.000000,0.000000,0.000000,events/second
1571948659,40,0.123458,0.000000,0.000000,0.000000,events/second
1571948662,41,0.125380,0.000000,0.000000,0.000000,events/second
1571948665,41,0.124244,0.000000,0.000000,0.000000,events/second
1571948668,41,0.123120,0.000000,0.000000,0.000000,events/second
1571948671,41,0.122022,0.000000,0.000000,0.000000,events/second
1571948674,41,0.120941,0.000000,0.000000,0.000000,events/second
1571948677,41,0.119877,0.000000,0.000000,0.000000,events/second
1571948680,42,0.121739,0.000000,0.000000,0.000000,events/second
1571948683,43,0.123557,0.000000,0.000000,0.000000,events/second
1571948686,45,0.128203,0.000000,0.000000,0.000000,events/second
1571948689,45,0.127123,0.000000,0.000000,0.000000,events/second
1571948692,46,0.128854,0.000000,0.000000,0.000000,events/second
1571948695,46,0.127780,0.000000,0.000000,0.000000,events/second
1571948698,46,0.126719,0.000000,0.000000,0.000000,events/second
1571948701,46,0.125685,0.000000,0.000000,0.000000,events/second
1571948704,47,0.127370,0.000000,0.000000,0.000000,events/second
1571948707,47,0.126344,0.000000,0.000000,0.000000,events/second
1571948710,47,0.125331,0.000000,0.000000,0.000000,events/second
1571948713,47,0.124339,0.000000,0.000000,0.000000,events/second
1571948716,47,0.123359,0.000000,0.000000,0.000000,events/second
1571948719,47,0.122394,0.000000,0.000000,0.000000,events/second
1571948722,48,0.124029,0.000000,0.000000,0.000000,events/second
1571948725,48,0.123076,0.000000,0.000000,0.000000,events/second
1571948728,48,0.122135,0.000000,0.000000,0.000000,events/second
1571948731,48,0.121207,0.000000,0.000000,0.000000,events/second
1571948734,48,0.120294,0.000000,0.000000,0.000000,events/second
1571948737,48,0.119400,0.000000,0.000000,0.000000,events/second
1571948740,48,0.118522,0.000000,0.000000,0.000000,events/second
1571948743,49,0.120097,0.000000,0.000000,0.000000,events/second
1571948746,49,0.119221,0.000000,0.000000,0.000000,events/second
1571948749,49,0.118354,0.000000,0.000000,0.000000,events/second
1571948752,49,0.117509,0.000000,0.000000,0.000000,events/second
1571948755,49,0.116664,0.000000,0.000000,0.000000,events/second
1571948758,49,0.115842,0.000000,0.000000,0.000000,events/second
1571948761,50,0.117374,0.000000,0.000000,0.000000,events/second
1571948764,51,0.118882,0.000000,0.000000,0.000000,events/second
1571948767,51,0.118059,0.000000,0.000000,0.000000,events/second
1571948770,51,0.117240,0.000000,0.000000,0.000000,events/second
1571948773,51,0.116438,0.000000,0.000000,0.000000,events/second
1571948776,51,0.115645,0.000000,0.000000,0.000000,events/second
1571948779,51,0.114865,0.000000,0.000000,0.000000,events/second
1571948782,52,0.116329,0.000000,0.000000,0.000000,events/second
1571948785,52,0.115555,0.000000,0.000000,0.000000,events/second
1571948788,52,0.114791,0.000000,0.000000,0.000000,events/second
1571948791,52,0.114033,0.000000,0.000000,0.000000,events/second
1571948794,52,0.113289,0.000000,0.000000,0.000000,events/second
1571948797,52,0.112555,0.000000,0.000000,0.000000,events/second
1571948800,52,0.111826,0.000000,0.000000,0.000000,events/second
1571948803,53,0.113244,0.000000,0.000000,0.000000,events/second
1571948806,53,0.112525,0.000000,0.000000,0.000000,events/second
1571948809,53,0.111813,0.000000,0.000000,0.000000,events/second
1571948812,53,0.111114,0.000000,0.000000,0.000000,events/second
1571948815,54,0.112499,0.000000,0.000000,0.000000,events/second
1571948818,54,0.111800,0.000000,0.000000,0.000000,events/second
1571948821,54,0.111113,0.000000,0.000000,0.000000,events/second
1571948824,55,0.112472,0.000000,0.000000,0.000000,events/second
1571948827,55,0.111787,0.000000,0.000000,0.000000,events/second
1571948830,55,0.111112,0.000000,0.000000,0.000000,events/second
1571948833,55,0.110440,0.000000,0.000000,0.000000,events/second
1571948836,55,0.109781,0.000000,0.000000,0.000000,events/second
1571948839,55,0.109126,0.000000,0.000000,0.000000,events/second
1571948842,56,0.110456,0.000000,0.000000,0.000000,events/second
1571948845,56,0.109804,0.000000,0.000000,0.000000,events/second
1571948848,56,0.109158,0.000000,0.000000,0.000000,events/second
1571948851,56,0.108527,0.000000,0.000000,0.000000,events/second
1571948854,56,0.107898,0.000000,0.000000,0.000000,events/second
1571948857,56,0.107278,0.000000,0.000000,0.000000,events/second
1571948860,56,0.106667,0.000000,0.000000,0.000000,events/second
1571948863,57,0.107954,0.000000,0.000000,0.000000,events/second
1571948866,57,0.107345,0.000000,0.000000,0.000000,events/second
1571948869,57,0.106739,0.000000,0.000000,0.000000,events/second
1571948872,57,0.106144,0.000000,0.000000,0.000000,events/second
1571948875,57,0.105555,0.000000,0.000000,0.000000,events/second
1571948878,57,0.104970,0.000000,0.000000,0.000000,events/second
1571948881,57,0.104392,0.000000,0.000000,0.000000,events/second
1571948884,58,0.105645,0.000000,0.000000,0.000000,events/second
1571948887,58,0.105072,0.000000,0.000000,0.000000,events/second
1571948890,58,0.104505,0.000000,0.000000,0.000000,events/second
1571948893,58,0.103942,0.000000,0.000000,0.000000,events/second
1571948896,58,0.103387,0.000000,0.000000,0.000000,events/second
1571948899,58,0.102837,0.000000,0.000000,0.000000,events/second
1571948902,59,0.104059,0.000000,0.000000,0.000000,events/second
1571948905,59,0.103509,0.000000,0.000000,0.000000,events/second
1571948908,59,0.102965,0.000000,0.000000,0.000000,events/second
1571948911,59,0.102429,0.000000,0.000000,0.000000,events/second
1571948914,59,0.101897,0.000000,0.000000,0.000000,events/second
1571948917,59,0.101374,0.000000,0.000000,0.000000,events/second
1571948920,59,0.100853,0.000000,0.000000,0.000000,events/second
1571948923,60,0.102040,0.000000,0.000000,0.000000,events/second
1571948926,60,0.101523,0.000000,0.000000,0.000000,events/second
1571948929,60,0.101008,0.000000,0.000000,0.000000,events/second
1571948932,60,0.100501,0.000000,0.000000,0.000000,events/second
1571948935,60,0.100000,0.000000,0.000000,0.000000,events/second
1571948938,60,0.099501,0.000000,0.000000,0.000000,events/second
1571948941,60,0.099008,0.000000,0.000000,0.000000,events/second
1571948944,61,0.100162,0.000000,0.000000,0.000000,events/second
1571948947,61,0.099673,0.000000,0.000000,0.000000,events/second
1571948950,61,0.099185,0.000000,0.000000,0.000000,events/second
1571948953,61,0.098705,0.000000,0.000000,0.000000,events/second
1571948956,61,0.098230,0.000000,0.000000,0.000000,events/second
1571948959,61,0.097756,0.000000,0.000000,0.000000,events/second
1571948962,62,0.098885,0.000000,0.000000,0.000000,events/second
1571948965,62,0.098412,0.000000,0.000000,0.000000,events/second
1571948968,62,0.097944,0.000000,0.000000,0.000000,events/second
1571948971,63,0.099057,0.000000,0.000000,0.000000,events/second
1571948974,63,0.098593,0.000000,0.000000,0.000000,events/second
1571948977,64,0.099690,0.000000,0.000000,0.000000,events/second
1571948980,66,0.102323,0.000000,0.000000,0.000000,events/second
1571948983,67,0.103394,0.000000,0.000000,0.000000,events/second
1571948986,67,0.102918,0.000000,0.000000,0.000000,events/second
1571948989,68,0.103977,0.000000,0.000000,0.000000,events/second
1571948992,68,0.103501,0.000000,0.000000,0.000000,events/second
1571948995,68,0.103031,0.000000,0.000000,0.000000,events/second
1571948998,69,0.104074,0.000000,0.000000,0.000000,events/second
1571949001,70,0.105102,0.000000,0.000000,0.000000,events/second
1571949004,71,0.106128,0.000000,0.000000,0.000000,events/second
1571949007,71,0.105656,0.000000,0.000000,0.000000,events/second
1571949010,71,0.105187,0.000000,0.000000,0.000000,events/second
1571949013,72,0.106195,0.000000,0.000000,0.000000,events/second
1571949016,73,0.107195,0.000000,0.000000,0.000000,events/second
1571949019,76,0.111112,0.000000,0.000000,0.000000,events/second
1571949022,80,0.116450,0.000000,0.000000,0.000000,events/second
1571949025,83,0.120289,0.000000,0.000000,0.000000,events/second
1571949028,84,0.121214,0.000000,0.000000,0.000000,events/second
1571949031,84,0.120690,0.000000,0.000000,0.000000,events/second
1571949034,84,0.120170,0.000000,0.000000,0.000000,events/second
1571949037,84,0.119660,0.000000,0.000000,0.000000,events/second
1571949040,84,0.119151,0.000000,0.000000,0.000000,events/second
1571949043,86,0.121469,0.000000,0.000000,0.000000,events/second
1571949046,86,0.120956,0.000000,0.000000,0.000000,events/second
1571949049,86,0.120447,0.000000,0.000000,0.000000,events/second
1571949052,86,0.119945,0.000000,0.000000,0.000000,events/second
1571949055,86,0.119444,0.000000,0.000000,0.000000,events/second
1571949058,86,0.118949,0.000000,0.000000,0.000000,events/second
1571949061,86,0.118459,0.000000,0.000000,0.000000,events/second
1571949064,87,0.119340,0.000000,0.000000,0.000000,events/second
1571949067,87,0.118853,0.000000,0.000000,0.000000,events/second
1571949070,87,0.118366,0.000000,0.000000,0.000000,events/second
1571949073,87,0.117888,0.000000,0.000000,0.000000,events/second
1571949076,87,0.117409,0.000000,0.000000,0.000000,events/second
1571949079,87,0.116936,0.000000,0.000000,0.000000,events/second
1571949082,88,0.117806,0.000000,0.000000,0.000000,events/second
1571949085,88,0.117334,0.000000,0.000000,0.000000,events/second
1571949088,88,0.116865,0.000000,0.000000,0.000000,events/second
1571949091,88,0.116404,0.000000,0.000000,0.000000,events/second
1571949094,89,0.117261,0.000000,0.000000,0.000000,events/second
1571949097,89,0.116799,0.000000,0.000000,0.000000,events/second
1571949100,89,0.116342,0.000000,0.000000,0.000000,events/second
1571949103,90,0.117188,0.000000,0.000000,0.000000,events/second
1571949106,90,0.116733,0.000000,0.000000,0.000000,events/second
1571949109,90,0.116278,0.000000,0.000000,0.000000,events/second
1571949112,90,0.115832,0.000000,0.000000,0.000000,events/second
1571949115,90,0.115386,0.000000,0.000000,0.000000,events/second
1571949118,90,0.114941,0.000000,0.000000,0.000000,events/second
1571949121,90,0.114505,0.000000,0.000000,0.000000,events/second
1571949124,91,0.115335,0.000000,0.000000,0.000000,events/second
1571949127,91,0.114899,0.000000,0.000000,0.000000,events/second
1571949130,91,0.114465,0.000000,0.000000,0.000000,events/second
1571949133,91,0.114035,0.000000,0.000000,0.000000,events/second
1571949136,91,0.113607,0.000000,0.000000,0.000000,events/second
1571949139,91,0.113185,0.000000,0.000000,0.000000,events/second
1571949142,91,0.112765,0.000000,0.000000,0.000000,events/second
1571949145,92,0.113582,0.000000,0.000000,0.000000,events/second
1571949148,93,0.114393,0.000000,0.000000,0.000000,events/second
1571949151,93,0.113970,0.000000,0.000000,0.000000,events/second
1571949154,93,0.113554,0.000000,0.000000,0.000000,events/second
1571949157,93,0.113138,0.000000,0.000000,0.000000,events/second
1571949160,93,0.112729,0.000000,0.000000,0.000000,events/second
1571949163,93,0.112320,0.000000,0.000000,0.000000,events/second
1571949166,94,0.113117,0.000000,0.000000,0.000000,events/second
1571949169,94,0.112709,0.000000,0.000000,0.000000,events/second
1571949172,94,0.112305,0.000000,0.000000,0.000000,events/second
1571949175,94,0.111903,0.000000,0.000000,0.000000,events/second
1571949178,94,0.111507,0.000000,0.000000,0.000000,events/second
1571949181,94,0.111110,0.000000,0.000000,0.000000,events/second
1571949184,95,0.111897,0.000000,0.000000,0.000000,events/second
1571949187,95,0.111501,0.000000,0.000000,0.000000,events/second
1571949190,95,0.111111,0.000000,0.000000,0.000000,events/second
1571949193,95,0.110723,0.000000,0.000000,0.000000,events/second
1571949196,95,0.110336,0.000000,0.000000,0.000000,events/second
1571949199,95,0.109953,0.000000,0.000000,0.000000,events/second
1571949202,95,0.109574,0.000000,0.000000,0.000000,events/second
1571949205,96,0.110345,0.000000,0.000000,0.000000,events/second
1571949208,96,0.109966,0.000000,0.000000,0.000000,events/second
1571949211,96,0.109588,0.000000,0.000000,0.000000,events/second
1571949214,96,0.109215,0.000000,0.000000,0.000000,events/second
1571949217,96,0.108843,0.000000,0.000000,0.000000,events/second
1571949220,96,0.108475,0.000000,0.000000,0.000000,events/second
1571949223,96,0.108110,0.000000,0.000000,0.000000,events/second
1571949226,97,0.108866,0.000000,0.000000,0.000000,events/second
1571949229,97,0.108501,0.000000,0.000000,0.000000,events/second
1571949232,97,0.108137,0.000000,0.000000,0.000000,events/second
1571949235,97,0.107777,0.000000,0.000000,0.000000,events/second
1571949238,97,0.107420,0.000000,0.000000,0.000000,events/second
1571949241,97,0.107063,0.000000,0.000000,0.000000,events/second
1571949244,98,0.107809,0.000000,0.000000,0.000000,events/second
1571949247,98,0.107456,0.000000,0.000000,0.000000,events/second
1571949250,98,0.107104,0.000000,0.000000,0.000000,events/second
1571949253,98,0.106753,0.000000,0.000000,0.000000,events/second
1571949256,98,0.106406,0.000000,0.000000,0.000000,events/second
1571949259,98,0.106061,0.000000,0.000000,0.000000,events/second
1571949262,98,0.105718,0.000000,0.000000,0.000000,events/second
1571949265,99,0.106452,0.000000,0.000000,0.000000,events/second
1571949268,99,0.106110,0.000000,0.000000,0.000000,events/second
1571949271,99,0.105769,0.000000,0.000000,0.000000,events/second
1571949274,99,0.105430,0.000000,0.000000,0.000000,events/second
1571949277,99,0.105095,0.000000,0.000000,0.000000,events/second
1571949280,99,0.104762,0.000000,0.000000,0.000000,events/second
1571949283,99,0.104430,0.000000,0.000000,0.000000,events/second
1571949286,100,0.105152,0.000000,0.000000,0.000000,events/second
1571949289,100,0.104822,0.000000,0.000000,0.000000,events/second
1571949292,100,0.104492,0.000000,0.000000,0.000000,events/second
1571949295,100,0.104167,0.000000,0.000000,0.000000,events/second
1571949298,100,0.103843,0.000000,0.000000,0.000000,events/second
1571949301,100,0.103519,0.000000,0.000000,0.000000,events/second
1571949304,101,0.104229,0.000000,0.000000,0.000000,events/second
1571949307,101,0.103909,0.000000,0.000000,0.000000,events/second
1571949310,101,0.103590,0.000000,0.000000,0.000000,events/second
1571949313,101,0.103271,0.000000,0.000000,0.000000,events/second
1571949316,101,0.102956,0.000000,0.000000,0.000000,events/second
1571949319,101,0.102642,0.000000,0.000000,0.000000,events/second
1571949322,101,0.102329,0.000000,0.000000,0.000000,events/second
