t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,0,0.000000,0.000000,0.000000,0.000000,events/second
1571948341,1,0.166415,0.000000,0.000000,0.000000,events/second
1571948344,1,0.110843,0.000000,0.000000,0.000000,events/second
1571948347,1,0.083278,0.000000,0.000000,0.000000,events/second
1571948350,1,0.066638,0.000000,0.000000,0.000000,events/second
1571948353,6,0.333093,0.000000,0.000000,0.000000,events/second
1571948356,6,0.285124,0.000000,0.000000,0.000000,events/second
1571948359,6,0.249616,0.000000,0.000000,0.000000,events/second
1571948362,6,0.222062,0.000000,0.000000,0.000000,events/second
1571948365,6,0.199697,0.000000,0.000000,0.000000,events/second
1571948368,6,0.181759,0.000000,0.000000,0.000000,events/second
1571948371,6,0.166622,0.000000,0.000000,0.000000,events/second
1571948374,6,0.153838,0.000000,0.000000,0.000000,events/second
1571948377,6,0.142834,0.000000,0.000000,0.000000,events/second
1571948380,7,0.155552,0.000000,0.000000,0.000000,events/second
1571948383,15,0.311913,0.000000,0.000000,0.000000,events/second
1571948386,17,0.333263,0.000000,0.000000,0.000000,events/second
1571948389,17,0.314803,0.000000,0.000000,0.000000,events/second
1571948392,17,0.298166,0.000000,0.000000,0.000000,events/second
1571948395,17,0.283265,0.000000,0.000000,0.000000,events/second
1571948398,17,0.269774,0.000000,0.000000,0.000000,events/second
1571948401,21,0.318120,0.000000,0.000000,0.000000,events/second
1571948404,21,0.304262,0.000000,0.000000,0.000000,events/second
1571948407,21,0.291612,0.000000,0.000000,0.000000,events/second
1571948410,21,0.279923,0.000000,0.000000,0.000000,events/second
1571948413,21,0.269180,0.000000,0.000000,0.000000,events/second
1571948416,21,0.259258,0.000000,0.000000,0.000000,events/second
1571948419,31,0.369042,0.000000,0.000000,0.000000,events/second
1571948422,35,0.402228,0.000000,0.000000,0.000000,events/second
1571948425,37,0.411057,0.000000,0.000000,0.000000,events/second
1571948428,39,0.419211,0.000000,0.000000,0.000000,events/second
1571948431,46,0.479022,0.000000,0.000000,0.000000,events/second
1571948434,46,0.464557,0.000000,0.000000,0.000000,events/second
1571948437,46,0.450983,0.000000,0.000000,0.000000,events/second
1571948440,46,0.438066,0.000000,0.000000,0.000000,events/second
1571948443,50,0.462897,0.000000,0.000000,0.000000,events/second
1571948446,50,0.450419,0.000000,0.000000,0.000000,events/second
1571948449,50,0.438557,0.000000,0.000000,0.000000,events/second
1571948452,50,0.427312,0.000000,0.000000,0.000000,events/second
1571948455,50,0.416669,0.000000,0.000000,0.000000,events/second
1571948458,50,0.406453,0.000000,0.000000,0.000000,events/second
1571948461,54,0.428574,0.000000,0.000000,0.000000,events/second
1571948464,54,0.418531,0.000000,0.000000,0.000000,events/second
1571948467,54,0.409070,0.000000,0.000000,0.000000,events/second
1571948470,54,0.399945,0.000000,0.000000,0.000000,events/second
1571948473,54,0.391210,0.000000,0.000000,0.000000,events/second
1571948476,54,0.382934,0.000000,0.000000,0.000000,events/second
1571948479,54,0.374958,0.000000,0.000000,0.000000,events/second
1571948482,64,0.435367,0.000000,0.000000,0.000000,events/second
1571948485,66,0.439977,0.000000,0.000000,0.000000,events/second
1571948488,69,0.450916,0.000000,0.000000,0.000000,events/second
1571948491,70,0.448700,0.000000,0.000000,0.000000,events/second
1571948494,70,0.440228,0.000000,0.000000,0.000000,events/second
1571948497,70,0.432067,0.000000,0.000000,0.000000,events/second
1571948500,70,0.424205,0.000000,0.000000,0.000000,events/second
1571948503,74,0.440476,0.000000,0.000000,0.000000,events/second
1571948506,74,0.432732,0.000000,0.000000,0.000000,events/second
1571948509,74,0.425275,0.000000,0.000000,0.000000,events/second
1571948512,74,0.418030,0.000000,0.000000,0.000000,events/second
1571948515,74,0.411070,0.000000,0.000000,0.000000,events/second
1571948518,74,0.404329,0.000000,0.000000,0.000000,events/second
1571948521,78,0.419336,0.000000,0.000000,0.000000,events/second
1571948524,80,0.423255,0.000000,0.000000,0.000000,events/second
1571948527,82,0.427086,0.000000,0.000000,0.000000,events/second
1571948530,82,0.420504,0.000000,0.000000,0.000000,events/second
1571948533,82,0.414142,0.000000,0.000000,0.000000,events/second
1571948536,82,0.407932,0.000000,0.000000,0.000000,events/second
1571948539,82,0.401939,0.000000,0.000000,0.000000,events/second
1571948542,86,0.415421,0.000000,0.000000,0.000000,events/second
1571948545,86,0.409495,0.000000,0.000000,0.000000,events/second
1571948548,86,0.403732,0.000000,0.000000,0.000000,events/second
1571948551,86,0.398114,0.000000,0.000000,0.000000,events/second
1571948554,86,0.392671,0.000000,0.000000,0.000000,events/second
1571948557,87,0.391857,0.000000,0.000000,0.000000,events/second
1571948560,90,0.400001,0.000000,0.000000,0.000000,events/second
1571948563,94,0.412267,0.000000,0.000000,0.000000,events/second
1571948566,94,0.406909,0.000000,0.000000,0.000000,events/second
1571948569,94,0.401694,0.000000,0.000000,0.000000,events/second
1571948572,95,0.400844,0.000000,0.000000,0.000000,events/second
1571948575,99,0.412481,0.000000,0.000000,0.000000,events/second
1571948578,101,0.415617,0.000000,0.000000,0.000000,events/second
1571948581,109,0.443092,0.000000,0.000000,0.000000,events/second
1571948584,110,0.441738,0.000000,0.000000,0.000000,events/second
1571948587,111,0.440464,0.000000,0.000000,0.000000,events/second
1571948590,117,0.458824,0.000000,0.000000,0.000000,events/second
1571948593,117,0.453476,0.000000,0.000000,0.000000,events/second
1571948596,117,0.448260,0.000000,0.000000,0.000000,events/second
1571948599,117,0.443147,0.000000,0.000000,0.000000,events/second
1571948602,121,0.453168,0.000000,0.000000,0.000000,events/second
1571948605,122,0.451853,0.000000,0.000000,0.000000,events/second
1571948608,122,0.446843,0.000000,0.000000,0.000000,events/second
1571948611,126,0.456523,0.000000,0.000000,0.000000,events/second
1571948614,127,0.455181,0.000000,0.000000,0.000000,events/second
1571948617,127,0.450323,0.000000,0.000000,0.000000,events/second
1571948620,127,0.445591,0.000000,0.000000,0.000000,events/second
1571948623,136,0.472225,0.000000,0.000000,0.000000,events/second
1571948626,137,0.470776,0.000000,0.000000,0.000000,events/second
1571948629,137,0.465963,0.000000,0.000000,0.000000,events/second
1571948632,137,0.461264,0.000000,0.000000,0.000000,events/second
1571948635,137,0.456637,0.000000,0.000000,0.000000,events/second
1571948638,137,0.452132,0.000000,0.000000,0.000000,events/second
1571948641,140,0.457518,0.000000,0.000000,0.000000,events/second
1571948644,142,0.459549,0.000000,0.000000,0.000000,events/second
1571948647,143,0.458308,0.000000,0.000000,0.000000,events/second
1571948650,144,0.457131,0.000000,0.000000,0.000000,events/second
1571948653,146,0.459099,0.000000,0.000000,0.000000,events/second
1571948656,148,0.461064,0.000000,0.000000,0.000000,events/second
1571948659,148,0.456782,0.000000,0.000000,0.000000,events/second
1571948662,152,0.464811,0.000000,0.000000,0.000000,events/second
1571948665,152,0.460598,0.000000,0.000000,0.000000,events/second
1571948668,152,0.456432,0.000000,0.000000,0.000000,events/second
1571948671,152,0.452363,0.000000,0.000000,0.000000,events/second
1571948674,152,0.448357,0.000000,0.000000,0.000000,events/second
1571948677,152,0.444412,0.000000,0.000000,0.000000,events/second
1571948680,154,0.446364,0.000000,0.000000,0.000000,events/second
1571948683,161,0.462609,0.000000,0.000000,0.000000,events/second
1571948686,165,0.470064,0.000000,0.000000,0.000000,events/second
1571948689,169,0.477404,0.000000,0.000000,0.000000,events/second
1571948692,171,0.478989,0.000000,0.000000,0.000000,events/second
1571948695,172,0.477776,0.000000,0.000000,0.000000,events/second
1571948698,174,0.479317,0.000000,0.000000,0.000000,events/second
1571948701,177,0.483603,0.000000,0.000000,0.000000,events/second
1571948704,179,0.485079,0.000000,0.000000,0.000000,events/second
1571948707,179,0.481171,0.000000,0.000000,0.000000,events/second
1571948710,179,0.477315,0.000000,0.000000,0.000000,events/second
1571948713,180,0.476183,0.000000,0.000000,0.000000,events/second
1571948716,180,0.472428,0.000000,0.000000,0.000000,events/second
1571948719,180,0.468730,0.000000,0.000000,0.000000,events/second
1571948722,184,0.475432,0.000000,0.000000,0.000000,events/second
1571948725,184,0.471781,0.000000,0.000000,0.000000,events/second
1571948728,184,0.468175,0.000000,0.000000,0.000000,events/second
1571948731,184,0.464618,0.000000,0.000000,0.000000,events/second
1571948734,184,0.461116,0.000000,0.000000,0.000000,events/second
1571948737,184,0.457691,0.000000,0.000000,0.000000,events/second
1571948740,184,0.454323,0.000000,0.000000,0.000000,events/second
1571948743,188,0.460772,0.000000,0.000000,0.000000,events/second
1571948746,188,0.457408,0.000000,0.000000,0.000000,events/second
1571948749,188,0.454085,0.000000,0.000000,0.000000,events/second
1571948752,188,0.450842,0.000000,0.000000,0.000000,events/second
1571948755,188,0.447601,0.000000,0.000000,0.000000,events/second
1571948758,189,0.446811,0.000000,0.000000,0.000000,events/second
1571948761,195,0.457749,0.000000,0.000000,0.000000,events/second
1571948764,197,0.459200,0.000000,0.000000,0.000000,events/second
1571948767,197,0.456021,0.000000,0.000000,0.000000,events/second
1571948770,197,0.452860,0.000000,0.000000,0.000000,events/second
1571948773,197,0.449762,0.000000,0.000000,0.000000,events/second
1571948776,197,0.446700,0.000000,0.000000,0.000000,events/second
1571948779,197,0.443687,0.000000,0.000000,0.000000,events/second
1571948782,201,0.449648,0.000000,0.000000,0.000000,events/second
1571948785,201,0.446654,0.000000,0.000000,0.000000,events/second
1571948788,201,0.443701,0.000000,0.000000,0.000000,events/second
1571948791,201,0.440772,0.000000,0.000000,0.000000,events/second
1571948794,201,0.437897,0.000000,0.000000,0.000000,events/second
1571948797,201,0.435058,0.000000,0.000000,0.000000,events/second
1571948800,201,0.432241,0.000000,0.000000,0.000000,events/second
1571948803,205,0.438010,0.000000,0.000000,0.000000,events/second
1571948806,205,0.435232,0.000000,0.000000,0.000000,events/second
1571948809,205,0.432475,0.000000,0.000000,0.000000,events/second
1571948812,207,0.433965,0.000000,0.000000,0.000000,events/second
1571948815,211,0.439573,0.000000,0.000000,0.000000,events/second
1571948818,211,0.436839,0.000000,0.000000,0.000000,events/second
1571948821,213,0.438271,0.000000,0.000000,0.000000,events/second
1571948824,215,0.439657,0.000000,0.000000,0.000000,events/second
1571948827,215,0.436977,0.000000,0.000000,0.000000,events/second
1571948830,215,0.434340,0.000000,0.000000,0.000000,events/second
1571948833,215,0.431714,0.000000,0.000000,0.000000,events/second
1571948836,215,0.429138,0.000000,0.000000,0.000000,events/second
1571948839,215,0.426575,0.000000,0.000000,0.000000,events/second
1571948842,219,0.431956,0.000000,0.000000,0.000000,events/second
1571948845,219,0.429405,0.000000,0.000000,0.000000,events/second
1571948848,219,0.426879,0.000000,0.000000,0.000000,events/second
1571948851,219,0.424412,0.000000,0.000000,0.000000,events/second
1571948854,219,0.421950,0.000000,0.000000,0.000000,events/second
1571948857,219,0.419528,0.000000,0.000000,0.000000,events/second
1571948860,219,0.417139,0.000000,0.000000,0.000000,events/second
1571948863,223,0.422340,0.000000,0.000000,0.000000,events/second
1571948866,223,0.419956,0.000000,0.000000,0.000000,events/second
1571948869,223,0.417588,0.000000,0.000000,0.000000,events/second
1571948872,223,0.415259,0.000000,0.000000,0.000000,events/second
1571948875,223,0.412956,0.000000,0.000000,0.000000,events/second
1571948878,223,0.410667,0.000000,0.000000,0.000000,events/second
1571948881,225,0.412068,0.000000,0.000000,0.000000,events/second
1571948884,227,0.413467,0.000000,0.000000,0.000000,events/second
1571948887,227,0.411225,0.000000,0.000000,0.000000,events/second
1571948890,227,0.409006,0.000000,0.000000,0.000000,events/second
1571948893,227,0.406799,0.000000,0.000000,0.000000,events/second
1571948896,227,0.404627,0.000000,0.000000,0.000000,events/second
1571948899,227,0.402478,0.000000,0.000000,0.000000,events/second
1571948902,231,0.407409,0.000000,0.000000,0.000000,events/second
1571948905,231,0.405257,0.000000,0.000000,0.000000,events/second
1571948908,231,0.403129,0.000000,0.000000,0.000000,events/second
1571948911,231,0.401031,0.000000,0.000000,0.000000,events/second
1571948914,231,0.398948,0.000000,0.000000,0.000000,events/second
1571948917,231,0.396899,0.000000,0.000000,0.000000,events/second
1571948920,231,0.394861,0.000000,0.000000,0.000000,events/second
1571948923,235,0.399649,0.000000,0.000000,0.000000,events/second
1571948926,235,0.397626,0.000000,0.000000,0.000000,events/second
1571948929,235,0.395610,0.000000,0.000000,0.000000,events/second
1571948932,235,0.393625,0.000000,0.000000,0.000000,events/second
1571948935,235,0.391661,0.000000,0.000000,0.000000,events/second
1571948938,235,0.389708,0.000000,0.000000,0.000000,events/second
1571948941,235,0.387776,0.000000,0.000000,0.000000,events/second
1571948944,239,0.392434,0.000000,0.000000,0.000000,events/second
1571948947,239,0.390518,0.000000,0.000000,0.000000,events/second
1571948950,239,0.388606,0.000000,0.000000,0.000000,events/second
1571948953,239,0.386724,0.000000,0.000000,0.000000,events/second
1571948956,239,0.384863,0.000000,0.000000,0.000000,events/second
1571948959,239,0.383005,0.000000,0.000000,0.000000,events/second
1571948962,243,0.387561,0.000000,0.000000,0.000000,events/second
1571948965,243,0.385708,0.000000,0.000000,0.000000,events/second
1571948968,246,0.388611,0.000000,0.000000,0.000000,events/second
1571948971,250,0.393076,0.000000,0.000000,0.000000,events/second
1571948974,253,0.395931,0.000000,0.000000,0.000000,events/second
1571948977,257,0.400311,0.000000,0.000000,0.000000,events/second
1571948980,262,0.406187,0.000000,0.000000,0.000000,events/second
1571948983,270,0.416655,0.000000,0.000000,0.000000,events/second
1571948986,274,0.420883,0.000000,0.000000,0.000000,events/second
1571948989,280,0.428136,0.000000,0.000000,0.000000,events/second
1571948992,281,0.427698,0.000000,0.000000,0.000000,events/second
1571948995,285,0.431814,0.000000,0.000000,0.000000,events/second
1571948998,288,0.434391,0.000000,0.000000,0.000000,events/second
1571949001,292,0.438420,0.000000,0.000000,0.000000,events/second
1571949004,297,0.443936,0.000000,0.000000,0.000000,events/second
1571949007,298,0.443454,0.000000,0.000000,0.000000,events/second
1571949010,299,0.442963,0.000000,0.000000,0.000000,events/second
1571949013,303,0.446897,0.000000,0.000000,0.000000,events/second
1571949016,304,0.446396,0.000000,0.000000,0.000000,events/second
1571949019,307,0.448830,0.000000,0.000000,0.000000,events/second
1571949022,314,0.457061,0.000000,0.000000,0.000000,events/second
1571949025,318,0.460862,0.000000,0.000000,0.000000,events/second
1571949028,323,0.466090,0.000000,0.000000,0.000000,events/second
1571949031,323,0.464075,0.000000,0.000000,0.000000,events/second
1571949034,323,0.462078,0.000000,0.000000,0.000000,events/second
1571949037,324,0.461538,0.000000,0.000000,0.000000,events/second
1571949040,327,0.463831,0.000000,0.000000,0.000000,events/second
1571949043,333,0.470333,0.000000,0.000000,0.000000,events/second
1571949046,333,0.468346,0.000000,0.000000,0.000000,events/second
1571949049,333,0.466377,0.000000,0.000000,0.000000,events/second
1571949052,333,0.464431,0.000000,0.000000,0.000000,events/second
1571949055,333,0.462494,0.000000,0.000000,0.000000,events/second
1571949058,333,0.460575,0.000000,0.000000,0.000000,events/second
1571949061,333,0.458680,0.000000,0.000000,0.000000,events/second
1571949064,337,0.462267,0.000000,0.000000,0.000000,events/second
1571949067,337,0.460379,0.000000,0.000000,0.000000,events/second
1571949070,337,0.458494,0.000000,0.000000,0.000000,events/second
1571949073,337,0.456640,0.000000,0.000000,0.000000,events/second
1571949076,337,0.454785,0.000000,0.000000,0.000000,events/second
1571949079,337,0.452954,0.000000,0.000000,0.000000,events/second
1571949082,341,0.456495,0.000000,0.000000,0.000000,events/second
1571949085,341,0.454664,0.000000,0.000000,0.000000,events/second
1571949088,341,0.452848,0.000000,0.000000,0.000000,events/second
1571949091,342,0.452382,0.000000,0.000000,0.000000,events/second
1571949094,347,0.457182,0.000000,0.000000,0.000000,events/second
1571949097,347,0.455379,0.000000,0.000000,0.000000,events/second
1571949100,351,0.458825,0.000000,0.000000,0.000000,events/second
1571949103,355,0.462238,0.000000,0.000000,0.000000,events/second
1571949106,355,0.460440,0.000000,0.000000,0.000000,events/second
1571949109,356,0.459940,0.000000,0.000000,0.000000,events/second
1571949112,356,0.458174,0.000000,0.000000,0.000000,events/second
1571949115,356,0.456410,0.000000,0.000000,0.000000,events/second
1571949118,356,0.454650,0.000000,0.000000,0.000000,events/second
1571949121,356,0.452927,0.000000,0.000000,0.000000,events/second
1571949124,360,0.456266,0.000000,0.000000,0.000000,events/second
1571949127,360,0.454542,0.000000,0.000000,0.000000,events/second
1571949130,360,0.452825,0.000000,0.000000,0.000000,events/second
1571949133,360,0.451121,0.000000,0.000000,0.000000,events/second
1571949136,360,0.449430,0.000000,0.000000,0.000000,events/second
1571949139,360,0.447761,0.000000,0.000000,0.000000,events/second
1571949142,361,0.447338,0.000000,0.000000,0.000000,events/second
1571949145,365,0.450618,0.000000,0.000000,0.000000,events/second
1571949148,369,0.453875,0.000000,0.000000,0.000000,events/second
1571949151,370,0.453425,0.000000,0.000000,0.000000,events/second
1571949154,370,0.451767,0.000000,0.000000,0.000000,events/second
1571949157,370,0.450114,0.000000,0.000000,0.000000,events/second
1571949160,370,0.448486,0.000000,0.000000,0.000000,events/second
1571949163,373,0.450484,0.000000,0.000000,0.000000,events/second
1571949166,378,0.454870,0.000000,0.000000,0.000000,events/second
1571949169,380,0.455626,0.000000,0.000000,0.000000,events/second
1571949172,380,0.453996,0.000000,0.000000,0.000000,events/second
1571949175,380,0.452371,0.000000,0.000000,0.000000,events/second
1571949178,380,0.450769,0.000000,0.000000,0.000000,events/second
1571949181,380,0.449163,0.000000,0.000000,0.000000,events/second
1571949184,384,0.452295,0.000000,0.000000,0.000000,events/second
1571949187,384,0.450696,0.000000,0.000000,0.000000,events/second
1571949190,384,0.449118,0.000000,0.000000,0.000000,events/second
1571949193,384,0.447550,0.000000,0.000000,0.000000,events/second
1571949196,384,0.445985,0.000000,0.000000,0.000000,events/second
1571949199,384,0.444439,0.000000,0.000000,0.000000,events/second
1571949202,385,0.444061,0.000000,0.000000,0.000000,events/second
1571949205,388,0.445972,0.000000,0.000000,0.000000,events/second
1571949208,388,0.444441,0.000000,0.000000,0.000000,events/second
1571949211,388,0.442913,0.000000,0.000000,0.000000,events/second
1571949214,388,0.441408,0.000000,0.000000,0.000000,events/second
1571949217,388,0.439902,0.000000,0.000000,0.000000,events/second
1571949220,388,0.438414,0.000000,0.000000,0.000000,events/second
1571949223,391,0.440317,0.000000,0.000000,0.000000,events/second
1571949226,392,0.439950,0.000000,0.000000,0.000000,events/second
1571949229,392,0.438475,0.000000,0.000000,0.000000,events/second
1571949232,392,0.437005,0.000000,0.000000,0.000000,events/second
1571949235,392,0.435550,0.000000,0.000000,0.000000,events/second
