t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1571948338,73,22.797126,0.000000,0.000000,0.000000,events/second
1571948341,73,12.269917,0.000000,0.000000,0.000000,events/second
1571948344,73,8.145775,0.000000,0.000000,0.000000,events/second
1571948347,155,12.972317,0.000000,0.000000,0.000000,events/second
1571948350,155,10.370106,0.000000,0.000000,0.000000,events/second
1571948353,155,8.633567,0.000000,0.000000,0.000000,events/second
1571948356,155,7.386252,0.000000,0.000000,0.000000,events/second
1571948359,155,6.464285,0.000000,0.000000,0.000000,events/second
1571948362,155,5.749153,0.000000,0.000000,0.000000,events/second
1571948365,155,5.168941,0.000000,0.000000,0.000000,events/second
1571948368,155,4.703591,0.000000,0.000000,0.000000,events/second
1571948371,155,4.311652,0.000000,0.000000,0.000000,events/second
1571948374,155,3.980282,0.000000,0.000000,0.000000,events/second
1571948377,155,3.695180,0.000000,0.000000,0.000000,events/second
1571948380,155,3.448997,0.000000,0.000000,0.000000,events/second
1571948383,155,3.227146,0.000000,0.000000,0.000000,events/second
1571948386,155,3.042193,0.000000,0.000000,0.000000,events/second
1571948389,155,2.873443,0.000000,0.000000,0.000000,events/second
1571948392,155,2.721438,0.000000,0.000000,0.000000,events/second
1571948395,155,2.585319,0.000000,0.000000,0.000000,events/second
1571948398,155,2.462064,0.000000,0.000000,0.000000,events/second
1571948401,213,3.229572,0.000000,0.000000,0.000000,events/second
1571948404,213,3.088747,0.000000,0.000000,0.000000,events/second
1571948407,213,2.960252,0.000000,0.000000,0.000000,events/second
1571948410,213,2.841467,0.000000,0.000000,0.000000,events/second
1571948413,213,2.732300,0.000000,0.000000,0.000000,events/second
1571948416,213,2.631582,0.000000,0.000000,0.000000,events/second
1571948419,213,2.537508,0.000000,0.000000,0.000000,events/second
1571948422,213,2.449493,0.000000,0.000000,0.000000,events/second
1571948425,213,2.367901,0.000000,0.000000,0.000000,events/second
1571948428,213,2.291027,0.000000,0.000000,0.000000,events/second
1571948431,213,2.219458,0.000000,0.000000,0.000000,events/second
1571948434,213,2.152396,0.000000,0.000000,0.000000,events/second
1571948437,213,2.089485,0.000000,0.000000,0.000000,events/second
1571948440,213,2.029605,0.000000,0.000000,0.000000,events/second
1571948443,213,1.973025,0.000000,0.000000,0.000000,events/second
1571948446,213,1.919809,0.000000,0.000000,0.000000,events/second
1571948449,213,1.869242,0.000000,0.000000,0.000000,events/second
1571948452,213,1.821278,0.000000,0.000000,0.000000,events/second
1571948455,213,1.775905,0.000000,0.000000,0.000000,events/second
1571948458,213,1.732328,0.000000,0.000000,0.000000,events/second
1571948461,213,1.691302,0.000000,0.000000,0.000000,events/second
1571948464,213,1.651622,0.000000,0.000000,0.000000,events/second
1571948467,213,1.614290,0.000000,0.000000,0.000000,events/second
1571948470,213,1.578255,0.000000,0.000000,0.000000,events/second
1571948473,213,1.543766,0.000000,0.000000,0.000000,events/second
1571948476,213,1.511101,0.000000,0.000000,0.000000,events/second
1571948479,213,1.479624,0.000000,0.000000,0.000000,events/second
1571948482,213,1.449549,0.000000,0.000000,0.000000,events/second
1571948485,213,1.420476,0.000000,0.000000,0.000000,events/second
1571948488,213,1.392495,0.000000,0.000000,0.000000,events/second
1571948491,213,1.365852,0.000000,0.000000,0.000000,events/second
1571948494,213,1.340057,0.000000,0.000000,0.000000,events/second
1571948497,213,1.315211,0.000000,0.000000,0.000000,events/second
1571948500,213,1.291261,0.000000,0.000000,0.000000,events/second
1571948503,213,1.268314,0.000000,0.000000,0.000000,events/second
1571948506,213,1.246008,0.000000,0.000000,0.000000,events/second
1571948509,213,1.224525,0.000000,0.000000,0.000000,events/second
1571948512,213,1.203651,0.000000,0.000000,0.000000,events/second
1571948515,213,1.183610,0.000000,0.000000,0.000000,events/second
1571948518,213,1.164190,0.000000,0.000000,0.000000,events/second
1571948521,213,1.145478,0.000000,0.000000,0.000000,events/second
1571948524,213,1.127273,0.000000,0.000000,0.000000,events/second
1571948527,213,1.109730,0.000000,0.000000,0.000000,events/second
1571948530,213,1.092618,0.000000,0.000000,0.000000,events/second
1571948533,213,1.076086,0.000000,0.000000,0.000000,events/second
1571948536,213,1.059949,0.000000,0.000000,0.000000,events/second
1571948539,213,1.044368,0.000000,0.000000,0.000000,events/second
1571948542,213,1.029182,0.000000,0.000000,0.000000,events/second
1571948545,213,1.014502,0.000000,0.000000,0.000000,events/second
1571948548,213,1.000222,0.000000,0.000000,0.000000,events/second
1571948551,213,0.986299,0.000000,0.000000,0.000000,events/second
1571948554,213,0.972811,0.000000,0.000000,0.000000,events/second
1571948557,213,0.959633,0.000000,0.000000,0.000000,events/second
1571948560,213,0.946923,0.000000,0.000000,0.000000,events/second
1571948563,213,0.934423,0.000000,0.000000,0.000000,events/second
1571948566,213,0.922277,0.000000,0.000000,0.000000,events/second
1571948569,213,0.910454,0.000000,0.000000,0.000000,events/second
