t,value
1571948338,196624
1571948341,196624
1571948344,196624
1571948347,196624
1571948350,274588
1571948353,274588
1571948356,274588
1571948359,274588
1571948362,274588
1571948365,274588
1571948368,274588
1571948371,274588
1571948374,274588
1571948377,274588
1571948380,274588
1571948383,274588
1571948386,274588
1571948389,274588
1571948392,274588
1571948395,274588
1571948398,274588
1571948401,274588
1571948404,274588
1571948407,274588
1571948410,274588
1571948413,274588
1571948416,274588
1571948419,290132
1571948422,290132
1571948425,290132
1571948428,290132
1571948431,290132
1571948434,290132
1571948437,290132
1571948440,290132
1571948443,290132
1571948446,290132
1571948449,290132
1571948452,290132
1571948455,290132
1571948458,290132
1571948461,290132
1571948464,290132
1571948467,290132
1571948470,290132
1571948473,290132
1571948476,290132
1571948479,290132
1571948482,305988
1571948485,305988
1571948488,305988
1571948491,305988
1571948494,305988
1571948497,305988
1571948500,305988
1571948503,305988
1571948506,305988
1571948509,305988
1571948512,305988
1571948515,305988
1571948518,305988
1571948521,305988
1571948524,305988
1571948527,305988
1571948530,305988
1571948533,305988
1571948536,305988
1571948539,305988
1571948542,305988
1571948545,305988
1571948548,305988
1571948551,305988
1571948554,305988
1571948557,305988
1571948560,305988
1571948563,305988
1571948566,305988
1571948569,305988
1571948572,305988
1571948575,305988
1571948578,305988
1571948581,305988
1571948584,305988
1571948587,305988
1571948590,305988
1571948593,305988
1571948596,305988
1571948599,305988
1571948602,305988
1571948605,305988
1571948608,305988
1571948611,271032
1571948614,271032
1571948617,271032
1571948620,271032
1571948623,271032
1571948626,271032
1571948629,271032
1571948632,271032
1571948635,271032
1571948638,271032
1571948641,271032
1571948644,271032
1571948647,271032
1571948650,271032
1571948653,271032
1571948656,271032
1571948659,271032
1571948662,271032
1571948665,271032
1571948668,271032
1571948671,271032
1571948674,271032
1571948677,271032
1571948680,271032
1571948683,271032
1571948686,271032
1571948689,272418
1571948692,272418
1571948695,272418
1571948698,272418
1571948701,287962
1571948704,287962
1571948707,287962
1571948710,287962
1571948713,287962
1571948716,287962
1571948719,287962
1571948722,287962
1571948725,287962
1571948728,287962
1571948731,287962
1571948734,287962
1571948737,287962
1571948740,287962
1571948743,287962
1571948746,287962
1571948749,287962
1571948752,287962
1571948755,287962
1571948758,287962
1571948761,287962
1571948764,287962
1571948767,287962
1571948770,287962
1571948773,287962
1571948776,287962
1571948779,287962
1571948782,287962
1571948785,287962
1571948788,287962
1571948791,287962
1571948794,287962
1571948797,287962
1571948800,287962
1571948803,287962
1571948806,287962
1571948809,287962
1571948812,287962
1571948815,287962
1571948818,287962
1571948821,287962
1571948824,287962
1571948827,287962
1571948830,287962
1571948833,287962
1571948836,287962
1571948839,287962
1571948842,287962
1571948845,287962
1571948848,287962
1571948851,287962
1571948854,287962
1571948857,287962
1571948860,287962
1571948863,287962
1571948866,287962
1571948869,287962
1571948872,287962
1571948875,287962
1571948878,287962
1571948881,287962
1571948884,287962
1571948887,287962
1571948890,287962
1571948893,287962
1571948896,287962
1571948899,287962
1571948902,287962
1571948905,287962
1571948908,287962
1571948911,287962
1571948914,287962
1571948917,287962
1571948920,287962
1571948923,287962
1571948926,287962
1571948929,287962
1571948932,287962
1571948935,287962
1571948938,287962
1571948941,287962
1571948944,287962
1571948947,287962
1571948950,287962
1571948953,287962
1571948956,287962
1571948959,287962
1571948962,287962
1571948965,287962
1571948968,287962
1571948971,287962
1571948974,287962
1571948977,287962
1571948980,287962
1571948983,287962
1571948986,287962
1571948989,287962
1571948992,287962
1571948995,287962
1571948998,287962
1571949001,287962
1571949004,287962
1571949007,287962
1571949010,287962
1571949013,287962
1571949016,287962
1571949019,287962
1571949022,287962
1571949025,287962
1571949028,287962
1571949031,287962
1571949034,287962
1571949037,287962
1571949040,287962
1571949043,287962
1571949046,287962
1571949049,287962
1571949052,287962
1571949055,287962
1571949058,287962
1571949061,287962
1571949064,287962
1571949067,287962
1571949070,287962
1571949073,287962
1571949076,287962
1571949079,287962
1571949082,287962
1571949085,287962
1571949088,287962
1571949091,287962
1571949094,287962
1571949097,287962
1571949100,287962
1571949103,287962
1571949106,287962
1571949109,287962
1571949112,287962
1571949115,287962
1571949118,287962
1571949121,287962
1571949124,287962
1571949127,287962
1571949130,287962
1571949133,287962
1571949136,287962
1571949139,287962
1571949142,287962
1571949145,287962
1571949148,287962
1571949151,287962
1571949154,287962
1571949157,287962
1571949160,287962
1571949163,287962
1571949166,287962
1571949169,287962
1571949172,287962
1571949175,287962
1571949178,287962
1571949181,287962
1571949184,287962
1571949187,287962
1571949190,287962
1571949193,287962
1571949196,287962
1571949199,287962
1571949202,287962
1571949205,287962
1571949208,287962
1571949211,287962
1571949214,287962
1571949217,287962
1571949220,287962
1571949223,287962
1571949226,287962
1571949229,287962
1571949232,287962
1571949235,287962
1571949238,287962
1571949241,287962
1571949244,287962
1571949247,287980
1571949250,287980
1571949253,287980
1571949256,287980
1571949259,287980
1571949262,287980
1571949265,287980
1571949268,287980
1571949271,287980
1571949274,287980
1571949277,287980
1571949280,287980
1571949283,287980
1571949286,287980
1571949289,287980
1571949292,287980
1571949295,287980
1571949298,287980
1571949301,287980
1571949304,287980
1571949307,287980
1571949310,287980
1571949313,287980
1571949316,287980
1571949319,287980
1571949322,287980
1571949325,287980
1571949328,287980
1571949331,287980
1571949334,287980
1571949337,287980
1571949340,287980
1571949343,287980
1571949346,287980
1571949349,287980
1571949352,287980
1571949355,287980
1571949358,287980
1571949361,287980
1571949364,287980
