t,value
1571948338,5
1571948341,5
1571948344,5
1571948347,5
1571948350,11
1571948353,11
1571948356,11
1571948359,11
1571948362,11
1571948365,11
1571948368,11
1571948371,11
1571948374,11
1571948377,11
1571948380,11
1571948383,11
1571948386,11
1571948389,11
1571948392,11
1571948395,11
1571948398,11
1571948401,11
1571948404,11
1571948407,11
1571948410,11
1571948413,11
1571948416,11
1571948419,12
1571948422,12
1571948425,12
1571948428,12
1571948431,12
1571948434,12
1571948437,12
1571948440,12
1571948443,12
1571948446,12
1571948449,12
1571948452,12
1571948455,12
1571948458,12
1571948461,12
1571948464,12
1571948467,12
1571948470,12
1571948473,12
1571948476,12
1571948479,12
1571948482,13
1571948485,13
1571948488,13
1571948491,13
1571948494,13
1571948497,13
1571948500,13
1571948503,13
1571948506,13
1571948509,13
1571948512,13
1571948515,13
1571948518,13
1571948521,13
1571948524,13
1571948527,13
1571948530,13
1571948533,13
1571948536,13
1571948539,13
1571948542,13
1571948545,13
1571948548,13
1571948551,13
1571948554,13
1571948557,13
1571948560,13
1571948563,13
1571948566,13
1571948569,13
1571948572,13
1571948575,13
1571948578,13
1571948581,13
1571948584,13
1571948587,13
1571948590,13
1571948593,13
1571948596,13
1571948599,13
1571948602,13
1571948605,13
1571948608,13
1571948611,10
1571948614,10
1571948617,10
1571948620,10
1571948623,10
1571948626,10
1571948629,10
1571948632,10
1571948635,10
1571948638,10
1571948641,10
1571948644,10
1571948647,10
1571948650,10
1571948653,10
1571948656,10
1571948659,10
1571948662,10
1571948665,10
1571948668,10
1571948671,10
1571948674,10
1571948677,10
1571948680,10
1571948683,10
1571948686,10
1571948689,10
1571948692,10
1571948695,10
1571948698,10
1571948701,11
1571948704,11
1571948707,11
1571948710,11
1571948713,11
1571948716,11
1571948719,11
1571948722,11
1571948725,11
1571948728,11
1571948731,11
1571948734,11
1571948737,11
1571948740,11
1571948743,11
1571948746,11
1571948749,11
1571948752,11
1571948755,11
1571948758,11
1571948761,11
1571948764,11
1571948767,11
1571948770,11
1571948773,11
1571948776,11
1571948779,11
1571948782,11
1571948785,11
1571948788,11
1571948791,11
1571948794,11
1571948797,11
1571948800,11
1571948803,11
1571948806,11
1571948809,11
1571948812,11
1571948815,11
1571948818,11
1571948821,11
1571948824,11
1571948827,11
1571948830,11
1571948833,11
1571948836,11
1571948839,11
1571948842,11
1571948845,11
1571948848,11
1571948851,11
1571948854,11
1571948857,11
1571948860,11
1571948863,11
1571948866,11
1571948869,11
1571948872,11
1571948875,11
1571948878,11
1571948881,11
1571948884,11
1571948887,11
1571948890,11
1571948893,11
1571948896,11
1571948899,11
1571948902,11
1571948905,11
1571948908,11
1571948911,11
1571948914,11
1571948917,11
1571948920,11
1571948923,11
1571948926,11
1571948929,11
1571948932,11
1571948935,11
1571948938,11
1571948941,11
1571948944,11
1571948947,11
1571948950,11
1571948953,11
1571948956,11
1571948959,11
1571948962,11
1571948965,11
1571948968,11
1571948971,11
1571948974,11
1571948977,11
1571948980,11
1571948983,11
1571948986,11
1571948989,11
1571948992,11
1571948995,11
1571948998,11
1571949001,11
1571949004,11
1571949007,11
1571949010,11
1571949013,11
1571949016,11
1571949019,11
1571949022,11
1571949025,11
1571949028,11
1571949031,11
1571949034,11
1571949037,11
1571949040,11
1571949043,11
1571949046,11
1571949049,11
1571949052,11
1571949055,11
1571949058,11
1571949061,11
1571949064,11
1571949067,11
1571949070,11
1571949073,11
1571949076,11
1571949079,11
1571949082,11
1571949085,11
1571949088,11
1571949091,11
1571949094,11
1571949097,11
1571949100,11
1571949103,11
1571949106,11
1571949109,11
1571949112,11
1571949115,11
1571949118,11
1571949121,11
1571949124,11
1571949127,11
1571949130,11
1571949133,11
1571949136,11
1571949139,11
1571949142,11
1571949145,11
1571949148,11
1571949151,11
1571949154,11
1571949157,11
1571949160,11
1571949163,11
1571949166,11
1571949169,11
1571949172,11
1571949175,11
1571949178,11
1571949181,11
1571949184,11
1571949187,11
1571949190,11
1571949193,11
1571949196,11
1571949199,11
1571949202,11
1571949205,11
1571949208,11
1571949211,11
1571949214,11
1571949217,11
1571949220,11
1571949223,11
1571949226,11
1571949229,11
1571949232,11
1571949235,11
1571949238,11
1571949241,11
