t,value
1571948338,196625
1571948341,196625
1571948344,196625
1571948347,196625
1571948350,274589
1571948353,274589
1571948356,274589
1571948359,274589
1571948362,274589
1571948365,274589
1571948368,274589
1571948371,274589
1571948374,274589
1571948377,274589
1571948380,274589
1571948383,274589
1571948386,274589
1571948389,274589
1571948392,274589
1571948395,274589
1571948398,274589
1571948401,274589
1571948404,274589
1571948407,274589
1571948410,274589
1571948413,274589
1571948416,274589
1571948419,290133
1571948422,290133
1571948425,290133
1571948428,290133
1571948431,290133
1571948434,290133
1571948437,290133
1571948440,290133
1571948443,290133
1571948446,290133
1571948449,290133
1571948452,290133
1571948455,290133
1571948458,290133
1571948461,290133
1571948464,290133
1571948467,290133
1571948470,290133
1571948473,290133
1571948476,290133
1571948479,290133
1571948482,305989
1571948485,305989
1571948488,305989
1571948491,305989
1571948494,305989
1571948497,305989
1571948500,305989
1571948503,305989
1571948506,305989
1571948509,305989
1571948512,305989
1571948515,305989
1571948518,305989
1571948521,305989
1571948524,305989
1571948527,305989
1571948530,305989
1571948533,305989
1571948536,305989
1571948539,305989
1571948542,305989
1571948545,305989
1571948548,305989
1571948551,305989
1571948554,305989
1571948557,305989
1571948560,305989
1571948563,305989
1571948566,305989
1571948569,305989
1571948572,305989
1571948575,305989
1571948578,305989
1571948581,305989
1571948584,305989
1571948587,305989
1571948590,305989
1571948593,305989
1571948596,305989
1571948599,305989
1571948602,305989
1571948605,305989
1571948608,305989
1571948611,271033
1571948614,271033
1571948617,271033
1571948620,271033
1571948623,271033
1571948626,271033
1571948629,271033
1571948632,271033
1571948635,271033
1571948638,271033
1571948641,271033
1571948644,271033
1571948647,271033
1571948650,271033
1571948653,271033
1571948656,271033
1571948659,271033
1571948662,271033
1571948665,271033
1571948668,271033
1571948671,271033
1571948674,271033
1571948677,271033
1571948680,271033
1571948683,271033
1571948686,271033
1571948689,272419
1571948692,272419
1571948695,272419
1571948698,272419
1571948701,287963
1571948704,287963
1571948707,287963
1571948710,287963
1571948713,287963
1571948716,287963
1571948719,287963
1571948722,287963
1571948725,287963
1571948728,287963
1571948731,287963
1571948734,287963
1571948737,287963
1571948740,287963
1571948743,287963
