t,value
1571948338,10271104
1571948341,10597632
1571948344,11908800
1571948347,11954304
1571948350,13272512
1571948353,14327744
1571948356,14369408
1571948359,14487616
1571948362,14518464
1571948365,14579008
1571948368,14590656
1571948371,14633024
1571948374,14651008
1571948377,14664448
1571948380,14435648
1571948383,15995456
1571948386,18753344
1571948389,18791232
1571948392,18801984
1571948395,18833472
1571948398,18859136
1571948401,18759936
1571948404,18767872
1571948407,18781504
1571948410,18798528
1571948413,18858112
1571948416,18871168
1571948419,20404672
1571948422,20656576
1571948425,20735616
1571948428,20770176
1571948431,21327680
1571948434,21342208
1571948437,21350848
1571948440,21356864
1571948443,21503168
1571948446,21505856
1571948449,21513152
1571948452,21513920
1571948455,21509504
1571948458,21515584
1571948461,21649856
1571948464,21677312
1571948467,21742592
1571948470,21752320
1571948473,21761024
1571948476,21761024
1571948479,21761728
1571948482,22344704
1571948485,22377984
1571948488,23426176
1571948491,23499328
1571948494,23484928
1571948497,23468480
1571948500,23472384
1571948503,24061056
1571948506,23993984
1571948509,23938624
1571948512,23901568
1571948515,23842368
1571948518,23842368
1571948521,23927040
1571948524,24099136
1571948527,24335744
1571948530,24347584
1571948533,24347584
1571948536,24352960
1571948539,24360384
1571948542,24441152
1571948545,24442752
1571948548,24442752
1571948551,24481856
1571948554,24482496
1571948557,24583872
1571948560,24210240
1571948563,24319360
1571948566,24321792
1571948569,24323392
1571948572,24341888
1571948575,24738240
1571948578,24966592
1571948581,25893696
1571948584,25924992
1571948587,26040192
1571948590,26315584
1571948593,26318208
1571948596,26339648
1571948599,26358720
1571948602,26678208
1571948605,26829248
1571948608,26835008
1571948611,26672832
1571948614,26678656
1571948617,26678656
1571948620,26678656
1571948623,26984384
1571948626,27039040
1571948629,27039040
1571948632,27039040
1571948635,27067264
1571948638,27068160
1571948641,27090944
1571948644,27091648
1571948647,27116032
1571948650,27187520
1571948653,27244992
1571948656,27300672
1571948659,27300672
1571948662,27091904
1571948665,27091904
1571948668,27117504
1571948671,27117504
1571948674,27117504
1571948677,27122368
1571948680,27153792
1571948683,27450688
1571948686,27579840
1571948689,27738496
1571948692,27172672
1571948695,27188864
1571948698,27291072
1571948701,27866752
1571948704,27966208
1571948707,27966912
1571948710,27968448
1571948713,27996160
1571948716,27996160
1571948719,28003776
1571948722,28118464
1571948725,28159808
1571948728,28162112
1571948731,28163584
1571948734,28163584
1571948737,28163584
1571948740,28167232
1571948743,28079936
1571948746,28089664
1571948749,28091264
1571948752,28096320
1571948755,28134784
1571948758,28207744
1571948761,28784448
1571948764,28792128
1571948767,28780160
1571948770,28780160
1571948773,28780160
1571948776,28777984
1571948779,28777984
1571948782,28730688
1571948785,28732288
1571948788,28732288
1571948791,28732288
1571948794,28735104
1571948797,28735104
1571948800,28735104
1571948803,28746560
1571948806,28746560
1571948809,28749056
1571948812,28755840
1571948815,28813312
