t,value
1571948338,5166712
1571948341,5940176
1571948344,7164312
1571948347,8756824
1571948350,9603168
1571948353,10368384
1571948356,10368384
1571948359,10368384
1571948362,10368384
1571948365,10368384
1571948368,10368384
1571948371,10368384
1571948374,10368384
1571948377,10368384
1571948380,10395464
1571948383,10471736
1571948386,10723672
1571948389,10723672
1571948392,10723672
1571948395,10724272
1571948398,10724272
1571948401,10726232
1571948404,10726232
1571948407,10726232
1571948410,10726232
1571948413,10726232
1571948416,10726232
1571948419,11006008
1571948422,11008120
1571948425,11026000
1571948428,11026000
1571948431,11201184
1571948434,11201184
1571948437,11201184
1571948440,11201184
1571948443,11201184
1571948446,11201184
1571948449,11201184
1571948452,11201184
1571948455,11201184
1571948458,11201184
1571948461,11201184
1571948464,11201184
1571948467,11201184
1571948470,11201184
1571948473,11201184
1571948476,11201184
1571948479,11201184
1571948482,11227896
1571948485,11227896
1571948488,11250512
1571948491,11250512
1571948494,11250512
1571948497,11250512
1571948500,11250512
1571948503,11251616
1571948506,11251616
1571948509,11251616
1571948512,11251616
1571948515,11251616
1571948518,11251616
1571948521,11251616
1571948524,11251616
1571948527,11251616
1571948530,11251616
1571948533,11251616
1571948536,11251616
1571948539,11251616
1571948542,11252096
1571948545,11252096
1571948548,11252096
1571948551,11252096
1571948554,11252096
1571948557,11252648
1571948560,11253344
1571948563,11253344
1571948566,11253344
1571948569,11253344
1571948572,11253344
1571948575,11254448
1571948578,11254448
1571948581,11257208
1571948584,11257208
1571948587,11444264
1571948590,11490944
1571948593,11490944
1571948596,11490944
1571948599,11490944
1571948602,11491488
1571948605,11492464
1571948608,11492464
1571948611,11493136
1571948614,11493136
1571948617,11493136
1571948620,11493136
1571948623,11503232
1571948626,11503232
1571948629,11503232
1571948632,11503232
1571948635,11503232
1571948638,11503232
1571948641,11503232
1571948644,11503232
1571948647,11503232
1571948650,11503232
1571948653,11503232
1571948656,11503232
1571948659,11503232
1571948662,11503232
1571948665,11503232
1571948668,11503232
1571948671,11503232
1571948674,11503232
1571948677,11503232
1571948680,11503232
1571948683,11503784
1571948686,11503784
1571948689,11508872
1571948692,11508872
1571948695,11508872
1571948698,11508872
1571948701,11508872
1571948704,11508872
1571948707,11508872
1571948710,11508872
1571948713,11509504
1571948716,11509504
1571948719,11509504
1571948722,11509504
1571948725,11509504
1571948728,11509504
1571948731,11509504
1571948734,11509504
1571948737,11509504
1571948740,11509504
1571948743,11509504
1571948746,11509504
1571948749,11509504
1571948752,11509504
1571948755,11509504
1571948758,11509504
1571948761,11509504
1571948764,11509504
1571948767,11509504
1571948770,11509504
1571948773,11509504
1571948776,11509504
1571948779,11509504
1571948782,11509504
1571948785,11509504
1571948788,11509504
1571948791,11509504
1571948794,11509504
1571948797,11509504
1571948800,11509504
1571948803,11509504
1571948806,11509504
1571948809,11509504
1571948812,11509504
1571948815,11509504
1571948818,11509504
1571948821,11509504
1571948824,11509504
1571948827,11509504
1571948830,11509504
1571948833,11509504
1571948836,11509504
1571948839,11509504
1571948842,11510032
1571948845,11510032
1571948848,11510032
1571948851,11510032
1571948854,11510032
1571948857,11510032
1571948860,11510032
1571948863,11510032
1571948866,11510032
1571948869,11510032
1571948872,11510032
1571948875,11510032
1571948878,11510032
1571948881,11510032
1571948884,11510032
1571948887,11510032
1571948890,11510032
1571948893,11510032
1571948896,11510032
1571948899,11510032
1571948902,11510032
1571948905,11510032
1571948908,11510032
1571948911,11510032
1571948914,11510032
1571948917,11510032
1571948920,11510032
1571948923,11510032
1571948926,11510032
1571948929,11510032
1571948932,11510032
1571948935,11510032
1571948938,11544760
1571948941,11547152
1571948944,11547152
1571948947,11547152
1571948950,11547152
1571948953,11547152
1571948956,11547152
1571948959,11547152
1571948962,11547152
1571948965,11547152
1571948968,11547152
1571948971,11547152
1571948974,11547152
1571948977,11547152
1571948980,11547152
1571948983,11547680
1571948986,11550784
1571948989,11750976
1571948992,11751456
1571948995,11751456
1571948998,11751456
1571949001,11752008
1571949004,11752008
1571949007,11752008
1571949010,11752472
1571949013,11752472
1571949016,11752472
1571949019,11752472
1571949022,11752472
1571949025,11752472
1571949028,11752472
1571949031,11752472
1571949034,11752472
1571949037,11752472
1571949040,11752472
1571949043,11752472
1571949046,11752472
1571949049,11752472
1571949052,11752472
1571949055,11752472
1571949058,11752472
1571949061,11752472
1571949064,11752472
1571949067,11752472
1571949070,11752472
1571949073,11752472
1571949076,11752472
1571949079,11752472
1571949082,11752472
1571949085,11752472
1571949088,11752472
1571949091,11752472
1571949094,11752472
1571949097,11752472
1571949100,11752472
1571949103,11752472
1571949106,11752472
1571949109,11753576
1571949112,11753576
1571949115,11753576
1571949118,11753576
1571949121,11753576
1571949124,11753576
1571949127,11753576
1571949130,11753576
1571949133,11753576
1571949136,11753576
1571949139,11753576
1571949142,11753576
1571949145,11753576
1571949148,11753576
1571949151,11753576
1571949154,11753576
1571949157,11753576
1571949160,11753576
1571949163,11753576
1571949166,11753576
1571949169,11753576
1571949172,11753576
1571949175,11753576
1571949178,11753576
1571949181,11753576
1571949184,11753576
1571949187,11753576
1571949190,11753576
1571949193,11753576
1571949196,11753576
1571949199,11753576
1571949202,11753576
1571949205,11753576
1571949208,11753576
1571949211,11753576
1571949214,11753576
1571949217,11753576
1571949220,11753576
1571949223,11753576
1571949226,11753576
1571949229,11753576
1571949232,11753576
1571949235,11754128
1571949238,11754128
1571949241,11754128
1571949244,11754128
1571949247,11766872
1571949250,11766872
1571949253,11766872
1571949256,11766872
1571949259,11766872
1571949262,11766872
1571949265,11766872
1571949268,11766872
1571949271,11766872
1571949274,11766872
1571949277,11766872
1571949280,11766872
1571949283,11766872
1571949286,11766872
1571949289,11766872
1571949292,11766872
1571949295,11766872
1571949298,11766872
1571949301,11766872
1571949304,11766872
1571949307,11766872
1571949310,11766872
1571949313,11766872
1571949316,11766872
1571949319,11766872
1571949322,11766872
1571949325,11767400
1571949328,11767400
1571949331,11767400
1571949334,11767400
1571949337,11767400
1571949340,11767400
1571949343,11767400
1571949346,11767400
1571949349,11767400
1571949352,11767400
1571949355,11767400
1571949358,11767400
1571949361,11767400
1571949364,11767400
1571949367,11767400
1571949370,11767400
1571949373,11767400
1571949376,11767400
1571949379,11767400
1571949382,11767400
1571949385,11767400
1571949388,11767400
1571949391,11767400
1571949394,11767400
1571949397,11767400
1571949400,11767400
1571949403,11767400
1571949406,11767400
1571949409,11767400
1571949412,11767400
1571949415,11767400
1571949418,11767400
1571949421,11767400
1571949424,11768504
1571949427,11768504
1571949430,11768504
1571949433,11768504
1571949436,11768504
1571949439,11768504
1571949442,11768504
1571949445,11768504
1571949448,11768504
1571949451,11768504
1571949454,11768504
1571949457,11768504
1571949460,11768504
1571949463,11793648
1571949466,11793648
1571949469,11793648
1571949472,11793648
1571949475,11793648
1571949478,11793648
1571949481,11793648
1571949484,11793648
1571949487,11793648
1571949490,11793648
1571949493,11794832
1571949496,11794832
1571949499,11794832
1571949502,11794832
1571949505,11794832
1571949508,11794832
1571949511,11795296
1571949514,11795296
1571949517,11795296
1571949520,11795296
1571949523,11795296
1571949526,11795296
1571949529,11795296
1571949532,11795296
1571949535,11795296
1571949538,11795296
1571949541,11795296
1571949544,11795296
1571949547,11795296
1571949550,11795296
1571949553,11795296
1571949556,11795296
1571949559,11795296
1571949562,11795968
1571949565,11795968
1571949568,11795968
1571949571,11795968
1571949574,11795968
1571949577,11795968
1571949580,11795968
1571949583,11795968
1571949586,11795968
1571949589,11795968
1571949592,11795968
1571949595,11795968
1571949598,11795968
1571949601,11795968
1571949604,11795968
1571949607,11795968
1571949610,11795968
1571949613,11795968
1571949616,11795968
1571949619,11795968
1571949622,11795968
1571949625,11795968
1571949628,11795968
1571949631,11795968
1571949634,11795968
1571949637,11795968
1571949640,11795968
1571949643,11795968
1571949646,11795968
1571949649,11795968
1571949652,11795968
1571949655,11796432
1571949658,11796432
1571949661,11796432
1571949664,11796432
1571949667,11796432
1571949670,11796432
1571949673,11796432
1571949676,11796432
1571949679,11796432
1571949682,11796432
1571949685,11796432
1571949688,11796432
1571949691,11796432
1571949694,11796432
1571949697,11796432
1571949700,11796432
1571949703,11796432
1571949706,11796432
1571949709,11796432
1571949712,11796432
1571949715,11796432
1571949718,11796432
1571949721,11796432
1571949724,11796432
1571949727,11796432
1571949730,11796432
1571949733,11796432
1571949736,11796432
1571949739,11796432
1571949742,11796432
1571949745,11796432
1571949748,11796432
1571949751,11796432
1571949754,11796432
1571949757,11796432
1571949760,11796432
1571949763,11796432
1571949766,11796432
1571949769,11796432
1571949772,11796432
1571949775,11796432
1571949778,11796432
