t,value
1571948338,48234496
1571948341,127926272
1571948344,270532608
1571948347,13631488
1571948350,123731968
1571948353,204472320
1571948356,205520896
1571948359,205520896
1571948362,205520896
1571948365,206569472
1571948368,206569472
1571948371,206569472
1571948374,207618048
1571948377,207618048
1571948380,212860928
1571948383,230686720
1571948386,283115520
1571948389,283115520
1571948392,284164096
1571948395,285212672
1571948398,285212672
1571948401,3145728
1571948404,4194304
1571948407,5242880
1571948410,6291456
1571948413,6291456
1571948416,6291456
1571948419,52428800
1571948422,56623104
1571948425,59768832
1571948428,60817408
1571948431,85983232
1571948434,85983232
1571948437,85983232
1571948440,87031808
1571948443,91226112
1571948446,92274688
1571948449,92274688
1571948452,92274688
1571948455,93323264
1571948458,94371840
1571948461,98566144
1571948464,98566144
1571948467,99614720
1571948470,99614720
1571948473,99614720
1571948476,100663296
1571948479,100663296
1571948482,115343360
1571948485,115343360
1571948488,122683392
1571948491,123731968
1571948494,124780544
1571948497,124780544
1571948500,125829120
1571948503,148897792
1571948506,149946368
1571948509,149946368
1571948512,149946368
1571948515,150994944
1571948518,150994944
1571948521,156237824
1571948524,159383552
1571948527,161480704
1571948530,162529280
1571948533,162529280
1571948536,163577856
1571948539,163577856
1571948542,167772160
1571948545,167772160
1571948548,168820736
1571948551,168820736
1571948554,169869312
1571948557,173015040
1571948560,174063616
1571948563,178257920
1571948566,178257920
1571948569,179306496
1571948572,179306496
1571948575,192937984
1571948578,199229440
1571948581,226492416
1571948584,227540992
1571948587,249561088
1571948590,256901120
1571948593,257949696
1571948596,257949696
1571948599,258998272
1571948602,275775488
1571948605,278921216
1571948608,279969792
1571948611,5242880
1571948614,5242880
1571948617,6291456
1571948620,7340032
1571948623,18874368
1571948626,18874368
1571948629,19922944
1571948632,19922944
1571948635,20971520
1571948638,20971520
1571948641,26214400
1571948644,26214400
1571948647,27262976
1571948650,28311552
1571948653,30408704
1571948656,31457280
1571948659,32505856
1571948662,36700160
1571948665,36700160
1571948668,36700160
1571948671,37748736
1571948674,37748736
1571948677,38797312
1571948680,39845888
1571948683,47185920
1571948686,50331648
1571948689,56623104
1571948692,56623104
1571948695,57671680
1571948698,62914560
1571948701,80740352
1571948704,80740352
1571948707,81788928
1571948710,81788928
1571948713,82837504
1571948716,82837504
1571948719,83886080
1571948722,88080384
1571948725,89128960
1571948728,89128960
1571948731,89128960
1571948734,90177536
1571948737,90177536
1571948740,91226112
1571948743,95420416
1571948746,95420416
1571948749,95420416
1571948752,96468992
1571948755,97517568
1571948758,97517568
1571948761,117440512
1571948764,118489088
1571948767,118489088
1571948770,119537664
1571948773,119537664
1571948776,119537664
1571948779,120586240
1571948782,124780544
1571948785,125829120
1571948788,125829120
1571948791,125829120
1571948794,126877696
1571948797,126877696
1571948800,127926272
1571948803,132120576
1571948806,132120576
1571948809,133169152
1571948812,133169152
1571948815,137363456
1571948818,138412032
1571948821,141557760
1571948824,141557760
1571948827,142606336
1571948830,142606336
1571948833,143654912
1571948836,143654912
1571948839,143654912
1571948842,147849216
1571948845,148897792
1571948848,148897792
1571948851,148897792
