t,value
1571948338,7864320
1571948341,7864320
1571948344,7864320
1571948347,7340040
1571948350,7340040
1571948353,7340040
1571948356,7340040
1571948359,7340040
1571948362,7340040
1571948365,7340040
1571948368,7340040
1571948371,7340040
1571948374,7340040
1571948377,7340040
1571948380,7340040
1571948383,7340040
1571948386,7340040
1571948389,7340040
1571948392,7340040
1571948395,7340040
1571948398,7340040
1571948401,11610640
1571948404,11610640
1571948407,11610640
1571948410,11610640
1571948413,11610640
1571948416,11610640
1571948419,18950688
1571948422,18950688
1571948425,18950688
1571948428,18950688
1571948431,18950688
1571948434,18950688
1571948437,18950688
1571948440,18950688
1571948443,18950688
1571948446,18950688
1571948449,18950688
1571948452,18950688
1571948455,18950688
1571948458,18950688
1571948461,18950688
1571948464,18950688
1571948467,18950688
1571948470,18950688
1571948473,18950688
1571948476,18950688
1571948479,18950688
1571948482,18950688
1571948485,18950688
1571948488,18950688
1571948491,18950688
1571948494,18950688
1571948497,18950688
1571948500,18950688
1571948503,18950688
1571948506,18950688
1571948509,18950688
1571948512,18950688
1571948515,18950688
1571948518,18950688
1571948521,18950688
1571948524,18950688
1571948527,18950688
1571948530,18950688
1571948533,18950688
1571948536,18950688
1571948539,18950688
1571948542,18950688
1571948545,18950688
1571948548,18950688
1571948551,18950688
1571948554,18950688
1571948557,18950688
1571948560,18950688
1571948563,18950688
1571948566,18950688
1571948569,18950688
1571948572,18950688
1571948575,18950688
1571948578,18950688
1571948581,27339312
1571948584,27339312
1571948587,27339312
1571948590,27339312
1571948593,27339312
1571948596,27339312
1571948599,27339312
1571948602,27339312
1571948605,27339312
1571948608,27339312
1571948611,25525760
1571948614,25525760
1571948617,25525760
1571948620,25525760
1571948623,25525760
1571948626,25525760
1571948629,25525760
1571948632,25525760
1571948635,25525760
1571948638,25525760
1571948641,25525760
1571948644,25525760
1571948647,25525760
1571948650,25525760
1571948653,25525760
1571948656,25525760
1571948659,25525760
1571948662,25525760
1571948665,25525760
1571948668,25525760
1571948671,25525760
1571948674,25525760
1571948677,25525760
1571948680,25525760
1571948683,25525760
1571948686,25525760
1571948689,25525760
1571948692,25525760
1571948695,25525760
1571948698,25525760
1571948701,32865808
1571948704,32865808
1571948707,32865808
1571948710,32865808
1571948713,32865808
1571948716,32865808
1571948719,32865808
1571948722,32865808
1571948725,32865808
1571948728,32865808
1571948731,32865808
1571948734,32865808
1571948737,32865808
1571948740,32865808
1571948743,32865808
1571948746,32865808
1571948749,32865808
1571948752,32865808
1571948755,32865808
1571948758,32865808
1571948761,32865808
1571948764,32865808
1571948767,32865808
1571948770,32865808
1571948773,32865808
1571948776,32865808
1571948779,32865808
1571948782,32865808
1571948785,32865808
1571948788,32865808
1571948791,32865808
1571948794,32865808
1571948797,32865808
1571948800,32865808
1571948803,32865808
1571948806,32865808
1571948809,32865808
1571948812,32865808
1571948815,32865808
1571948818,32865808
1571948821,32865808
1571948824,32865808
1571948827,32865808
1571948830,32865808
1571948833,32865808
1571948836,32865808
1571948839,32865808
1571948842,32865808
1571948845,32865808
1571948848,32865808
1571948851,32865808
1571948854,32865808
1571948857,32865808
1571948860,32865808
1571948863,32865808
1571948866,32865808
1571948869,32865808
1571948872,32865808
1571948875,32865808
1571948878,32865808
1571948881,32865808
1571948884,32865808
1571948887,32865808
1571948890,32865808
1571948893,32865808
1571948896,32865808
1571948899,32865808
1571948902,32865808
1571948905,32865808
1571948908,32865808
1571948911,32865808
1571948914,32865808
1571948917,32865808
1571948920,32865808
1571948923,32865808
1571948926,32865808
1571948929,32865808
1571948932,32865808
1571948935,32865808
1571948938,32865808
1571948941,32865808
1571948944,32865808
1571948947,32865808
1571948950,32865808
1571948953,32865808
1571948956,32865808
1571948959,32865808
1571948962,32865808
1571948965,32865808
1571948968,32865808
1571948971,32865808
1571948974,32865808
1571948977,32865808
1571948980,32865808
1571948983,32865808
1571948986,32865808
1571948989,32865808
1571948992,32865808
1571948995,32865808
1571948998,32865808
1571949001,32865808
1571949004,32865808
1571949007,32865808
1571949010,41254432
1571949013,25525760
1571949016,25525760
1571949019,25525760
1571949022,25525760
1571949025,25525760
1571949028,25525760
1571949031,25525760
1571949034,25525760
1571949037,25525760
1571949040,25525760
1571949043,25525760
1571949046,25525760
1571949049,25525760
1571949052,25525760
1571949055,25525760
1571949058,25525760
1571949061,25525760
1571949064,25525760
1571949067,25525760
1571949070,25525760
1571949073,25525760
1571949076,25525760
1571949079,25525760
1571949082,25525760
1571949085,25525760
1571949088,25525760
1571949091,25525760
1571949094,25525760
1571949097,25525760
1571949100,25525760
1571949103,25525760
1571949106,25525760
1571949109,25525760
1571949112,25525760
1571949115,25525760
1571949118,25525760
1571949121,25525760
1571949124,25525760
1571949127,25525760
1571949130,25525760
1571949133,25525760
1571949136,25525760
1571949139,25525760
1571949142,25525760
1571949145,25525760
1571949148,25525760
1571949151,25525760
1571949154,25525760
1571949157,25525760
1571949160,25525760
1571949163,25525760
1571949166,25525760
1571949169,25525760
1571949172,25525760
1571949175,25525760
1571949178,25525760
1571949181,25525760
1571949184,25525760
1571949187,25525760
1571949190,25525760
1571949193,25525760
1571949196,25525760
1571949199,25525760
1571949202,25525760
1571949205,25525760
1571949208,25525760
1571949211,25525760
1571949214,25525760
1571949217,25525760
1571949220,25525760
1571949223,25525760
1571949226,25525760
1571949229,25525760
1571949232,25525760
1571949235,25525760
1571949238,25525760
1571949241,25525760
1571949244,25525760
1571949247,25525760
1571949250,25525760
1571949253,25525760
1571949256,25525760
1571949259,25525760
1571949262,25525760
1571949265,25525760
1571949268,25525760
1571949271,25525760
1571949274,25525760
1571949277,25525760
1571949280,25525760
1571949283,25525760
1571949286,25525760
1571949289,25525760
1571949292,25525760
1571949295,25525760
1571949298,25525760
1571949301,25525760
1571949304,25525760
1571949307,25525760
1571949310,25525760
1571949313,25525760
1571949316,25525760
1571949319,25525760
1571949322,25525760
1571949325,25525760
1571949328,25525760
1571949331,25525760
1571949334,25525760
1571949337,25525760
1571949340,25525760
1571949343,25525760
1571949346,25525760
1571949349,25525760
1571949352,25525760
1571949355,25525760
1571949358,25525760
1571949361,25525760
1571949364,25525760
1571949367,25525760
1571949370,25525760
1571949373,25525760
1571949376,25525760
1571949379,25525760
1571949382,25525760
1571949385,25525760
1571949388,25525760
1571949391,25525760
1571949394,25525760
1571949397,25525760
1571949400,25525760
1571949403,25525760
1571949406,25525760
1571949409,25525760
1571949412,25525760
1571949415,25525760
1571949418,25525760
1571949421,25525760
1571949424,25525760
1571949427,25525760
1571949430,25525760
1571949433,25525760
1571949436,25525760
1571949439,25525760
1571949442,25525760
1571949445,32865808
1571949448,32865808
1571949451,32865808
1571949454,32865808
1571949457,32865808
1571949460,32865808
1571949463,32865808
1571949466,32865808
1571949469,41254432
1571949472,41254432
1571949475,41254432
1571949478,41254432
1571949481,41254432
1571949484,41254432
1571949487,41254432
1571949490,41254432
1571949493,41254432
1571949496,41254432
1571949499,41254432
1571949502,41254432
1571949505,25525760
1571949508,25525760
1571949511,25525760
1571949514,25525760
1571949517,32865808
1571949520,32865808
1571949523,32865808
1571949526,32865808
1571949529,32865808
1571949532,32865808
1571949535,32865808
1571949538,32865808
1571949541,32865808
1571949544,32865808
1571949547,32865808
1571949550,32865808
1571949553,32865808
1571949556,32865808
1571949559,32865808
1571949562,32865808
1571949565,32865808
1571949568,32865808
1571949571,32865808
1571949574,32865808
1571949577,32865808
1571949580,32865808
1571949583,32865808
1571949586,32865808
1571949589,32865808
1571949592,32865808
1571949595,32865808
1571949598,32865808
1571949601,32865808
1571949604,32865808
1571949607,32865808
1571949610,32865808
1571949613,32865808
1571949616,32865808
1571949619,32865808
1571949622,32865808
1571949625,32865808
1571949628,32865808
1571949631,32865808
1571949634,32865808
1571949637,32865808
1571949640,32865808
1571949643,32865808
1571949646,32865808
1571949649,32865808
1571949652,32865808
1571949655,32865808
1571949658,32865808
1571949661,32865808
1571949664,32865808
1571949667,32865808
1571949670,32865808
1571949673,32865808
1571949676,32865808
1571949679,32865808
1571949682,32865808
1571949685,32865808
1571949688,32865808
1571949691,32865808
1571949694,32865808
1571949697,32865808
1571949700,32865808
1571949703,32865808
1571949706,32865808
1571949709,32865808
1571949712,32865808
1571949715,32865808
1571949718,32865808
1571949721,32865808
1571949724,32865808
1571949727,32865808
1571949730,32865808
1571949733,32865808
1571949736,32865808
1571949739,32865808
1571949742,32865808
1571949745,32865808
1571949748,32865808
1571949751,32865808
1571949754,32865808
1571949757,32865808
1571949760,32865808
1571949763,32865808
1571949766,32865808
1571949769,32865808
1571949772,32865808
1571949775,32865808
1571949778,32865808
