t,value
1571948338,26214400
1571948341,26214400
1571948344,26214400
1571948347,31457280
1571948350,31457280
1571948353,31457280
1571948356,31457280
1571948359,31457280
1571948362,31457280
1571948365,31457280
1571948368,31457280
1571948371,31457280
1571948374,31457280
1571948377,31457280
1571948380,31457280
1571948383,31457280
1571948386,31457280
1571948389,31457280
1571948392,31457280
1571948395,31457280
1571948398,31457280
1571948401,40894464
1571948404,40894464
1571948407,40894464
1571948410,40894464
1571948413,40894464
1571948416,40894464
1571948419,40894464
1571948422,40894464
1571948425,40894464
1571948428,40894464
1571948431,40894464
1571948434,40894464
1571948437,40894464
1571948440,40894464
1571948443,40894464
1571948446,40894464
1571948449,40894464
1571948452,40894464
1571948455,40894464
1571948458,40894464
1571948461,40894464
1571948464,40894464
1571948467,40894464
1571948470,40894464
1571948473,40894464
1571948476,40894464
1571948479,40894464
1571948482,40894464
1571948485,40894464
1571948488,40894464
1571948491,40894464
1571948494,40894464
1571948497,40894464
1571948500,40894464
1571948503,40894464
1571948506,40894464
1571948509,40894464
1571948512,40894464
1571948515,40894464
1571948518,40894464
1571948521,40894464
1571948524,40894464
1571948527,40894464
1571948530,40894464
1571948533,40894464
1571948536,40894464
1571948539,40894464
1571948542,40894464
1571948545,40894464
1571948548,40894464
1571948551,40894464
1571948554,40894464
1571948557,40894464
1571948560,40894464
1571948563,40894464
1571948566,40894464
1571948569,40894464
1571948572,40894464
1571948575,40894464
1571948578,40894464
1571948581,40894464
1571948584,40894464
1571948587,40894464
1571948590,40894464
1571948593,40894464
1571948596,40894464
1571948599,40894464
1571948602,40894464
1571948605,40894464
1571948608,40894464
1571948611,22020096
1571948614,22020096
1571948617,22020096
1571948620,22020096
1571948623,22020096
1571948626,22020096
1571948629,22020096
1571948632,22020096
1571948635,22020096
1571948638,22020096
1571948641,22020096
1571948644,22020096
1571948647,22020096
1571948650,22020096
1571948653,22020096
1571948656,22020096
1571948659,22020096
1571948662,22020096
1571948665,22020096
1571948668,22020096
1571948671,22020096
1571948674,22020096
1571948677,22020096
1571948680,22020096
1571948683,22020096
1571948686,22020096
1571948689,22020096
1571948692,22020096
1571948695,22020096
1571948698,22020096
1571948701,22020096
1571948704,22020096
1571948707,22020096
1571948710,22020096
1571948713,22020096
1571948716,22020096
1571948719,22020096
1571948722,22020096
1571948725,22020096
1571948728,22020096
1571948731,22020096
1571948734,22020096
1571948737,22020096
1571948740,22020096
1571948743,22020096
1571948746,22020096
1571948749,22020096
1571948752,22020096
1571948755,22020096
1571948758,22020096
1571948761,22020096
1571948764,22020096
1571948767,22020096
1571948770,22020096
1571948773,22020096
1571948776,22020096
1571948779,22020096
1571948782,22020096
1571948785,22020096
1571948788,22020096
1571948791,22020096
1571948794,22020096
1571948797,22020096
1571948800,22020096
1571948803,22020096
1571948806,22020096
1571948809,22020096
1571948812,22020096
1571948815,22020096
1571948818,22020096
1571948821,22020096
1571948824,22020096
1571948827,22020096
1571948830,22020096
1571948833,22020096
1571948836,22020096
1571948839,22020096
1571948842,22020096
1571948845,22020096
1571948848,22020096
1571948851,22020096
1571948854,22020096
1571948857,22020096
1571948860,22020096
1571948863,22020096
1571948866,22020096
1571948869,22020096
1571948872,22020096
1571948875,22020096
1571948878,22020096
1571948881,22020096
1571948884,22020096
1571948887,22020096
1571948890,22020096
1571948893,22020096
1571948896,22020096
1571948899,22020096
1571948902,22020096
1571948905,22020096
1571948908,22020096
1571948911,22020096
1571948914,22020096
1571948917,22020096
1571948920,22020096
1571948923,22020096
1571948926,22020096
1571948929,22020096
1571948932,22020096
1571948935,22020096
1571948938,22020096
1571948941,22020096
1571948944,22020096
1571948947,22020096
1571948950,22020096
1571948953,22020096
1571948956,22020096
1571948959,22020096
1571948962,22020096
1571948965,22020096
1571948968,22020096
1571948971,22020096
1571948974,22020096
1571948977,22020096
1571948980,22020096
1571948983,22020096
1571948986,22020096
1571948989,22020096
1571948992,22020096
1571948995,22020096
1571948998,22020096
1571949001,22020096
1571949004,22020096
1571949007,22020096
1571949010,22020096
1571949013,20971520
1571949016,20971520
1571949019,20971520
1571949022,20971520
1571949025,20971520
1571949028,20971520
1571949031,20971520
1571949034,20971520
1571949037,20971520
1571949040,20971520
1571949043,20971520
1571949046,20971520
1571949049,20971520
1571949052,20971520
1571949055,20971520
1571949058,20971520
1571949061,20971520
1571949064,20971520
1571949067,20971520
1571949070,20971520
1571949073,20971520
1571949076,20971520
1571949079,20971520
1571949082,20971520
1571949085,20971520
1571949088,20971520
1571949091,20971520
1571949094,20971520
1571949097,20971520
1571949100,20971520
1571949103,20971520
1571949106,20971520
1571949109,20971520
1571949112,20971520
1571949115,20971520
1571949118,20971520
1571949121,20971520
1571949124,20971520
1571949127,20971520
1571949130,20971520
1571949133,20971520
1571949136,20971520
1571949139,20971520
1571949142,20971520
1571949145,20971520
1571949148,20971520
1571949151,20971520
1571949154,20971520
1571949157,20971520
1571949160,20971520
1571949163,20971520
1571949166,20971520
1571949169,20971520
1571949172,20971520
1571949175,20971520
1571949178,20971520
1571949181,20971520
1571949184,20971520
1571949187,20971520
1571949190,20971520
1571949193,20971520
1571949196,20971520
1571949199,20971520
1571949202,20971520
1571949205,20971520
1571949208,20971520
1571949211,20971520
1571949214,20971520
1571949217,20971520
1571949220,20971520
1571949223,20971520
1571949226,20971520
1571949229,20971520
1571949232,20971520
1571949235,20971520
1571949238,20971520
1571949241,20971520
1571949244,20971520
1571949247,20971520
1571949250,20971520
1571949253,20971520
1571949256,20971520
1571949259,20971520
1571949262,20971520
1571949265,20971520
1571949268,20971520
1571949271,20971520
1571949274,20971520
1571949277,20971520
1571949280,20971520
1571949283,20971520
1571949286,20971520
1571949289,20971520
1571949292,20971520
1571949295,20971520
1571949298,20971520
1571949301,20971520
1571949304,20971520
1571949307,20971520
1571949310,20971520
1571949313,20971520
1571949316,20971520
1571949319,20971520
1571949322,20971520
1571949325,20971520
1571949328,20971520
1571949331,20971520
1571949334,20971520
1571949337,20971520
1571949340,20971520
1571949343,20971520
1571949346,20971520
1571949349,20971520
1571949352,20971520
1571949355,20971520
1571949358,20971520
1571949361,20971520
1571949364,20971520
1571949367,20971520
1571949370,20971520
1571949373,20971520
1571949376,20971520
1571949379,20971520
1571949382,20971520
1571949385,20971520
1571949388,20971520
1571949391,20971520
1571949394,20971520
1571949397,20971520
1571949400,20971520
1571949403,20971520
1571949406,20971520
1571949409,20971520
1571949412,20971520
1571949415,20971520
1571949418,20971520
1571949421,20971520
1571949424,20971520
1571949427,20971520
1571949430,20971520
1571949433,20971520
1571949436,20971520
1571949439,20971520
1571949442,20971520
1571949445,20971520
1571949448,20971520
1571949451,20971520
1571949454,20971520
1571949457,20971520
1571949460,20971520
1571949463,20971520
1571949466,20971520
1571949469,20971520
1571949472,20971520
1571949475,20971520
1571949478,20971520
1571949481,20971520
1571949484,20971520
1571949487,20971520
1571949490,20971520
1571949493,20971520
1571949496,20971520
1571949499,20971520
1571949502,20971520
1571949505,20971520
1571949508,20971520
1571949511,20971520
1571949514,20971520
1571949517,20971520
1571949520,20971520
1571949523,20971520
1571949526,20971520
1571949529,20971520
