t,value
1571948338,38576064
1571948341,43392640
1571948344,49936104
1571948347,61009352
1571948350,67325016
1571948353,72070920
1571948356,72075712
1571948359,72094440
1571948362,72098432
1571948365,72106360
1571948368,72109480
1571948371,72115376
1571948374,72119128
1571948377,72123904
1571948380,72308552
1571948383,72972832
1571948386,74817032
1571948389,74825752
1571948392,74827048
1571948395,74832536
1571948398,74838832
1571948401,74898888
1571948404,74899584
1571948407,74901008
1571948410,74907008
1571948413,74915200
1571948416,74918224
1571948419,76825800
1571948422,76874256
1571948425,76970968
1571948428,76983936
1571948431,77902424
1571948434,77902424
1571948437,77902912
1571948440,77904728
1571948443,77924760
1571948446,77925952
1571948449,77927112
1571948452,77927112
1571948455,77935848
1571948458,77936712
1571948461,77957064
1571948464,77960672
1571948467,77970016
1571948470,77973464
1571948473,77975552
1571948476,77975552
1571948479,77975552
1571948482,78207312
1571948485,78219520
1571948488,78433152
1571948491,78444760
1571948494,78445512
1571948497,78448056
1571948500,78448720
1571948503,78553896
1571948506,78555752
1571948509,78556672
1571948512,78556672
1571948515,78565096
1571948518,78565096
1571948521,78577912
1571948524,78616272
1571948527,78641040
1571948530,78644560
1571948533,78644560
1571948536,78644560
1571948539,78645464
1571948542,78664496
1571948545,78664496
1571948548,78664496
1571948551,78664496
1571948554,78664496
1571948557,78681568
1571948560,78698400
1571948563,78709936
1571948566,78710488
1571948569,78710488
1571948572,78714520
1571948575,78795864
1571948578,78827712
1571948581,79037064
1571948584,79046992
1571948587,79903336
1571948590,80185928
1571948593,80186376
1571948596,80189432
1571948599,80192776
1571948602,80252032
1571948605,80290968
1571948608,80292104
1571948611,80311048
1571948614,80314632
1571948617,80314632
1571948620,80314632
1571948623,80434824
1571948626,80441976
1571948629,80441976
1571948632,80441976
1571948635,80443736
1571948638,80443736
1571948641,80450192
1571948644,80450192
1571948647,80456376
1571948650,80474248
1571948653,80482688
1571948656,80495560
1571948659,80495560
1571948662,80500032
1571948665,80500032
1571948668,80500032
1571948671,80500032
1571948674,80500032
1571948677,80500032
1571948680,80505664
1571948683,80569736
1571948686,80592896
1571948689,80672568
1571948692,80680008
1571948695,80682016
1571948698,80695312
1571948701,80795080
1571948704,80805928
1571948707,80805928
1571948710,80806480
1571948713,80814616
1571948716,80814616
1571948719,80818552
1571948722,80831304
1571948725,80836096
1571948728,80836848
1571948731,80836848
1571948734,80836848
1571948737,80836848
1571948740,80838856
1571948743,80840432
1571948746,80841920
1571948749,80842544
1571948752,80844176
1571948755,80854944
1571948758,80873416
1571948761,80997792
1571948764,80998640
1571948767,80998640
1571948770,80998640
1571948773,80998640
1571948776,80998640
1571948779,80998640
1571948782,81016600
1571948785,81016600
1571948788,81016600
1571948791,81016600
1571948794,81016600
1571948797,81016600
1571948800,81016600
1571948803,81017024
1571948806,81017024
1571948809,81018704
1571948812,81019064
1571948815,81035984
1571948818,81035984
1571948821,81040152
1571948824,81043808
1571948827,81043808
1571948830,81043808
1571948833,81045464
1571948836,81045464
1571948839,81045464
1571948842,81057688
1571948845,81061896
1571948848,81061896
1571948851,81065184
1571948854,81065184
1571948857,81065184
1571948860,81065184
1571948863,81073440
1571948866,81073440
1571948869,81073440
1571948872,81073440
1571948875,81073440
1571948878,81073440
1571948881,81073440
1571948884,81086552
1571948887,81087296
1571948890,81087296
1571948893,81087296
1571948896,81087296
1571948899,81087296
1571948902,81095920
1571948905,81095920
1571948908,81095920
1571948911,81097064
1571948914,81102464
1571948917,81103568
1571948920,81103568
1571948923,81114040
1571948926,81114040
1571948929,81114040
1571948932,81114040
1571948935,81120200
1571948938,81407664
1571948941,81417440
1571948944,81428456
1571948947,81428840
1571948950,81428840
1571948953,81428840
1571948956,81428840
1571948959,81428840
1571948962,81433984
1571948965,81433984
1571948968,81500304
1571948971,81507360
1571948974,81510960
1571948977,81527232
1571948980,81549640
1571948983,81588136
1571948986,81630288
1571948989,82684424
1571948992,82685144
1571948995,82690984
1571948998,82713840
1571949001,82791472
1571949004,82814592
1571949007,82818528
1571949010,82881832
1571949013,82932800
1571949016,82933224
1571949019,82934432
1571949022,82937864
1571949025,82944128
1571949028,82965264
1571949031,82965264
1571949034,82965264
1571949037,82966176
1571949040,82999656
1571949043,83006256
1571949046,83010208
1571949049,83010208
1571949052,83010208
1571949055,83011128
1571949058,83012192
1571949061,83012568
1571949064,83015824
1571949067,83015824
1571949070,83015824
1571949073,83015824
1571949076,83015824
1571949079,83016680
1571949082,83018472
1571949085,83018472
1571949088,83018472
1571949091,83019672
1571949094,83023032
1571949097,83023032
1571949100,83031320
1571949103,83045528
1571949106,83050264
1571949109,83067936
1571949112,83069064
1571949115,83069064
1571949118,83069064
1571949121,83069064
1571949124,83071424
1571949127,83071424
1571949130,83071424
1571949133,83071424
1571949136,83072088
1571949139,83072088
1571949142,83072088
1571949145,83087360
1571949148,83096288
1571949151,83096288
1571949154,83096288
1571949157,83096288
1571949160,83096288
1571949163,83099320
1571949166,83099800
1571949169,83102560
1571949172,83102560
1571949175,83110432
1571949178,83110432
1571949181,83110432
1571949184,83119736
1571949187,83119736
1571949190,83119736
1571949193,83119736
1571949196,83119736
1571949199,83119736
1571949202,83120040
1571949205,83120840
1571949208,83120840
1571949211,83120840
1571949214,83120840
1571949217,83120840
1571949220,83120840
1571949223,83130192
1571949226,83133952
1571949229,83133952
1571949232,83133952
1571949235,83148784
1571949238,83148784
1571949241,83148784
1571949244,83151640
1571949247,83207872
1571949250,83207904
1571949253,83207904
1571949256,83207904
1571949259,83207904
1571949262,83208280
1571949265,83209288
1571949268,83209288
1571949271,83209288
1571949274,83209664
1571949277,83209664
1571949280,83209664
1571949283,83211168
1571949286,83211168
1571949289,83211168
1571949292,83211168
1571949295,83216744
1571949298,83216744
1571949301,83216744
1571949304,83221176
1571949307,83221304
1571949310,83221304
1571949313,83221304
1571949316,83221304
1571949319,83221304
1571949322,83222640
1571949325,83228808
1571949328,83228808
1571949331,83228808
1571949334,83228808
1571949337,83228808
1571949340,83228808
1571949343,83229624
1571949346,83229952
1571949349,83229952
1571949352,83229952
1571949355,83229952
1571949358,83229952
1571949361,83229952
1571949364,83245016
1571949367,83245016
1571949370,83245016
1571949373,83245016
1571949376,83245016
1571949379,83245016
1571949382,83245016
1571949385,83245400
1571949388,83245400
1571949391,83251168
1571949394,83251168
1571949397,83251472
1571949400,83251472
1571949403,83251472
1571949406,83252088
1571949409,83252088
1571949412,83252088
1571949415,83252088
1571949418,83252088
1571949421,83317664
1571949424,83331920
1571949427,83339784
1571949430,83339784
1571949433,83339784
1571949436,83342480
1571949439,83342480
1571949442,83342776
1571949445,83352184
1571949448,83352184
1571949451,83356272
1571949454,83393032
1571949457,83397488
1571949460,83398160
1571949463,83489040
1571949466,83498600
1571949469,83522280
1571949472,83589152
1571949475,83589152
1571949478,83589152
1571949481,83589152
1571949484,83594776
1571949487,83598136
1571949490,83624728
1571949493,83643432
1571949496,83659488
1571949499,83672312
1571949502,83672312
1571949505,83725448
1571949508,83727816
1571949511,83757888
1571949514,83806704
1571949517,83816344
1571949520,83825488
1571949523,83841088
1571949526,83850136
1571949529,83850136
1571949532,83850136
1571949535,83884256
1571949538,83887960
1571949541,83887960
1571949544,83887960
1571949547,83887960
1571949550,83887960
1571949553,83887960
1571949556,83903656
1571949559,83903688
1571949562,83915912
1571949565,83921432
1571949568,83921432
1571949571,83921432
1571949574,83921432
1571949577,83924960
1571949580,83924960
1571949583,83924960
1571949586,83927976
1571949589,83927976
1571949592,83927976
1571949595,83928488
1571949598,83928488
1571949601,83928488
1571949604,83928488
1571949607,83931664
1571949610,83932696
1571949613,83936312
1571949616,83939904
1571949619,83949840
1571949622,83949840
1571949625,83952912
1571949628,83960200
1571949631,83960200
1571949634,83960200
1571949637,83960200
1571949640,83960200
1571949643,83960200
1571949646,83964840
1571949649,83965968
1571949652,83965968
1571949655,83972696
1571949658,83972696
1571949661,83972696
1571949664,83972696
1571949667,83975352
1571949670,83975352
1571949673,83975352
1571949676,83975352
1571949679,83975352
1571949682,83975352
1571949685,83975352
1571949688,83975352
1571949691,83975352
1571949694,83975352
1571949697,83975352
1571949700,83975352
1571949703,83975352
1571949706,83982192
1571949709,83982192
1571949712,83982192
1571949715,83984912
1571949718,83984912
1571949721,83984912
1571949724,83984912
1571949727,83989440
1571949730,83989440
1571949733,83989440
1571949736,83989440
1571949739,83989440
1571949742,83989440
1571949745,83990200
1571949748,83990200
1571949751,83990200
1571949754,83990200
1571949757,83990200
1571949760,83990200
1571949763,83990200
1571949766,83990760
1571949769,83990760
1571949772,83990760
1571949775,83990760
1571949778,83990760
