t,value
1571948338,22
1571948341,24
1571948344,24
1571948347,37
1571948350,43
1571948353,45
1571948356,45
1571948359,44
1571948362,43
1571948365,43
1571948368,43
1571948371,43
1571948374,43
1571948377,43
1571948380,47
1571948383,49
1571948386,49
1571948389,49
1571948392,48
1571948395,47
1571948398,47
1571948401,50
1571948404,50
1571948407,49
1571948410,48
1571948413,47
1571948416,47
1571948419,48
1571948422,48
1571948425,48
1571948428,48
1571948431,48
1571948434,48
1571948437,47
1571948440,46
1571948443,49
1571948446,48
1571948449,48
1571948452,47
1571948455,47
1571948458,47
1571948461,49
1571948464,49
1571948467,48
1571948470,47
1571948473,46
1571948476,46
1571948479,45
1571948482,49
1571948485,49
1571948488,49
1571948491,49
1571948494,48
1571948497,47
1571948500,46
1571948503,46
1571948506,46
1571948509,45
1571948512,45
1571948515,45
1571948518,45
1571948521,48
1571948524,49
1571948527,49
1571948530,48
1571948533,47
1571948536,46
1571948539,46
1571948542,46
1571948545,46
1571948548,46
1571948551,45
1571948554,45
1571948557,47
1571948560,47
1571948563,47
1571948566,46
1571948569,46
1571948572,46
1571948575,47
1571948578,47
1571948581,47
1571948584,47
1571948587,47
1571948590,49
1571948593,49
1571948596,47
1571948599,47
1571948602,46
1571948605,47
1571948608,47
1571948611,47
1571948614,47
1571948617,46
1571948620,45
1571948623,47
1571948626,47
1571948629,46
1571948632,45
1571948635,45
1571948638,45
1571948641,46
1571948644,46
1571948647,47
1571948650,47
1571948653,47
1571948656,47
1571948659,47
1571948662,46
1571948665,46
1571948668,46
1571948671,45
1571948674,45
1571948677,45
1571948680,46
1571948683,46
1571948686,46
1571948689,46
1571948692,46
1571948695,46
1571948698,47
1571948701,47
1571948704,46
1571948707,46
1571948710,45
1571948713,47
1571948716,47
1571948719,46
1571948722,46
1571948725,46
1571948728,46
1571948731,45
1571948734,45
1571948737,45
1571948740,45
1571948743,49
1571948746,48
1571948749,47
1571948752,47
1571948755,46
1571948758,46
1571948761,46
1571948764,46
1571948767,46
1571948770,45
1571948773,45
1571948776,45
1571948779,45
1571948782,48
1571948785,48
1571948788,47
1571948791,47
1571948794,46
1571948797,46
1571948800,45
1571948803,48
1571948806,47
1571948809,47
1571948812,47
1571948815,47
1571948818,47
1571948821,46
1571948824,46
1571948827,46
1571948830,45
1571948833,45
1571948836,45
1571948839,45
1571948842,46
1571948845,46
1571948848,46
1571948851,45
1571948854,45
1571948857,45
1571948860,45
1571948863,48
1571948866,47
1571948869,47
1571948872,46
1571948875,46
1571948878,46
1571948881,45
1571948884,46
1571948887,46
1571948890,45
1571948893,45
1571948896,45
1571948899,45
1571948902,48
1571948905,48
1571948908,47
1571948911,47
1571948914,46
1571948917,46
1571948920,45
1571948923,46
1571948926,46
1571948929,46
1571948932,45
1571948935,45
1571948938,45
