t,value
1571948338,26
1571948341,28
1571948344,28
1571948347,41
1571948350,47
1571948353,49
1571948356,49
1571948359,48
1571948362,47
1571948365,47
1571948368,47
1571948371,47
1571948374,47
1571948377,47
1571948380,51
1571948383,53
1571948386,53
1571948389,53
1571948392,52
1571948395,51
1571948398,51
1571948401,54
1571948404,54
1571948407,53
1571948410,52
1571948413,51
1571948416,51
1571948419,52
1571948422,52
1571948425,52
1571948428,52
1571948431,52
1571948434,52
1571948437,51
1571948440,50
1571948443,53
1571948446,52
1571948449,52
1571948452,51
1571948455,51
1571948458,51
1571948461,53
1571948464,53
1571948467,52
1571948470,51
1571948473,50
1571948476,50
1571948479,49
1571948482,53
1571948485,53
1571948488,53
1571948491,53
1571948494,52
1571948497,51
1571948500,50
1571948503,50
1571948506,50
1571948509,49
1571948512,49
1571948515,49
1571948518,49
1571948521,52
1571948524,53
1571948527,53
1571948530,52
1571948533,51
1571948536,50
1571948539,50
1571948542,50
1571948545,50
1571948548,50
1571948551,49
1571948554,49
1571948557,51
1571948560,51
1571948563,51
1571948566,50
1571948569,50
1571948572,50
1571948575,51
1571948578,51
1571948581,51
1571948584,51
1571948587,51
1571948590,53
1571948593,53
1571948596,51
1571948599,51
1571948602,50
1571948605,51
1571948608,51
1571948611,51
1571948614,51
1571948617,50
1571948620,49
1571948623,51
1571948626,51
1571948629,50
1571948632,49
1571948635,49
1571948638,49
1571948641,50
1571948644,50
1571948647,51
1571948650,51
1571948653,51
1571948656,51
1571948659,51
1571948662,50
1571948665,50
1571948668,50
1571948671,49
1571948674,49
1571948677,49
1571948680,50
1571948683,50
1571948686,50
1571948689,50
1571948692,50
1571948695,50
1571948698,51
1571948701,51
1571948704,50
1571948707,50
1571948710,49
1571948713,51
1571948716,51
1571948719,50
1571948722,50
1571948725,50
1571948728,50
1571948731,49
1571948734,49
1571948737,49
1571948740,49
1571948743,53
1571948746,52
1571948749,51
1571948752,51
1571948755,50
1571948758,50
1571948761,50
1571948764,50
1571948767,50
1571948770,49
1571948773,49
1571948776,49
1571948779,49
1571948782,52
1571948785,52
1571948788,51
1571948791,51
1571948794,50
1571948797,50
1571948800,49
1571948803,52
1571948806,51
1571948809,51
1571948812,51
1571948815,51
1571948818,51
1571948821,50
1571948824,50
1571948827,50
1571948830,49
1571948833,49
1571948836,49
1571948839,49
1571948842,50
1571948845,50
1571948848,50
1571948851,49
1571948854,49
1571948857,49
1571948860,49
1571948863,52
1571948866,51
1571948869,51
1571948872,50
1571948875,50
1571948878,50
1571948881,49
1571948884,50
1571948887,50
1571948890,49
1571948893,49
1571948896,49
1571948899,49
1571948902,52
1571948905,52
1571948908,51
1571948911,51
1571948914,50
1571948917,50
1571948920,49
1571948923,50
1571948926,50
1571948929,50
1571948932,49
1571948935,49
1571948938,50
1571948941,49
1571948944,52
1571948947,51
1571948950,51
1571948953,50
1571948956,50
1571948959,50
1571948962,50
1571948965,50
1571948968,50
1571948971,50
1571948974,50
1571948977,50
1571948980,50
1571948983,51
1571948986,51
1571948989,51
1571948992,51
1571948995,50
1571948998,50
1571949001,50
1571949004,50
1571949007,50
1571949010,50
1571949013,50
1571949016,50
1571949019,50
1571949022,50
1571949025,51
1571949028,53
1571949031,52
1571949034,51
1571949037,51
1571949040,51
1571949043,52
1571949046,51
1571949049,51
1571949052,50
1571949055,50
1571949058,50
1571949061,49
1571949064,52
1571949067,51
1571949070,51
1571949073,50
1571949076,50
1571949079,50
1571949082,50
1571949085,50
1571949088,50
1571949091,50
1571949094,50
1571949097,50
1571949100,50
1571949103,52
1571949106,52
1571949109,51
1571949112,51
1571949115,50
1571949118,50
1571949121,50
1571949124,50
1571949127,50
1571949130,50
1571949133,49
1571949136,49
1571949139,49
1571949142,50
1571949145,50
1571949148,50
1571949151,50
1571949154,50
1571949157,49
1571949160,49
1571949163,50
1571949166,50
1571949169,50
1571949172,50
1571949175,49
1571949178,49
1571949181,49
1571949184,50
1571949187,50
1571949190,50
1571949193,49
1571949196,49
1571949199,49
1571949202,50
1571949205,50
1571949208,50
1571949211,50
1571949214,49
1571949217,49
1571949220,49
1571949223,50
1571949226,50
1571949229,50
1571949232,49
1571949235,49
1571949238,49
1571949241,49
1571949244,50
1571949247,51
1571949250,51
1571949253,50
1571949256,50
1571949259,50
1571949262,51
1571949265,51
1571949268,51
1571949271,51
1571949274,50
1571949277,50
1571949280,50
1571949283,51
1571949286,51
1571949289,51
1571949292,50
1571949295,50
1571949298,50
1571949301,50
1571949304,51
1571949307,50
1571949310,50
1571949313,49
1571949316,49
1571949319,49
1571949322,50
1571949325,50
1571949328,50
1571949331,50
1571949334,49
1571949337,49
1571949340,49
1571949343,50
1571949346,50
1571949349,50
1571949352,49
1571949355,49
1571949358,49
1571949361,49
1571949364,51
1571949367,51
1571949370,50
1571949373,49
1571949376,49
1571949379,49
1571949382,50
1571949385,50
1571949388,50
1571949391,51
1571949394,51
1571949397,49
1571949400,49
1571949403,50
1571949406,50
1571949409,50
1571949412,49
1571949415,49
1571949418,49
1571949421,53
1571949424,53
1571949427,53
1571949430,52
1571949433,51
1571949436,51
1571949439,51
1571949442,50
1571949445,51
1571949448,51
1571949451,50
1571949454,50
1571949457,50
1571949460,50
1571949463,50
1571949466,50
1571949469,50
1571949472,50
1571949475,50
1571949478,50
1571949481,49
1571949484,50
1571949487,50
1571949490,50
1571949493,50
1571949496,50
1571949499,50
1571949502,50
1571949505,50
1571949508,50
1571949511,50
1571949514,50
1571949517,50
1571949520,50
1571949523,50
1571949526,50
1571949529,50
1571949532,50
1571949535,50
1571949538,50
1571949541,50
1571949544,50
1571949547,50
1571949550,50
1571949553,49
1571949556,51
1571949559,51
1571949562,51
1571949565,51
1571949568,50
1571949571,50
1571949574,49
1571949577,49
1571949580,49
1571949583,49
1571949586,50
1571949589,50
1571949592,50
1571949595,49
1571949598,49
1571949601,49
1571949604,50
1571949607,50
1571949610,50
1571949613,50
1571949616,50
1571949619,50
1571949622,50
1571949625,50
1571949628,50
1571949631,50
1571949634,50
1571949637,49
1571949640,49
1571949643,49
1571949646,50
1571949649,50
1571949652,50
1571949655,49
1571949658,49
1571949661,49
1571949664,50
1571949667,50
1571949670,50
1571949673,50
1571949676,49
1571949679,49
1571949682,49
1571949685,50
1571949688,50
1571949691,50
1571949694,50
1571949697,49
1571949700,49
1571949703,49
1571949706,50
1571949709,50
1571949712,50
1571949715,49
1571949718,49
1571949721,49
1571949724,50
1571949727,50
1571949730,50
1571949733,50
1571949736,49
1571949739,49
1571949742,49
1571949745,50
1571949748,50
1571949751,50
1571949754,50
1571949757,49
1571949760,49
1571949763,49
1571949766,50
1571949769,50
